Project,County,"System Name /
Borrower",Description,Pop .,Project Cost,Score,"Cumulative
Total"
19249,Livingston,"TOWN OF LIMA WD # 5 /
Lima ( T )","New Water District # 5 , New Water District","1,500","$24,771,500.00",50,"$1,806,592,759.00"
18708,Livingston,"DANSVILLE ( V ) / Dansville
( )","Replacement of aged undersized mains , Upgrade Distribution System","4,463","$6,838,170.00",35,"$1,813,430,929.00"
18655,Livingston,"AVON VILLAGE PWS /
Avon ( V )","Replace existing aged undersized pump station , Upgrade Pump
Station","2,993","$2,048,217.00",30,"$1,815,479,146.00"
19070,Livingston,"YORK WATER DISTRICT /
York ( T )","Flat Road Pump Station Upgrades , Upgrade Pump Station","1,662","$500,000.00",30,"$1,815,979,146.00"
19121,Livingston,"AVON TOWN WATER
DISTRICT / Avon ( T )","Townwide Water Main Replacement and Tank Improvements ,
Upgrade Storage , Upgrade Distribution System","3,000","$8,577,750.00",25,"$1,824,556,896.00"
18609,Livingston,"LEICESTER VILLAGE /
Leicester ( V )","Pleasant Street Water Main Replacement . , Upgrade Distribution
System",438,"$882,000.00",15,"$1,825,438,896.00"
18879,Madison,"SKYRIDGE WD / SALT
SPRINGS WD / Sullivan ( T )","Town of Sullivan portion of Skyridge WD / Salt Springs WD project .
Currently Inactive . Related to Project # 18534 . , New System
Consolidation , New Water District",304,"$2,290,909.00",95,"$1,827,729,805.00"
18075,Madison,"CLOCKVILLE WATER
DISTRICT / Madison County","New Clockville WD # 1 . , New Storage , New Distribution System , New
Water District",816,"$7,258,100.00",80,"$1,834,987,905.00"
18069,Madison,"HAMILTON VILLAGE /
Hamilton ( V )","New Redundant Source . , New Ground Water Source , Upgrade
Distribution System","3,904","$3,872,800.00",55,"$1,838,860,705.00"
18859,Madison,"WHITELAW WD / Sullivan
( T )","Whitelaw WD - Extend water service to areas served by private wells . ,
New Water District",180,"$5,960,000.00",50,"$1,844,820,705.00"
18829,Madison,"ONEIDA CITY / City of
Oneia","Construction of a new clear well , and rehab existing clear well . ,
Upgrade Storage","12,000","$3,048,800.00",40,"$1,847,869,505.00"
18299,Madison,"DERUYTER VILLAGE /
DeRuyter ( V )","NYS Route 13 Water Main Improvements . , Upgrade Distribution
System",643,"$478,900.00",40,"$1,848,348,405.00"
19113,Madison,"O - WE - RA POINT WATER
SUPPLY / Owera Water
Works Transport","Intallation of iron treatment system and other upgrades to aged
infrastructure , New Water Treatment Plant , Upgrade Pump Station",100,"$484,100.00",35,"$1,848,832,505.00"
19202,Madison,"HAMILTON VILLAGE /
Hamilton ( V )","NY Rt . 12B replacement of WM , new hydrants , valves and water
service installation , Upgrade Distribution System","3,904","$6,446,770.00",30,"$1,855,279,275.00"
18213,Monroe,"ROCHESTER CITY /
Rochester ( C )","Cover Highland Reservoir , Upgrade Storage","214,000","$7,200,000.00",105,"$1,862,479,275.00"
19216,Monroe,"ROCHESTER CITY /
Rochester ( C )","Hemlock Filtration Plant Filter Rehabilitation Project - Underdrain and
Media Replacement , Upgrade Water Treatment Plant","214,000","$2,260,300.00",45,"$1,864,739,575.00"
18485,Monroe,"ROCHESTER CITY /
Rochester ( C )","Scottrville Road Water Main Replacement . , Upgrade Distribution
System","214,000","$2,200,000.00",40,"$1,866,939,575.00"
18421,Monroe,"MCWA SHOREMONT
WTP / Monroe County
Water Authority",Upgrade Water Treatment Plant,"310,000","$3,000,000.00",40,"$1,869,939,575.00"
19277,Monroe,"ROCHESTER CITY /
Rochester ( C )","BIL LSL . Lead Service Line Replacement 2024. , Upgrade Distribution
System","214,000","$48,410,000.00",40,"$1,918,349,575.00"
18998,Monroe,"ROCHESTER CITY /
Rochester ( C )","Lead Service Line Replacement , Upgrade Distribution System","214,000","$5,100,000.00",40,"$1,923,449,575.00"
18230,Monroe,"MCWA SHOREMONT
WTP / Monroe County
Water Authority",Upgrade Distribution System,"310,000","$855,000.00",25,"$1,924,304,575.00"
18926,Monroe,"MCWA SHOREMONT
WTP / Monroe County
Water Authority","Installation of emergency scrubber for chlorine gas treatment . ,
Upgrade Other Expenses , Upgrade Other ( OT )","310,000","$300,000.00",25,"$1,924,604,575.00"
19214,Monroe,"MCWA SHOREMONT
WTP / Monroe County
Water Authority","Glen Iris Dr. Watermain Replacement , Upgrade Distribution System","310,000","$498,520.00",20,"$1,925,103,095.00"
18448,Montgomery,"FONDA ( V ) WATER
WORKS / Fonda ( V )","Water system improvements , Upgrade Surface Water Treatment Rule
Compliance Facility , Upgrade Transmission , Upgrade Storage","1,080",$0.00,1095,"$1,925,103,095.00"
18051,Montgomery,"FULTONVILLE VILLAGE
PWS / Fultonville ( V )","Upgrade Water Treatment Plant , Upgrade Ground Water Source ,
Upgrade Distribution System",740,"$30,000.00",1090,"$1,925,133,095.00"
19101,Montgomery,"FORT PLAIN ( V ) WATER
WORKS / Fort Plain ( V )","PFOS removal at Lincoln Street Wells , Upgrade Water Treatment
Plant","2,400","$1,010,000.00",85,"$1,926,143,095.00"
18449,Montgomery,"FORT PLAIN ( V ) WATER
WORKS / Fort Plain ( V )","Upgrade Transmission , Upgrade Storage , Upgrade Pump Station ,
Upgrade Distribution System","2,400","$205,000.00",55,"$1,926,348,095.00"
18412,Montgomery,"CANAJOHARIE ( V ) WATER
WORKS / Canajoharie ( V )","Storage tank replacement ; storage tank rehabilitation ; distribution
upgrades , New Storage , Upgrade Storage , Upgrade Distribution
System","2,300","$2,750,000.00",50,"$1,929,098,095.00"
18894,Montgomery,"PALATINE BRIDGE ( V )
WATER WORKS / Palatine
Bridge ( V )","Rt . 5 Watermain Replacement . , Upgrade Distribution System",890,"$495,500.00",35,"$1,929,593,595.00"
18810,Nassau,"WA OF GREAT NECK
NORTH / Water Auth - Great Neck North","Phase of Project # 18146 . Resiliency and redundancy . Raise
wellhead elevations at wells 2A , 5 , 6 , 8 and 11A , backup generators at wells 6 and 10A ; Portable generator replacement . , Upgrade Other
Expenses , Upgrade Other ( OT )","31,400",$0.00,1020,"$1,929,593,595.00"
18965,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","1,4 - dioxane , PFOA / PFOS , and nitrate treatment for Well Nos . 1A & 2A
at Levittown WD , Upgrade Water Treatment Plant","110,000","$6,001,000.00",130,"$1,935,594,595.00"
18670,Nassau,"HEMPSTEAD ( V ) /
Hempstead ( V )","1,4 - dioxane treatment . at Clinton Street Plant , Upgrade Water
Treatment Plant","56,000","$18,087,119.00",90,"$1,953,681,714.00"
18849,Nassau,"HICKSVILLE WD /
Hicksville WD","Plant 5 AOP treatment of 1,4 - dioxane , PFOA and PFOS . , Upgrade
Other Expenses , New Water Treatment Plant , Upgrade Other ( OT )","47,810","$9,419,000.00",80,"$1,963,100,714.00"
18840,Nassau,"HICKSVILLE WD /
Hicksville Water District","Plant No. 9 - AOP / GAC treamtent for 1,4 - dioxane and PFOA / PFOS
removal . , Upgrade Water Treatment Plant","47,810","$14,879,000.00",80,"$1,977,979,714.00"
19085,Nassau,"PLAINVIEW WD / Plainview
WD","Plant No. 5 - AOP treatment for 1,4 - dioxane removal , Upgrade Water
Treatment Plant","35,000","$31,301,700.00",80,"$2,009,281,414.00"
18833,Nassau,MINEOLA ( V ) / Mineola ( V ),"Installation of GAC for PFOS / PFOA removal for Plant No. 7 , Upgrade
Water Treatment Plant","20,600","$4,470,200.00",80,"$2,013,751,614.00"
18832,Nassau,"ALBERTSON WD /
Albertson Water District","Well # 4 GAC - PFOS / PFOA removal , Upgrade Water Treatment Plant","13,500","$9,720,000.00",80,"$2,023,471,614.00"
19098,Nassau,"WA OF WESTERN
NASSAU / WAWNC","Station 40 - AOP and GAC treatment to removal 1,4 - dioxane , PFOA
and PFOS , Upgrade Water Treatment Plant","120,000","$16,521,450.00",80,"$2,039,993,064.00"
18781,Nassau,"GARDEN CITY ( V ) / Garden
City ( V )","Clinton Rd . Wells 10 & 11 : 1,4 - Dioxane & PFAS Removal . , Upgrade
Water Treatment Plant","25,000","$8,893,840.00",80,"$2,048,886,904.00"
19096,Nassau,"WA OF WESTERN
NASSAU / WAWNC","Station 28 - GAC treatment to removal PFOA and PFOS , Upgrade
Water Treatment Plant","120,000","$4,160,000.00",80,"$2,053,046,904.00"
19063,Nassau,"GARDEN CITY ( V ) / Garden
City ( V )","Hilton Park Plant Wells No. 15 and 16 - AOP / GAC treatment for
1,4 - dioxane and PFOA / PFOS removal , Upgrade Water Treatment
Plant","25,000","$9,000,000.00",80,"$2,062,046,904.00"
18674,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","1,4 - dioxane and VOC treatment at Well Nos . 5 and 6 at Uniondale
WD . , Upgrade Water Treatment Plant","110,000","$11,500,000.00",80,"$2,073,546,904.00"
19097,Nassau,"WA OF WESTERN
NASSAU / WAWNC","Station 35 - AOP and GAC treatment to removal 1,4 - dioxane , PFOA
and PFOS , Upgrade Water Treatment Plant","120,000","$12,500,000.00",80,"$2,086,046,904.00"
19095,Nassau,"WA OF WESTERN
NASSAU / WAWNC","Station 20 AOP and GAC treatment to removal 1,4 - dioxane , PFOA
and PFOS , Upgrade Water Treatment Plant","120,000","$19,250,000.00",80,"$2,105,296,904.00"
19086,Nassau,"MANHASSET LAKEVILLE
WD / Manhasset Lakeville
WD","IU Willets Plant - GAC treatment for PFOA / PFOS removal , Upgrade
Water Treatment Plant","43,000","$3,431,000.00",80,"$2,108,727,904.00"
19084,Nassau,"PLAINVIEW WD / Plainview
WD","Plant No. 7 - AOP treatment for 1,4 - dioxane removal , Upgrade Water
Treatment Plant","35,000","$8,998,710.00",80,"$2,117,726,614.00"
19081,Nassau,JERICHO WD / Jericho WD,"Wells No. 20 and 21 - AOP / GAC treatment for 1,4 - dioxane and
PFOA / PFOS removal , Upgrade Water Treatment Plant","58,000","$20,192,000.00",80,"$2,137,918,614.00"
19066,Nassau,"GARDEN CITY PARK WD /
Garden City Park WD","Plant No. 8 - AOP / GAC treatment for 1,4 - dioxane and PFOA / PFOS
removal , Upgrade Water Treatment Plant","15,500","$7,272,000.00",80,"$2,145,190,614.00"
19065,Nassau,"GARDEN CITY PARK WD /
Garden City Park WD","Wells No. 7 and 10 - GAC treatment for PFOA / PFOS removal ,
Upgrade Water Treatment Plant","15,500","$6,500,000.00",80,"$2,151,690,614.00"
19064,Nassau,"GARDEN CITY ( V ) / Garden
City ( V )","Country Club Wells No. 13 and 14 - AOP / GAC treatment for
1,4 - dioxane and PFOA / PFOS removal , Upgrade Water Treatment
Plant","25,000","$8,500,000.00",80,"$2,160,190,614.00"
19062,Nassau,"GARDEN CITY ( V ) / Garden
City ( V )","Well No. 7 AOP , Upgrade Water Treatment Plant","25,000","$5,200,000.00",80,"$2,165,390,614.00"
19008,Nassau,"PLAINVIEW WD / Plainview
WD","Plant No. 4 - AOP / GAC treatment for 1,4 - dioxane removal , Upgrade
Water Treatment Plant","35,000","$7,508,700.00",80,"$2,172,899,314.00"
19005,Nassau,JERICHO WD / Jericho WD,"Wheatley Road Wells 6 and 16 - PTAS Installation , Upgrade Water
Treatment Plant","58,000","$7,600,000.00",80,"$2,180,499,314.00"
19003,Nassau,JERICHO WD / Jericho WD,"Well No. 22 - AOP / GAC treatment for 1,4 - dioxane and PFOA / PFOS
removal , Upgrade Water Treatment Plant","58,000","$13,723,000.00",80,"$2,194,222,314.00"
18964,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","Market Lane Plant Well Nos . 5A & 6B - AOP / GAC treatment for
1,4 - dioxane and PFOA / PFOS removal , Upgrade Water Treatment
Plant","110,000","$11,860,000.00",80,"$2,206,082,314.00"
18969,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","1,4 - dioxane , PFOA / PFOS , and nitrate treatment for Well Nos . 7 , 11 &
12 at Roosevelt WD , Upgrade Water Treatment Plant","110,000","$22,000,000.00",80,"$2,228,082,314.00"
18967,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","1,4 - dioxane treatment for Well No. 13 at Levittown WD , Upgrade
Water Treatment Plant","110,000","$8,110,000.00",80,"$2,236,192,314.00"
18966,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","1,4 - dioxane treatment for Well Nos . 7A & 8A at Levittown WD ,
Upgrade Water Treatment Plant","110,000","$12,000,000.00",80,"$2,248,192,314.00"
18962,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","1,4 - dioxane , PFOA / PFOS , and nitrate treatment for Wells No. 1 and 2
at Bowling Green Estates WD , Upgrade Water Treatment Plant","110,000","$9,500,000.00",80,"$2,257,692,314.00"
18963,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","East Meadow WD Wells No. 5 and 11 - AOP / GAC treatment for
1,4 - dioxane and PFOA / PFOS removal , Upgrade Water Treatment
Plant","110,000","$6,100,070.00",80,"$2,263,792,384.00"
19099,Nassau,"WESTBURY WD /
Westbury Water District","Well Nos . 10 & 14 - Nitrate removal system and AOP / GAC treatment ,
Upgrade Water Treatment Plant","20,500","$14,960,000.00",80,"$2,278,752,384.00"
16456,Nassau,"EAST MEADOW WD /
Hempstead ( T )","New Ground Water Source , Upgrade Distribution System","46,950","$3,100,000.00",55,"$2,281,852,384.00"
18486,Nassau,"SOUTH FARMINGDALE
WD / South Farmingdale
WD","Installation of iron removal system at Well No. 1-4 . , Upgrade Water
Treatment Plant","44,700","$2,701,892.00",50,"$2,284,554,276.00"
19013,Nassau,"GARDEN CITY ( V ) / Garden
City ( V )","Well No. 9 - AOP / GAC treatment for 1,4 - dioxane and PFOA / PFOS
removal , Upgrade Water Treatment Plant","25,000","$7,200,000.00",50,"$2,291,754,276.00"
18671,Nassau,"HEMPSTEAD ( V ) /
Hempstead ( V )","1,4 - dioxane Treatment at Laurel Ave Plant ( Well Nos . 7 and 9 ) . ,
Upgrade Water Treatment Plant","56,000","$6,263,074.00",50,"$2,298,017,350.00"
19018,Nassau,"LONG BEACH CITY / Long
Beach ( C )","Well 16A Replacement , New Ground Water Source","35,000","$4,993,440.00",45,"$2,303,010,790.00"
18997,Nassau,"HICKSVILLE WD /
Hicksville Water District","Plant No. 6 - AOP / GAC treatment for 1,4 - dioxane and PFOA / PFOS
removal . , Upgrade Water Treatment Plant","47,810","$12,296,000.00",45,"$2,315,306,790.00"
19233,Nassau,"SANDS POINT ( V ) / Sands
Point ( V )","Removal of PFOA / PFOS at Wells 3 & 4. , New Water Treatment Plant","2,800","$10,542,000.00",40,"$2,325,848,790.00"
19254,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","Construction of Radium Removal treatment plant , Upgrade Water
Treatment Plant","110,000","$17,178,000.00",40,"$2,343,026,790.00"
17660,Nassau,"HICKSVILLE WD /
Hicksville Water District",Upgrade Water Treatment Plant,"47,810","$5,500,000.00",40,"$2,348,526,790.00"
18476,Nassau,"HICKSVILLE WD /
Hicksville Water District",New Water Treatment Plant,"47,810","$1,826,000.00",40,"$2,350,352,790.00"
18865,Nassau,"WA OF GREAT NECK
NORTH / WAGNN","Wellhead treatment for 1,4 - dioxane , PFOA and PFOS removal at
Watermill Lane Facility . , New Water Treatment Plant","31,400","$17,541,100.00",40,"$2,367,893,890.00"
18777,Nassau,"ALBERTSON WD /
Albertson Water District","Well 3A - Installation of an AOP treatment system , Upgrade Water
Treatment Plant","13,500","$10,466,000.00",40,"$2,378,359,890.00"
19190,Nassau,"WESTBURY WD /
Westbury WD","State Street - GAC treatment for PFOA / PFOS removal and raising
wellhead , Upgrade Water Treatment Plant , Upgrade Ground Water
Source","20,500","$14,371,000.00",40,"$2,392,730,890.00"
19180,Nassau,"WESTBURY WD /
Westbury Water District","Installation of new GAC system at the Wells 15 and 18 facility . , New
Water Treatment Plant","20,500","$6,733,000.00",40,"$2,399,463,890.00"
18684,Nassau,"GARDEN CITY PARK WD /
Garden City Park WD","Plant No. 6 AOP treatment , Upgrade Water Treatment Plant","15,500","$3,214,000.00",40,"$2,402,677,890.00"
18683,Nassau,"FARMINGDALE ( V ) /
Farmingdale ( V )","Install treatment to remove 1,4 - dioxane and PFOA / PFOS from Well
Nos . 1-3 . , Upgrade Water Treatment Plant","8,405","$7,652,560.00",40,"$2,410,330,450.00"
19015,Nassau,"FRANKLIN SQUARE WD /
Franklin Square WD","Plant No. 1 GAC treatment for PFOA / PFOS removal , Upgrade
Water Treatment Plant","20,000","$5,000,000.00",40,"$2,415,330,450.00"
19014,Nassau,"SOUTH FARMINGDALE
WD / South Farmingdale
WD","Plant No. 6 - AOP / GAC treatment for 1,4 - dioxane , Upgrade Water
Treatment Plant","44,700","$10,912,000.00",40,"$2,426,242,450.00"
19010,Nassau,"HICKSVILLE WD /
Hicksville WD","Plant No. 11 AOP / GAC treatment for 1,4 - dioxane and PFOA / PFOS
removal , Upgrade Water Treatment Plant","47,810","$13,996,670.00",40,"$2,440,239,120.00"
19012,Nassau,"SANDS POINT ( V ) / Sands
Point ( V )","Wells No. 2A and 5A - GAC treatment for PFOA / PFOS removal ,
Upgrade Water Treatment Plant","2,800","$8,400,000.00",40,"$2,448,639,120.00"
19011,Nassau,"BETHPAGE WD / Bethpage
WD","Plant No. 1 - AOP treatment for 1,4 - dioxane removal and lon
Exchange Replacement , Upgrade Water Treatment Plant","33,000","$4,891,860.00",40,"$2,453,530,980.00"
19009,Nassau,"WESTBURY WD /
Westbury WD","Well No. 16- AOP / GAC treatment for 1,4 - dioxane and PFOA / PFOS
removal , Upgrade Water Treatment Plant","20,500","$6,877,000.00",40,"$2,460,407,980.00"
18968,Nassau,"TOWN OF HEMPSTEAD
WD / Hempstead ( T )","1,4 - dioxane treatment for Well Nos . 6 & 8 at East Meadow WD ,
Upgrade Water Treatment Plant","110,000","$12,000,000.00",40,"$2,472,407,980.00"
18633,Nassau,"HEMPSTEAD ( V ) /
Hempstead ( V )","Installation of two new wells and Chemical Feed / Control Bldg . , New
Other Expenses , New Ground Water Source , New Other ( OT )","56,000",$0.00,25,"$2,472,407,980.00"
19039,Nassau,"PORT WASHINGTON WD /
Port Washington WD","Sandy Hollow Well Station Upgrades , Upgrade Water Treatment Plant","34,000","$7,168,000.00",25,"$2,479,575,980.00"
19229,Nassau,"ALBERTSON WD /
Albertson WD","Improvements to Well 2 station , Upgrade Other Expenses , New
Ground Water Source , Upgrade Other ( OT )","13,500","$5,347,000.00",20,"$2,484,922,980.00"
18649,Nassau,BAYVILLE ( V ) / Bayville ( V ),"Install SCADA system and improvements at Well No. 1-3 . , Upgrade
Ground Water Source , Upgrade Distribution System","8,800","$1,210,000.00",20,"$2,486,132,980.00"
19218,Nassau,BAYVILLE ( V ) / Bayville ( V ),"Rehab of Plant No. 1-3 , Upgrade Water Treatment Plant","8,800","$1,661,184.00",20,"$2,487,794,164.00"
19235,Nassau,"SANDS POINT ( V ) / Sands
Point ( V )","Construction of new supply well , New Ground Water Source","2,800","$7,337,000.00",20,"$2,495,131,164.00"
19239,Nassau,"OLD WESTBURY ( V ) / Old
Westbury ( V )","Rehab Garvin Road water storage tank . , Upgrade Storage","3,200","$5,484,000.00",20,"$2,500,615,164.00"
19006,Nassau,"CARLE PLACE WD / Carle
Place WD","Well 3 and 4 - Electrical Improvements , Upgrade Water Treatment
Plant","9,005","$4,098,000.00",20,"$2,504,713,164.00"
19204,Nassau,"PORT WASHINGTON WD /
Port Washington WD","Improvements to SCADA system ,","34,000","$826,000.00",20,"$2,505,539,164.00"
19047,Nassau,"LOCUST VALLEY WD /
Locust Valley WD","Raise elevation of Pump Station No. 4 for resiliency and redundancy
during storm events , Upgrade Water Treatment Plant","7,500","$3,150,000.00",20,"$2,508,689,164.00"
18961,Nassau,"GLEN COVE CITY / Glen
Cove ( C )","Nancy Court Pump Station Upgrades . , Upgrade Pump Station","28,000","$2,234,000.00",20,"$2,510,923,164.00"
15366,Nassau,"ROCKVILLE CENTRE ( V ) /
Rockville Centre ( V )","Replace treatment pump , Upgrade Water Treatment Plant","24,700","$45,320.00",15,"$2,510,968,484.00"
18504,Nassau,"GARDEN CITY ( V ) / Garden
City ( V )","Old Country Rd Tank Replacement , Upgrade Storage","25,000","$8,495,000.00",15,"$2,519,463,484.00"
15261,Nassau,"PLAINVIEW WD / Oyster
Bay ( T )",Upgrade Water Treatment Plant,"35,000","$2,465,614.00",15,"$2,521,929,098.00"
19230,Nassau,"ALBERTSON WD /
Albertson WD","Misc Improvements to Well 5 station , Upgrade Pump Station","13,500","$5,132,000.00",15,"$2,527,061,098.00"
18481,Nassau,"ROCKVILLE CENTRE ( V ) /
Rockville Centre ( V )",Upgrade Water Treatment Plant,"24,700","$943,800.00",15,"$2,528,004,898.00"
18477,Nassau,"JERICHO WD / Jericho
Water District",New Storage,"58,000","$10,500,000.00",15,"$2,538,504,898.00"
15939,Nassau,"FARMINGDALE ( V ) /
Farmingdale ( V )",Upgrade Water Treatment Plant,"8,405","$75,000.00",15,"$2,538,579,898.00"
15461,Nassau,"PORT WASHINGTON WD /
North Hempstead ( T )",New Transmission,"34,000","$476,000.00",15,"$2,539,055,898.00"
18466,Nassau,"FARMINGDALE ( V ) /
Farmingdale ( V )","Replacement of elevated water storage tank at Eastern Parkway Plant
Site . , New Storage","8,405","$5,366,000.00",15,"$2,544,421,898.00"
15663,Nassau,"ROSLYN WD / North
Hempstead ( T )","Convert Well # 3 DWTP to water lubrication , Upgrade Ground Water
Source","17,000","$79,725.00",15,"$2,544,501,623.00"
19220,Nassau,"BETHPAGE WD / Bethpage
WD","Installation of new North to South Transmission Main . , New
Transmission","33,000","$6,925,720.00",15,"$2,551,427,343.00"
18795,Nassau,"LONG BEACH CITY / Long
Beach ( C )","Installation of basin covers at Park Place WTP . , Upgrade Water
Treatment Plant","35,000","$914,700.00",15,"$2,552,342,043.00"
18387,Nassau,"WILLISTON PARK ( V ) /
Williston Park ( V )","Replacement of Syracuse Street water storage tank . , Upgrade
Storage","7,516","$6,360,350.00",15,"$2,558,702,393.00"
15359,Nassau,"ROCKVILLE CENTRE ( V ) /
Rockville Centre ( V )","Rehab . wells 1a & 1b , Upgrade Ground Water Source","24,700","$153,017.00",15,"$2,558,855,410.00"
19241,Nassau,"OLD WESTBURY ( V ) / Old
Westbury ( V )","Rehab Rolling Hill Lane water storage tank . , Upgrade Storage","3,200","$2,396,000.00",15,"$2,561,251,410.00"
19238,Nassau,"WILLISTON PARK ( V ) /
Williston Park ( V )","Replacement of aged electrical equipment ,","7,516","$5,196,000.00",15,"$2,566,447,410.00"
19236,Nassau,"WILLISTON PARK ( V ) /
Williston Park ( V )","Replace aged chemical appurtenances ,","7,516","$1,498,000.00",15,"$2,567,945,410.00"
15374,Nassau,"ROCKVILLE CENTRE ( V ) /
Rockville Centre ( V )","Rehab well 3a , Upgrade Ground Water Source","24,700","$290,975.00",15,"$2,568,236,385.00"
19212,Nassau,"JERICHO WD / Jericho
Water District","Water main replacement , Upgrade Transmission , Upgrade Distribution
System","58,000","$19,420,000.00",15,"$2,587,656,385.00"
19208,Nassau,JERICHO WD / Jericho WD,"Replacement of 1.5MG Syosset water storage tank . , New Storage","58,000","$14,621,000.00",15,"$2,602,277,385.00"
19207,Nassau,MINEOLA ( V ) / Mineola ( V ),"Construction of AOP and GAC facility EC removal at Well 1 ,, Upgrade
Water Treatment Plant","20,600","$15,927,000.00",15,"$2,618,204,385.00"
15332,Nassau,"SOUTH FARMINGDALE
WD / South Farmingdale
W.D.","Elevated Tank Repairs & Repainting , Upgrade Storage","44,700","$616,000.00",15,"$2,618,820,385.00"
15460,Nassau,"PORT WASHINGTON WD /
North Hempstead ( T )","Construct New Well # 4 , Upgrade Ground Water Source","34,000","$1,428,000.00",15,"$2,620,248,385.00"
18730,Nassau,"ROCKVILLE CENTRE ( V ) /
Rockville Centre ( V )","Rehab of 750,000 gallon water storage tank , Upgrade Storage","24,700","$4,922,000.00",15,"$2,625,170,385.00"
17996,Nassau,"WA OF WESTERN
NASSAU CO / WA of
Western Nassau County","Iron removal at Wells 28A and 28B in Elmont , Upgrade Water
Treatment Plant","10,000","$4,429,000.00",15,"$2,629,599,385.00"
15380,Nassau,"ROCKVILLE CENTRE ( V ) /
Rockville Centre ( V )","Rehab well 4c , Upgrade Ground Water Source","24,700","$257,500.00",15,"$2,629,856,885.00"
16417,Nassau,"MASSAPEQUA WD / Oyster
Bay ( T )","Well No 1 Replacement of screen and well pump , Upgrade Ground Water Source","43,000","$290,769.00",15,"$2,630,147,654.00"
15452,Nassau,"PORT WASHINGTON WD /
Port Washington Water
District",Upgrade Storage,"34,000","$5,560,426.00",15,"$2,635,708,080.00"
16419,Nassau,"SANDS POINT ( V ) / Sands
Point ( V )",New Ground Water Source,"2,800","$3,892,000.00",15,"$2,639,600,080.00"
19004,Nassau,JERICHO WD / Jericho WD,"Well No. 33 - Perchlorate and Nitrate Removal , Upgrade Water
Treatment Plant","58,000","$16,325,000.00",15,"$2,655,925,080.00"
19038,Nassau,"PORT WASHINGTON WD /
Port Washington WD","Neulist Avenue Well Station Upgrades , Upgrade Water Treatment
Plant","34,000","$10,278,000.00",15,"$2,666,203,080.00"
17864,Nassau,"WEST HEMPSTEAD WD /
West Hempstead Water
District","Replacement of Birch Street storage tank . , Upgrade Storage","32,031","$6,900,000.00",15,"$2,673,103,080.00"
18960,Nassau,"GLEN COVE CITY / Glen
Cove ( C )","Construction of PTAS at Duck Pond Rd , Upgrade Water Treatment
Plant","28,000","$16,300,000.00",15,"$2,689,403,080.00"
15672,Nassau,"MANHASSET LAKEVILLE
WD / North Hempstead ( T )","Install new water mains to eliminate dead ends , Upgrade Distribution
System","43,000","$1,075,320.00",15,"$2,690,478,400.00"
15673,Nassau,"ROSLYN WD / North
Hempstead ( T )",Upgrade Water Treatment Plant,"17,000","$234,068.00",15,"$2,690,712,468.00"
16458,Nassau,"LEVITTOWN WD /
Hempstead ( T )","New Ground Water Source , New Transmission","41,800","$4,025,000.00",15,"$2,694,737,468.00"
15682,Nassau,"MANHASSET LAKEVILLE
WD / North Hempstead ( T )","New transmission from wells to the Campbell treatment facility , New
Transmission","43,000","$836,360.00",15,"$2,695,573,828.00"
15384,Nassau,"ROCKVILLE CENTRE ( V ) /
Rockville Centre ( V )","Rehab tank # 3 , Upgrade Storage","24,700","$911,550.00",15,"$2,696,485,378.00"
18478,Nassau,"MANHASSET LAKEVILLE
WD / Manhasset Lakeville
Water Dist","Construction of a new 750,000 - gal elevated water storage tank to
replace the 500,000 - gal Munsey Park tank . , New Storage","43,000","$5,544,675.00",15,"$2,702,030,053.00"
16453,Nassau,"GARDEN CITY ( V ) / Garden
City ( V )",New Water Treatment Plant,"25,000","$1,601,702.00",15,"$2,703,631,755.00"
18796,Nassau,"LONG BEACH CITY / Long
Beach ( C )","Replace Standpipe with new Storage Tank at Park Place WTP . , New
Storage","35,000","$9,240,540.00",15,"$2,712,872,295.00"
18480,Nassau,"PLAINVIEW WD / Plainview
Water District",Upgrade Water Treatment Plant,"35,000","$350,000.00",10,"$2,713,222,295.00"
18472,Nassau,"FREEPORT ( V ) / Freeport
( )",Upgrade Distribution System,"43,007","$1,344,000.00",10,"$2,714,566,295.00"
19234,Nassau,"SANDS POINT ( V ) / Sands
Point ( V )","Replacement emergency power generator ,","2,800","$2,656,000.00",10,"$2,717,222,295.00"
19228,Nassau,"ROSLYN WD / Roslyn
Water District","Installation of natural gas generator at Plant No. 3 + 4 ,","17,000","$655,750.00",10,"$2,717,878,045.00"
18643,Nassau,"WA OF GREAT NECK
NORTH / WAGNN","Watermain replacement project , Upgrade Distribution System","31,400","$8,763,714.00",10,"$2,726,641,759.00"
19200,Nassau,"CARLE PLACE WD / Carle
Place WD",Upgrade Distribution System,"9,005","$14,022,000.00",10,"$2,740,663,759.00"
