Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
18746,Livingston,LIVINGSTON COUNTY WSA,Livingston County WSA,"Disinfection byproduct removal, new meters and SCADA, storage tank replacement, system consolidation., Upgrade Storage, Upgrade Distribution System, New System Consolidation",7975,1500000,1105,2543816322
19225,Livingston,LIVINGSTON COUNTY WSA,Livingston County WSA,"Leicester/York Water Supply; Expansion to Communities Impacted by AKZO Salt Mine, Extend Distribution System",33200,35800000,140,2579616322
19550,Livingston,AVON (V),Avon (V),"Upgrade Water Tanks and Water Mains, Upgrade Distribution System",6200,4828640,70,2584444962
19428,Livingston,GROVELAND (T),Groveland (T),"Water District No. 1, New Water District",350,9100000,55,2593544962
19249,Livingston,TOWN OF LIMA WD #5,Lima (T),"New Water District #5, New Water District",1500,24771500,50,2618316462
19546,Livingston,GENESEO (T),Geneseo (T),"Legacy WM Replacement - Crossett Rd., NYS Rts 63, 39 and 20A, Upgrade Distribution System",108,3708000,45,2622024462
19549,Livingston,GENESEO (V),Geneseo (V),"Replace WM approx 3,300 LF on Oak and Second Streets, Upgrade Distribution System",240,2037550,35,2624062012
19070,Livingston,YORK (T),York (T),"Flat Road Pump Station Upgrades, Upgrade Pump Station",2700,1300000,30,2625362012
19658,Livingston,LEICESTER (T),Leicester (T),"Replace Water Storage Tank, Upgrade Storage",625,1560000,30,2626922012
19121,Livingston,AVON TOWN WATER DISTRICT,Avon (T),"Townwide Water Main Replacement and Tank Improvements, Upgrade Storage, Upgrade Distribution System",3000,8577750,25,2635499762
18609,Livingston,LEICESTER (V),Leicester (V),"Replacement of WM on South Pkwy, Pleasant St, & Maple Ln, Upgrade Distribution System",440,1246000,20,2636745762
18299,Madison,DERUYTER (V),DeRuyter (V),"Water Systems Improvements - Storage, WTP, and Watermain upgrades., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",643,3646335,60,2640392097
19501,Madison,WATER DISTRICT 14,Lenox (T),"Water District 14 Waterline Extension, New Water District",50,1100000,60,2641492097
19747,Madison,TOWN OF LINCOLN WATER DISTRICT NO. 1,Lincoln (T),"Water District No. 1, New Water District",500,13750500,55,2655242597
18069,Madison,HAMILTON VILLAGE,Hamilton (V),"New Redundant Source., New Ground Water Source, Upgrade Distribution System",3904,3872800,55,2659115397
18859,Madison,WHITELAW WD,Sullivan (T),"Whitelaw WD - Extend water service to areas served by private wells., New Water District",180,5960000,50,2665075397
19289,Madison,ONEIDA (C),Oneida (C),"Lake St Pump Station Improvements., Upgrade Pump Station",21832,1916000,40,2666991397
19343,Madison,ONEIDA (C),Oneida (C),"Improvements to Glenmore Dam, New Surface Water Source",20156,13940000,40,2680931397
18829,Madison,ONEIDA (C),Oneida (C),"Construction of a new clear well, and rehab existing clear well., Upgrade Storage",20516,3357800,40,2684289197
19113,Madison,O-WE-RA POINT WATER SUPPLY,Owera Water Works,"Installation of iron treatment system and other upgrades to aged infrastructure, New Water Treatment Plant, Upgrade Pump Station",100,484100,35,2684773297
19202,Madison,HAMILTON (V),Hamilton (V),"NY Rt. 12B Water Main Replacement, new hydrants, valves and services, Upgrade Distribution System",4017,6446770,30,2691220067
19310,Madison,MOUNT PLEASANT WD,Cazenovia (T),"Mount Pleasant WD Watermain Replacement, Upgrade Distribution System",60,750000,15,2691970067
18213,Monroe,ROCHESTER CITY,Rochester (C),"Cover Highland Reservoir, Upgrade Storage",214000,7200000,105,2699170067
19777,Monroe,BROCKPORT (V),Brockport (V),"Replacement of Distribution and Transmission WM, Controls and Appurtenances, Upgrade Distribution System",7300,10266010,55,2709436077
19835,Monroe,PARMA (T),Parma (T),"Town of Parma Water Improvement Benefit Area No. 1, New Distribution System",213,3435037,50,2712871114
19216,Monroe,ROCHESTER CITY,Rochester (C),"Hemlock Filtration Plant Filter Rehabilitation Project - Underdrain and Media Replacement, Upgrade Water Treatment Plant",214000,2260300,45,2715131414
18485,Monroe,ROCHESTER CITY,Rochester (C),"Scottsville Road Water Main Replacement., Upgrade Distribution System",214000,2200000,40,2717331414
19844,Monroe,ROCHESTER (C),Rochester (C),"2025 Watermain Cleaning & Lining LSLR, Upgrade Distribution System",3000,8334000,40,2725665414
19277,Monroe,ROCHESTER (C),Rochester (C),"Lead Service Line Replacement 2024., Upgrade Distribution System",15000,48410000,40,2774075414
19313,Monroe,ROCHESTER CITY,Rochester (C),"Cleaning & lining of approximately 22,000lf of main and 175 LSL replacements, Upgrade Distribution System",214000,2750000,40,2776825414
19806,Monroe,ROCHESTER (C),Rochester (C),"Lead Service Line Replacement, Upgrade Distribution System",12000,24000000,40,2800825414
18421,Monroe,MONROE COUNTY WATER AUTHORITY,Monroe County Water,Upgrade Water Treatment Plant,650000,3000000,40,2803825414
19618,Monroe,ROCHESTER (C),Rochester (C),"Lead Service Line Replacement, Upgrade Distribution System",18000,32527000,40,2836352414
19663,Monroe,ROCHESTER (C),Rochester (C),"2023-24 WM Cleaning and Lining and Lead Service Line Replacement, Upgrade Distribution System",4000,8333000,40,2844685414
18926,Monroe,MONROE COUNTY WATER AUTHORITY,Monroe County Water,"Installation of emergency scrubber for chlorine gas treatment., Upgrade Other Expenses, Upgrade Other (OT)",200000,300000,25,2844985414
19397,Monroe,MONROE COUNTY WATER AUTH,MCWA,"Lead Service Line Inventory., Upgrade Distribution System",558818,25390000,25,2870375414
19494,Monroe,MONROE COUNTY WATER AUTHORITY,Monroe County Water,"Shoremont WTP - Replacement of GAC media to remove PFOA/PFOS, Upgrade Water Treatment Plant",400000,3050000,25,2873425414
18230,Monroe,MONROE COUNTY WATER AUTHORITY,Monroe County Water,Upgrade Distribution System,1000,855000,25,2874280414
19214,Monroe,MONROE COUNTY WATER AUTHORITY,Monroe County Water,"Glen Iris Dr. Watermain Replacement, Upgrade Distribution System",120,498520,20,2874778934
18448,Montgomery,FONDA (V) WATER WORKS,Fonda (V),"Water system improvements, Upgrade Surface Water Treatment Rule Compliance Facility, Upgrade Transmission, Upgrade Storage",1080,0,1095,2874778934
19545,Montgomery,FLORIDA (T),Florida (T),"Fort Hunter Extension & Tank Improvements for DBPs, Upgrade Storage, Extend Distribution System",432,8111250,105,2882890184
19101,Montgomery,FORT PLAIN (V) WATER WORKS,Fort Plain (V),"PFOS removal at Lincoln Street Wells, Upgrade Water Treatment Plant",2400,1010000,85,2883900184
19556,Montgomery,ST JOHNSVILLE (V),St. Johnsville (V),"Disinfection Upgrades, Tank Rehab, Monroe St. Main Replacement, Upgrade Storage, Upgrade Distribution System",1643,2278880,55,2886179064
18412,Montgomery,CANAJOHARIE (V) WATER WORKS,Canajoharie (V),"Storage tank replacement; storage tank rehabilitation; distribution upgrades, New Storage, Upgrade Storage, Upgrade Distribution System",2300,0,50,2886179064
19640,Montgomery,CANAJOHARIE (V),Canajoharie (V),"Lead service line inventory., Upgrade Distribution System",2300,558962,40,2886738026
19639,Montgomery,ST. JOHNSVILLE (V),St. Johnsville (V),"Lead service line inventory., Upgrade Distribution System",648,340537,40,2887078563
18894,Montgomery,PALATINE BRIDGE (V) WATER WORKS,Palatine Bridge (V),"Rt. 5 Watermain Replacement., Upgrade Distribution System",890,495500,35,2887574063
18810,Nassau,WA OF GREAT NECK NORTH,Water Auth - Great Neck North,"Phase 2 of Project #18146. Resiliency and redundancy at wells 2A, 5, 6, 8 and 11A, Backup generators at wells 6 and 10A., Upgrade Other Expenses, Upgrade Other (OT)",31400,0,1020,2887574063
18965,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane, PFOA/PFOS, and nitrate treatment for Well Nos. 1A & 2A at Levittown WD, Upgrade Water Treatment Plant",110000,6001000,130,2893575063
18670,Nassau,HEMPSTEAD (V),Hempstead (V),"1,4-dioxane and PFAS removal at Clinton Street Plant, Upgrade Water Treatment Plant, Upgrade Storage",56000,53266504,90,2946841567
19328,Nassau,PORT WASHINGTON WD,Port Washington WD,"Installation of GAC to treat PFAS, Improvements to site buildings and electric service., Upgrade Water Treatment Plant",34000,12407000,85,2959248567
19337,Nassau,PORT WASHINGTON WD,Port Washington WD,"Installation of GAC treatment to remove PFAS at Hewlett Well No. 4, Upgrade Water Treatment Plant",30000,7723610,80,2966972177
19859,Nassau,GLEN COVE (C),Glen Cove (C),"Install GAC to remove PFAS at Nancy Court Well Station., Upgrade Water Treatment Plant",28365,10892857,80,2977865034
18962,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane, PFOA/PFOS, and nitrate treatment for Wells No. 1 and 2 at Bowling Green Estates WD, Upgrade Water Treatment Plant",110000,9500000,80,2987365034
19369,Nassau,WILLISTON PARK (V),Williston Park (V),"Well No.4 GAC PFAS treatment, Upgrade Water Treatment Plant",7300,8681870,80,2996046904
19665,Nassau,MANHASSET LAKEVILLE WD,Manhasset Lakeville WD,"Installation of GAC Treatment for PFAS at Manhasset Lakeville WD Campbell Well No. 1, Upgrade Water Treatment Plant",43000,4720000,80,3000766904
18964,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"Market Lane Plant Well Nos. 5A & 6B - AOP/GAC treatment for 1,4-dioxane and PFOA/PFOS removal, Upgrade Water Treatment Plant",110000,11860000,80,3012626904
19440,Nassau,BOWLING GREEN WD,Hempstead (T),"Installation of single-use ion exchange media to remove high levels of PFAS and perchlorate, Upgrade Water Treatment Plant",15000,14053320,80,3026680224
19009,Nassau,WESTBURY WD,Westbury WD,"Well No. 16 - AOP/GAC treatment for 1,4-dioxane and PFOA/PFOS removal, Upgrade Water Treatment Plant",20500,9954310,80,3036634534
18969,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane, PFOA/PFOS, and nitrate treatment for Well Nos. 7, 11 & 12 at Roosevelt WD, Upgrade Water Treatment Plant",110000,22000000,80,3058634534
19065,Nassau,GARDEN CITY PARK WD,Garden City Park WD,"Wells No. 7 and 10 - GAC treatment for PFOA/PFOS removal, Upgrade Water Treatment Plant",15500,6500000,80,3065134534
18963,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"East Meadow WD Wells No. 5 and 11 - AOP/GAC treatment for 1,4-dioxane, PFOA/PFOS, 1,1-DCA, and other VOCs removal, Upgrade Water Treatment Plant",110000,6100070,80,3071234604
18966,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane treatment for Well Nos. 7A & 8A at Levittown WD, Upgrade Water Treatment Plant",110000,12000000,80,3083234604
18849,Nassau,HICKSVILLE WD,Hicksville WD,"Plant 5 AOP treatment of 1,4-dioxane, PFOA and PFOS., Upgrade Other Expenses, New Water Treatment Plant, Upgrade Other (OT)",47810,9419000,80,3092653604
19485,Nassau,PORT WASHINGTON WD,Port Washington WD,"New GAC to remove PFAS contamination at Ricks Well 7, Upgrade Water Treatment Plant",30000,9527500,80,3102181104
18674,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane and VOC treatment at Well Nos. 5 and 6 at Uniondale WD., Upgrade Water Treatment Plant",110000,11500000,80,3113681104
19722,Nassau,OYSTER BAY (T),Oyster Bay (T),"Well 6-2 PFAS Treatment, Upgrade Water Treatment Plant",8500,5792000,80,3119473104
19099,Nassau,WESTBURY WD,Westbury Water District,"Well Nos. 10 & 14 - Nitrate removal system and AOP/GAC treatment, Upgrade Water Treatment Plant",20500,14960000,80,3134433104
18967,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane treatment for Well No. 13 at Levittown WD, Upgrade Water Treatment Plant",110000,8110000,80,3142543104
19654,Nassau,EAST MEADOW WD,Hempstead (T),"Installation of AOP and Iron Treatment Systems at Well No. 10, Upgrade Water Treatment Plant",13100,16369000,60,3158912104
18671,Nassau,HEMPSTEAD (V),Hempstead (V),"1,4-dioxane Treatment at Laurel Ave Plant (Well Nos. 7 and 9)., Upgrade Water Treatment Plant",56000,6263074,50,3165175178
18997,Nassau,HICKSVILLE WD,Hicksville Water District,"Plant No. 6 - AOP/GAC treatment for 1,4-dioxane and PFOA/PFOS removal., Upgrade Water Treatment Plant",47810,0,45,3165175178
19822,Nassau,JERICHO WD,Jericho WD,"Well 17 PFAS Removal., Upgrade Water Treatment Plant",58000,10474070,40,3175649248
19254,Nassau,HEMPSTEAD (T) ROOSEVELT WD,Hempstead (T),"Construction of radium removal treatment plant at Roosevelt Field WD Wells 7, 11, 12, Upgrade Water Treatment Plant",6100,22000000,40,3197649248
19180,Nassau,WESTBURY WD,Westbury Water District,"Installation of new GAC system at the Wells 15 and 18 facility for PFAS removal, New Water Treatment Plant",20500,11054990,40,3208704238
19230,Nassau,ALBERTSON WD,Albertson WD,"Well No. 5 - GAC treatment for PFAS removal; and Replace PTAS, Upgrade Water Treatment Plant",13500,18486000,40,3227190238
19233,Nassau,SANDS POINT (V),Sands Point (V),"New GAC Treatment to Address PFAS at Wells 3 & 4., New Water Treatment Plant, Upgrade Ground Water Source",2900,10609000,40,3237799238
19864,Nassau,ROSLYN WATER DISTRICT,Roslyn WD,Upgrade Water Treatment Plant,19700,5341140,40,3243140378
19474,Nassau,JERICHO WD,Jericho WD,"New water treatment plant at Wells 3, 4 & 5., New Water Treatment Plant",58000,47407000,40,3290547378
19004,Nassau,JERICHO WD,Jericho WD,"Well No. 33 - Perchlorate and Nitrate Removal, Upgrade Water Treatment Plant",58000,16325000,40,3306872378
19342,Nassau,MASSAPEQUA WATER DISTRICT,Massapequa Water District,New Water Treatment Plant,43000,1976250,40,3308848628
18968,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane treatment for Well Nos. 6 & 8 at East Meadow WD, Upgrade Water Treatment Plant",110000,12000000,40,3320848628
19382,Nassau,WATER AUTHORITY OF GREAT NECK NORTH,WAGNN,"Installation of GAC and Anion Exchange treatment systems to remove PFAS, Upgrade Water Treatment Plant",32400,13693050,40,3334541678
19676,Nassau,SOUTH FARMINGDALE WD,South Farmingdale WD,"Replacement of Well 1-3 with new Well 1-6, New Ground Water Source",44700,1370000,40,3335911678
19392,Nassau,CARLE PLACE WD,Carle Place WD,"Installation of GAC system for treatment of PFAS at Wells 3 & 4, Upgrade Water Treatment Plant",9000,7649000,40,3343560678
19393,Nassau,JERICHO WD,Jericho Water District,"Relocate existing GAC vessels to Well 29 and install new GAC Vessels at Wells 18 and 19 to address PFAS contamination, Upgrade Water Treatment Plant",58000,17559440,40,3361120118
19338,Nassau,ALBERTSON WATER DISTRICT,Albertson WD,"Installation of GAC to treat PFAS at Shepherd Lane Well 1, Upgrade Water Treatment Plant",13500,9685000,40,3370805118
19724,Nassau,ROSLYN WD,Roslyn Water District,"Plant No. 5 Sycamore Dr. - GAC, Upgrade Water Treatment Plant",17900,4974500,40,3375779618
19015,Nassau,FRANKLIN SQUARE WD,Franklin Square WD,"Plant No. 1 - GAC treatment for PFOA/PFOS removal, Upgrade Water Treatment Plant",20000,0,40,3375779618
19371,Nassau,WILLISTON PARK (V),Williston Park (V),"Wells No. 1A and No. 2 GAC PFAS treatment, New Water Treatment Plant",7300,14224300,40,3390003918
19532,Nassau,FARMINGDALE (V) - PLANT 2,Farmingdale (V),"Plant No. 2 AOP/GAC treatment for 1,4-dioxane and PFOA/PFOS removal, Upgrade Water Treatment Plant",8550,13330672,40,3403334590
19582,Nassau,JERICHO WD,Jericho WD,"Well 23 PFAS Removal, Upgrade Water Treatment Plant",58000,10431840,40,3413766430
18684,Nassau,GARDEN CITY PARK WD,Garden City Park WD,"Plant No. 6 AOP treatment for 1,4-dioxane removal, Upgrade Water Treatment Plant",15500,3214000,40,3416980430
19484,Nassau,PORT WASHINGTON WD,Port Washington WD,"New GAC to remove PFAS contamination at Well 6, Upgrade Water Treatment Plant",30000,8187470,40,3425167900
19581,Nassau,JERICHO WD,Jericho WD,"Well 13 PFAS Removal, Upgrade Water Treatment Plant",58000,12594840,40,3437762740
19583,Nassau,JERICHO WD,Jericho WD,"Well 28 PFAS Removal, Upgrade Water Treatment Plant",58000,6677490,40,3444440230
19190,Nassau,WESTBURY WD,Westbury WD,"State Street - GAC treatment for PFOA/PFOS removal and raising wellhead, Upgrade Water Treatment Plant, Upgrade Ground Water Source",20500,14371000,40,3458811230
19580,Nassau,JERICHO WD,Jericho WD,"Well 12 PFAS removal, Upgrade Water Treatment Plant",58000,8622130,40,3467433360
19417,Nassau,MINEOLA (V),Mineola (V),"Installation of GAC treatment system to address PFAS contamination at Well No. 6, Upgrade Water Treatment Plant",20600,8745730,40,3476179090
19010,Nassau,HICKSVILLE WD,Hicksville WD,"Plant No. 11 - AOP/GAC treatment for 1,4-dioxane, Upgrade Water Treatment Plant",48000,13996670,40,3490175760
19207,Nassau,VILLAGE OF MINEOLA,Mineola (V),"Well 1 PFAS removal, Upgrade Water Treatment Plant",19117,9712000,40,3499887760
19653,Nassau,LEVITTOWN WATER DISTRICT,Hempstead (T),"Levittown WD Well 12 - 1,4-dioxane and iron removal treatment system, Upgrade Water Treatment Plant",53000,15000000,40,3514887760
19231,Nassau,MANHASSET LAKEVILLE WD,Manhasset-Lakeville WD,"Removal of PFAS contamination at Spruce Ponds Plant., Upgrade Water Treatment Plant",45000,3600211,40,3518487971
19725,Nassau,ROSLYN WD,Roslyn WD,"GAC Treatment at Plant No. 6, Upgrade Water Treatment Plant",17900,5221780,40,3523709751
19792,Nassau,LOCUST VALLEY WD,Locust Valley WD,"Plant No. 9 - New GAC treatment for PFAS removal, Upgrade Water Treatment Plant",7500,7000000,40,3530709751
18633,Nassau,HEMPSTEAD (V),Hempstead (V),"Installation of two new wells and Chemical Feed/Control Bldg., New Other Expenses, New Ground Water Source, New Other (OT)",56000,0,25,3530709751
19239,Nassau,OLD WESTBURY (V),Old Westbury (V),"Rehab Garvin Road water storage tank., Upgrade Storage",3200,5484000,20,3536193751
19218,Nassau,BAYVILLE (V),Bayville (V),"Rehab of Plant No. 1-3, Upgrade Water Treatment Plant",8800,1661184,20,3537854935
19235,Nassau,SANDS POINT (V),Sands Point (V),"Construction of new supply well #9, New Ground Water Source",2900,7337000,20,3545191935
19304,Nassau,BETHPAGE WATER DISTRICT,Bethpage WD,"Plant No. 5 Construction of building for existing AOP and GAC, Install redundant AOP, Upgrade Water Treatment Plant",28100,6959000,20,3552150935
19006,Nassau,CARLE PLACE WD,Carle Place WD,"Well 3 and 4 - Electrical Improvements, Upgrade Water Treatment Plant",9005,4098000,20,3556248935
19315,Nassau,HICKSVILLE WD,Hicksville WD,"Lead service line inventory., Upgrade Distribution System",48000,1086200,20,3557335135
19047,Nassau,LOCUST VALLEY WD,Locust Valley WD,"Raise elevation of Pump Station No. 4 for resiliency and redundancy during storm events, Upgrade Water Treatment Plant",7500,3150000,20,3560485135
19018,Nassau,LONG BEACH CITY,Long Beach (C),"Well 16A Replacement, New Ground Water Source",35000,4993440,20,3565478575
19723,Nassau,LONG BEACH (C),Long Beach (C),"Sand Filter Vessel Rehab/Replacement, Upgrade Water Treatment Plant",35000,6898200,20,3572376775
18961,Nassau,GLEN COVE CITY,Glen Cove (C),"Nancy Court Pump Station Upgrades., Upgrade Pump Station",28000,2234000,20,3574610775
19204,Nassau,PORT WASHINGTON WD,Port Washington WD,Improvements to SCADA system,34000,826000,20,3575436775
19229,Nassau,ALBERTSON WD,Albertson WD,"Improvements to Well 2 station, Upgrade Other Expenses, New Ground Water Source, Upgrade Other (OT)",13500,5347000,20,3580783775
19854,Nassau,LIDO-POINT LOOKOUT WATER DISTRICT,Hempstead (T),"Lead Service Line Inventory, Upgrade Distribution System",4121,102136,15,3580885911
19322,Nassau,WESTBURY WD,Westbury WD,"Lead service line inventory., Upgrade Distribution System",20500,1186000,15,3582071911
19323,Nassau,ALBERTSON WD,Albertson WD,"Lead service line inventory., Upgrade Distribution System",13500,1156000,15,3583227911
19325,Nassau,PORT WASHINGTON WD,Port Washington WD,"Lead service line inventory., Upgrade Distribution System",30000,1236000,15,3584463911
18960,Nassau,GLEN COVE CITY,Glen Cove (C),"Construction of PTAS at Duck Pond Rd, Upgrade Water Treatment Plant",28000,16300000,15,3600763911
19353,Nassau,ROSLYN WD,Roslyn WD,"Lead service line inventory., Upgrade Distribution System",18619,3811510,15,3604575421
19359,Nassau,JERICHO WD,Jericho WD,"Lead service line replacement., Upgrade Distribution System",58000,9292000,15,3613867421
19363,Nassau,GARDEN CITY (V),Garden City (V),"Lead service line inventory., Upgrade Distribution System",22384,3468100,15,3617335521
19374,Nassau,TOWN OF HEMPSTEAD,Hempstead (T),"Lead service line inventory., Upgrade Distribution System",130000,741600,15,3618077121
19375,Nassau,MINEOLA (V),Mineola (V),"Lead service line inventory., Upgrade Distribution System",20600,1194000,15,3619271121
19377,Nassau,WILLISTON PARK (V),Williston Park (V),"Lead service line replacement., Upgrade Distribution System",7300,7307070,15,3626578191
15452,Nassau,PORT WASHINGTON WD,Port Washington WD,Upgrade Storage,34000,5560426,15,3632138617
19356,Nassau,FREEPORT (V),Freeport (V),"Lead service line inventory., Upgrade Distribution System",44199,500000,15,3632638617
19376,Nassau,WILLISTON PARK (V),Williston Park (V),"Lead service line inventory., Upgrade Distribution System",7300,1137000,15,3633775617
19038,Nassau,PORT WASHINGTON WD,Port Washington WD,"Neulist Avenue Well Station Upgrades, Upgrade Water Treatment Plant",34000,10278000,15,3644053617
18796,Nassau,LONG BEACH (C),Long Beach (C),"Replace Standpipe with new Storage Tank at Park Place WTP., New Storage",35000,17875980,15,3661929597
18481,Nassau,ROCKVILLE CENTRE (V),Rockville Centre (V),Upgrade Water Treatment Plant,24700,943800,15,3662873397
19355,Nassau,OLD WESTBURY (V),Old Westbury (V),"Lead service line inventory., Upgrade Distribution System",4600,1122000,15,3663995397
19358,Nassau,JERICHO WD,Jericho WD,"Lead service line inventory., Upgrade Distribution System",58000,1372000,15,3665367397
19236,Nassau,WILLISTON PARK (V),Williston Park (V),Replace aged chemical appurtenances,7516,1498000,15,3666865397
19678,Nassau,WA OF GREAT NECK NORTH,WA of Great Neck North,"Replacement of 19,000 LF of Asbestos Main, Upgrade Distribution System",32400,11553000,15,3678418397
19601,Nassau,CITY OF GLEN COVE,Glen Cove (C),"Lead Service Line Inventory., Upgrade Distribution System",28000,309000,15,3678727397
19324,Nassau,CARLE PLACE WD,Carle Place WD,"Lead service line inventory., Upgrade Distribution System",9000,1145000,15,3679872397
19208,Nassau,JERICHO WD,Jericho WD,"Replacement of 1.5MG Syosset water storage tank., New Storage",58000,14621000,15,3694493397
19212,Nassau,JERICHO WD,Jericho Water District,"Water main replacement, Upgrade Transmission, Upgrade Distribution System",58000,19420000,15,3713913397
19813,Nassau,PLAINVIEW WATER DISTRICT,Plainview WD,"Upgrade and improve interconnections., Upgrade Inter-Connection",202164,1337260,15,3715250657
19285,Nassau,LOCUST VALLEY WD,Locust Valley Water District,"Replacement of all existing outdated water meters., New Other Expenses, New Other (OT)",7500,1725000,15,3716975657
17996,Nassau,WA OF WESTERN NASSAU CO,WA of Western Nassau County,"Iron removal at Wells 28A and 28B in Elmont, Upgrade Water Treatment Plant",10000,4429000,15,3721404657
19238,Nassau,WILLISTON PARK (V),Williston Park (V),Replacement of aged electrical equipment,7516,5196000,15,3726600657
19241,Nassau,OLD WESTBURY (V),Old Westbury (V),"Rehab Rolling Hill Lane water storage tank., Upgrade Storage",3200,2396000,15,3728996657
19856,Nassau,WATER AUTHORITY OF WESTERN NASSAU CO,Hempstead (T),"Lead Service Line Replacement, Upgrade Distribution System",8250,20147685,15,3749144342
19857,Nassau,HEMPSTEAD (T),Hempstead (T),"Lead Service Line Inventory, Multiple Water Districts, Upgrade Distribution System",15538,2105350,15,3751249692
19858,Nassau,GARDEN CITY (V),Garden City (V),"Lead Service Line Replacement, Upgrade Distribution System",28000,39717250,15,3790966942
19220,Nassau,BETHPAGE WATER DISTRICT,Bethpage WD,"Installation of new North to South Transmission Main., New Transmission",28100,10675476,15,3801642418
18643,Nassau,WA OF GREAT NECK NORTH,WAGNN,"Watermain replacement project, Upgrade Distribution System",31400,8763714,10,3810406132
19413,Nassau,ROCKVILLE CENTRE (V),Rockville Centre (V),"Replacement of undersized distribution main along several roads, Upgrade Distribution System",24700,1285275,10,3811691407
19048,Nassau,ROCKVILLE CENTRE (V),Rockville Centre (V),"Water Main Replacement, Upgrade Distribution System",24700,4270425,10,3815961832
19865,Nassau,WATER AUTH OF WESTERN NASSAU COUNTY,WAWNC,"Installation of additional AOP reactor at Station No. 57., Upgrade Water Treatment Plant",122276,1573000,10,3817534832
19183,Nassau,WESTBURY WD,Westbury Water District,"Replacement of aging water mains, Upgrade Distribution System",20500,12339000,10,3829873832
19200,Nassau,CARLE PLACE WD,Carle Place WD,Upgrade Distribution System,9005,14022000,10,3843895832
19050,Nassau,WEST HEMPSTEAD WD,West Hempstead WD,"Birch Street WTP Electrical Resiliency Improvements, Upgrade Water Treatment Plant",32031,5706200,10,3849602032
19228,Nassau,ROSLYN WD,Roslyn Water District,Installation of natural gas generator at Plant No. 3 + 4,17000,655750,10,3850257782
19482,Nassau,LONG BEACH (C),Long Beach (C),"Replacement of water mains within the ""Walks"" area of the City of Long Beach, Upgrade Distribution System",35000,1075000,10,3851332782
19234,Nassau,SANDS POINT (V),Sands Point (V),Replacement emergency power generator,2800,2656000,10,3853988782
18587,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Water Board,"Beech Ave Storage Tank Replacement., Upgrade Storage",48500,15240000,60,3869228782
18743,Niagara,NORTH TONAWANDA (C),North Tonawanda (C),"WTP Improvements., Upgrade Water Treatment Plant",31568,0,60,3869228782
19176,Niagara,NORTH TONAWANDA (C),North Tonawanda (C),"Phase 2 - Filter Improvements, Upgrade Water Treatment Plant",30409,16315200,55,3885543982
19056,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Water Board,"Water Main Replacement and WTP Upgrades, Upgrade Water Treatment Plant, Upgrade Distribution System",55593,10025000,55,3895568982
18294,Niagara,LOCKPORT (C),Lockport (C),Upgrade Transmission,21165,0,50,3895568982
19290,Niagara,LOCKPORT (C),Lockport (C),"Lead Service Line Inventory, Upgrade Distribution System",20722,124630,40,3895693612
19405,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls WB,"Lead Service Line Inventory, Upgrade Distribution System",48500,472780,40,3896166392
19027,Niagara,LOCKPORT (C),Lockport (C),"Raw Water Pump Station Emergency Generator, Upgrade Pump Station",21165,800000,40,3896966392
18253,Niagara,NIAGARA WATER IMPROVEMENT AREA,Niagara (T),"Rehab 1-MG Lockport Road Storage Tank, Upgrade Storage",8978,1193696,40,3898160088
19807,Niagara,LOCKPORT (C),Lockport (C),"Lead Service Line Replacement, Upgrade Distribution System",4150,20477044,40,3918637132
19803,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls WB,"2024 Capital Improvement Project, WM Replacement, Upgrade Distribution System",48500,6560000,40,3925197132
19281,Niagara,NORTH TONAWANDA (C),North Tonawanda (C),"Lead Service Line Inventory, Upgrade Distribution System",1000,173100,35,3925370232
18841,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls WB,"Replacement of aged and undersized distribution main, Upgrade Distribution System",55593,5300000,35,3930670232
19419,Niagara,NEWFANE (T),Newfane (T),"Replacement of WM on Jackson St and West Lake Rd, Upgrade Distribution System",9304,2200000,35,3932870232
18588,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Public Water Authority,"Watermain and Lead Service Replacement, Upgrade Distribution System",55593,0,35,3932870232
19042,Niagara,LEWISTON (V),Lewiston (V),"Distribution and Transmission Resiliency Upgrades, Upgrade Transmission, Upgrade Distribution System",2594,1200000,35,3934070232
19226,Niagara,PORTER (T),Porter (T),"Replacement of WM in 5 Areas of the Town, Upgrade Distribution System",6070,6785000,30,3940855232
