Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,emmali_notes
18913,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Replacement of Solvay Potable Water Pump Station, New Pump Station","340,000","$2,640,000.00",45,"$7,295,592,124.00",
19166,Onondaga,SYRACUSE CITY / Syracuse (C),"PRV Replacement Project, Upgrade Other Expenses, Upgrade Other (OT)","192,000","$746,750.00",45,"$7,296,338,874.00",
19248,Onondaga,SYRACUSE CITY / Syracuse (C),"Replacement of Skaneateles Creek Weir Flume, Upgrade Other Expenses, Upgrade Other (OT)","192,000","$310,000.00",45,"$7,296,648,874.00",
19163,Onondaga,SYRACUSE CITY / Syracuse (C),"Camillus Ravine Rehabilitation Project - Transmission Main, Upgrade Transmission","192,000","$1,030,000.00",40,"$7,297,678,874.00",
19408,Onondaga,SYRACUSE CITY / Syracuse (C),"Lead Service Line Replacment., Upgrade Distribution System","8,600","$41,341,728.00",40,"$7,339,020,602.00",
18848,Onondaga,TOWN OF DEWITT CONSOLIDATED WD NO. 1 / DeWitt (T),"2020 Water System Improvements., Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","25,000","$5,900,000.00",35,"$7,344,920,602.00",
18912,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Salt Springs Water Storage - New Tank and Rehab Existing Tank., Upgrade Storage, New Storage","100,000","$3,523,000.00",35,"$7,348,443,602.00",
19174,Onondaga,SYRACUSE CITY / Syracuse (C),Water Department Security Fence Improvements,"192,000","$1,184,500.00",30,"$7,349,628,102.00",
18440,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Oakridge Storage Tank Replacement., Upgrade Storage","1,500","$2,400,000.00",30,"$7,352,028,102.00",
19400,Onondaga,JORDAN (V) / Jordan (V),"Lead Service Line Inventory., Upgrade Distribution System","3,600","$313,200.00",30,"$7,352,341,302.00",
18914,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Replacement of Warners Water Storage Tank, New Storage","5,000","$1,081,500.00",30,"$7,353,422,802.00",
18990,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OWCA,"Tug Hill Booster Pump Station, New Pump Station","500,000","$2,000,000.00",25,"$7,355,422,802.00",
19401,Onondaga,ELBRIDGE (T) / Elbridge (T),"Lead Service Line Inventory., Upgrade Distribution System","3,600","$442,656.00",25,"$7,355,865,458.00",
19403,Onondaga,ELBRIDGE (V) / Elbridge (V),"Lead Service Line Inventory., Upgrade Distribution System","3,600","$288,144.00",25,"$7,356,153,602.00",
19614,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Lead Service Line Inventory, Upgrade Distribution System","500,000","$1,143,000.00",20,"$7,357,296,602.00",
18989,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Lake Ontario WTP Distribution Garage, Upgrade Other Expenses, Upgrade Other (OT)","500,000","$3,000,000.00",15,"$7,360,296,602.00",
19125,Ontario,RUSHVILLE (V) / Rushville (V),"WTP Improvements to address harmful algal blooms and cyanotoxins, Upgrade Water Treatment Plant","2,028","$1,500,000.00",80,"$7,361,796,602.00",
19203,Ontario,MARBLETOWN-WHITE RD. WD / Phelps (T),"White Road WD Extension and Watermain Replacement, Upgrade Distribution System, Extend Water District",80,"$604,776.00",65,"$7,362,401,377.00",
19158,Ontario,TOWN OF BRISTOL WD NO. 1 / Bristol (T),"Day Road Tank Improvements to Address DBPs, Upgrade Storage","2,136","$333,720.00",55,"$7,362,735,097.00",
19036,Ontario,GORHAM TOWN WATER DISTRICT / Gorham (T),"Comprehensive WTP Improvements, Upgrade Water Treatment Plant, Upgrade Pump Station","4,373",$0.00,50,"$7,362,735,097.00",
19826,Ontario,GENEVA (C) / Geneva (C),"Fltration upgrade at water treatment plant., Upgrade Water Treatment Plant","14,500","$14,667,200.00",45,"$7,377,402,297.00",
19768,Ontario,GENEVA CITY WD / Geneva (C),"Construction of GAC filters to remove PFAS, Upgrade Water Treatment Plant","14,500","$14,667,200.00",40,"$7,392,069,497.00",
19738,Ontario,GORHAM TOWN WATER DISTRICT / Gorham (T),"Town-wide water main replacement, new interconnection between pressure Zones 1 and 2, replace County Road 1 Water Storage Tank, Upgrade Storage, Upgrade Distribution System","4,373","$11,029,000.00",40,"$7,403,098,497.00",
19516,Ontario,CANANDAIGUA (C) / Canandaigua (C),"Rehabilitation of settling basin equipment , New Other Expenses, New Other (OT)","39,239","$1,266,000.00",35,"$7,404,364,497.00",
19292,Ontario,CANANDAIGUA (C) / Canandaigua (C),"Lead Service Line Inventory., Upgrade Distribution System","11,000","$869,300.00",35,"$7,405,233,797.00",
19809,Ontario,TOWN OF CANANDAIGUA WS / Canandaigua (T),"Replacement of Asbestos Cement Pipe transmission main and installation of new surface aspirators., Upgrade Transmission","6,650","$8,520,000.00",30,"$7,413,753,797.00",
19771,Ontario,CANANDAIGUA-FARMINGTON WD / Farmington (T),"Replacement of existing water main along County Road 8., Upgrade Distribution System","15,000","$2,116,979.00",10,"$7,415,870,776.00",
18583,Orange,PINE BUSH WATER DISTRICT / Crawford (T),"Develop new groundwater source, construction of new treatment building and installation of 8,700 ft of water main., New Water Treatment Plant, New Ground Water Source, New Transmission","7,000",$0.00,1085,"$7,415,870,776.00",
19370,Orange,WARWICK (V) / Warwick (V),"Lead Service Line Inventory, Upgrade Distribution System","6,652",$0.00,1045,"$7,415,870,776.00",
18985,Orange,BLOOMING GROVE WD #1-WORLEY HE / South Blooming Grove (V),"Phase 1 Improvements - Two new wells, water main replacement, new pump station, new storage tank, New Ground Water Source, New Storage, New Pump Station, Upgrade Distribution System","1,500","$7,837,762.00",85,"$7,423,708,538.00",
18188,Orange,GOSHEN VILLAGE / Goshen (V),"Replace WTP at Prospect Reservoir, Upgrade Water Treatment Plant","5,676","$6,120,819.00",75,"$7,429,829,357.00",
19365,Orange,NEWBURGH (C) / Newburgh (C),"Lead Service Line Inventory., Upgrade Distribution System","30,000","$968,000.00",70,"$7,430,797,357.00",
19560,Orange,WALTON LAKE ESTATES WD / Chester (T),"Rehabilitation of two existing wells, upgrades to pump and water treatment, and install new raw watermain., New Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",800,"$2,092,500.00",60,"$7,432,889,857.00",
19742,Orange,GREENWOOD LAKE (V) / Greenwood Lake (V),"Greenwood Lake (V) Water System Improvements - Phase II, Upgrade Water Treatment Plant, Upgrade Storage","3,000","$5,017,950.00",60,"$7,437,907,807.00",
19041,Orange,WALLKILL CONSOLIDATED WD #1 / Wallkill (T),"Rykowski Well Field Expansion and Water Treatment Plant Upgrades, Upgrade Water Treatment Plant, New Ground Water Source","18,500","$11,074,560.00",60,"$7,448,982,367.00",
19873,Orange,WASHINGTONVILLE (V) / Washingtonville (V),"New Highgrove well and water treatment facility, New Ground Water Source","5,700","$1,938,300.00",60,"$7,450,920,667.00",
18631,Orange,NEWBURGH (C) / Newburgh (C),"Replacement of filter media and installation of SCADA system., Upgrade Water Treatment Plant","28,866",$0.00,60,"$7,450,920,667.00",
19268,Orange,TAPPAN HILLS WD / Blooming Grove (T),"New Well, storage tank, disinfection for new well, New Water Treatment Plant, New Ground Water Source, Upgrade Storage",450,"$2,000,000.00",60,"$7,452,920,667.00",
18871,Orange,WALLKILL CONSOLIDATED WD / Wallkill (T),"Upgrade GW Sources and Treatment., Upgrade Water Treatment Plant, Upgrade Ground Water Source, New Ground Water Source","15,000","$7,682,997.00",55,"$7,460,603,664.00",
18208,Orange,KIRYAS JOEL VILLAGE / Kiryas Joel (V),"Interconnection NYC Aqueduct, Water Filtration Plant, Transmission main. Related to project DWSRF 16906, New Water Treatment Plant, New Transmission, New Inter-Connection","21,750",$0.00,55,"$7,460,603,664.00",
19040,Orange,MONROE WD NO. 8 / Monroe (T),"Water District No. 8 - New Groundwater Source Development, New Water Treatment Plant, New Ground Water Source",544,"$2,700,000.00",55,"$7,463,303,664.00",
19758,Orange,GOSHEN CONSOLIDATED WD / Goshen (T),"Water System Consolidation and Upgrades, New Water District","1,800","$26,110,000.00",45,"$7,489,413,664.00",
19744,Orange,GOSHEN (T) / Goshen (T),"Creation of Route 17M WD, New Water District","1,250","$11,999,500.00",45,"$7,501,413,164.00",
19033,Orange,TUXEDO PARK (V) / Tuxedo Park (V),"Clearwell upgrades to increase CT, Upgrade Water Treatment Plant","4,600","$57,800.00",45,"$7,501,470,964.00",
19823,Orange,PORT JERVIS WD / Port Jervis (C),"Lead Service Line Replacement., Upgrade Distribution System","1,414","$10,308,852.00",40,"$7,511,779,816.00",
18851,Orange,GREENWOOD LAKE (V) / Greenwood Lake (V),"Village of Greenwood Lake water system improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source","3,000",$0.00,40,"$7,511,779,816.00",
19628,Orange,PORT JERVIS WD / Port Jervis (C),"Lead Service Line Replacement., Upgrade Distribution System",735,"$10,308,112.00",40,"$7,522,087,928.00",
19627,Orange,PORT JERVIS WD / Port Jervis (C),"Lead Service Line Inventory., Upgrade Distribution System","8,775","$1,874,266.00",40,"$7,523,962,194.00",
19605,Orange,NEWBURGH (C) / Newburgh (C),"Lead Service Line Replacement., Upgrade Distribution System",204,"$1,010,000.00",40,"$7,524,972,194.00",
19500,Orange,NEW WINDSOR CONSOLIDATED WD / New Windsor (T),"Upgrade Water Treatment Plant, New Water Treatment Plant, New Storage","29,500","$38,000,000.00",40,"$7,562,972,194.00",
18656,Orange,FLORIDA VILLAGE / Florida (V),"DBP reduction project., Upgrade Water Treatment Plant","2,757",$0.00,40,"$7,562,972,194.00",
18630,Orange,NEWBURGH CITY / Newburgh (C),"Replacement of water meters throughout the City., Upgrade Distribution System","28,000","$2,982,000.00",40,"$7,565,954,194.00",
19749,Orange,OTISVILLE (V) / Otisville (V),"Water Storage and Distribution System Upgrades, Upgrade Storage, New Storage, Upgrade Distribution System","2,169","$14,782,560.00",35,"$7,580,736,754.00",
18801,Orange,MIDDLETOWN (C) / Middletown (C),"Phase 1A - Kinch Pond to Greenville Turnpike Raw Water Main Replacement, Upgrade Transmission","30,452","$8,389,500.00",35,"$7,589,126,254.00",
18203,Orange,MIDDLETOWN (C) / Middletown (C),"Upgrade Storage, New Storage","28,000","$3,800,000.00",35,"$7,592,926,254.00",
19483,Orange,MIDDLETOWN (C) / Middletown (C),"Phase 1B - Greenville Turnpike to Shawangunk Reservoir Raw Water Main Replacement, Upgrade Transmission","30,452","$9,713,930.00",35,"$7,602,640,184.00",
18950,Orange,ARROW PARK WD / Monroe (T),"New well for redundancy, water main replacement, and replacement of the treatment building in-kind, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",831,"$2,740,830.00",30,"$7,605,381,014.00",
19743,Orange,SOUTH BLOOMING GROVE WD #1 / South Blooming Grove (V),"Water main replacement, new tank, and new meters, New Storage, Upgrade Distribution System","3,100","$92,700,000.00",25,"$7,698,081,014.00",
19044,Orange,DENTON HILLS WD / Wawayanda (T),"Denton Hills WD Well House Improvements, Upgrade Water Treatment Plant",130,"$1,815,000.00",25,"$7,699,896,014.00",
18710,Orange,MIDDLETON (C) / Middleton (C),Upgrade Distribution System,"30,000","$4,600,000.00",25,"$7,704,496,014.00",
18935,Orange,WARWICK WATER SYSTEM / Warwick (V),"Water Storage Tank Replacement, Upgrade Storage","6,652","$4,277,000.00",25,"$7,708,773,014.00",
19175,Orange,MIDDLETOWN (C) / Middletown (C),"Phase 2 - Replacement of main between Shawangunk Reservoir to Monhagen Lake, Upgrade Transmission","28,400","$41,411,150.00",25,"$7,750,184,164.00",
19561,Orange,SUGAR LOAF WD / Chester (T),"Installation of water main on Kings Highway and connection and upgrades to a well and pump house, Upgrade Ground Water Source, Upgrade Distribution System","12,574","$3,090,000.00",20,"$7,753,274,164.00",
19089,Orange,CHESTER VILLAGE / Chester (V),"Storage and WTP Improvements, Upgrade Water Treatment Plant, Upgrade Storage","3,448","$1,950,000.00",20,"$7,755,224,164.00",
19020,Orange,TUDEDO PARK (V) / Tuxedo Park (V),"East Village Water Main Replacement, Upgrade Distribution System","1,100","$1,117,500.00",20,"$7,756,341,664.00",
19354,Orange,TUXEDO PARK (V) / Tuxedo Park (V),"Mountain Road Asbestos Water Line Replacement , Upgrade Distribution System","1,100","$1,505,580.00",20,"$7,757,847,244.00",
18615,Orange,NEW WELL SUPPLY: TROUT BROOK WELL FIELD / Woodbury (V),"New Well #11 with treatment at Trout Brook Well Field., New Water Treatment Plant, New Ground Water Source","10,741","$4,739,921.00",20,"$7,762,587,165.00",
19635,Orange,VILLAGE OF GOSHEN / Goshen (V),"Lead Service Line Inventory., Upgrade Distribution System","6,100","$842,478.00",15,"$7,763,429,643.00",
18211,Orange,HIGHLAND FALLS VILLAGE / Highland Falls (V),"Watermain Replacement, Upgrade Distribution System","4,400","$3,700,000.00",15,"$7,767,129,643.00",
19045,Orange,WOODBURY CONS. W.D. / Woodbury (V),"Trout Brook Well New Raw Water Transmission Main, New Transmission","10,105","$233,600.00",15,"$7,767,363,243.00",
19043,Orange,ARLUCK WATER DISTRICT / Wawayanda (T),"Interconnection between Arluck Water District and Denton Hills Water District, New Ground Water Source, New Inter-Connection",118,"$2,634,000.00",15,"$7,769,997,243.00",
19030,Orange,NEWBURGH CONSOLIDATED WD / Newburgh (T),"Colden Park Water Main Replacement, Upgrade Distribution System","22,800","$4,946,250.00",15,"$7,774,943,493.00",
19021,Orange,TUXEDO PARK (V) / Tuxedo Park (V),"Tuxedo Lake Water Main Replacement, Upgrade Distribution System","1,100","$959,700.00",15,"$7,775,903,193.00",
19016,Orange,CORNWALL-ON-HUDSON / Cornwall-on-Hudson (V),"Mill Street Water Main Replacement, Upgrade Distribution System","9,300","$231,750.00",15,"$7,776,134,943.00",
19439,Orange,MONROE (T) / Monroe (T),"Lead Service Line Inventory, Upgrade Distribution System","1,500","$91,250.00",15,"$7,776,226,193.00",
18992,Orange,HARRIMAN VILLAGE / Harriman (V),"New Berwynn Road Booster Pump Station, New Pump Station","4,500","$526,500.00",15,"$7,776,752,693.00",
19386,Orange,NEWBURGH CWD / Newburgh (T),"Lead Service Line Inventory, Upgrade Distribution System","23,000","$374,525.00",15,"$7,777,127,218.00",
19381,Orange,FIRTHCLIFFE HEIGHTS WD / Cornwall (T),"Lead Service Line Inventory, Upgrade Distribution System",460,"$59,625.00",15,"$7,777,186,843.00",
19378,Orange,WOODBURY CONS. W.D. / Woodbury (V),"Lead Service Line Inventory, Upgrade Distribution System","10,105","$4,894,400.00",15,"$7,782,081,243.00",
18951,Orange,MONROE WD NO. 14 / Monroe (T),"WD 14. Replace 5,180 LF of water main. New well for redundancy., New Ground Water Source, Upgrade Distribution System",196,"$1,951,500.00",15,"$7,784,032,743.00",
19329,Orange,NEW WINDSOR CWD / New Windsor (T),"Lead Service Line Inventory, Upgrade Distribution System","29,500","$275,000.00",15,"$7,784,307,743.00",
19872,Orange,UNIONVILLE (V) / Unionville (V),"Water Storage Tank Rehabilitation, Upgrade Storage",670,"$1,147,000.00",15,"$7,785,454,743.00",
19712,Orange,CORNWALL-ON-HUDSON (V) / Cornwall-On-Hudson (V),"Jackson Ave GAC filtration for PFAS Removal, Upgrade Water Treatment Plant","9,500","$2,471,600.00",15,"$7,787,926,343.00",
19255,Orange,MAYBROOK (V) / Maybrook (V),"Prospect Ave Water Storage Tank Replacement, Upgrade Storage","3,183","$1,352,400.00",15,"$7,789,278,743.00",
19729,Orange,HIGHLAND FALLS (V) / Highland Falls (V),"Ondaora and Cragston Water Main Replacement, New Distribution System","3,900","$3,400,000.00",10,"$7,792,678,743.00",
19156,Orange,WALLKILL CONSOLIDATED WD / Wallkill (T),"Replacement of outdated meters with smart meters, Upgrade Distribution System","15,000","$6,530,052.00",10,"$7,799,208,795.00",
19585,Orange,EASTERN ORANGE COUNTY PIPELINE / Kiryas Joel (V),"Delaware Aqueduct connection, New Transmission","89,563","$180,971,000.00",10,"$7,980,179,795.00",
19028,Orange,MONROE VILLAGE / Monroe (V),"Stage Road Water Main Replacement, Upgrade Distribution System","8,892","$744,700.00",10,"$7,980,924,495.00",
19022,Orange,TUXEDO PARK (V) / Tuxedo Park (V),"Town of Tuxedo Master Meter Relocation, Upgrade Distribution System","4,600","$46,400.00",10,"$7,980,970,895.00",
19017,Orange,CORNWALL-ON-HUDSON / Cornwall-on-Hudson (V),"Chestnut Street Water Main Replacement, Upgrade Distribution System","9,300","$247,200.00",10,"$7,981,218,095.00",
19804,Orleans,BARRE (T) WD NO. 10 / Barre (T),"New WD No. 10, New Water District",75,"$2,708,000.00",70,"$7,983,926,095.00",
19025,Orleans,ALBION VILLAGE / Albion (V),"Phase 2A and 2B WTP Improvements, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","6,000","$7,855,059.00",60,"$7,991,781,154.00",
18759,Orleans,ALBION VILLAGE / Albion (V),"Improvements to the existing WTP, and pump station, and replacment of aged transmission main., Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Pump Station","6,000",$0.00,50,"$7,991,781,154.00",
19540,Orleans,MEDINA (V) / Medina (V),"Ph I Upgrade on WM, Booster Pump, SCADA and Storage, Upgrade Distribution System","6,050","$12,025,250.00",45,"$8,003,806,404.00",
18414,Orleans,HOLLEY VILLAGE / Holley (V),"Upgrade Storage, Upgrade Distribution System","2,150",$0.00,35,"$8,003,806,404.00",
18181,Oswego,ORWELL WD / Orwell (T),"New Source to Address Source Capacitiy Violation., Upgrade Ground Water Source",150,$0.00,1155,"$8,003,806,404.00",
18351,Oswego,SANDY CREEK WD3/RICHLAND WD 5 / Sandy Creek (T),"Consolidates 7 regulated PWSs, Upgrade Ground Water Source, New Transmission, New Distribution System","2,600","$3,000,000.00",1125,"$8,006,806,404.00",
18376,Oswego,OSWEGO RT 11 NORTH/FULLER RD WD PHASE E / Hastings (T) New Distribution System,Oswego RT 11 NORTH/FULLER RD WD PHASE E / Hastings (T) New Distribution System,"1,500",$0.00,1095,"$8,006,806,404.00",
19796,Oswego,"TOWN OF SCHROEPPEL SOUTH WD / Schroeppel (T) New South Water District., New Water District","Oswego TOWN OF SCHROEPPEL SOUTH WD / Schroeppel (T) New South Water District., New Water District","1,700","$25,450,000.00",115,"$8,032,256,404.00",
18818,Oswego,"MT PLEASANT, BATEMAN, DISTIN SERVICE AR / Volney (T) Mt Pleasant, Bateman, and Disitn Roads Water Service Area Extension., New Distribution System","Oswego MT PLEASANT, BATEMAN, DISTIN SERVICE AR / Volney (T) Mt Pleasant, Bateman, and Disitn Roads Water Service Area Extension., New Distribution System","2,800","$1,356,000.00",80,"$8,033,612,404.00",
18910,Oswego,"VOLNEY TOWN WD / Volney (T) County Rt. 6 / Maple Ave Water Service Area Extension., New Distribution System","Oswego VOLNEY TOWN WD / Volney (T) County Rt. 6 / Maple Ave Water Service Area Extension., New Distribution System","1,085","$710,365.00",80,"$8,034,322,769.00",
18928,Oswego,"PULASKI VILLAGE / Pulaski (V) Replacement of aged and deteorating water main, Upgrade Distribution System","Oswego PULASKI VILLAGE / Pulaski (V) Replacement of aged and deteorating water main, Upgrade Distribution System",900,"$11,962,000.00",65,"$8,046,284,769.00",
18932,Oswego,"COUNTY RT. 57 / HUNTLEY RD WATER DISTRICT / Schroeppel (T) County Route 57 / Huntley Road Water District., New Distribution System","Oswego COUNTY RT. 57 / HUNTLEY RD WATER DISTRICT / Schroeppel (T) County Route 57 / Huntley Road Water District., New Distribution System",253,"$4,903,800.00",60,"$8,051,188,569.00",
18930,Oswego,"WATER SERVICE AREA #6 / Mexico (T) Provide public water to Water Service Area #6, New Distribution System","Oswego WATER SERVICE AREA #6 / Mexico (T) Provide public water to Water Service Area #6, New Distribution System",479,"$5,465,000.00",60,"$8,056,653,569.00",
18282,Oswego,"CLEVELAND VILLAGE / Cleveland (V) Storage & Transmission Upgrades., New Ground Water Source, Upgrade Storage, Upgrade Distribution System","Oswego CLEVELAND VILLAGE / Cleveland (V) Storage & Transmission Upgrades., New Ground Water Source, Upgrade Storage, Upgrade Distribution System",925,$0.00,60,"$8,056,653,569.00",
19515,Oswego,"OSWEGO (C) / Oswego (C) Ellen St. and Gardiner Hill HSZ Interconnect, and rehab Gardiner Hill Tank, Upgrade Storage, Upgrade Distribution System","Oswego OSWEGO (C) / Oswego (C) Ellen St. and Gardiner Hill HSZ Interconnect, and rehab Gardiner Hill Tank, Upgrade Storage, Upgrade Distribution System","1,700","$11,200,000.00",55,"$8,067,853,569.00",
19188,Oswego,"TOWN OF CONSTANTIA WD NO. 3 / Constantia (T) Water District 3 formation w/ new DI mains,valves and services, New Water District","Oswego TOWN OF CONSTANTIA WD NO. 3 / Constantia (T) Water District 3 formation w/ new DI mains,valves and services, New Water District","1,400","$3,230,080.00",55,"$8,071,083,649.00",
19533,Oswego,"PARISH (V) / Parish (V) New Village Municipal Water System, New Water District","Oswego PARISH (V) / Parish (V) New Village Municipal Water System, New Water District",534,"$13,047,010.00",50,"$8,084,130,659.00",
18428,Oswego,"OSWEGO (C) / Oswego (C) McCaffrey WTP Upgrades., Upgrade Water Treatment Plant","Oswego OSWEGO (C) / Oswego (C) McCaffrey WTP Upgrades., Upgrade Water Treatment Plant","18,142","$750,000.00",50,"$8,084,880,659.00",
19123,Oswego,"MEXICO (V) / Mexico (V) Phase 2 Distribution Main Replacement and Source Upgrades, Upgrade Ground Water Source, Upgrade Distribution System","Oswego MEXICO (V) / Mexico (V) Phase 2 Distribution Main Replacement and Source Upgrades, Upgrade Ground Water Source, Upgrade Distribution System","1,085","$12,000,000.00",45,"$8,096,880,659.00",
19622,Oswego,"OSWEGO (C) / Oswego (C) Lead Service Line Replacement, Upgrade Distribution System","Oswego OSWEGO (C) / Oswego (C) Lead Service Line Replacement, Upgrade Distribution System","1,461","$6,096,000.00",40,"$8,102,976,659.00",
17987,Otsego,"SOUTHSIDE WATER DISTRICT NO. 6 / Oneonta (T) Southside Water District No. 6., New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District","Otsego SOUTHSIDE WATER DISTRICT NO. 6 / Oneonta (T) Southside Water District No. 6., New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District","1,569","$500,000.00",1140,"$8,103,476,659.00",
17976,Otsego,"SOUTHSIDE WATER DISTRICT NO. 5 / Oneonta (T) Southside Water District No. 5. , New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District","Otsego SOUTHSIDE WATER DISTRICT NO. 5 / Oneonta (T) Southside Water District No. 5. , New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District","1,570","$1,000,000.00",1135,"$8,104,476,659.00",
19433,Otsego,"ONEONTA (C) / Oneonta (C) Lead service line inventory., Upgrade Distribution System","Otsego ONEONTA (C) / Oneonta (C) Lead service line inventory., Upgrade Distribution System","16,000",$0.00,1040,"$8,104,476,659.00",
18846,Otsego,"RICHFIELD SPRINGS (V) / Richfield Springs (V) Address SWTR Compliance and DBPs, SCADA/electrical upgrades, Distribution replacement and looping, Upgrade Water Treatment Plant, New Pump Station, New Distribution System","Otsego RICHFIELD SPRINGS (V) / Richfield Springs (V) Address SWTR Compliance and DBPs, SCADA/electrical upgrades, Distribution replacement and looping, Upgrade Water Treatment Plant, New Pump Station, New Distribution System","1,500","$20,680,000.00",200,"$8,125,156,659.00",
17093,Otsego,"HARTWICK WATER DISTRICT / Hartwick (T) New Ground Water Source, Upgrade Storage, Upgrade Distribution System","Otsego HARTWICK WATER DISTRICT / Hartwick (T) New Ground Water Source, Upgrade Storage, Upgrade Distribution System",416,"$3,760,078.00",95,"$8,128,916,737.00",
18197,Otsego,"ONEONTA CITY / Oneonta (C) WTP, Distribution, and Storage Upgrades., Upgrade Water Treatment Plant, New Storage","Otsego ONEONTA CITY / Oneonta (C) WTP, Distribution, and Storage Upgrades., Upgrade Water Treatment Plant, New Storage","15,779","$8,072,625.00",85,"$8,136,989,362.00",
18958,Otsego,"VILLAGE OF OTEGO /Otego (V) GW Source Development, WTP Resiliency, AC Pipe Replacement, Booster Station Replacement., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","Otsego VILLAGE OF OTEGO / Otego (V) GW Source Development, WTP Resiliency, AC Pipe Replacement, Booster Station Replacement., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,010","$6,899,315.00",65,"$8,143,888,677.00",
18814,Otsego,"EDMESTON (T) / Edmeston (T) Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Distribution System","Otsego EDMESTON (T) / Edmeston (T) Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Distribution System",900,"$9,647,000.00",55,"$8,153,535,677.00",
19153,Otsego,"ONEONTA (C) / Oneonta (C) Distribution and Storage Improvements, Upgrade Storage, Upgrade Distribution System","Otsego ONEONTA (C) / Oneonta (C) Distribution and Storage Improvements, Upgrade Storage, Upgrade Distribution System","16,000","$12,525,830.00",45,"$8,166,061,507.00",
19444,Otsego,"EDMESTON (T) / Edmeston (T) LeadsService line inventory., Upgrade Distribution System","Otsego EDMESTON (T) / Edmeston (T) LeadsService line inventory., Upgrade Distribution System",900,"$359,200.00",30,"$8,166,420,707.00",
19620,Otsego,"ONEONTA (C) / Oneonta (C) Lead Service Line Replacement, Upgrade Distribution System","Otsego ONEONTA (C) / Oneonta (C) Lead Service Line Replacement, Upgrade Distribution System","16,000","$2,100,000.00",25,"$8,168,520,707.00",
19568,Putnam,"KENT WD NO. 1 AND 2 /Kent (T) Installation of Ion Exchange to remove PFAS, Upgrade Water Treatment Plant","Putnam KENT WD NO. 1 AND 2 / Kent (T) Installation of Ion Exchange to remove PFAS, Upgrade Water Treatment Plant",480,"$1,004,000.00",55,"$8,169,524,707.00",
19496,Putnam,"STARR RIDGE MANOR / Southeast (T) Starr Ridge - Installation of GAC treatment to address PFAS contamination, Upgrade Water Treatment Plant","Putnam STARR RIDGE MANOR / Southeast (T) Starr Ridge - Installation of GAC treatment to address PFAS contamination, Upgrade Water Treatment Plant",295,"$3,000,000.00",55,"$8,172,524,707.00",
19495,Putnam,"BIRCH HILL ACRES / Southeast (T) Birch Hill Acres - Installation of GAC treatment to address PFAS contamination, Upgrade Water Treatment Plant","Putnam BIRCH HILL ACRES / Southeast (T) Birch Hill Acres - Installation of GAC treatment to address PFAS contamination, Upgrade Water Treatment Plant",60,"$3,000,000.00",55,"$8,175,524,707.00",
19754,Putnam,"KENT WD NO. 1 AND 2 / Kent (T) Two new wells, storage tank replacement, and service connection relocation to increase CT, New Ground Water Source, Upgrade Storage, Upgrade Distribution System","Putnam KENT WD NO. 1 AND 2 / Kent (T) Two new wells, storage tank replacement, and service connection relocation to increase CT, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",480,"$1,478,300.00",25,"$8,177,003,007.00",
19566,Putnam,"COLD SPRING (V) / Cold Spring (V) Phillipstown Upper Dam Rehabilitation, Upgrade Surface Water Source","Putnam COLD SPRING (V) / Cold Spring (V) Phillipstown Upper Dam Rehabilitation, Upgrade Surface Water Source","2,800","$7,749,000.00",5,"$8,184,752,007.00",
18584,Rensselaer,"BERLIN WATER DISTRICT # 2 / Berlin (T) Replace Storage. Upgrade Well Pumps and System Controls., Upgrade Ground Water Source, Upgrade Storage","Rensselaer BERLIN WATER DISTRICT # 2 / Berlin (T) Replace Storage. Upgrade Well Pumps and System Controls., Upgrade Ground Water Source, Upgrade Storage",700,$0.00,1070,"$8,184,752,007.00",
19287,Rensselaer,"TROY (C) / Troy (C) Lead service line inventory., Upgrade Distribution System","Rensselaer TROY (C) / Troy (C) Lead service line inventory., Upgrade Distribution System","51,400",$0.00,1070,"$8,184,752,007.00",
