Project #,County,System Name / Borrower,Description,Population,Project Cost,Score,Cumulative Total,emmali_notes,codes_if_scraped
16069,Suffolk,RIVERHEAD WD / Riverhead (T),"Construction of Replacement Production Well, Upgrade Water Treatment Plant, Upgrade Ground Water Source","28,000","$2,754,000.00",50,"$2,063,173,566.00",,
18058,Ulster,KINGSTON (CITY) WATER DISTRICT / Kingston (C),"Replacement of Mink Hollow Raw Water Intake, Upgrade Other Expenses, Upgrade Other (OT)","24,000",$0.00,50,"$2,063,173,566.00",,
18906,Wyoming,ARCADE VILLAGE / Arcade (V),"Hamlet of Sandusky Water System Improvements., Upgrade Storage, Upgrade Distribution System","2,400","$4,617,490.00",50,"$2,067,791,056.00",,
19253,Franklin,CHATEAUGAY (V) / Chateaugay (T),"Replacing spring house with new wells, water meters, and distribution work., New Ground Water Source, Upgrade Distribution System","1,100","$22,911,278.00",50,"$2,090,702,334.00",,
19379,Delaware,ANDES (T) / Andes (T),"Installation of two wells, new treatment process, connection to distribution system, line existing reservoir, Upgrade Water Treatment Plant, Upgrade Surface Water Source, New Ground Water Source",350,"$2,588,550.00",50,"$2,093,290,884.00",,
18706,Onondaga,SYRACUSE CITY / Syracuse (C),"Intake No. 2 Extension., Upgrade Surface Water Source","192,000","$14,011,500.00",50,"$2,107,302,384.00",,
18294,Niagara,LOCKPORT (C) / Lockport (C),Upgrade Transmission,"21,165",$0.00,50,"$2,107,302,384.00",,
18428,Oswego,OSWEGO (C) / Oswego (C),"McCaffrey WTP Upgrades., Upgrade Water Treatment Plant","18,142","$750,000.00",50,"$2,108,052,384.00",,
19519,Yates,PENN YAN (V) / Penn Yan (V),"Upgrades to WTP to improve water quality and system reliability, Upgrade Water Treatment Plant, Upgrade Storage","8,159","$5,610,000.00",50,"$2,113,662,384.00",,
18759,Orleans,ALBION VILLAGE / Albion (V),"Improvements to the existing WTP, and pump station, and replacment of aged transmission main., Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Pump Station","6,000",$0.00,50,"$2,113,662,384.00",,
18820,Steuben,BATH (V) / Bath (V),"W. Washington, Liberty, Geneva, W. Morris St, E Steuben Distribution Improvements, Upgrade Distribution System","5,500",$0.00,50,"$2,113,662,384.00",,
19805,Saratoga,SOUTH GLENS FALLS (V) / South Glens Falls (V),"Replacement of aged water main along Ferry Boulevard, Upgrade Distribution System","3,744","$1,000,000.00",50,"$2,114,662,384.00",,
19834,Chautauqua,WESTFILED (V) / Westfield (V),"Westfiled (V) Distribution System Improvements, New Distribution System","2,683","$8,795,400.00",50,"$2,123,457,784.00",,
18565,Steuben,CANISTEO VILLAGE / Canisteo (V),"Replace critical sections of the water main within the Village's distribution system, and upgrades to stroage tank and meters., Upgrade Storage, Upgrade Distribution System","2,320",$0.00,50,"$2,123,457,784.00",,
18412,Montgomery,CANAJOHARIE (V) WATER WORKS / Canajoharie (V),"Storage tank replacement; storage tank rehabilitation; distribution upgrades, New Storage, Upgrade Storage, Upgrade Distribution System","2,300",$0.00,50,"$2,123,457,784.00",,
18206,CORTLAND (C),Cortland (C),Distribution System Upgrade,"20,095","$2,009,463.00",50,"$2,125,467,247.00","<- page 23, last digits of cumulative cost got combined with score, had to split in googlesheets but this should be correct",
19488,GLOVERSVILLE (C),Gloversville (C),"Water Meter Replacement, Upgrade Other Expenses","15,300","$1,350,000.00",50,"$2,126,817,247.00",,
19835,PARMA (T),Parma (T),New Distribution System,213,"$3,435,037.00",50,"$2,130,252,284.00",,
18671,HEMPSTEAD (V),Hempstead (V),"1,4-dioxane Treatment at Laurel Ave Plant (Well Nos. 7 and 9)","56,000","$6,263,074.00",50,"$2,136,515,358.00",,
19136,BETHANY (T),Bethany (T),New Water District,"1,000","$20,040,000.00",50,"$2,156,555,358.00",,
19533,PARISH (V),Parish (V),New Village Municipal Water System,534,"$13,047,010.00",50,"$2,169,602,368.00",,
17058,HOUNSFIELD (T),Hounsfield WD 2,Extend Distribution System,500,"$794,439.00",50,"$2,170,396,807.00",,
19193,BENTON (T),Town of Benton WD No.6,New Water District,450,"$26,889,000.00",50,"$2,197,285,807.00",,
18859,SULLIVAN (T),Whitelaw WD,"Extend water service to areas served by private wells, New Water District",180,"$5,960,000.00",50,"$2,203,245,807.00",,
19074,BRUTUS (T),WD No. 11,New Water District,116,"$1,430,000.00",50,"$2,204,675,807.00",,
19425,ILION (V),Ilion (V) WATER WORKS,"Lead service line inventory, Upgrade Distribution System","7,646","$1,077,380.00",45,"$2,205,753,187.00",,BLSLR
19426,ILION (V),Ilion (V) WATER WORKS,"Lead service line replacement, Upgrade Distribution System","7,646","$4,071,590.00",45,"$2,209,824,777.00",,BLSLR
19423,HERKIMER (V),Herkimer (V),"Lead service line inventory, Upgrade Distribution System","7,500","$801,340.00",45,"$2,210,626,117.00",,BLSLR
19424,HERKIMER (V),Herkimer (V),"Lead service line replacement, Upgrade Distribution System","7,500","$13,208,720.00",45,"$2,223,834,837.00",,BLSLR
18918,RHINEBECK (V),Rhinebeck (V) Water,"Upgrade Water Treatment Plant, Upgrade Storage","4,300",$0.00,45,"$2,223,834,837.00",,FMP
19159,SACKETS HARBOR (V),Sackets Harbor (V),"Watermain Replacement, Upgrade Distribution System","1,503","$3,190,000.00",45,"$2,227,024,837.00",,
19131,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Rehabilitation of Filters 1 through 4 - Van de Water WTP, Upgrade Water Treatment Plant","180,000","$28,706,700.00",45,"$2,255,731,537.00",,
18458,FORT EDWARD (V),Fort Edward (V),"Hill Storage Tank Replacement, Upgrade Pump Station, Upgrade Distribution System","3,150",$0.00,45,"$2,255,731,537.00",,FMP
19555,SCHUYLERVILLE-VICTORY WB,Schuylerville-Victory WB,"Joint Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System","2,200","$9,187,900.00",45,"$2,264,919,437.00",,
19764,ROCKLAND (T),Roscoe-Rockland WD,"New wells, treatment, and main replacement, New Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",500,"$8,300,000.00",45,"$2,273,219,437.00",,
19118,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Replacement of the Van de Water Raw Water Pumping System, Upgrade Pump Station","180,000","$14,280,000.00",45,"$2,287,499,437.00",,
18572,COHOES (C),Cohoes (C),"WTP Improvements Phase I, Upgrade Water Treatment Plant","15,550","$9,609,256.00",45,"$2,297,108,693.00",,
18984,COHOES (C),Cohoes (C),"Phase 2 WTP Upgrades, Upgrade Water Treatment Plant","15,550","$9,738,811.00",45,"$2,306,847,504.00",,
18927,ADAMS (V),Adams (V),"Water main and water meter replacement, Upgrade Distribution System","3,300","$6,162,490.00",45,"$2,313,009,994.00",,
19186,TRUMANSBURG (V),Trumansburg (V),"Village-Wide Storage, Treatment, and Pump Station Upgrades, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","2,300","$3,884,000.00",45,"$2,316,893,994.00",,
18175,SACKETS HARBOR (V),Sackets Harbor (V),"Replace existing intake piping and crib, Upgrade Surface Water Source, Upgrade Transmission","1,300",$0.00,45,"$2,316,893,994.00",,FMP
19514,EDWARDS (T),Town of Edwards WD No.1,"Well No.2 Improvements, Upgrade Surface Water Source",465,"$800,000.00",45,"$2,317,693,994.00",,
18913,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Replacement of Solvay Potable Water Pump Station, New Pump Station","340,000","$2,640,000.00",45,"$2,320,333,994.00",,
18929,MOHAWK VALLEY WATER AUTHORITY,MVWA,"Hanger Zone Tank Reconfiguration and main replacement, New Storage, Upgrade Storage, Upgrade Distribution System","130,000","$14,700,000.00",45,"$2,335,033,994.00",,
18997,HICKSVILLE WD,Hicksville Water District,"Plant No. 6 - AOP/GAC treatment for 1,4-dioxane and PFOA/PFOS removal, Upgrade Water Treatment Plant","47,810",$0.00,45,"$2,335,033,994.00",,BEC
18507,KINGSTON (C),Kingston (C) Water District,"Phase 2 transmission main and SCADA rehabilitation, Upgrade Transmission, Upgrade Distribution System","24,000",$0.00,45,"$2,335,033,994.00",,FMP
19153,ONEONTA (C),Oneonta (C),"Distribution and Storage Improvements, Upgrade Storage, Upgrade Distribution System","16,000","$12,525,830.00",45,"$2,347,559,824.00",,
19278,GLOVERSVILLE (C),Gloversville (C) WATER WORKS,"New Transmission Main and upgrades to the distribution system, New Transmission, Upgrade Distribution System","15,300","$5,309,551.00",45,"$2,352,869,375.00",,FMP
18767,HORSEHEADS (V),Horseheads (V),"Upgrade water mains and appurtenances, Upgrade Distribution System","11,530",$0.00,45,"$2,352,869,375.00",,FMP
18830,WAPPINGERS FALLS (V),Wappingers Falls (V),"Interconnection between Wappingers Falls (V) and Wappinger (T), New Inter-Connection","5,522","$1,440,252.00",45,"$2,354,309,627.00",,
19882,CORINTH (V),Corinth (V),"WTP Upgrades, WM Replacement, Upgrade Water Treatment Plant, Upgrade Distribution System","3,000","$14,996,000.00",45,"$2,369,305,627.00",,
19123,MEXICO (V),Mexico (V),"Phase 2 Distribution Main Replacement and Source Upgrades, Upgrade Ground Water Source, Upgrade Distribution System","1,085","$12,000,000.00",45,"$2,381,305,627.00",,
19505,MARGARETVILLE (V),Margaretville (V),"Hospital Tank replacement, meters, control system upgrades, Upgrade Storage, Upgrade Distribution System",514,"$1,508,801.00",45,"$2,382,814,428.00",,
18543,SYRACUSE (C),Syracuse (C),"Repalce chlorine gas systems with NaOCl, Upgrade Water Treatment Plant","192,000","$3,543,200.00",45,"$2,386,357,628.00",,
18559,SYRACUSE (C),Syracuse (C),"One of the three transmission conduits is to have sections replaced, Upgrade Transmission","192,000","$1,671,175.00",45,"$2,388,028,803.00",,
19166,SYRACUSE (C),Syracuse (C),"PRV Replacement Project, Upgrade Other Expenses","192,000","$746,750.00",45,"$2,388,775,553.00",,
19273,SCHENECTADY (C),Schenectady (C),"Phase 2 Rice Road WTP Improvements, Upgrade Water Treatment Plant","60,000","$8,221,460.00",45,"$2,396,997,134.00",,
19126,DEVELOPMENT AUTH OF NORTH COUNTRY,DANC,"Army Water Line Replacement - Phase 1, Upgrade Transmission","40,237",$0.00,45,"$2,396,997,134.00",,FMP
19826,GENEVA (C),Geneva (C),"Filtration upgrade at water treatment plant, Upgrade Water Treatment Plant","14,500","$14,667,200.00",45,"$2,411,664,213.00",,
19540,MEDINA (V),Medina (V),"Ph I Upgrade on WM, Booster Pump, SCADA and Storage, Upgrade Distribution System","6,050","$12,025,250.00",45,"$2,423,689,463.00",,
19432,BATH (V),Bath (V),"Replacement of Mt. Washington tank and Maple Heights tank, Upgrade Storage, Upgrade Distribution System","5,500","$8,500,000.00",45,"$2,432,189,463.00",,
18216,WALTON (V),Walton (V),"Replace two tanks and aged mains, Upgrade Storage, Upgrade Distribution System","3,026",$0.00,45,"$2,432,189,463.00",,FMP
19528,PAMELIA (T),Pamelia Consolidated WD No. 1,"Water Main Replacement and Chlorine Booster Station, Upgrade Distribution System, Upgrade Other Expenses","2,350","$8,786,000.00",45,"$2,440,975,463.00",,FMP
17882,BROADALBAN (V),Broadalban (V),"Replace Aged Storage Tank, New Storage","1,500","$3,000,000.00",45,"$2,443,975,463.00",,
19542,DEXTER (V),Dexter (V),"Route 180 Water Line Replacement, Upgrade Distribution System","1,004","$3,071,975.00",45,"$2,447,047,438.00",,
18536,DCWWA,Pinebrook Estates,"Interconnection to DCWWA Hyde Park System, New Distribution System, New Inter-Connection",200,"$3,489,161.00",45,"$2,450,536,599.00",,
19546,GENESEO (T),Geneseo (T),"Legacy WM Replacement, Upgrade Distribution System",108,"$3,708,000.00",45,"$2,454,244,599.00",,
18909,CORTLAND (C),Cortland (C),"Homer Ave Reconstruction & Water Main Replacement Project, Upgrade Distribution System","21,859","$11,661,120.00",45,"$2,465,905,719.00",,
18234,MASSENA (T),Massena (T),"East Massena WD Improvements, Upgrade Distribution System",600,"$3,055,500.00",45,"$2,468,961,219.00",,
18971,RIVERHEAD (T),Riverhead WD,"WD Extensions - Manorville due to MTBE, PFOA, PFOS, and Fe/Mn contamination in private wells, Extend Distribution System, Extend Water District","28,000","$12,877,000.00",45,"$2,481,838,219.00",,BEC
19493,QUEENSBURY (T),Queensbury Water District,"Extension to Jenkinsville to serve private wells contaminated with 1,4-Dioxane, New Distribution System",425,"$7,316,272.00",45,"$2,489,154,491.00",,
19829,CLIFTON PARK (T),Clifton Park (T),"Extension of Water Main to serve new service area, Extend Water District",280,"$3,370,000.00",45,"$2,492,524,491.00",,
18604,BEEKMANTOWN (T),Beekmantown Water District,"New Public Water System, New Complete System",250,"$6,862,378.00",45,"$2,499,386,869.00",,
18972,RIVERHEAD (T),Riverhead WD,"WD Extension Nos. 95 & 96 - Calverton, Extend Distribution System, Extend Water District",190,"$12,178,000.00",45,"$2,511,564,869.00",,BEC
19284,ONONDAGA (T),Bussey and Norton Roads WD Extension,"Bussey and Norton Roads Consilidated Water Supply District Extension, New Water District",156,"$2,531,311.00",45,"$2,514,096,180.00",,
19674,SMITHTOWN (T),Smithtown Water District,"Extension of water district to serve PFAS contaminated private wells, Extend Distribution System",91,"$1,426,000.00",45,"$2,515,522,180.00",,
19199,THROOP (T),Throop (T) WD #2,"Water District #2 - Centerport, Reyer, and Sine Rd, New Water District",66,"$1,250,000.00",45,"$2,516,772,180.00",,
18851,GREENWOOD LAKE (V),Greenwood Lake (V),"Village of Greenwood Lake water system improvements, Upgrade Water Treatment Plant, Upgrade Ground Water Source","3,000",$0.00,40,"$2,516,772,180.00",,FMP
18656,FLORIDA (V),Florida (V),"DBP reduction project, Upgrade Water Treatment Plant","2,757",$0.00,40,"$2,516,772,180.00",,FMP
19259,ROTTERDAM (T),Rotterdam (T),"WD #5 High Priority Improvements, New Ground Water Source, Upgrade Distribution System","30,523","$34,917,000.00",40,"$2,551,689,180.00",,EQ
18940,LOUISVILLE (T),East Louisville Water District,"WTP Upgrade, Upgrade Water Treatment Plant, New Water Treatment Plant","1,200","$2,082,625.00",40,"$2,553,771,805.00",,
19738,GORHAM (T),Gorham Town Water District,"Town-wide water main replacement, new interconnection, replace Storage Tank, Upgrade Storage, Upgrade Distribution System","4,373","$11,029,000.00",40,"$2,564,800,805.00",,
19155,RAVENA (V),Ravena (V),"Phase 2 Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,271","$7,428,000.00",40,"$2,572,228,805.00",,
18884,HOUNSFIELD (T),Hounsfield Water System,"NYS Rt 3 Corridor Upgrades, New Transmission, Upgrade Transmission, Upgrade Storage, Upgrade Distribution System","1,250",$0.00,40,"$2,572,228,805.00",,FMP
19191,LOCKE (T),Locke WD,"New storage tank and well & Telemetry Upgrades, New Ground Water Source, New Storage",600,"$3,416,049.00",40,"$2,575,644,854.00",,
19108,HOOSICK FALLS (V),Hoosick Falls (V),"Rogers Ave Tank replaement, watermain replacement and LSL replacement, Upgrade Storage, Upgrade Distribution System","4,500","$7,000,000.00",40,"$2,582,644,854.00",,
19187,AMENIA (T),Amenia WD #1,"Water District No. 1 Improvements, New Ground Water Source, New Storage, New Distribution System","1,010","$13,338,500.00",40,"$2,595,983,354.00",,
19035,FORT ANN (V),Fort Ann (V),"Halfway Brook Transmission Main Replacement, Upgrade Transmission",460,"$380,000.00",40,"$2,596,363,354.00",,
18421,MONROE COUNTY WATER AUTHORITY,Monroe County Water Authority,Upgrade Water Treatment Plant,"650,000","$3,000,000.00",40,"$2,599,363,354.00",,
19137,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Sturgeon Point WTP Washwater Tank Replacement, New Water Treatment Plant","479,000","$3,744,250.00",40,"$2,603,107,604.00",,
19117,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Replacement of the Van de Water High Service Pump System, Upgrade Pump Station","180,000","$46,440,000.00",40,"$2,649,547,604.00",,
19091,PEEKSKILL (C),Peekskill (C),"Storage Tank and Water Main Replacement, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","24,075","$5,000,000.00",40,"$2,654,547,604.00",,
18829,ONEIDA (C),Oneida (C),"Construction of a new clear well, and rehab existing clear well, Upgrade Storage","20,516","$3,357,800.00",40,"$2,657,905,404.00",,
19143,CLAYTON (V),Clayton (V),"Water Main Replacement and New Raw Water Intake Line and Screen, Upgrade Distribution System","2,732","$8,481,020.00",40,"$2,666,386,424.00",,
19579,SLEEPY HOLLOW LAKE WATER COMPANY,Sleepy Hollow Lake APO,"Sleepy Hollow Lake WTP Upgrades, Upgrade Water Treatment Plant","2,460","$8,376,498.00",40,"$2,674,762,922.00",,
18554,AFTON (V),Afton (V),"Replace water storage tank, upgrade spring source booster pump station, upgrade well control building, water main replacement, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","1,000","$6,995,000.00",40,"$2,681,757,922.00",,
18834,POLAND (V),Polland (V),"Well and Treatment Improvements, Upgrade Other Expenses, Upgrade Ground Water Source, Upgrade Transmission, Upgrade Pump Station",463,"$1,400,000.00",40,"$2,683,157,922.00",,
18335,MOHAWK VALLEY WATER AUTHORITY,MVWA,"Toby Road Tank 3, New Storage","130,000","$19,100,000.00",40,"$2,702,257,922.00",,
19127,ALBANY (C),Albany MWFA,"Basic Creek Reservoir Dam Safety Improvements, Upgrade Surface Water Source","101,082","$8,605,000.00",40,"$2,710,862,922.00",,
19157,Albany (C),Albany MWFA,"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$9,746,301.00",40,"$2,720,609,223.00",<- page 29,
19558,Albany (C),Albany MWFA,"Rensselaer Lake Dam Safety Improvements, Upgrade Surface Water Source","98,000","$8,003,000.00",40,"$2,728,612,223.00",,
19727,Suffolk,South Huntington WD,"Plant No. 15 - 1,4-dioxane removal via AOP, Upgrade Water Treatment Plant","81,760","$7,700,000.00",40,"$2,736,312,223.00",,
19004,Nassau,Jericho WD,"Well No. 33 - Perchlorate and Nitrate Removal, Upgrade Water Treatment Plant","58,000","$16,325,000.00",40,"$2,752,637,223.00",,
19393,Nassau,Jericho WD,"Relocate existing GAC vessels to Well 29 and install new GAC Vessels at Wells 18 and 19 to address PFAS contamination, Upgrade Water Treatment Plant","58,000","$17,559,440.00",40,"$2,770,196,663.00",,BEC
19580,Nassau,Jericho WD,"Well 12 PFAS removal, Upgrade Water Treatment Plant","58,000","$8,622,130.00",40,"$2,778,818,793.00",,BEC
19582,Nassau,Jericho WD,"Well 23 PFAS Removal, Upgrade Water Treatment Plant","58,000","$10,431,840.00",40,"$2,789,250,633.00",,
19583,Nassau,Jericho WD,"Well 28 PFAS Removal, Upgrade Water Treatment Plant","58,000","$6,677,490.00",40,"$2,795,928,123.00",,
19653,Nassau,Levittown Water District / Hempstead (T),"Levittown WD Well 12 - 1,4-dioxane and iron removal treatment system, Upgrade Water Treatment Plant","53,000","$15,000,000.00",40,"$2,810,928,123.00",,
19010,Nassau,Hicksville WD,"Plant No. 11 - AOP/GAC treatment for 1,4-dioxane, Upgrade Water Treatment Plant","48,000","$13,996,670.00",40,"$2,824,924,793.00",,
19231,Nassau,Manhasset-Lakeville WD,"Removal of PFAS contamination at Spruce Ponds Plant., Upgrade Water Treatment Plant","45,000","$3,600,211.00",40,"$2,828,525,003.00",,
19210,Cayuga,Auburn (C),"Raw Water Transmission Main Replacement, Upgrade Transmission","43,000","$12,300,000.00",40,"$2,840,825,003.00",,
19484,Nassau,Port Washington WD,"New GAC to remove PFAS contamination at Well 6, Upgrade Water Treatment Plant","30,000","$8,187,470.00",40,"$2,849,012,473.00",,
18630,Orange,Newburgh (C),"Replacement of water meters throughout the City., Upgrade Distribution System","28,000","$2,982,000.00",40,"$2,851,994,473.00",,
19015,Nassau,Franklin Square WD,"Plant No. 1 - GAC treatment for PFOA/PFOS removal, Upgrade Water Treatment Plant","20,000",$0.00,40,"$2,851,994,473.00",,
19207,Nassau,Village of Mineola / Mineola (V),"Well 1 PFAS removal, Upgrade Water Treatment Plant","19,117","$9,712,000.00",40,"$2,861,706,473.00",,
19776,Genesee,Batavia (C),"Replacement of WM on Walnut St, Upgrade Distribution System","15,600","$4,170,000.00",40,"$2,865,876,473.00",,
19768,Ontario,Geneva (C),"Construction of GAC filters to remove PFAS, Upgrade Water Treatment Plant","14,500","$14,667,200.00",40,"$2,880,543,673.00",,
19230,Nassau,Albertson WD,"Well No. 5 - GAC treatment for PFAS removal; and Replace PTAS, Upgrade Water Treatment Plant","13,500","$18,486,000.00",40,"$2,899,029,673.00",,
19338,Nassau,Albertson WD,"Installation of GAC to treat PFAS at Shepherd Lane Well 1, Upgrade Water Treatment Plant","13,500","$9,685,000.00",40,"$2,908,714,673.00",,
19746,St.Lawrence,Massena (V),"Raquette River Bridge Crossing Water Main, Upgrade Distribution System","10,839","$1,537,790.00",40,"$2,910,252,463.00",,
18908,Steuben,Hornell (C),"Transmission main replacement., Upgrade Transmission","9,592","$2,375,000.00",40,"$2,912,627,463.00",,
19392,Nassau,Carle Place WD,"Installation of GAC system for treatment of PFAS at Wells 3 & 4, Upgrade Water Treatment Plant","9,000","$7,649,000.00",40,"$2,920,276,463.00",,
18253,Niagara,Niagara (T),"Rehab 1-MG Lockport Road Storage Tank in (T) Niagara., Upgrade Storage","8,978","$1,193,696.00",40,"$2,921,470,159.00",,
19792,Nassau,Locust Valley WD,"Plant No. 9 - New GAC treatment for PFAS removal, Upgrade Water Treatment Plant","7,500","$7,000,000.00",40,"$2,928,470,159.00",,
19371,Nassau,Williston Park (V),"Wells No. 1A and No. 2 GAC PFAS treatment, New Water Treatment Plant","7,300","$14,224,300.00",40,"$2,942,694,459.00",,
19254,Nassau,Hempstead (T) Roosevelt WD,"Construction of radium removal treatment plant at Roosevelt Field WD Wells 7, 11, 12, Upgrade Water Treatment Plant","6,100","$22,000,000.00",40,"$2,964,694,459.00",,
19261,Herkimer,Little Falls (C),"Distribution system improvements, WTP improvements, Spruce Lake Dam rehab, Upgrade Other Expenses, Upgrade Water Treatment Plant, Upgrade Distribution System, Upgrade Other (OT)","4,946","$28,428,000.00",40,"$2,993,122,459.00",,
18623,Tioga,Waverly (V),"Replace aged water mains, and new standby generator for all of the wells., Upgrade Ground Water Source, Upgrade Distribution System","4,830","$3,800,000.00",40,"$2,996,922,459.00",,
19520,Cortland,Homer (V),"New Water Storage Tank West of I-81, New Storage","3,183","$4,048,000.00",40,"$3,000,970,459.00",,
19233,Nassau,Sands Point (V),"New GAC Treatment to Address PFAS at Wells 3 & 4., New Water Treatment Plant, Upgrade Ground Water Source","2,900","$10,609,000.00",40,"$3,011,579,459.00",,
19531,Allegany,Angelica (V),"Replacement of WM and Formation of WD, Upgrade Distribution System",713,"$4,610,280.00",40,"$3,016,189,739.00",,
19591,Suffolk,Riverhead (T),"Well No. 5-2A PFAS removal, Upgrade Water Treatment Plant",190,"$2,327,800.00",40,"$3,018,517,539.00",,
19120,Rensselaer,Schodack (T),"Installation of new watermain and 500,000-gallon water storage tank on Route 9, New Storage, New Distribution System",150,"$10,300,000.00",40,"$3,028,817,539.00",,
18485,Monroe,Rochester (C),"Scottrville Road Water Main Replacement., Upgrade Distribution System","214,000","$2,200,000.00",40,"$3,031,017,539.00",,
19599,NY City,NYCMWFA,"Lead Service Line Replacement (Area J)., Upgrade Distribution System","82,433","$5,984,608.00",40,"$3,037,002,147.00",,
19596,NY City,NYCMWFA,"Lead Service Line Replacement (Area I)., Upgrade Distribution System","76,002","$8,744,177.00",40,"$3,045,746,324.00",,
19317,NY City,NYCMWFA,"Lead service line replacement (Area B)., Upgrade Distribution System","72,903","$12,022,780.00",40,"$3,057,769,104.00",,
19594,NY City,NYCMWFA,"Lead Service Line Replacement (Area H)., Upgrade Distribution System","71,010","$7,580,503.00",40,"$3,065,349,607.00",,
19450,Schenectady,Schenectady (C),"Lead service line inventory., Upgrade Distribution System","62,000","$636,025.00",40,"$3,065,985,632.00",,
19595,NY City,NYCMWFA,"Lead Service Line Replacement (Area G)., Upgrade Distribution System","59,637","$11,354,131.00",40,"$3,077,339,763.00",,
19316,NY City,NYCMWFA,"Lead service line replacement (Area A)., Upgrade Distribution System","49,440","$7,218,660.00",40,"$3,084,558,423.00",,
19405,Niagara,Niagara Falls WB,"Lead Service Line Inventory., Upgrade Distribution System","48,500","$472,780.00",40,"$3,085,031,203.00",,
19803,Niagara,Niagara Falls Water Board,"2024 Capital Improvement Project, WM Replacement, Upgrade Distribution System","48,500","$6,560,000.00",40,"$3,091,591,203.00",,
19320,NY City,NYCMWFA,"Lead service line replacement (Area E)., Upgrade Distribution System","37,749","$14,411,320.00",40,"$3,106,002,523.00",,
19881,Oneida,MVWA,"Lead service line replacement., Upgrade Distribution System","35,000","$12,740,000.00",40,"$3,118,742,523.00",,
19402,Dutchess,Poughkeepsie (C),"Lead Service Line Inventory., Upgrade Distribution System","32,000","$2,453,300.00",40,"$3,121,195,823.00",,
19318,NY City,NYCMWFA,"Lead service line replacement (Area C)., Upgrade Distribution System","24,872","$5,686,580.00",40,"$3,126,882,403.00",,
19290,Niagara,Lockport (C),"Lead Service Line Inventory., Upgrade Distribution System","20,722","$124,630.00",40,"$3,127,007,033.00",,
19618,Monroe,Rochester (C),"Lead Service Line Replacement, Upgrade Distribution System","18,000","$32,527,000.00",40,"$3,159,534,033.00",,
19319,NY City,NYCMWFA,"Lead service line replacement (Area D)., Upgrade Distribution System","15,929","$9,780,120.00",40,"$3,169,314,153.00",,
19321,NY City,NYCMWFA,"Lead service line replacement (Area F)., Upgrade Distribution System","15,168","$8,365,970.00",40,"$3,177,680,123.00",,
19277,Monroe,Rochester (C),"Lead Service Line Replacement 2024., Upgrade Distribution System","15,000","$48,410,000.00",40,"$3,226,090,123.00",,
19806,Monroe,Rochester (C),"Lead Service Line Replacement, Upgrade Distribution System","12,000","$24,000,000.00",40,"$3,250,090,123.00",,
19623,Yates,Penn Yan (V),"Lead Service Line Inventory, Upgrade Distribution System","11,436","$2,060,000.00",40,"$3,252,150,123.00",,
19730,Albany,Watervliet (C),"Lead service line inventory., Upgrade Distribution System","10,265","$515,000.00",40,"$3,252,665,123.00",,
19473,St.Lawrence,Ogdensburg (C),"Lead service line inventory., Upgrade Distribution System","10,064","$2,688,300.00",40,"$3,255,353,423.00",,
19627,Orange,Port Jervis (C),"Lead Service Line Inventory., Upgrade Distribution System","8,775","$1,874,266.00",40,"$3,257,227,689.00",,
19408,Onondaga,Syracuse (C),"Lead Service Line Replacement., Upgrade Distribution System","8,600","$41,341,728.00",40,"$3,298,569,417.00",,
19447,St.Lawrence,Potsdam (V),"Lead service line inventory., Upgrade Distribution System","8,312","$1,077,380.00",40,"$3,299,646,797.00",,
19456,Albany,Albany MWFA,"Lead service line replacement., Upgrade Distribution System","7,725","$12,864,426.00",40,"$3,312,511,223.00",,
19396,Ulster,New Paltz (V),"Lead Service Line Inventory., Upgrade Distribution System","7,324","$193,125.00",40,"$3,312,704,348.00",,
19441,Columbia,Hudson (C),"Lead service line inventory., Upgrade Distribution System","6,700","$257,500.00",40,"$3,312,961,848.00",,
19385,Steuben,Bath (V),"Lead service line replacement., Upgrade Distribution System","5,432","$1,561,000.00",40,"$3,314,522,848.00",,
19629,Greene,Catskill (V),"Lead Service Line Inventory., Upgrade Distribution System","5,000","$1,272,369.00",40,"$3,315,795,217.00",,
19733,Greene,Catskill (V),"Lead Service Line Replacement., Upgrade Distribution System","5,000","$355,150.00",40,"$3,316,150,367.00",,
19436,Fulton,Gloversville (C) Water Works,"Lead service line replacement., Upgrade Distribution System","4,723","$12,209,763.00",40,"$3,328,360,130.00",,
19807,Niagara,Lockport (C),"Lead Service Line Replacement, Upgrade Distribution System","4,150","$20,477,044.00",40,"$3,348,837,174.00",,
19636,Sullivan,Liberty (V),"Lead Service Line Inventory., Upgrade Distribution System","3,900","$845,609.00",40,"$3,349,682,783.00",,
