,Community,Affordability Score,2020 Pop.,Total Project Cost,Potential Principal Forgiveness,Estimated Start,Estimated Completion,Est. Interest Rate,Est. Terms,Project Description
175,City of Coolidge,24,528,"$73,359",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Coolidge is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $84,279.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
176,City of Gray,24,"3,436","$48,460",Primary,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
177,City of Jasper,24,"4,235","$293,975",Primary,6/1/2023,6/30/2029,2.63%,20,"The City of Jasper requests assistance with developing our Lead Service Line Inventory, as well as implementing a lead service line replacement process project. The City's service delivery area extends well beyond the City limits, and we have approximately 6,000 utility customers. While Jasper has experienced a boom in population in the last 5-10 years, which has resulted in several residential subdivisions coming as new utility customers, we have a very old downtown and surrounding neighborhoods where our water system is 50+ years old. We anticipate that 40% of our customer base may have lead service lines. Initial estimates for utilizing a consultant to research and prepare our digital inventory is $50,000. We anticipate additional costs associated with sampling kits and lab fees in the amount of $187,500, pitchers/filters for residents with lead to be $60,000, and in house costs associated with the sampling and reporting to be $60,000. This comes up to $357,500. Based on 40% lead service lines, we anticipate $10 million dollars for repairing/replacing 2,500 service lines."
178,City of Lake Park,24,"1,169","$40,915",Primary,4/13/2023,-,2.63%,20,Lead service line inventory and replacement
179,City of Meansville,24,266,"$75,000",Primary,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
180,City of Pavo,24,622,"$25,000",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Pavo is in need of funding for its Lead Service Line Inventory project. The City has a limited staff (2 office personnel and 1 utility personnel) and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $55,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16,"
181,City of Pembroke,24,"2,650","$156,200",Primary,1/1/2024,2/29/2024,2.63%,20,"2024 The project will apply best practices to determine lead services across the water system. The practices will include desktop surveys of tax id information, postcard testing, field testing, and visual inspections of services to determine in-place infrastructure. The costs also include data aggregation and a data management platform for the inventory."
183,City of Screven,24,840,"$29,400",Primary,10/1/2023,4/30/2023,2.63%,20,Inventory of Lead service line in the City of Screven to determine need for replacement.
185,Nicholson Water Authority,24,"2,000","$170,000",Primary,5/1/2023,5/1/2025,2.63%,20,Upgrade lead lines
186,City of Cornelia,23,"5,233","$421,505",Primary,5/15/2023,10/16/2024,2.63%,20,"The City of Cornelia is seeking funding for development of a service line inventory to be compliant with the EPA Lead and Copper Rule Revisions. Funding will be used to furnish services for developing the inventory in ArcGIS software and for performing a desktop analysis, historical records review, and field investigations to verify service line materials. Funding will also be used for other inventory-related expenditures, such as point-of-use devices and public no(cid:415)ﬁca(cid:415)on materials."
187,City of Keysville,23,315,"$104,215",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
188,City of Ray City,23,"1,154","$40,390",Primary,4/13/2023,-,2.63%,20,Lead service line inventory and replacement
190,City of Gainesville,23,"140,000","$800,000",Primary,7/1/2023,12/31/2025,2.63%,20,"Investigate the presence of lead in the “unknown” part of our inventory throughout our service area. We will hire a contractor in accordance with GEFA’s rules to conduct in field investigations. The work will include additional records research, communication with customers and/or field investigations. The work to investigate the unknowns will extend past the deadline for the initial inventory submittal. This work will take place in the more affluent areas of the water system as opposed to the grant application, which will take place in the less affluent portion of the water system."
191,Bartow County Water Department,22,"62,875","$315,000",Primary,5/1/2023,12/31/2023,2.63%,20,"The project will develop an initial inventory using available electronic records, while also piloting methods for field inspections which will be used to eliminate all unknowns in the inventory. Bartow County is expected to have a particular challenge with field inspections, as meter box inspections are not expected to offer an accurate picture of the customer side of the laterals, with potentially heavy cost implications. The program will experiment with several inspection methods in an effort to best manage costs. The program also includes corrosivity analysis and updates to the sampling plan."
192,City of Cartersville,22,"24,830","$993,200",Primary,1/1/2025,12/31/2025,2.63%,20,"Replace approximately seven (7) miles of small galvanized water mains and associated galvanized/unknown material service lines. These lines are generally located in ageing infrastructure locations in City's service area, serving lower income populations."
193,City of Dahlonega,22,"6,600","$933,999",Primary,6/1/2023,6/3/2024,2.63%,20,"Dahlonega, GA is both a area of Persistent Poverty and an Historically Disadvantaged Community, and we are a rural city. We estimate that there are 2,500 service connections that have the potential to contain lead. Probably 50% will also need to be replaced. We need a full inventory and data collection (i.e. researching date of building construction), then we need outreach to the affected homeowners and business owners and coordinate visual inspections looking for soldered connections. Then we are going to have to make replacements. We are an older city, and in fact our city was the site of the very first U.S. gold rush (prior to California). Our historical downtown is on the Historic Register and we have many of the original buildings. Since those buildings date to the 1800s, most of them will be needing to be remediated but carefully so as not to disturb the original cobblestone walks. This will be a big undertaking. Also many of the residential homes are quite old and were originally built with lead lines. And some are built well off the roadway since we are a truly rural community. In addition to the inventory and visual inspections we estimate that approximately 1,250 or more buildings will wind up having lead pipes which we will then have to replace. That is only an es(cid:415)mate. As to the estimated completion time, that is truly an estimate since we can't determine that un(cid:415)l we do the oﬃcial inventory"
194,City of Dallas,22,"14,423","$355,770",Primary,5/1/2023,,2.63%,20,Lead service line inventory management and lead service line infrastructure replacement program
195,City of Glenwood,22,740,"$30,600",Primary,10/1/2023,4/30/2023,2.63%,20,Lead Service Line Inventory of all connections in the City of Glenwood to determine need for replacements..
196,City of Madison,22,"5,981","$590,190",Primary,3/1/2023,10/16/2024,2.63%,20,"The City of Madison is seeking funding for development of a service line inventory to be compliant with the EPA Lead and Copper Rule Revisions. Funding will be used to furnish services for developing the inventory in ArcGIS software and for performing a desktop analysis, historical records review, and field investigations to verify service line materials. Funding will also be used for other inventory-related expenditures, such as point-of-use devices and public no(cid:415)ﬁca(cid:415)on materials."
197,City of Pitts,22,252,"$76,350",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Pitts is in need of funding for its Lead Service Line Inventory project for its Pitts water system serving approximately 145 customers and its Seville water system serving approximately 65 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $98,870.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
198,City of Rebecca,22,208,"$37,920",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Rebecca is a town of 208 with approximately 106 water services and is in need of grant funding for its Lead Service Line Inventory project. The City has a very limited staff (1 office personnel and 1 utility personnel) and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $50,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024. The City wishes to be considered for the grant opportunity. The loan opportunity has only been selected as a back-up option."
199,City of Zebulon,22,"1,255","$187,450",Primary,8/1/2023,11/1/2025,2.63%,20,"The City of Zebulon is seeking funding to continue development of its lead service line inventory. In order to meet the upcoming October 16, 2024 deadline set by the Lead and Copper Rule Revision, the City is utilizing ArcGIS to compile service line data from various sources, including historical records review, water meter inspection, and other field investigation methods. The City is also requesting funding to supplement the expected cost of replacing service lines."
200,Clayton County Water Authority,22,"297,000","$16,053,500",Primary,12/15/2021,1/1/2029,2.63%,20,"Clayton County Water Authority is seeking funding assistance to complete its lead & copper service line inventory, to comply with EPA’s Lead & Copper Rule Revisions (LCRR) October 16, 2024 deadline, and to develop and implement its Lead Service Line Replacement Plan. The inventory will include the approximately 65,000 unknown service lines that are located in our service area through the use of methods approved by GAEPD. We will work with GAEPD throughout this process to ensure we are following approved guidance and meeting all deadlines."
202,Walker County Water & Sewerage Authority,22,"28,500","$215,000",Primary,2/1/2023,9/30/2024,2.63%,20,"Lead and Copper Rule Inventory and data collection plans, management programs, and line replacement capital improvement plan"
204,City of Bartow,21,186,"$70,000",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
205,City of Hahira,21,"3,479","$136,210",Primary,9/1/2023,10/1/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
206,City of Palmetto,21,"5,200","$81,000",,7/1/2023,10/16/2024,2.63%,20,Lead service lines inventory development and management in accordance with EPA's LCRR.
207,City of Social Circle,21,"4,974","$250,260",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
208,City of St. Marys,21,"18,500","$70,000",Primary,7/3/2023,12/31/2023,2.63%,20,"St. Marys, a city disproportionately effected by climate change and sea level rise is planning to conduct a lead line inventory."
209,Monroe County,21,"29,000","$210,000",Primary,5/1/2023,12/31/2024,2.63%,20,"The County of Monroe is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for 4,000 potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
210,Rockdale County,21,"92,000","$345,000",Primary,6/1/2023,10/16/2024,2.63%,20,"Rockdale County is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for 31,000 potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
211,City of Adairsville,20,"4,878","$75,600",Primary,12/8/2022,10/16/2024,2.63%,20,"The City of Adairsville is requesting grant funding for their Lead Service Line Inventory (LSLI) project and consideration of loan funding assistance for their Lead Service Line Replacement projects. We have already begun the LSLI, but with very limited staff it will be difficult to complete this project before the October 16, 2024 deadline. While the City has a population of 4,878 residents, our water system serves unincorporated portions of Bartow County and Gordon County for a total of 3,553 water customers. The City humbly requests assistance from GEFA to complete the required inventory, program planning, and replacement to meet EPA requirements and provide safe drinking water to our customers. Therefore, the City of Adairsville requests a grant of $100,000 to assist with the costs of this project, to including: contracted consultant (120Water & Kimley-Horn) to assist with the development of our service line inventory and database management, salary of in-house to search available records and conduct sampling throughout the community, the purchase of lead check swab kits and 1st/5th liter test kits with laboratory testing fees, the purchase of filter pitcher kits and replacement filter cartridges for a filter pitcher program to residents with known lead contamination, and production and postage fees for notification mailers and public education materials to create a community outreach program for our citizens. The City of Adairsville is committed to completing all requirements and submitting the required documentation to EPD on or before the deadline of October 16, 2024."
212,City of Buford,20,"17,144","$15,000",Primary,2/1/2023,10/16/2024,2.63%,20,"The City of Buford is requesting grant funding for their Lead Service Line Inventory (LSLI) project. The City has already begun their LSLI, but with very limited staff it will be difficult to complete this project before the October 16, 2024 deadline. The City humbly requests assistance from GEFA to complete the required inventory, program planning, and replacement to meet EPA requirements and provide safe drinking water to our customers. Therefore, the City of Buford requests a grant of $100,000 to assist with the costs of this project, to including: contracted consultant to assist with the development of our service line inventory and database management, salary of in- house to search available records and conduct sampling throughout the community, the purchase of lead check swab kits and 1st/5th liter test kits with laboratory testing fees, the purchase of filter pitcher kits and replacement filter cartridges for a filter pitcher program to residents with known lead contamination, and production and postage fees for notification mailers and public education materials to create a community outreach program for our citizens. The City of Buford is committed to completing all requirements and submitting the required documentation to EPD on or before the deadline of October 16, 2024."
213,City of Centerville,20,"11,200","$44,000",Primary,2/1/2023,1/1/2024,2.63%,20,Develop lead service line inventory and required testing.
214,City of Commerce,20,"8,828","$200,000",Alternate,6/5/2023,10/1/2024,2.63%,20,"The City of Commerce is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
215,City of Hinesville,20,"35,466","$500,000",Alternate,5/1/2023,10/16/2024,2.63%,20,"The City of Hinesville is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for 13,000 potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
216,City of Kingsland,20,"19,075","$300,000",Alternate,6/5/2023,10/1/2024,2.63%,20,"The City of Kingsland is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
217,City of Leesburg,20,"3,480","$206,803",Alternate,5/1/2023,10/16/2024,2.63%,20,"The City of Leesburg is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $206,803.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
218,City of Villa Rica,20,"16,970","$50,000",Alternate,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
219,City of Winder,20,"19,995","$600,000",Alternate,5/15/2023,10/16/2024,2.63%,20,"The City of Winder is seeking funding for development of a service line inventory to be compliant with the EPA Lead and Copper Rule Revisions. Funding will be used to furnish services for developing the inventory in ArcGIS software and for performing a desktop analysis, historical records review, and field investigations to verify service line materials. Funding will also be used for other inventory-related expenditures, such as point-of-use devices and public no(cid:415)ﬁca(cid:415)on materials."
220,City of Stockbridge,19,"29,472","$650,000",Alternate,3/1/2023,10/16/2024,2.63%,20,"The City of Stockbridge is seeking funding for development of a service line inventory to be compliant with the EPA Lead and Copper Rule Revisions. Funding will be used to furnish services for developing the inventory in ArcGIS software and for performing a desktop analysis, historical records review, and field investigations to verify service line materials. Funding will also be used for other inventory-related expenditures, such as point-of-use devices and public no(cid:415)ﬁca(cid:415)on materials."
221,City of Warner Robins,19,"81,446","$500,000",Alternate,6/5/2023,10/1/2024,2.63%,20,"The City of Warner Robins is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
222,Jackson County Water and Sewerage Authority,19,"80,000","$300,000",Alternate,2/1/2023,7/31/2024,2.63%,20,Take inventory of 2500+ service lines that have the potential to be of lead materials due to installation date prior to the 1986 ban on lead-based materials. This step will prepare for replacement of all service lines not determined to be lead-free.
223,Unified Government of Chattahoochee County,19,"9,500","$100,000",Alternate,9/1/2023,9/1/2028,2.63%,20,"We currently do not have the manpower to go out and do field investigations to determine the status of the lead in our service lines. We are in need of an approved, compliant contractor to provide this service. We are concerned that there is a substantial lead presence on the privately owned side of service lines. We are historically disadvantage/ underserved according to government census data and are working with congress members to separate our data from the numbers that come from Fort Benning, soon to be Fort Moore, because we are actually in further poverty as a county than our numbers show due to data from post skewing our numbers. We need help in the form of guidance, manpower and finances to tackle this issue. The only thing we have started is research. We cannot take on loan debt and need grants."
224,City of Cumming,18,"7,235","$100,000",Alternate,-,-,2.63%,20,"Identify location of lead pipe and replace lead pipe in the City of Cumming, GA"
225,City of Grovetown,18,"16,566","$350,000",Alternate,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
226,City of Lumpkin,18,891,"$120,423",Alternate,5/1/2023,10/16/2024,2.63%,20,"The City of Lumpkin is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $120,423.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
227,City of Menlo,18,483,"$1,000,000",Alternate,1/1/2024,12/31/2026,2.63%,20,Inventory and replacement of City of Menlo lead pipes
228,City of Patterson,18,760,"$115,000",Alternate,11/1/2023,11/1/2024,2.63%,20,Lead line inventory
229,City of Shiloh,18,402,"$50,000",Alternate,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
230,DeKalb County (GA) Government,18,"762,820","$855,000",Alternate,4/28/2023,10/8/2024,2.63%,20,"DeKalb County’s Department of Watershed Management (DWM) provides water service through over 3,000 miles of water distribution mains to over 760,000 people through over 200,000 potable service connections to the mains. DWM has contracted with engineering firm CDM Smith to provide support services to the County for Lead & Copper Rule Revisions (LCRR) Compliance in preparation for the impending EPA compliance date of October 2024. These services include service line inventories, requirements related to lead service line replacements, compliance and system sampling changes, school and daycare sampling, corrosion control changes and public education. To date, DeKalb has not identified any lead service lines in the system. However, for most of the system, the material on one or both sides (County owned side or Customer owned side) of the service lines are still unknown. In support of the above, CDM Smith will perform a phased program to support the County in meeting the LCRR with the following scope: Phase 1 – Initial Inventory and Program Planning; Phase 2 – Implement Verification Strategies and Develop Program Plans; Phase 3 – Implement Lead Service Line Replacement Program (if needed). The project is scheduled to start in late April 2023 and the required inventory and program plans will be completed by the anticipated EPA deadline in October 2024."
231,Lee County Utility Authority,18,"33,411","$1,100,000",Alternate,10/2/2023,1/1/2024,2.63%,20,"The removal and replacement of all lead service lines and lead appurtenances in the water system, including but not limited to goosenecks and lead service lines."
232,Pike County Water & Sewer Authority,18,"19,195","$100,000",Alternate,6/1/2023,10/16/2024,2.63%,20,"Pike County Water & Sewer Authority is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for 400 potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
233,City of Dawsonville,17,"30,138","$1,506,900",Alternate,9/1/2023,10/1/2024,2.63%,20,Lead Line inventory and replacement project
234,City of Hoschton,17,"4,725","$105,000",Alternate,8/1/2023,6/14/2024,2.63%,20,City Wide Water Service Line inventory to determine extent of lead service lines on the system.
235,City of Richmond Hill,17,"17,556","$452,000",Alternate,1/1/2024,2/29/2024,2.63%,20,"The project will apply best practices to determine lead services across the water system. The practices will include desktop surveys of tax id information, postcard testing, field testing, and visual inspections of services to determine in-place infrastructure. The costs also include data aggregation and a data management platform for the inventory."
236,City of Rincon,17,"11,100","$371,000",Alternate,1/1/2024,2/29/2024,2.63%,20,"The project will apply best practices to determine lead services across the water system. The practices will include desktop surveys of tax id information, postcard testing, field testing, and visual inspections of services to determine in-place infrastructure. The costs also include data aggregation and a data management platform for the inventory."
237,City of Williamson,17,681,"$50,000",Alternate,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
238,Fulton County,17,"290,000","$300,000",Alternate,7/3/2023,12/31/2030,2.63%,20,"Lead Service Line iden(cid:415)ﬁca(cid:415)on and replacement program. Phase 1 - Data Analysis to screen service line material based on date of installation and external regulations and internal polices at time of installation. Estimated Cost $300,000 Es(cid:415)mated - Start July 2022 Es(cid:415)mated Comple(cid:415)on – December 2024 Phase 2 - Field Investigation of materials of service line construction for both public and private side services for service line material not otherwise identified. Phase 2 to include a public education component. Estimated Cost $2,000,000 Estimated - Start July 2024 Es(cid:415)mated Comple(cid:415)on – December 2026 Phase 3 - Replacement of public and private service lines required to provide lead free service lines. Estimated Cost $10,000,000 Estimated - Start January 2026 Estimated Comple(cid:415)on – December 2030"
239,Harris County,17,"34,668","$100,000",Alternate,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
240,Oconee County Water Resources,16,"44,496","$1,400,000",Alternate,6/1/2023,10/1/2024,2.63%,20,"Oconee County Water Resources (OCWR) is a branch of Oconee County Government and provides its customers with water and sewer. We have a population of 44,496 with 12,209 water service connections. We are requesting grant funding for our Lead and Copper Inventory Project. OCWR has a limited staff of 23 personnel (From Director, customer service, meter reading, sewer plant operators, water and sewer crews, quality, and billing) and unable to complete the required inventory, planning, and field portions of the LCRR on its own. OCWR is requesting $1,000,000 to cover costs associated with the project including: improvement plan by contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, supply of filter pitchers for a filter pitcher program, supply of tap sampling kits for random lead sampling and monitoring program, printing and postage for notification and public education materials for community outreach and communication. OCWR will begin the development of the Service Line Inventory 6/1/2023 upon notification of grant funding approval. Our goal is to have all work completed and submitted to EPD by 10/1/2024."
241,City of Bremen,15,"7,200","$2,100,000",Alternate,6/3/2024,10/31/2024,2.63%,20,To inspect and remove lead and copper water lines
242,City of Chickamauga,15,"2,917","$400,000",Alternate,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
243,City of Fargo,15,250,"$150,000",Alternate,7/1/2023,9/30/2024,2.63%,20,"The City of Fargo is seeking funding assistance in order to develop it's lead service line inventory. The City does not have the necessary financial resources to develop and submit the inventory by the October 16, 2024 deadline set by the Lead and Copper Rule Revision. The City of Fargo is planning to utilize ArcGIS Software, review historical records, conduct water meter inspections, perform representative sampling and other methods necessary to determine the status of service lines in the City's water service area."
244,City of Flowery Branch,14,"10,144","$120,000",Alternate,5/1/2023,10/16/2024,2.63%,20,"The City of Flowery Branch is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for 1950 potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
245,City of Roswell,14,"18,500","$92,000",Alternate,1/30/2023,1/31/2033,2.63%,20,"The City of Roswell’s Water Utility needs to create a Service Line Inventory, as required under the EPA’s updated Lead and Copper Rule, to identify service line material for both the public side and private side. This inventory will identify service line material and will be public facing. As lead services are identified, the City will plan for replacement of the services. The City plans to work with a consultant in the creation of the Service Line inventory and the public-facing portal."
246,Cobb County Water System,13,"750,000","$2,000,000",Alternate,11/7/2022,10/16/2024,2.63%,20,"CCWS has over 190,000 water customers resulting in over 380,000 service lines needing to have material identification. More than 50% pre-date the EPD date of 1990 for end of use of lead-containing materials. The program will be for the identification of publicly- and privately-owned service line materials by outside contractors during planned capital water main replacement improvement projects and other projects by outside contractors."
