"State","City Served","Borrower","PWSID","Project Name","Project Description","Project Type","Funding Amount","Principal Forgiveness","Population","Meets State Disadvantaged Criteria","State Rank","State Score"
"Michigan","Clinton County","City of Ovid","No Information","No Information","WM replacement, LSLR, meters, WTP improvement","Lead","1860000","911400","1481","Yes","59","395"
"Michigan","Midland County","City of Coleman","No Information","No Information","WM,LSLR,WTP, storage tank","Lead","500000","245000","1243","Yes","61","395"
"Michigan","Livingston County","City of Howell","No Information","No Information","WM replacement, looping, LSLR","Lead","3250000","1592500","10068","Yes","66","390"
"Michigan","Wayne County","DWSD/GLWA","No Information","No Information","WM replacement, LSLR - WS-732","Lead","1612000","789880","639111","Yes","69","375"
"Michigan","Wayne County","DWSD/GLWA","No Information","No Information","WM replacement, LSLR - WS-733","Lead","2002000","980980","639111","Yes","70","375"
"Minnesota","No Information","Westbrook","MN1170005","No Information","Treatment - New RO Plant for Nitrite","Other","6890100","0","900","No","1","30"
"Minnesota","No Information","Hayward","MN1240012","No Information","Treatment - Radium Treatment & New Well","Other","3528000","0","227","No","3","30"
"Minnesota","No Information","Elysian","MN1400003","No Information","Treatment - Radium Treatment with RO","Other","7600000","0","703","No","8","30"
"Minnesota","No Information","Coates","MN1190035","No Information","Other - New System Supplied by Rosemount","Other","16800000","0","25","No","11","17.5"
"Minnesota","No Information","Aurora","MN1690002","No Information","Consolidation - E Mesabi Joint Water Sys","Other","4400000","0","2225","No","16","15"
"Minnesota","No Information","Lafayette","MN1520002","No Information","Treatment - Plant Addition","Other","2606337","0","545","No","21","15"
"Minnesota","No Information","Sebeka","MN1800002","No Information","Watermain - Repl & Loop - Phase 1","Other","1309600","0","777","No","41","12"
"Minnesota","No Information","Elbow Lake","MN1260003","No Information","Watermain - Replace & Loop 2nd","Other","1200000","0","1200","No","46","12"
"Minnesota","No Information","Madison","MN1370004","No Information","Watermain - NW Area Loop","Other","819400","0","1647","No","53","12"
"Minnesota","No Information","International Falls","MN1360002","No Information","Treatment - Plant Rehab","Other","10400000","0","5816","No","59","12"
"Minnesota","No Information","Fertile","MN1600008","No Information","Watermain - Replace & Loop","Other","1090000","0","931","No","64","12"
"Minnesota","No Information","Stewart","MN1430009","No Information","Watermain - Looping Improvements","Other","1316700","0","610","No","66","12"
"Minnesota","No Information","Silver Bay","MN1380003","No Information","Treatment - Plant Improvements","Other","8200000","0","1610","No","81","12"
"Minnesota","No Information","Browerville","MN1770002","No Information","Watermain - Replace & Loop","Other","1609600","0","689","No","90","12"
"Minnesota","No Information","Le Sueur","MN1400010","No Information","Treatment - Plant Rehab","Other","4000000","0","4028","No","91","12"
"Minnesota","No Information","South Saint Paul","MN1190020","No Information","Treatment - New Radium/Mn/Fe Plant","Other","9612412","0","20132","No","93","12"
"Minnesota","No Information","Clearwater","MN1860025","No Information","Source - New Wells & Wellhouse","Other","3187000","0","1859","No","94","12"
"Minnesota","No Information","Northfield","MN1660010","No Information","Treatment - Gravity Filters and RO","Other","16725000","0","19449","No","98","12"
"Minnesota","No Information","Harris","MN1130005","No Information","Watermain - Looping","Other","541600","0","1065","No","100","12"
"Minnesota","No Information","Zimmerman","MN1710006","No Information","Treatment - New Pressure Filter Plant","Other","5900000","0","5657","No","103","12"
"Minnesota","No Information","Zimmerman","MN1710006","No Information","Storage - New 0.4 MG Tower","Other","2100000","0","5657","No","112","11"
"Minnesota","No Information","Appleton","MN1760001","No Information","Watermain - Replace 20 Blocks","Other","6000000","0","1339","No","160","10"
"Minnesota","No Information","Eagle Bend","MN1770004","No Information","Watermain -Phase 5","Other","899800","0","519","No","175","10"
"Minnesota","No Information","Frazee","MN1030014","No Information","Watermain - Replace East Main Ave.","Other","670400","0","1335","No","184","10"
"Minnesota","No Information","Pipestone","MN1590005","No Information","Watermain - Replace NE Area, Ph 2","Other","2400000","0","4317","No","219","10"
"Minnesota","No Information","Henning","MN1560016","No Information","Watermain - Replace Cast Iron Main","Other","8325000","0","806","No","226","10"
"Minnesota","No Information","Fergus Falls","MN1560014","No Information","Storage - Replace 750,000 Gallon GSR","Other","2000000","0","13754","No","239","10"
"Minnesota","No Information","Crosby","MN1180008","No Information","Watermain - Phase 3B Improvements","Other","2384800","0","2749","No","242.2","10"
"Minnesota","No Information","Braham","MN1300001","No Information","Watermain - Repl Various Areas","Other","11950000","0","1800","No","250","10"
"Minnesota","No Information","Detroit Lakes","MN1030005","No Information","Watermain -Repl Campbell Ave/Linden Ln","Other","1600000","0","9200","No","251","10"
"Minnesota","No Information","Fosston","MN1600010","No Information","Watermain - Replace Various Areas","Other","4488183","0","1434","No","255","10"
"Minnesota","No Information","Annandale","MN1860002","No Information","Storage - Tower Rehab","Other","669000","0","3420","No","260","10"
"Minnesota","No Information","Glenwood","MN1610003","No Information","Watermain - Replace Old Mains","Other","3735570","0","2563","No","263","10"
"Minnesota","No Information","Glenwood","MN1610003","No Information","Storage - Ground Storage Tank Rehab","Other","884400","0","2563","No","264","10"
"Minnesota","No Information","Hibbing","MN1690022","No Information","Source - Well Houses Rehab","Other","600000","0","15923","No","275","10"
"Minnesota","No Information","Hibbing","MN1690022","No Information","Treatment - Plant Rehab","Other","4800000","0","15923","No","276","10"
"Minnesota","No Information","Hibbing","MN1690022","No Information","Treatment - Plant for Carey Valley Well","Other","10800000","0","15923","No","277","10"
"Minnesota","No Information","Hibbing","MN1690022","No Information","Storage - Mesabi Tower Rehab","Other","1560000","0","15923","No","278","10"
"Minnesota","No Information","International Falls","MN1360002","No Information","Watermain - Replace 9th Street","Other","1480000","0","5816","No","282","10"
"Minnesota","No Information","Fertile","MN1600008","No Information","Conservation - Meter Replacement","Other","460000","0","931","No","298","10"
"Minnesota","No Information","Detroit Lakes","MN1030005","No Information","Storage - 2.0 MG Elevated Storage Tank","Other","8355000","0","9197","No","299","10"
"Minnesota","No Information","Pelican Rapids","MN1560019","No Information","Watermain - TH59 and TH108","Other","6250000","0","2515","No","301","10"
"Minnesota","No Information","Stewart","MN1430009","No Information","Watermain - Distribution Reconstruction","Other","3178300","0","610","No","304","10"
"Minnesota","No Information","Winnebago","MN1220011","No Information","Watermain - Cleveland Ave W Imprvmnts","Other","2131467","0","1261","No","306","10"
"Minnesota","No Information","Saint Cloud","MN1730027","No Information","Other - Calvary Booster Station Imprvmt","Other","3312000","0","40112","No","313","10"
"Minnesota","No Information","Randall","MN1490005","No Information","Watermain - Water System Improvements","Other","4000000","0","581","No","314","10"
"Minnesota","No Information","Olivia","MN1650011","No Information","Treatment - RO addition","Other","5200000","0","2397","No","338","10"
"Minnesota","No Information","Sauk Rapids","MN1050004","No Information","Watermain - Rplcment Along Division St.","Other","973464","0","13926","No","351","10"
"Minnesota","No Information","Audubon","MN1030001","No Information","Storage - Tower Rehab","Other","462500","0","625","No","362","10"
"Minnesota","No Information","Wabasha","MN1790013","No Information","Source - Well #1 Rehab","Other","180000","0","2655","No","363","10"
"Minnesota","No Information","Wabasha","MN1790013","No Information","Watermain - Downtown Reconstruction","Other","2090000","0","2655","No","365","10"
"Minnesota","No Information","Duluth","MN1690011","No Information","Other - Rehab Woodland Booster Station","Other","3658560","0","85852","No","367","10"
"Minnesota","No Information","Royalton","MN1490006","No Information","Watermain - Improvements & Looping","Other","1850900","0","1172","No","379","10"
"Minnesota","No Information","Atwater","MN1340001","No Information","Watermain - North Side Improvements","Other","3101140","0","1141","No","380","10"
"Minnesota","No Information","Red Wing","MN1250013","No Information","Treatment - Charlson Crest Upgrades","Other","123255","0","16366","No","404","10"
"Minnesota","No Information","Red Wing","MN1250013","No Information","Treatment - Twin Bluffs Plant Rehab","Other","2949887","0","16366","No","409","10"
"Minnesota","No Information","Fairfax","MN1650005","No Information","Treatment - RO Addition","Other","2500000","0","1135","No","418","10"
"Minnesota","No Information","Minneota","MN1420007","No Information","Watermain - Replacement","Other","3250000","0","1307","No","424","10"
"Minnesota","No Information","Minneota","MN1420007","No Information","Watermain - Watermain Improvements","Other","350000","0","1307","No","425","10"
"Minnesota","No Information","Moorhead","MN1140008","No Information","Watermain - Distribution Phase 2","Other","2330000","0","43409","No","434","10"
"Minnesota","No Information","Moorhead","MN1140008","No Information","Watermain - Distribution Phase 3","Other","1900000","0","43409","No","436","10"
"Minnesota","No Information","Moorhead","MN1140008","No Information","Watermain - Distribution Phase 4","Other","2375000","0","43409","No","438","10"
"Minnesota","No Information","Moorhead","MN1140008","No Information","Source - Transmission Pipeline Repl","Other","13000000","0","43409","No","442","10"
"Minnesota","No Information","South Saint Paul","MN1190020","No Information","Watermain - I494 Crossing and 7th Ave","Other","6680000","0","20132","No","452","10"
"Minnesota","No Information","Foley","MN1050001","No Information","Source - New Well #6 & Seal Well #4","Other","223600","0","2658","No","453","10"
"Minnesota","No Information","Buffalo","MN1860005","No Information","Storage - Tower #1 Rehab","Other","815000","0","16413","No","466","10"
"Minnesota","No Information","Buffalo","MN1860005","No Information","Watermain - TH 25 South Recon","Other","1170000","0","16413","No","467","10"
"Minnesota","No Information","Montrose","MN1860016","No Information","Storage - Repl Tower w/100,000 Gal Tower","Other","4650000","0","3505","No","471","10"
"Minnesota","No Information","Jordan","MN1700003","No Information","Storage -Tower Imprvmnts & Booster Rehab","Other","4800000","0","6230","No","476","10"
"Minnesota","No Information","Lowry","MN1610007","No Information","Source - New Wells","Other","369200","0","345","No","487","8"
"Minnesota","No Information","Minnetrista","MN1270036","No Information","Source - Replacement Well #9","Other","1360000","0","7989","No","488","8"
"Minnesota","No Information","Willmar","MN1340016","No Information","Treatment - Biological Filtration NE TP","Other","12050000","0","19610","No","492","7"
"Minnesota","No Information","Ghent","MN1420004","No Information","Watermain - Looping Dead End Water Lines","Other","4203400","0","497","No","514","7"
"Minnesota","No Information","Jackson","MN1320003","No Information","Watermain - River Crossing","Other","522663","0","3208","No","516","7"
"Minnesota","No Information","Madison Lake","MN1070007","No Information","Watermain-Repl & Loop Main, 7th & Maple","Other","1084010","0","1017","No","521","7"
"Minnesota","No Information","Darwin","MN1470002","No Information","Watermain - 1st St. & Loop","Other","1025900","0","302","No","522","7"
"Minnesota","No Information","Lowry","MN1610007","No Information","Watermain - Replace & Loop","Other","2324100","0","345","No","527","7"
"Minnesota","No Information","Adams","MN1500001","No Information","Watermain - Loop & Connect Well No. 5","Other","443550","0","820","No","529","7"
"Minnesota","No Information","Adams","MN1500001","No Information","Source - Well No. 5 & Pumphouse","Other","1743000","0","820","No","530","7"
"Minnesota","No Information","Rosemount","MN1190019","No Information","Treatment - New Fe/Mn/Ra Plant","Other","14375000","0","22445","No","535","7"
"Minnesota","No Information","Ramsey","MN1020035","No Information","Treatment - Plant Improvements","Other","17000000","0","14252","No","536","7"
"Minnesota","No Information","Annandale","MN1860002","No Information","Watermain - Repl Oak, Park, Pleasant","Other","1358413","0","3334","No","259","10"
"Minnesota","No Information","Tower","MN1690051","No Information","Treatment - Plant Improvements","Other","1125950","0","500","No","9","25"
"Minnesota","No Information","Two Harbors","MN1380005","No Information","Treatment - Repl Chlorine Contact Tank","Other","1004028","0","3613","Yes","49","12"
"Minnesota","No Information","Dawson","MN1370003","No Information","Treatment - Plant Rehab","Other","569524","0","1540","Yes","42","12"
"Minnesota","No Information","Lanesboro","MN1230006","No Information","Watermain - Repl Kirkwood St.","Other","1011830","809464","788","Yes","248","10"
"Minnesota","No Information","Lanesboro","MN1230006","No Information","Watermain - Repl Various Streets","Other","714841","571873","788","Yes","249","10"
"Minnesota","No Information","Claremont","MN1200001","No Information","Storage - Tower Rehab","Other","370500","0","538","No","285","10"
"Minnesota","No Information","Two Harbors","MN1380005","No Information","Watermain - Repl 4th St.","Other","418546","0","3718","No","384","10"
"Minnesota","No Information","Two Harbors","MN1380005","No Information","Watermain - Repl 7th Ave & 4th St.","Other","514561","0","3718","No","385","10"
"Minnesota","No Information","Two Harbors","MN1380005","No Information","Watermain - Repl 7th Ave 11th - 15th St.","Other","878031","0","3718","No","386","10"
"Minnesota","No Information","Le Sueur","MN1400010","No Information","Watermain - New Booster Station & Wtrmn","Other","3480000","0","4050","No","84","12"
"Minnesota","No Information","Zimmerman","MN1710006","No Information","Source - 2 New Wells","Other","1136210","0","5657","No","102","12"
"Minnesota","No Information","Appleton","MN1760001","No Information","Watermain - Water Distribution Imprvmnts","Other","6833721","2783721","1339","Yes","159","10"
"Minnesota","No Information","Henning","MN1560016","No Information","Watermain - Inman St. Underground Imprvm","Other","602753","482202","853","Yes","203","10"
"Minnesota","No Information","Menahga","MN1800001","No Information","Storage - Repl w/100,000 Gal Tower","Other","614500","0","1228","No","212","10"
"Minnesota","No Information","Pipestone","MN1590005","No Information","Watermain - Replace NE Area, Ph 1","Other","2019140","1615312","4317","Yes","218","10"
"Minnesota","No Information","Crosby","MN1180008","No Information","Watermain - Phase 3A Improvements","Other","1812804","0","2749","No","242.1","10"
"Minnesota","No Information","Lake Park","MN1030016","No Information","Treatment - Plant Rehab","Other","1083625","0","797","No","266","10"
"Minnesota","No Information","Ortonville","MN1060008","No Information","Watermain - Repl Various Areas - Phase 2","Other","4056245","0","1910","Yes","269","10"
"Minnesota","No Information","Ortonville","MN1060008","No Information","Watermain - Phase 3","Other","7367544","0","2017","Yes","270","10"
"Minnesota","No Information","Blue Earth","MN1220001","No Information","Treatment - RO for Softening","Other","3230000","0","3138","Yes","271","10"
"Minnesota","No Information","Eveleth","MN1690018","No Information","Watermain -Rosvlt & Dgls Aves Water Repl","Other","364924","0","3609","No","272","10"
"Minnesota","No Information","Perham","MN1560023","No Information","Watermain-Repl 1st Ave N,4th & 5th St SW","Other","1832913","0","3421","No","280","10"
"Minnesota","No Information","Glenville","MN1240010","No Information","Treatment - Water trtmnt plant & wells","Other","4000000","0","670","Yes","288","10"
"Minnesota","No Information","Sauk Rapids","MN1050004","No Information","Other - LSL Replacement - Private","Lead","154700","77350","13083","Yes","342","10"
"Minnesota","No Information","Dassel","MN1470003","No Information","Watermain - First St. Main Replacement","Other","818925","0","1506","No","347","10"
"Minnesota","No Information","New London","MN1340005","No Information","Watermain - Distribution Improvements","Other","2162213","0","1197","No","389","10"
"Minnesota","No Information","Saint Paul Regional Water Services","MN1620026","No Information","Treatment - Process Imp.(McCarrons)","Other","47250000","0","385796","No","426","10"
"Minnesota","No Information","Harris","MN1130005","No Information","Storage - Tower Rehab","Other","378445","0","1065","Yes","479","10"
"Minnesota","No Information","Litchfield","MN1470008","No Information","Treatment - Rehab Plant","Other","3936422","0","6671","No","505","7"
"Nebraska","No Information","Cedar Knox Rural Water","NE3120303","No Information","Administrative Order; 100% MCL in Nitrates and Uranium; New well, tank, treatment, and meters (GPR); Rehab mains ","Other","25193000","12596500","No Information","Yes","No Information","160"
"Nebraska","No Information","Project Giltner","NE3108103","No Information","100% PHA in Manganese; Manganese removal plant","Other","1051875","0","No Information","No","No Information","145"
"Nebraska","No Information","Milford","NE3115907","No Information","100% MCL in Nitrates; New blending station and well; New/Replace mains; Rehab chemical feed","Other","6401800","2880810","No Information","Yes","No Information","145"
"Nebraska","No Information","Schuyler","NE3103701","No Information","100% MCL in Uranium; New wells and mains","Other","2650000","864165","No Information","Yes","No Information","145"
"Nebraska","No Information","Atkinson","NE3108905","No Information","80% MCL in Arsenic; Loop mains; Replace hydrants, wells, and meters; Rehab tank","Other","550000","247500","No Information","Yes","No Information","135"
"Nebraska","No Information","Crete","NE3115104","No Information","100% PHA in Manganese; New well; Loop mains; Rehab treatment system","Other","3850000","1347500","No Information","Yes","No Information","135"
"Nebraska","No Information","Fairmont","NE3105902","No Information","100% PHA in Manganese; Treatment for Manganese, Generator and Meters (GPR)","Other","550000","0","No Information","No","No Information","135"
"Nebraska","No Information","Osceola","NE3114302","No Information","100% MCL in Nitrates, 80% MCL in Arsenic; Replace standpipe and mains- SFY 2023 Replace standpipe, well, and mains - SFY 2022 ","Other","2102400","757074","No Information","Yes","No Information","135"
"Nebraska","No Information","Seward","NE3115905","No Information","100% MCL in Nitrates and Uranium; New tower and wells; Extend mains - SFY 2023","Other","3500000","981750","No Information","Yes","No Information","135"
"Nebraska","No Information","Ainsworth","NE3101702","No Information","Replace/Loop mains","Other","1500000","675000","No Information","Yes","No Information","60"
"Nebraska","No Information","Dakota City","NE3104301","No Information","100% PHA in Manganese; New well with transmission main; Standby generator","Other","943100","424395","No Information","Yes","No Information","60"
"Nebraska","No Information","O'Neill","NE3108904","No Information","Replace mains and meters; Rehab well","Other","1365000","477750","No Information","Yes","No Information","60"
"Nebraska","No Information","Sterling","NE3109706","No Information","Replace mains; New meters (GPR)","Other","446050","244614","No Information","Yes","No Information","60"
"Nebraska","No Information","Neligh","NE3100305","No Information","Loop/Replace mains; Rehab well","Other","1300000","585000","No Information","Yes","No Information","30"
"Nebraska","No Information","Duncan","NE3114113","No Information","100% MCL in Nitrates; Replace/Loop mains","Other","700000","385000","No Information","Yes","No Information","165"
"Nebraska","No Information","Wisner","NE3103903","No Information","100% PHA in Manganese, 100% MCL in Nitrates, 80% MCL in Selenium; New WTP; Loop mains - SFY 2023","Other","3755000","1689750","No Information","Yes","No Information","165"
"Nebraska","No Information","Emerson","NE3104305","No Information","100% MCL in Arsenic, 100% PHA Manganese; 
Rehab tower; Replace meters (GPR)","Other","1050000","87500","No Information","Yes","No Information","155"
"Nebraska","No Information","Ponca","NE3105106","No Information","80% MCL in Nitrates; Replace/Loop mains; Rehab 
wells and pumps; Replace tower and meters (GPR)","Other","3500000","1575000","No Information","Yes","No Information","155"
"Nebraska","No Information","Giltner","NE3108103","No Information","100% PHA in Manganese; Replace/Loop mains; 
Repaint tank; New well","Other","680000","0","No Information","No","No Information","145"
"Nebraska","No Information","David City","NE3102301","No Information","100% PHA in Manganese, 80% MCL in Arsenic; New main; Upgrade meters - SFY 2023 Replace mains; Rehab/Replace WTP - SFY 2019 ","Other","3850000","1732500","No Information","Yes","No Information","135"
"Nebraska","No Information","Fullerton","NE3112503","No Information","100% MCL in Selenium; New well and mains","Other","3890000","1750500","No Information","Yes","No Information","135"
"Nebraska","No Information","Minden","NE3109904","No Information","100% PHA in Manganese; Backwash Improvements 
at WTP (NPDES Order 2022)","Other","1500000","675000","No Information","Yes","No Information","135"
"Nebraska","No Information","Superior","NE3112904","No Information","80% MCL in Nitrates; New treatment - SFY 2023","Other","4300000","1935000","No Information","Yes","No Information","135"
"Nebraska","No Information","Blair","NE3117905","No Information","WTP Expansion; Lime Solids","Other","23000000","8050000","No Information","Yes","No Information","120"
"Nebraska","No Information","Bradshaw","NE3118704","No Information","New water storage; Rehab wells; Upgrade mains","Other","640000","281536","No Information","Yes","No Information","80"
"Nebraska","No Information","Loup City","NE3116303","No Information","Replace mains - SFY 2023 Replace mains; Rehab tower - SFY 2022","Other","250000","112500","No Information","Yes","No Information","60"
"Nebraska","No Information","Wahoo","NE3115512","No Information","Loop/Replace mains","Other","5700000","1995000","No Information","Yes","No Information","60"
"Nebraska","No Information","Emerson","NE3104305","No Information","100% PHA Manganese and 100% MCL 
in Arsenic; Rehab WTP discharge system ","Emerging Contaminants","1700000","1700000","No Information","Yes","No Information","155"
"Nebraska","No Information","Wakefield* (Amdt)","NE3105107","No Information","100% PHA in Manganese; Replace WTP","Emerging Contaminants","6400000","2430080","No Information","Yes","No Information","155"
"Nebraska","No Information","Giltner","NE3108103","No Information","100% PHA in Manganese; Manganese removal plant","Emerging Contaminants","2250000","1198125","No Information","Yes","No Information","145"
"Nebraska","No Information","David City","NE3102301","No Information","100% PHA in Manganese, 80% MCL in Arsenic; Rehab/Replace WTP - SFY 
2019","Emerging Contaminants","1650000","1650000","No Information","Yes","No Information","135"
"Nebraska","No Information","Fairmont","NE3105902","No Information","100% PHA in Manganese; Treatment 
for Manganese","Emerging Contaminants","2250000","1729000","No Information","Yes","No Information","135"
"Nebraska","No Information","Oakland","NE3102101","No Information","100% PHA Manganese and 100% MCL 
in Arsenic; New WTP","Emerging Contaminants","3625000","3625000","No Information","Yes","No Information","135"
"Nebraska","No Information","Valley (Amdt)","NE3105518","No Information","100% PHA in Manganese Upgrade 
WTP - SFY 2022","Emerging Contaminants","5136000","3172404","No Information","Yes","No Information","70"
"Nebraska","No Information","Schuyler","NE3103701","No Information","Replace LSL","Lead","1226250","399880","No Information","Yes","No Information","145"
"Nebraska","No Information","Beatrice","NE3106705","No Information","Replace LSL","Lead","2000000","1160000","No Information","Yes","No Information","135"
"Nebraska","No Information","Fairbury","NE3109507","No Information","Replace LSL","Lead","1298750","753275","No Information","Yes","No Information","135"
"Nebraska","No Information","Fremont","NE3105312","No Information","Replace LSL","Lead","26000","15080","No Information","Yes","No Information","135"
"Nebraska","No Information","Hastings","NE3100101","No Information","Replace LSL","Lead","10278125","5961312","No Information","Yes","No Information","135"
"Nebraska","No Information","Lincoln","NE3110926","No Information","Replace LSL","Lead","96775000","56129500","No Information","Yes","No Information","135"
"Nebraska","No Information","Norfolk","NE3111910","No Information","Replace LSL","Lead","2079000","1205820","No Information","Yes","No Information","135"
"Nebraska","No Information","York","NE3118706","No Information","Replace LSL","Lead","4885000","1818686","No Information","Yes","No Information","135"
"Nebraska","No Information","Blair","NE3117905","No Information","Replace LSL","Lead","2656250","1449781","No Information","Yes","No Information","120"
"Nebraska","No Information","Kimball","NE3110501","No Information","Replace LSL","Lead","2000000","1160000","No Information","Yes","No Information","110"
"Nebraska","No Information","Nebraska City","NE3113106","No Information","Replace LSL","Lead","5780250","3352545","No Information","Yes","No Information","90"
"Nebraska","No Information","South Sioux City","NE3104309","No Information","Replace LSL","Lead","6238750","3618475","No Information","Yes","No Information","70"
"Nebraska","No Information","Chadron","NE3104507","No Information","Replace LSL","Lead","1950400","1131232","No Information","Yes","No Information","60"
"Nebraska","No Information","Grand Island","NE3107902","No Information","Replace LSL","Lead","22977625","13062780","No Information","Yes","No Information","60"
"Nebraska","No Information","Metropolitan Utilities District of Omaha","NE3105507","No Information","Replace LSL","Lead","145733000","84525140","No Information","Yes","No Information","60"
"Nebraska","No Information","Wahoo","NE3115512","No Information","Replace LSL","Lead","2570750","988968","No Information","Yes","No Information","60"
"Nebraska","No Information","Kearney","NE3101906","No Information","Replace LSL","Lead","2661100","1543438","No Information","Yes","No Information","30"
"Nebraska","No Information","Columbus","NE3114110","No Information","Replace LSL","Lead","6773625","3566991","No Information","Yes","No Information","15"
"Nebraska","No Information","North Platte","NE3111106","No Information","Replace LSL","Lead","7767500","4505150","No Information","Yes","No Information","15"
"Texas","No Information","Rose City","TX1810139","No Information","Water Distribution System Improvements","Other","650000","No Information","650","Yes","8","112"
"Texas","No Information","G-M WSC","TX2020067","No Information","Upgrade existing plant components and replace water lines. Includes the creation of an asset management plan.","Other","3160000","No Information","11220","Yes","22","72"
"Texas","No Information","Bay City","No Information","No Information","This project includes prioritized rehabilitation of the City of Bay City's (City's) drinking water distribution system to address aging infrastructure and frequent line breaks. This project will also include the rehabilitation or decommissioning of an existing elevated storage tank that is in dire need of repair or replacement. Lastly, this project will address elevated levels of arsenic at two of the City's water wells.","Other","26625000","No Information","17487","No","24","68"
"Texas","No Information","Sharyland WSC","TX1080033","No Information","SWSC seeks funding from the Texas Water Development Board's Drinking Water State Revolving Fund in order to be able to better serve their customers and improve the overall performance, reliability, and redundancy of their water distribution system. Proposed projects include, but are not limited to: pressure zone expansions to address identified low pressure zones throughout the system and improve the level of service for customers; infrastructure relocation projects; additional storage for compliance with TCEQ requirements; capacity and performance improvements projects to treatment facilities and the distribution system; and looping and gridding throughout the system to improve redundancy, reliability, and resiliency.","Other","59881000","No Information","90846","Yes","40","53"
"Texas","No Information","Greenbelt MIWA","TX0650013","No Information","The proposed project will install 3 proposed groundwater wells, well field piping, electrical distribution equipment, a 12-mile transmission line to transport the water to the existing Greenbelt Water Treatment Plant, and treatment plant upgrades to incorporate the new water source into the treatment process. The Greenbelt Water Authority has already negotiated water rights from this property, acquiring 2,780 ac-ft/yr of groundwater rights.","Other","18537820.83","No Information","21422","Yes","14","93"
"Texas","No Information","Angelina & Neches RA","TX0030027","No Information","Develop and construct a new water supply source, transmission main and treatment plant/pump station for delivering potable water that meets or exceeds state and federal regulatory standards. Replace existing deteriorated distribution system lines, valves and water meters, to include new AMI/AMR meters.","Other","7192110","No Information","578","Yes","16","84"
"Texas","No Information","Arimak WSC","TX1330135","No Information","The Arimak Water Supply Corporation (WSC) is the recipient of an Administrative Order from the United States Environmental Protection Agency (EPA) for non-compliance of the Safe Drinking Water Act (SDWA) as it pertains to radionuclides levels in drinking water. The WSC is addressing this matter through the implementation of a groundwater treatment project. Also, the ground storage tanks (GSTs) have reached the end of their useful life and are in need of replacement. The project will include development of an asset management plan.","Other","1755000","No Information","108","No","38","55"
"Texas","No Information","Blanco","No Information","No Information","This project consists of three waterline replacement projects, as follows; -9th Street Waterline Replacement -Cielo Springs Waterline Replacement -Palomino Waterline Replacement","Other","3558738.4","No Information","2256","No","33","62"
"Texas","No Information","Corix Utilities","No Information","No Information","Improvements to the existing water treatment plant by installing a new membrane filtration system to meet water quality and capacity requirements.","Other","9883000","No Information","3282","Yes","15","84"
"Texas","No Information","Sandbranch Development & WSC","No Information","No Information","Install a water system to an existing development.","Other","4025000","No Information","190","Yes","3","164"
"Texas","No Information","New Home","TX1530004","No Information","The City has had high Arsenic and Fluoride levels that exceed the MCL of .01 and 4 MG/L for several, consecutive years and the City is under EPA enforcement action.","Other","1438155.25","No Information","326","No","37","55"
"Texas","No Information","La Joya","No Information","No Information","The City of La Joya is seeking funding to expand their Water Treatment Plant. The city is experiencing the following issues; Inadequate water treatment capacity; Inadequate raw water pump capacity; and Trouble maintaining minimum TCEQ required water pressure to provide residents during peak times. The following items are needed to bring the water treatment and distribution systems in compliance to the TCEQ rules and regulations: Expand Water Treatment Plant and Install two 1,350 gpm pumps.","Other","6968000","No Information","4253","Yes","13","97"
"Texas","No Information","Gordon","TX1820007","No Information","Water treatment plant improvements including clarifier replacement, plant piping, SCADA, and distribution line replacements.","Other","1962000","No Information","744","Yes","39","53"
"Texas","No Information","Liberty Hill","No Information","No Information","The proposed project includes planning, design, and construction of the first phase of a direct potable reuse water treatment system for the City of Liberty Hill’s South Fork Wastewater Treatment Plant.","Other","28650000","No Information","2041","Yes","10","107"
"Texas","No Information","Liberty Hill","No Information","No Information","The proposed project includes planning, design, and construction of the first phase of a raw water intake at the Gandy tract spring-fed pond, raw water pipeline, and surface water treatment plant to provide the City of Liberty Hill with a new source of drinking water supply and treatment capacity.","Other","60550000","No Information","2041","Yes","11","106"
"Texas","No Information","Liberty Hill","No Information","No Information","The proposed project includes planning, design, and construction of the first phase of an Edwards Aquifer well field in the Georgetown area, raw water pipeline, and treatment system to provide the City of Liberty Hill with a new source water supply and treatment capacity.","Other","27500000","No Information","2041","Yes","12","106"
"Texas","No Information","Westbound WSC","No Information","No Information","Westbound WSC has substantial head loss through smaller diameter water lines, a lack of production water in certain pressure planes, limited capability to control and monitor the distribution system remotely, two pump stations that are old and hydraulically undersized, in addition to very limited emergency back up power. After the proposed improvements have been constructed, the above mentioned issues should be resolved.","Other","5416000","No Information","2748","Yes","6","130"
"Texas","No Information","Gladewater","tx0920001","No Information","Improvements to the water system.","Other","2830000","No Information","6441","Yes","25","67"
"Texas","No Information","Menard","TX1640001","No Information","Major rehabilitation, additions and modifications to the surface water treatment plant and raw water wells to address groundwater under the influence.","Other","5250000","No Information","1471","Yes","1","182"
"Texas","No Information","Barksdale WSC","TX0690011","No Information","New Well","Other","800700","No Information","210","Yes","4","161"
"Texas","No Information","Paint Rock","No Information","No Information","This project involves the replacement of meters with an AMR system and the installation of water lines","Other","300000","No Information","371","No","26","67"
"Texas","No Information","Orange Co WCID # 1","No Information","No Information","This project will provide for a new estimated 2,000 GPM water well and treatment facilities.","Other","4791500","No Information","14937","No","27","67"
