Rank,Points,PIF #,Entity,Owner Type,PWS ID,Population,Project Description,Requested Phase(s),Total Project Cost,Disadv %,Green Type,GPR,Related PIF #s
230,1,14389,Marsha WSC,W,TX2270040,680,"Marsha WSC is experiencing major and consistent water loss  in the distribution system. In order to prevent these losses,  the PWS will need to replace water lines and replace meters.  The system also needs to replace lines to accommodate fire  flow.",PADC,"$5,571,400.10",,Yes-BC,"$1,166,970.00",
231,1,14471,Parker WSC,W,,"3,000",The WSC wants to improve their water distribution system to  better service customers with sufficient pressure and  disinfectant residuals.,PDC,"$3,300,000.00",,Yes-BC,"$3,300,000.00",
232,1,14622,San Pedro Water  Resources,W,TX2330064,147,San Pedro water system requires a system upgrade to meet  capacity requirements by TCEQ,PDC,"$343,000.00",,,,
233,1,14478,Medina WSC,W,,780,"Expensive maintenance has been deferred over the years on  a Medina WSC storage tower that has been in operation  since 1967. A recent assessment indicates a need for repairs  and upgrades with a maintenance plan for the next 10 years  in order to maintain function and meet TCEQ standards.  The analog water meters used by Medina WSC develop  inaccurate readings, require manual readings, are not  accurate at identifying leaks on the customer or provider side  of the line, and are not able to accurately measure low water  flow, so the company is seeking to upgrade to ultrasonic flow  meters in order to conserve water by  reducing unaccounted  water loss, decrease contamination risks, and decrease labor  costs and hazards from meter reading and searching for  leaks.",C,"$394,756.00",,Yes-BC,"$138,406.00",
234,1,14686,Wolfforth,M,TX1520005,"5,771","The City of Wolfforth is experiencing significant growth, and in  order to meet our capacity needs, a new one-million gallon  Elevated Storage Tank must be constructed.",PADC,"$6,515,000.00",,,,
235,1,14446,Creedmoor Maha WSC,W,TX2270008,"9,728",Providing water services to those within the CMWSC CCN  who do not have it available.,PADC,"$5,527,971.00",,,,
236,0,14577,Bluegrove WSC,W,TX0390014,70,This project involves the construction of a new pump station  and the replacement of water distribution line to help with  water loss.,PDC,"$300,000.00",,,,
237,0,14543,Harrold WSC,W,TX2440002,141,Install a new supply line and repair the existing elevated  storage tank,PDC,"$300,000.00",,,,
238,0,14605,Weston WSC,W,TX0430050,283,Replace old waterlines with new PVC waterlines in the small  town of Weston to minimize losses and continual leak repairs.,P,"$259,008.80",,,,
239,0,14597,Conroe Bay Water-Sewer  Supply Corp,W,,345,"The existing water system of CB WSSC needs rehabilitation  and improvements due to the age of the facility.  Improvements include the addition of a new water well,  pressure tank, ground storage tank, and a generator system  for emergency event.",PDC,"$556,000.00",,,,
240,0,14612,Webb County,C,,348,This project will provide for the installation of a distribution  connection from the water main located adjacent to Mangana- Hein Road to the water Dispenser.,C,"$420,000.00",,,,
241,0,14379,River Oaks WSC,W,,375,"New Water Lines, Install Meters",PC,"$98,000.00",,,,
242,0,14527,Balmorhea,M,,408,Installation of control and remote monitoring equipment in key  locations along the drinking water transmission and  distribution lines.,PDC,"$300,000.00",,,,
243,0,14600,Woodloch,M,TX1700112,741,Repair and rehabilitate existing water well for the Town of  Woodloch's water system that is currently experiencing  capacity issues.,PDC,"$300,000.00",,,,
244,0,14408,Chatt WSC,W,,927,Water Meter Replacements,PDC,"$300,000.00",,Yes-BC,"$200,000.00",
245,0,14474,Bronte,M,TX0410001,949,"The City of Bronte currently has an area served with a 4""  water line.  Because of this, the area occasionally has low  water pressure during high usage and does not have  adequate flow for fire protection.  The proposed project would  replace the existing line with a 6"" or 8"" line so that adequate  pressure and flow can be provided.",PDC,"$300,000.00",,,,
246,0,14596,Stockdale,M,TX2470003,"1,413",The City of Stockdale proposes to install a new well to enable  it to continue to provide reliable drinking water to its  customers.,PADC,"$2,601,568.80",,,,
247,0,14499,Freer WCID,D,TX0660002,"2,461","This project consists of constructing one (1) composite  elevated tank, removing once (1) standpipe, rehabilitation one  (1) ground storage tank, and acquiring 1,000 smart water meters.",PDC,"$4,876,800.00",,,,
248,0,14477,Abernathy,M,TX0950001,"2,865","Construction and installation of a 500,000-gallon ground  storage tank and booster station near the city's wellfield to  extend the useful life of the City’s wellfield.",PADC,"$1,737,218.00",,,,
249,0,14480,Fairfield,M,TX0810001,"2,916","This project involves constructing a new high service pump  station at their existing well site, 400,000-gallon ground  storage tank, generator, and line extensions to connect the  tank into the distribution system.",PDC,"$3,450,748.30",,,,
250,0,14539,Olney,M,,"3,200",Rehabilitation or new construction of the existing water  treatment plant.,PADC,"$13,483,000.00",,,,
251,0,14507,Clifton,M,TX0180001,"3,442","The City of Clifton is pursuing funds to perform multiple  potable water system improvements, ranging from additional  waterline installations to provide system looping capabilities,  the drilling of a replacement well, and also the installation of  AMR meters",PADC,"$2,783,670.54",,,,
252,0,14530,Becker-Jiba WSC,W,,"3,618","300,000 gallon Single Pedestal Elevated Water Storage Tank  for extra storage and waterline extension.",PDC,"$3,140,000.00",,,,
253,0,14394,Justin,M,,"3,859",This project includes the addition of a ground storage tank  and high service pump station in order to increase the supply  that can be received from UTRWD.,DC,"$3,161,250.00",,,,
254,0,14598,Harris Co WCID #  92,D,TX1010124,"4,737",Water Plant & Distribution System Improvements,PDC,"$7,350,000.00",,,,
255,0,14396,Fort Stockton,M,,"8,424",The City of Fort Stockton is developing a project to diversify  its drinking water portfolio beyond the Edwards-Trinity Aquifer  for system resilience.,DC,"$12,970,000.00",,,,
256,0,14603,North Alamo WSC,W,TX1080029,"11,572",North Alamo WSC is proposing to construct a 1.0MGD  elevated storage tank within its service area to address  deficiency in elevated storage.,PADC,"$4,941,500.00",,,,
257,0,14411,Ennis,M,TX0700001,"20,678","Remove and replace existing old, undersized, and  deteriorating waterlines with a new larger diameter waterline.",PC,"$7,072,000.00",,,,
258,0,14541,Military Highway WSC,W,,"46,000","Military Water Supply Corporation will be upgrading 29,000  L.F. of existing waterline.",PADC,"$2,203,000.00",,,,
259,0,14552,Harlingen Water Works  System,M,,"75,330","HWWS’s two WTPs generate sludge that is stored in a single- cell lagoon at the MFR WTP. Sludge generated at the  Downtown WTP is temporarily stored in earthen basins, then  drained on the banks prior to hauling to the lagoon, while  MFR sludge is pumped directly to the lagoon.  Solids handling  improvements are proposed to discharge dilute sludge to the  sewer collection system and dewater it along with the WWTP  biosolids. Alternatively, Downtown WTP sludge will be  thickened / dewatered by mechanical methods prior to  hauling to the lagoon or to off-site disposal. The lagoon will  be divided two cells to allow drying and sludge removal from  one cell while the other continues in service.  Off-site disposal  options include land application, land filling, monofil, and  innovative use.",PAD,"$496,231.00",,,,
260,0,14563,Harlingen Water Works  System,M,,"75,330","The aging pipeline that conveys raw water to the Downtown  WTP Reservoir by gravity flow consists of a 5’ x 5’ concrete  box and a 42” reinforced concrete pipe, both of which require  increasingly frequent repairs that jeopardize continuous use  of the WTP.  The 42” segment limits flow to 67% of the plant’s  rated capacity, and under high continual demands or an  emergency condition in which the Downtown plant is the only  WTP in operation, the pipeline will limit HWWS’s ability to  keep up with system demand.  The proposed upgrade of the  pipeline will eliminate downtime and ensure sufficient supply  of raw water to the reservoir at the WTP’s rated capacity.",PADC,"$10,552,822.00",,,,
261,0,14492,Edinburg,M,TX1080004,"95,847",The City of Edinburg has an existing raw water reservoir  which provide raw surface water to the City's two water  treatment plant facilities. The reservoir was constructed over  40 years ago and are in need of rehabilitation. The raw water  reservoir side slopes have deteriorated and the reservoir is  currently leaking and losing storage water. Rehabilitation will  consist of restoring side slopes with concrete revetment to  prevent erosion and  installing  a geo synthetic liner to  prevent raw water leakage and raw water loss.,PDC,"$8,860,000.00",,,,
262,0,14594,Austin,M,TX2270001,"1,053,756",Convert the existing disinfection chemical feed at Ullrich WTP  from chlorine and ammonia gas to 'inherently safer  technology' of On-site Sodium Hypochlorite Generation  (OSHG) and Liquid Ammonia Sulfate (LAS).,C,"$50,986,660.00",,,,
263,0,14462,San Antonio Water  System,M,,"2,003,714","The Water Production Facilities Disinfection System  Upgrades Phase 4 project will design the upgrades needed to  convert the Anderson, Mission and Oliver Ranch pump  stations from chlorine gas to sodium hypochlorite generation  as a disinfectant for potable water",D,"$2,214,434.00",,,,
264,0,14463,San Antonio Water  System,M,,"2,003,714","The Seale Pump Station Improvements project, a part of the  multi-year pump station improvements program, will evaluate  and replace high service pumps, well pumps, and associated  electrical and SCADA equipment.",D,"$2,372,598.00",,,,
265,0,14384,Dallas,M,TX0570004,"2,561,490","DWU's water main replacement program provides for  rehabilitation or replacement of approximately 40 miles of  small diameter water mains annually. This program will allow  us to continue to replace water mains to reduce water main  breaks throughout the system; thereby reducing maintenance  costs, water losses and impact to the public. DWU targets a  break rate of 15 breaks per 100 miles per year and adjusts its  replacement program relative to meeting that goal. This is  consistent with the goal defined in the AWWA Partnership for  Safe Water Distribution System Optimization Program.",DC,"$34,000,000.00",,,,
266,0,14386,Dallas,M,TX0570004,"2,561,490","The Lake June Pump Station (PS) and Reservoirs, built in  1960, have exceeded their useful life and need to be  replaced. Lake June PS delivers 360 mgd of potable water to  four separate pressure planes within the DWU distribution  system. There is 21 MG of onsite storage capacity. The pump  station must remain in service until the new pump station and  reservoirs are built with minimal shutdown. The proposed  project is Engineering Design Services for the replacement of  Lake June Pump Station (PS) and Reservoirs.  This pump station is critical to Dallas Water Utilities' ability to  deliver potable water to south Dallas and represents the only  supply source for the Cedardale High Pressure Plane. The  Lake June Pump Station is a crucial component of DWU's  water delivery system and is highest ranked project on DWU's  Pump Station Criticality List.",D,"$7,500,000.00",,,,
267,0,14518,Dallas,M,TX0570004,"2,561,490",DWU's Elm Fork WTP Filter Complex -Phase 2 project will  complete the construction of the new BAF Filter Complex and  integrate it into the plant's treatment process.,C,"$127,400,000.00",,,,
