Rank,Points,PIF #,Entity,"Owner
Type",PWS ID,Population,Project Description,"Requested
Phase(s)",Total Project Cost,"Disadv
%","Green
Type",GPR,"Related PIF
#'s"
220,15.5,16968,North Rural WSC,W,TX1820009,"3,720","North Rural Water Supply Corporation (NRWSC) has experience
water loss in their system due main breaks and leaks that have
occurred in their aging water lines. Their main 8-inch diameter
water lines in the distribution system were installed in the 1960s a
part of the original system installation. Now over 60 years old,
NRWSC is targeting these lines for replacement to reduce water
loss and improve system reliability. NRWSC has been proactive i
replacing portions of their main lines as funding has been availabl
but is looking for assistance to replace the remainder of their 8-
inch lines in their East Pressure Plane.",PDC,"$3,526,000.00",,Yes-BC,"$1,837,000.00",
221,15.5,16865,Orange,M,TX1810004,"22,205","Construct a new Water Well Plant for the City of Orange, TX.",PADC,"$31,560,000.00",,,,
222,15.5,16931,Houston,M,TX1010013,"2,314,157","Accelerated rehabilitation and replacement of small diameter (2”-
20”) water distribution infrastructure to address deficiencies
affecting water quality, fire flow availability, water loss, sub-
standard water lines, system design and asset age. Includes
replacement of lines undersized for current usage, improve
integrity of water supply, and replacement of end-of-life
components (lines, valves, appurtenances). Work to be
performed within existing City rights-of-way under task order-
based contracts.",C,"$40,000,000.00",,,,
223,15.5,16932,Houston,M,TX1010013,"2,314,157","Accelerated rehabilitation and replacement of large diameter
(>20”) water distribution infrastructure to address deficiencies
affecting water quality, fire flow availability, water loss, system
design and asset age. Includes replacement of lines undersized
for current usage, improve integrity of water supply, and
replacement of end-of-life components (lines, valves,
appurtenances). Work to be performed within existing City rights-
of-way under task order-based contracts.",C,"$40,000,000.00",,,,
224,15.5,16934,Houston,M,TX1010013,"2,314,157","Replacement of small diameter distribution infrastructure serving
disadvantaged communities within the City of Houston.",DC,"$33,703,000.00",,,,
225,15,16833,Cumby,M,TX1120001,777,"Project includes drilling a new water supply well, installation of a
pump station, disinfection, installation of a ground storage tank,
transmission lines and elevated storage tank.",PADC,"$9,760,000.00",,,,
226,15,16952,Brownsboro,M,TX1070003,"1,320","The City of Brownsboro has a water treatment plant that serves
two pressure planes. The total number of connections (2 pressure
planes combined) is 440 with three Brownsboro ISD campuses o
the system. Currently the plant exceeds the TCEQ capacity
requirement for the ground storage tank and its current existing
wells capacity. The project consist of updating and improving the
existing water plant by installing a new well, new pressure tank, a
new ground storage tank and new booster pumps.",PDC,"$1,666,250.00",,,,
227,15,16873,East Garrett WSC,W,TX0700024,"1,521","East Garrett WSC is putting forward a project to strengthen their
water lines due to their current water loss in their system. They
propose to replace existing leaking lines to reduce water loss as
well as meet minimum pressure requirements in the system per
30 TAC ?290.44(d).  An asset management plan will also be
provided.",PDC,"$8,830,000.00",,Yes-BC,"$3,827,000.00",
228,15,17008,New Fairview,M,,"1,521","Project entails water transmission pipe and elevated storage for
the delivery of drinking water to a site adjacent to the City of New
Fairview.",DC,"$16,437,870.00",,,,
229,15,17014,Huntington,M,TX0030002,"2,121","Remove and replace existing waterlines in the distribution system
and misc. water plant upgrades.",PDC,"$3,942,000.00",,,,
230,15,16668,Wills Point,M,TX2340005,"6,648","The City of Wills Point has a 12 inch raw water supply line which
supplies water from the intake on Lake Tawakoni to the City's
Water Treatment Plant (WTP). The raw water transmission line
and intake pump station, and the in-line booster pump station are
in need of repairs, upgrades, and replacements. The purpose of
this project is to replace 38,400 linear feet of 12 inch raw water
transmission line from the Lake Tawakoni Intake to the City WTP,
make upgrades to the raw water intake pump station, and make
upgrades to the in-line booster pump station in order to provide
reliable raw water to the WTP.",PDC,"$8,688,000.00",,,,
231,15,16601,Seminole,M,TX0830012,"8,970","The proposed project will add additional storage to the treatment
system, as well as develop additional ground water sources for
the City. The project will also feature improvements and
rehabilitation of existing pump stations within the distribution
system. Additionally, the City desires to increase treatment
capacity to include 2 mgd worth of R.O. Treatment. An asset
management plan will also be completed.",PADC,"$21,823,000.00",,,,
232,15,17049,Lago Vista,M,TX2270092,"9,341","The City of Lago Vista experiences significant water loss through
leaking and failing components of its water distribution system.
This project will systematically identify, repair, and replace these
failing elements to enhance water conservation, improve system
reliability, and ensure compliance with regulatory standards.",DC,"$14,500,000.00",,Yes-BC,"$14,500,000.00",
233,15,16815,Iowa Colony,M,TX0200645,"14,823","Removal of Iron and Manganese from the City of Iowa Colony
water system.",PDC,"$5,870,000.00",,,,
234,15,17105,Iowa Colony,M,,"14,823","Construction of water well, elevated storage tank, and waterline
extension.",PDC,"$10,300,000.00",,,,
235,15,17117,Wise Regional WD,D,,"72,359","The project will study and plan a regional wholesale water system
for Wise County.",P,"$2,979,400.00",,,,
236,14.5,16631,Tolar,M,TX1110012,"1,016","The City of Tolar is a developing community. The proposed
project involves the installation of a new municipal water well, raw
water line, and distribution lines to increase the city's water suppl
capacity.",PDC,"$2,291,000.00",,,,
237,14,16561,Carl's Corner,M,TX1090070,201,"The city's water well (State Well Number 32-64-203) only
produces 10 gallon per minute to serve 71 connections.  This
amount is woefully short of the TCEQ requirement of 0.6 gpm per
connection.  The city desires to increase its water supply by
constructing a new water well, or if necessary to obtain other
adequate water supply or emergency interconnection. Additionall
8 households are currently having water hauled to their homes
due to lack of water distribution ability.",DC,"$3,279,410.00",,,,
238,14,16570,West Hardin WSC,W,TX1000055,"4,473",New Water Well and Water Distribution Line Improvements,PDC,"$2,133,000.00",,,,
239,14,17059,Lee County WSC,W,TX1440005,"14,570",Water Distribution System Improvements,PADC,"$23,400,000.00",,Yes-BC,"$9,300,000.00",
240,13.5,16791,Castroville,M,TX1630033,150,"Replacement of a 6,000 gallon ground storage tank with a 50,000
gallon ground storage tank.",DC,"$835,000.00",,,,
241,13.5,16938,Palo Pinto WSC,W,TX1820004,347,Replacing an existing elevated storage tank.,PDC,"$2,415,000.00",,Yes-BC,"$2,415,000.00",
242,13.5,16573,La Coste,M,TX1630004,"1,488","The City's existing water well is undersized and failing and cannot
be rehabilitated.  A new well will need to be drilled to replace it.
The City does not have a Water Utility Master Plan. The City's
CCN extends over a large amount of undeveloped land. Master
Plan is needed to help them direct their efforts to serve these
undeveloped areas. The City has many undersized galvanized
pipes that are leaking and in need of repair. Many of the existing
pipes are not shown on maps and will need to be located to
determine the size and length so that an estimated replacement
cost can be established.",PADC,"$3,494,794.00",,,,
243,13.5,16853,East Medina Co SUD,D,TX1630010,"5,942","Replacement of a 6"" and 8"" water main along FM 463 from CR
669 to CR 5719.",DC,"$4,750,000.00",,,,
244,13,17011,Granger,M,TX2460002,"1,015","New ground water well, ground storage tank, booster pump
station, elevated storage tank and trunk main.",PADC,"$13,578,500.00",,,,
245,13,17111,Haciendas Del Norte WID,D,TX0710091,"1,280","Replacement of water lines and isolation valves, and preparation
of a PER and asset management plan.",PDC,"$5,000,000.00",,Yes-BC,"$5,000,000.00",
246,13,16930,"Matagorda Waste Disposal
& WSC",W,TX1610013,"1,497","This project will replace aging and deteriorating water system and
add an additional 50 customers. The project proposes to refurbish
and update its water infrastructure to provide better and more
efficient water service and provide first time water service",PDC,"$8,495,000.00",,,,
247,13,16992,Chalk Bluff WSC,W,TX1550020,"3,353","Chalk Bluff Water Supply Corporation seeks funding to improve it
water infrastructure, ensuring safe and reliable water service to
the community. The project focuses on upgrading aging pipelines,
enhancing water treatment facilities, and increasing storage and
distribution capacity to meet growing demand. Since formed in
1958, the Chalk Bluff Water Supply Corporation provides water to
rural customers in the Chalk Bluff area, McLennan County, Texas
currently providing water to 1,336 customers.",PADC,"$1,724,350.00",,,,
248,12.5,16917,Terrell Co WCID # 1,D,TX2220002,664,Improvements to SCADA system and service lines & equipment.,DC,"$250,000.00",,,,
249,12.5,16885,Pendleton WSC,W,TX0140033,689,"Project includes new 250,000 gallon elevated storage tank and
18"" water line.",PADC,"$10,293,800.00",,,,
250,12.5,16890,Rehobeth WSC,W,TX1830012,"1,101","Install a new designated fill line to the elevated storage tank,
disinfection system relocation, distribution line improvements, and
install a new aerator.",PDC,"$3,670,000.00",,,,
251,12.5,16802,Ames-Minglewood WSC,W,TX1460005,"1,174","Water Well, elevated storage tank, and pumps",PDC,"$4,965,000.00",,,,
252,12.5,17013,Holland,M,TX0140003,"1,315",New ground water well and transmission main..,PADC,"$6,343,000.00",,,,
253,12.5,16969,Grandview,M,TX1260004,"2,004","To reduce water loss and increase water conservation by
replacing old, deteriorated waterlines and secure water availabilit
with new ground storage tank.",PDC,"$1,663,250.00",,,,
254,12.5,16977,Itasca,M,TX1090003,"2,015",Itasca Water System Improvements,PDC,"$5,881,693.00",,,,
255,12.5,16984,Goodsprings WSC,W,TX2010016,"2,541","Replacement of old and/or undersized lines and creation of loops
in the system.",PDC,"$2,875,000.00",,Yes-BC,"$2,000,000.00",
256,12.5,16808,BCY WSC,W,TX0010018,"3,012","Planning, property acquisition, design, bidding, and construction o
water system improvements.",PADC,"$5,405,000.00",,,,
257,12.5,16792,Sturdivant-Progress WSC,W,TX1820011,"3,357","Sturdivant Progress WSC has multiple locations in the system
with small diameter pipes that restrict flow and cause high head
loss in the transmission pipes, as well as replacing compressors
at multiple pump stations.",PDC,"$3,416,500.00",,Yes-BC,,
258,12.5,16850,West Wise SUD,D,TX2490016,"3,909","West Wise SUD's project is a new water treatment plant at 2.0
mgd production. The existing treatment facility is approaching the
end of life for major equipment and structures. Completion of an
asset management plan will be part of this project.",PDC,"$33,144,000.00",,Yes-BC,"$1,664,000.00",
259,12.5,16820,Bruceville-Eddy,M,TX1550024,"5,769",Bruceville-Eddy New Municipal Well,PADC,"$6,506,244.00",,,,
260,12.5,16953,Creedmoor Maha WSC,W,TX2270008,"8,907",Creedmoor Maha WSC Watermain Replacements,PDC,"$2,876,305.00",,,,
261,12,16617,Athens MWA,D,TX1070252,"12,878","This project involves the design and construction of the major
structural, mechanical, and electrical components of new Raw
Water Intake Facility, and removal of the existing Facility. This
project also addresses water loss mitigation by replacing old,
leaking facilities.",DC,"$15,700,000.00",,Yes-BC,"$1,380,000.00",
262,11.5,16622,Hemphill,M,TX2020001,"1,029","Upgrade Water Supply Main. New Water Main along SH 87. New
Water Main along FM 83. New Water Main along Texas Street
(Bank ROW to Main St). New Water Main along Texas St. (Bank
ROW to Worth St)",PDC,"$3,517,840.00",,,,
263,11.5,16985,Cottonwood Shores,M,TX0270013,"1,725",2025 Water Improvements Project,PADC,"$5,233,600.00",,,,
264,11.5,16593,Hawley WSC,W,TX1270006,"7,830","Hawley Water Supply Corporation is proposing to upgrade an
existing booster pump station, Install two (2) new booster pump
stations for two (2) respective pressure planes, and upsize variou
transmission lines throughout their distribution system along with
preparation of an asset management plan.",PADC,"$38,580,000.00",,,,
265,11.5,17002,Benton City WSC,W,TX1630034,"32,400","New Water Well, Treatment, Ground Storage and Booster Pump
Station and Asset Management Plan",PDC,"$4,700,000.00",,,,
266,11.5,17004,Benton City WSC,W,TX1630034,"32,400",Construction of a New Water Well and Ground Storage Tank.,PADC,"$2,900,000.00",,,,
267,11,16993,Atlanta,M,TX0340001,"5,433","The proposed project is needed to replace existing water mains
that are cast iron and asbestos cement pipe materials that are in
poor condition. The proposed project will replace 2”, 4”, 6”, and 8”
water mains throughout the city. The project will include
replacement of water services, fire hydrants, and include
installation of valves. The proposed project will be replacing cast-
iron mains that have lead joints.",DC,"$6,503,787.00",,,,
268,11,16870,Del Rio,M,TX2330001,"45,000","Includes replacement of sections of existing 10 miles (approx.) of
water distribution system that were identified as undersized/failing
in the order of priority that was identified in the 2010 Water Model
and Leak Detection Study. This project is the continuation of the
City’s program to replace water lines, which started with the
previous work under Phase I-Waterline Replacement Project.",PDC,"$45,279,832.00",,,,
269,11,16974,Austin,M,TX2270001,"1,171,830","The Center Street Pump Station will be replaced with a new pum
station including electrical improvements to bring the station up to
current design standards.",PC,"$59,007,110.00",,,,
270,11,16978,Austin,M,TX2270001,"1,171,830","Building an additional reservoir in the Southwest B Pressure Zone
and its associated transmission main. This project is required to
provide storage and resiliency in the pressure zone.",C,"$24,879,000.00",,,,
271,10.5,16605,Navarro Mills WSC,W,TX1750024,"4,170","The WSC completed a Water System Study in 2022 which
identified multiple capacity issues throughout the water treatment
and distribution system resulting in the need for upgrades to bring
the facilities into compliance with TCEQ regulations.",PDC,"$2,500,000.00",,,,
272,10.5,17050,Lago Vista,M,TX2270092,"9,341","Upgrading WTP #3 capacity to satisfy water production needs
through the 2033 planning scenario and ensure long-term system
reliability, regulatory compliance, and protection against future
water shortages.",DC,"$26,800,000.00",,,,
273,10,16951,Cotton Center WSC,W,TX0950014,250,"Cotton Center WSC is a public water system in Hale County. The
system operates without the use of ground storage and pumping
facilities. Cotton Center WSC is proposing to install a ground
storage tank, pump station, and new disinfection facilities to
alleviate water service disruptions during maintenance to their
elevated storage tank, or a power outage at their well sites.",DC,"$1,125,000.00",,,,
274,10,17100,Peaster,M,,428,"The project will transfer drinking water from the City of Springtow
to the Town of Peaster.",DC,"$21,001,970.00",,,,
275,10,16881,Evadale WCID # 1,D,TX1210011,963,"EWCID1 is currently having issues with its water distribution
system and their water lines are deteriorating and undersized. Thi
project will provide additional distribution capacity and replace
deteriorated distribution.",PDC,"$792,635.00",,,,
276,10,17037,Kellyville-Berea WSC,W,TX1580003,"1,125",Water System Improvements,PADC,"$13,480,000.00",,,,
277,10,16965,Grandview,M,TX1260004,"2,004","This project consists of drilling two new water wells and installing
new back up generator at the elevated storage tank site to ensure
adequate supply of public drinking water for the residents of
Grandview.",PADC,"$3,410,800.00",,,,
278,10,16991,Grandview,M,TX1260004,"2,004","Install infrastructure to tie-in to JCSUD water supply to suppleme
the City of Grandview with purchased potable water to meet the
City's demand and sustain regulatory compliance.",PADC,"$13,902,500.00",,,,
279,10,16651,Hughes Springs,M,TX0340003,"2,527","Replacement of old deteriorated water lines that are contributing
to water loss and frequent maintenance.",PDC,"$3,363,945.20",,,,
280,10,16626,Dean WSC,W,TX2120009,"5,907","Construction of a new elevated storage tank at an existing pump
station.",PDC,"$3,653,000.00",,,,
281,10,16661,Angleton,M,TX0200002,"19,500",This project involves construction of a new transmission line.,PDC,"$3,055,321.12",,,,
282,10,17038,Duncanville,M,TX0570007,"39,879",Duncanville Watermain Improvements,PDC,"$31,778,232.00",,,,
283,9.5,17063,Liberty Hill,M,TX2460013,"8,777","This project includes the City of Liberty Hill's Advanced Water
Purification Facility for direct potable reuse and the Butler Farms
Elevated Storage Tank. Both projects are essential to ensuring a
reliable, sustainable, and efficient water supply for Liberty Hill that
supports both current needs and growth while implementing
innovative water reuse strategies and improving the City's water
distribution infrastructure. This project will also help the City
comply with stricter total phosphorus limits imposed at the South
Fork WWTP through treatment and reuse of effluent at the AWPF
rather than discharging.",PADC,"$240,000,000.00",,,,
284,8.5,16838,Trent,M,TX2210009,269,"The City desires to upgrade/replace the existing elevated storage
tank and replace the existing 8” Asbestos Cement transmission
supply line that is the only source of water.  The line experiences
frequent breaks that shut off water supply to the City.  The City
also desires to replace all existing AC water lines within the
distribution system and replace the existing EST that was
constructed in 1927.  An asset management plan will also be
developed.",PDC,"$8,205,000.00",,Yes-BC,"$4,836,000.00",
285,8.5,16837,Travis Co WCID # 17,D,TX2270027,696,"River Ridge, a jurisdiction within WCID #17, has a serious water
loss problem. The water distribution system needs major repairs
and significant replacements.",PDC,"$5,200,000.00",,Yes-BC,"$5,200,000.00",
286,7.5,16736,Northeast Texas MWD,D,TX1580065,"39,605","Project includes expansion of the Tanner Water Treatment Plant'
potable water storage and pumping facilities as well as
improvements to the chemical and solids handling facilities.",PADC,"$14,594,500.00",,,,
287,6.5,16810,Benton City WSC,W,TX1630034,"32,400","0.50 MG  Ground Storage Tank (Pre-stressed Concrete); 1.0 MG
Elevated Storage Tank ( Composite); Booster Pump Station; and
Asset Management Plan",PDC,"$11,485,000.00",,,,
288,6,16599,Parker County SUD,D,TX1840025,475,"Restoration of components of the existing Greenwood
groundwater system.",PDC,"$2,551,000.00",,Yes-BC,"$817,000.00",
289,6,16704,Sterling City,M,TX2160001,888,"Sterling City aims to replace 50,000 LF of asbestos cement pipes,
repair an existing HSPS, rehabilitate its existing ground storage
tanks, replace failing service meters, and implement an asset
management plan.",PDC,"$23,822,500.00",,Yes-BC,"$23,822,500.00",
290,6,16905,Sonora,M,TX2180001,"2,766","System has Asbestos Concrete (AC) water lines and other water
lines that are prone to leaks and breaks which will be replaced
with durable, modern materials to reduce water loss, eliminate
health risks associated with asbestos, and extend the service life
of the distribution system.",PDC,"$14,664,000.00",,"Yes-
Comb.","$14,664,000.00",
291,6,16811,Big Lake,M,TX1920001,"2,965","Replacement of various portions of the City’s potable water
distribution pipelines and valves that have reached the end of thei
service life and require replacement. An asset management plan
will also be prepared.",PDC,"$16,269,000.00",,Yes-BC,"$1,590,000.00",
292,6,16884,Parker County SUD,D,,"6,300","Completion of distribution improvements for the District's North
and South pressure planes.",PADC,"$30,726,000.00",,Yes-BC,"$8,343,000.00",
293,6,16717,Laredo,M,TX2400001,"260,571","Replacement of meters throughout the City with Advanced
Metering Infrastructure (AMI).",C,"$45,370,460.00",,Yes-CE,"$36,973,150.00",
294,5.5,16829,Colorado Co WCID # 2,D,TX0450014,979,"Colorado County WCID 2 proposes to install a 50,000 gallon
ground storage tank and associated service pumps and refurbish
an existing 50,000 gallon elevated storage tower and an existing
water well to provide more connection capacity and redundancy i
their aging public water supply system.",DC,"$750,000.00",,Yes-BC,"$30,000.00",
295,5.5,16904,Glen Rose,M,TX2130001,"2,444","Glen Rose has experienced substantial water loss in certain area
of their system. This proposed project aims to address this issue
by replacing the existing lines responsible for the high-water loss
percentages. The plan includes the replacement of three lines:
one asbestos-cement (AC) water line and two steel water lines.",PDC,"$1,565,000.00",,Yes-BC,"$361,000.00",
296,5.5,16800,Acton MUD,D,TX1110007,"22,643","AMUD is proposing water system improvements to address
growth in the distribution system which includes upgrading a main
arterial distribution main in the system to areas which are currentl
limited by the size of main.  Several areas also require the
extension of main lines to provide additional pressure for new
developments.",PDC,"$10,064,000.00",,Yes-BC,"$6,068,000.00",
297,5,17109,Mibroma 3 LLC,P,TX0860006,120,Replace booster and drill new well.,P,"$80,000.00",,,,
298,5,16907,Graford,M,TX1820003,736,"Replace antiquated and deteriorated waterlines to improve water
conservation. Improve water storage quality with upgraded
chemical treatment equipment at pump station.  Ensure water
supply continuity with a new ground storage tank at pump station
and rehab for the elevated storage tank in town.",PDC,"$1,045,000.00",,,,
299,5,16960,San Leanna,M,TX2270017,748,"The project proposed to improve water measurement and reduce
loss by replacing meters, meter boxes, and related components
with AMR/AMI technology. The number of replacements will
depend on available funding, and an asset management plan will
be developed.",PDC,"$1,170,000.00",,Yes-CE,"$1,170,000.00",
300,5,16886,Pflugerville,M,TX2270014,"66,327","This work is to replace existing asbestos-cement pipe that is
present in the Gatlinburg & Pflugerville Estates neighborhoods.",C,"$9,370,000.00",,,,
301,5,16787,Pasadena,M,TX1010293,"156,000","A new 42"" waterline with a total length of approximately 14,500 L
starting at Crenshaw Rd north of Crenshaw Water Plant to Red
Bluff Blvd south of Rodeo Grounds Water Plant located in City of
Pasadena City limits.",PDC,"$18,873,340.00",,,,
302,4.75,16807,Castroville,M,TX1630005,"4,318","New 3000 gpm well pump, 1.5 MG elevated storage tank, and
integration water main",DC,"$22,100,000.00",,,,
303,4.5,16922,Pleasant Grove WSC,W,TX0810015,"1,399","Scope includes constructing 28,776 LF of 4"" PVC waterlines,
replacing a 1,500-gallon hydropneumatic tank with a 5,000-gallon
hydropneumatic tank, and constructing a 100 gpm water well.",PDC,"$4,114,780.00",,,,
304,4,16879,Eldorado,M,TX2070001,"1,574","Repair and repaint 50,000 gallon elevated storage tank. There ar
several TCEQ non-compliance issues that need to be addressed.
Perform a leak detection survey that will be used as a basis for
developing a capital improvements plan and asset management
plan.",PC,"$490,000.00",,Yes-BC,"$25,000.00",
305,4,16950,Primera,M,TX0310094,"5,167","The City of Primera needs to replace aged, malfunctioning, or hig
loss meters with new meters equipped with cellular data
monitoring technology. The City is also proposing to replace their
two high service pumps at their water tower. In addition, the city
would like to install a new supply connection to East Rio Hondo
WSC. The City is proposing to develop an asset management
plan for their water system.",PDC,"$4,080,000.00",,,,
306,4,16983,Hondo,M,TX1630002,"8,332","Replace deteriorated and undersized waterlines. Reduce water
loss. Improve water efficiency. Undersized lines do not meet
minimum TCEQ size criteria. Approximately 20% of lines in
system are 2-inch, galvanized and in poor condition. Failing
asbestos-cement lines are causing recurrent water loss. System
water losses are approximately 26%.",PDC,"$13,355,000.00",,,,
307,3.5,17114,Montgomery,M,TX1700022,"2,272","Construction of Water Plant No. 4 which includes a new
water well, elevated storage tank, chemical treatment and
building, booster pumps and pad, generator and pad, and
access driveways throughout the site.",C,"$8,860,000.00",,,,
308,3.5,16596,Parker County SUD,D,TX1840079,"6,300","The District proposes to further expand its existing WTP to
support increasing water demands in the area.",PDC,"$26,646,000.00",,Yes-BC,"$758,000.00",
309,3.5,16597,Parker County SUD,D,TX1840079,"6,300","To support increasing demands, the District intends to construct a
second WTP in its water system.",PADC,"$73,863,000.00",,Yes-BC,"$3,693,000.00",
310,3.5,16598,Parker County SUD,D,TX1840079,"6,300","The District proposes to construct a raw water storage basin to
support scalping of flood water when available and prepare an
asset management plan.",PADC,"$83,577,000.00",,Yes-BC,"$83,577,000.00",
311,3.5,16600,Parker County SUD,D,TX1840079,"6,416","This project will include the development of a brackish water well
to augment the District's source water supply for treatment at its
existing desalination WTP.",PADC,"$4,398,000.00",,Yes-BC,"$4,398,000.00",
312,3.5,17018,Willow Park,M,TX1840027,"6,804","The project consists of replacing old, deteriorated water lines in
the City's distribution system to reduce water loss and repair
costs.",PDC,"$4,350,000.00",,Yes-BC,"$4,000,000.00",
313,3.5,16825,McCoy WSC,W,TX0070023,"9,798","The McCoy WSC is experiencing growth in customers and will
address this by adding an additional well. Additionally they will
replace meters that are old and inaccurate to address water loss.
The WSC will ensure safety and health by addressing the lead
and copper rule.",PADC,"$12,645,000.00",,,,
314,3,16940,Marsha WSC,W,TX2270040,480,"This proposed project will detect leaks in the system which will
assist in the planning for water distribution line replacement.",P,"$265,000.00",,,,
315,3,16943,Marsha WSC,W,TX2270040,480,"This proposed project will replace small diameter water pipelines
throughout the distribution system.",PDC,"$960,000.00",,Yes-BC,"$960,000.00",
316,3,16945,Marsha WSC,W,TX2270040,480,"This proposed project will replace meters and traffic rated meter
boxes in the system with traditional meters, AMR and/or AMI.",PDC,"$1,090,000.00",,Yes-CE,"$1,090,000.00",
317,3,16639,Blue Ridge,M,TX0430002,"1,189","Replace the existing water distribution system's old and leaky line
with new 8"" PVC pipes, and install new valves, fire hydrants  and
service connections. City has experience excessive water lost du
to this and this project will start to correct this.",PDC,"$5,860,000.00",,,,
318,3,16864,Orange,M,TX1810004,"22,205","Design and construction of 500k Gallon Elevated Water Storage
tank",PDC,"$7,397,100.00",,,,
319,2.5,16834,Cushing,M,TX1740001,967,"Remove and Replace existing waterlines and rehabilitate an
existing water tank",PDC,"$4,832,200.00",,,,
320,2.5,16926,Millsap WSC,W,,"1,477","Millsap WSC proposes to install generators at their pump stations
(3) and upsize an existing waterline along Young Road.",PDC,"$1,310,000.00",,,,
321,2.5,16578,La Coste,M,TX1630004,"1,488","The City's EST, GST and Water Treatment Plant are aging and
have not had any rehabilitation in many years.  This project will
extend the useful life of those facilities.",PDC,"$3,357,505.00",,,,
322,2.5,16936,Archer City,M,TX0050001,"1,601","Replace deteriorated cast iron water distribution lines to reduce
water loss and upgrade metering system to AMI system for
increased accuracy in leak detection, water conservation and
usage efficiency.",PDC,"$3,493,200.00",,,,
323,2.5,17003,Chico,M,TX2490004,"2,127",Replace water lines to reduce water loss.,PDC,"$2,055,000.00",,Yes-BC,"$2,055,000.00",
324,2.5,16660,Justin,M,TX0610003,"5,068","The project proposes extending drinking water service to existing
and developing areas in the westerly portion of the City of Justin.",DC,"$36,448,160.00",,,,
325,2.5,16826,Elm Creek WSC,W,TX1550026,"5,262","Short Description: Elm Creek WSC’s proposed project would
focus on replacing portions of waterlines causing strain and water
loss on the system. This proposed project includes waterline
replacements on Munz Road and Tower Drive.",PDC,"$1,437,785.13",,,,
326,2.5,16949,Crowley,M,TX2200034,"19,007","The project will increase the system's total documented
production and storage capacity.",AC,"$27,482,410.00",,,,
327,2.5,16920,North Alamo WSC,W,TX1080029,"220,715","The Cameron-Willacy Counties First-Time Water Service Project
aims to extend safe, reliable drinking water to underserved areas
in Cameron and Willacy Counties by constructing new water
distribution infrastructure, including waterlines, service
connections, and related facilities. This initiative will provide first-
time water service to residents who currently rely on private wells
or inadequate water sources. The project will enhance public
health, improve quality of life, and support long-term community
resilience.",PADC,"$5,420,000.00",,,,
328,2,16624,White Oak,M,TX0920006,"6,469","New Intake/Pump Station, Raw Water Transmission Line, and
Elevated Storage Tank",PADC,"$14,575,000.00",,,,
329,1.5,16818,Castroville,M,TX1630005,"3,913","The city would like to replace waterlines in the Creekside
development as well as along the streets of Alamo and San
Jacinto to reduce frequent repairs and associated water loss, and
add a booster station in Cross Hill to meet minimum pressure
requirements in that area of town.",PDC,"$7,381,081.80",,,,
330,1.5,17034,Josephine,M,TX0430036,"6,960","Propose a new 0.5MG Elevated Storage Tank (EST) and perform
water system modeling",PDC,"$5,953,000.00",,,,
331,1.5,16971,El Paso Water,M,TX0710002,"866,275","This project involves the building of an elevated water storage
tank for the Montana East Homestead community. The project wil
significantly increase the storage capacity, for which there is
currently limited capacity for the expanding community.",C,"$20,279,770.00",,,,
332,1,16785,Greater Texoma UA,M,TX0910148,462,"Water System Improvements that include a new water well, and
update water lines.",PADC,"$2,168,925.00",,,,
333,1,17112,Montgomery,M,TX1700022,"2,272","Construction of a liquid bleach disinfection system for water plant
#2 and #3 to treat the source water effectively and safely for user
and operators.",DC,"$520,000.00",,,,
334,1,17113,Montgomery,M,TX1700022,"2,272","Replacement of approximately 725 LF of aging undersized
waterline in the downtown Montgomery area. The project includes
replacement of valves and hydrants and is needed as a result of
both age and size of pipe to meet continual growing demand.",C,"$267,800.00",,,,
335,1,16972,Austin,M,TX2270001,"1,171,830","Convert the existing disinfection chemical feed at Ullrich WTP
from chlorine and ammonia gas to 'inherently safer technology' of
On-site Sodium Hypochlorite Generation (OSHG) and Liquid
Ammonia Sulfate (LAS).",PDC,"$76,270,710.00",,,,
336,0.5,16935,Marsha WSC,W,TX2270040,480,"This proposed project is for hydraulic modeling of the system to
determine pipe upsizing and replacement needs.",P,"$220,000.00",,,,
337,0.5,16942,Marsha WSC,W,TX2270040,480,"This proposed project will account for the health of all assets
handled by the WSC and to develop a plan to improve the
operational reliability of the system.",P,"$400,000.00",,,,
338,0.5,16973,Luling,M,TX0280002,"5,455","The project consists of the replacement of approximately 30,000
linear feet of 8-inch cast iron mains.",PDC,"$5,880,000.00",,,,
339,0,16706,Wadsworth WSC,W,TX1610015,302,"This project involves replacing 4,654 Linear Feet of existing 1.5""
small diameter water line on FM521 (Larid Rd) and Doss Road S.
with new 4"" PVC.",C,"$250,000.00",,,,
340,0,16861,Wickett,M,TX2380002,422,"The City of Wickett proposes to rehabilitate their existing pump
station by installing new high service pumps, valves and
disinfection equipment.",DC,"$500,000.00",,,,
341,0,17015,Jayton,M,TX1320001,515,"The City of Jayton proposes to replace all existing water meters
with a new AMI type meter reading system.",DC,"$400,000.00",,Yes-CE,"$385,500.00",
342,0,17033,Crawford,M,TX1550011,890,Crawford AMI Water Meter Replacement,PDC,"$1,968,883.00",,,,
343,0,16999,Hardin Co WCID # 1,D,TX1000016,"1,290","This project will replace all existing residential water meters with
more efficient electronic auto-read meters.",PDC,"$500,000.00",,,,
344,0,16625,Holiday Beach WSC,W,TX0040015,"1,604",Replace existing water distribution lines.,PDC,"$2,975,000.00",,,,
345,0,16975,Itasca,M,TX1090003,"2,015",Itasca AMI Water Meter Replacement,PDC,"$2,443,725.00",,,,
