No.,PWS,Total  Points,PWS  ID.,Project  Cost,Population,Small  System  (Y/N),MHI,Disadv-  antaged  (Y/N),Project  Description,Base or  General,LSL,EC
582,SW BOONE COUNTY WATER  ASSOC,3,628,"$34,600 ","4,178",YES,,,LSLI,,X,
583,MUNDELL HEIGHTS  WATERWORKS,3,633,"$5,000 ",190,YES,,,LSLI,,X,
584,FORDYCE RURAL WATER  ASSOC,3,635,"$13,020 ","1,492",YES,,,LSLI,,X,
585,FRENCHPORT WATER  ASSOCIATION,3,636,"$14,140 ","1,669",YES,,,LSLI,,X,
586,MARVELL RURAL WATER  ASSOC,3,637,"$11,660 ","1,725",YES,,,LSLI,,X,
587,BLUE MOUNTAIN  WATERWORKS,3,638,"$5,000 ",357,,,,LSLI,,X,
588,WALKERVILLE WATER  ASSOCIATION,3,639,"$5,000 ",547,,,,LSLI,,X,
589,JOHNSON TOWNSHIP  WATER ASSOC,3,640,"$6,500 ",600,,,,LSLI,,X,
590,WINTHROP WATER  ASSOCIATION,3,642,"$5,000 ",338,,,,LSLI,,X,
591,FURLOW WATER  ASSOCIATION,3,645,"$23,240 ","2,905",,,,LSLI,,X,
592,EAST END WATER,3,646,"$47,700 ","5,954",,,,LSLI,,X,
593,CHESTER WATER WORKS,3,647,"$5,000 ",205,,,,LSLI,,X,
594,PENDLETON-PEA RIDGE  WATER ASSN,3,649,"$7,440 ",845,,,,LSLI,,X,
595,WILLISVILLE WATERWORKS,3,650,"$5,000 ",475,YES,,,LSLI,,X,
596,BRANCH WATER WORKS,3,653,"$5,000 ",480,YES,,,LSLI,,X,
597,UNITED WATER  ASSOCIATION,3,654,"$5,000 ",461,YES,,,LSLI,,X,
598,CASA WATER DEPT,3,660,"$10,780 ","1,200",YES,,,LSLI,,X,
599,CHICOT JUNCTION WATER  ASSOC,3,661,"$5,700 ",681,YES,,,LSLI,,X,
600,PARKIN RURAL WATER  ASSOCIATION,3,662,"$5,000 ",406,YES,,,LSLI,,X,
601,AIRPORT ROAD WATER  ASSOCIATION,3,663,"$5,000 ",525,YES,,,LSLI,,X,
602,ARSENAL WATER SYSTEM,3,667,"$5,000 ",600,YES,,,LSLI,,X,
603,MOUNT OLIVE WATER  ASSOCIATION,3,668,"$49,860 ","6,858",YES,,,LSLI,,X,
604,COMPTON WATERWORKS,3,669,"$6,960 ",811,YES,,,LSLI,,X,
605,DEER WATER ASSOCIATION,3,670,"$7,300 ",882,YES,,,LSLI,,X,
606,BUFFALO ISLAND REG  WATER DIST,3,671,"$22,800 ","3,748",YES,,,LSLI,,X,
607,Highland Public Water  Authority,3,672,"$19,360 ","1,825",YES,,,LSLI,,X,
608,NE MISSISSIPPI CO WATER  ASSOC,3,673,"$9,580 ","1,156",YES,,,LSLI,,X,
609,RIVERSOUTH RURAL  WATER DIST,3,674,"$35,120 ","4,275",YES,,,LSLI,,X,
610,OAKHILLS SURB  IMPROVMENT DIST,3,676,"$5,000 ",130,YES,,,LSLI,,X,
611,LAKE FOREST  SUBORDINATE DIST,3,677,"$5,000 ",123,YES,,,LSLI,,X,
612,S P G WATER ASSOCIATION,3,678,"$13,940 ","1,745",,,,LSLI,,X,
613,MT SHERMAN WATER  ASSOCIATION,3,680,"$6,420 ",805,,,,LSLI,,X,
614,MORNING STAR WATER  ASSOCIATION,3,681,"$12,200 ","1,284",,,,LSLI,,X,
615,WEST SALINE WATER  USERS ASSN,3,682,"$14,600 ","1,825",,,,LSLI,,X,
616,NEW HOPE WATER  ASSOCIATION,3,683,"$9,840 ","1,136",,,,LSLI,,X,
617,LACEY-LADELLE WATER  ASSOCIATION,3,684,"$11,480 ","1,352",,,,LSLI,,X,
618,DEER RUN WATER  COMPANY,3,685,"$5,000 ",121,,,,LSLI,,X,
619,WILBURN WATER  ASSOCIATION,3,686,"$6,620 ",773,,,,LSLI,,X,
620,LAWRENCE CO REG WATER  DIST,3,688,"$60,200 ","7,469",YES,,,LSLI,,X,
621,BALD KNOB NORTH WATER  ASSOC,3,689,"$18,820 ","2,368",YES,,,LSLI,,X,
622,US AIR FORCE BASE LITTLE  ROCK,3,690,"$37,980 ","8,618",YES,,,LSLI,,X,
623,GARRETT BRIDGE WATER  ASSOC,3,692,"$6,080 ",702,YES,,,LSLI,,X,
624,GATEWAY PUBLIC WATER  AUTHORITY,3,693,"$17,520 ","1,890",YES,,,LSLI,,X,
625,WRIGHT-PASTORIA WATER  ASSOC,3,695,"$7,520 ","1,229",YES,,,LSLI,,X,
626,GREASY VALLEY WPFB  LOGAN CO.,3,696,"$5,200 ",520,YES,,,LSLI,,X,
627,NE YELL COUNTY WATER  ASSOC,3,697,"$49,820 ","6,125",YES,,,LSLI,,X,
628,Dota Public Water Authority,3,698,"$23,160 ","2,722",YES,,,LSLI,,X,
629,GENTRYVILLE PUBLIC  WATER AUTH,3,699,"$5,000 ",402,YES,,,LSLI,,X,
630,WKMM RURAL WATER  ASSOCIATION,3,700,"$5,000 ",310,YES,,,LSLI,,X,
631,GREEN HILL-BROOKS  CHAPEL WATER,3,701,"$6,460 ",785,YES,,,LSLI,,X,
632,HWY 9 WATER  ASSOCIATION,3,702,"$11,440 ","1,375",YES,,,LSLI,,X,
633,WESTERN GREENE COUNTY  R W D,3,704,"$54,240 ","7,342",YES,,,LSLI,,X,
634,MC NEIL RURAL WATER  ASSOC,3,705,"$7,260 ",900,YES,,,LSLI,,X,
635,KROOKED KREEK WATER  ASSN,3,706,"$15,600 ","2,153",YES,,,LSLI,,X,
636,MORRISON BLUFF WATER  SYSTEM,3,709,"$5,000 ",325,,,,LSLI,,X,
637,LYDESDALE WATER  ASSOCIATION,3,713,"$5,000 ",405,,,,LSLI,,X,
638,DORCHEAT WATER  ASSOCIATION,3,714,"$14,640 ","1,860",,,,LSLI,,X,
639,EAST MONROE COUNTY  WATER USERS,3,715,"$6,820 ",762,,,,LSLI,,X,
640,LISBON WATER  ASSOCIATION,3,716,"$5,000 ",487,,,,LSLI,,X,
641,LURTON-PELSOR WATER  ASSOC,3,718,"$5,000 ",312,,,,LSLI,,X,
642,PLEASANT GROVE,3,720,"$21,180 ","2,315",,,,LSLI,,X,
643,CLAY CO REG WATER  DISTRICT,3,722,"$51,120 ","5,633",,,,LSLI,,X,
644,Mid-Arkansas Utilities PWA,3,725,"$83,600 ","11,148",NO,,,LSLI,,X,
645,LAKESHORE ESTATES  WATER ASSN,3,726,"$5,000 ",634,YES,,,LSLI,,X,
646,VAN BUREN COUNTY W U A,3,727,"$38,680 ","3,062",YES,,,LSLI,,X,
647,DYESS RURAL WATER,3,730,"$5,000 ",314,YES,,,LSLI,,X,
648,REDHILL WATER  ASSOCIATION,3,732,"$5,000 ",475,YES,,,LSLI,,X,
649,GRAND PRAIRIE BAYOU 2  PWA,3,734,"$97,860 ","11,150",NO,,,LSLI,,X,
650,WEST STONE COUNTY  WATER ASSN,3,735,"$37,380 ","5,188",YES,,,LSLI,,X,
651,PARTHENON WATER  ASSOCIATION,3,736,"$5,000 ",393,YES,,,LSLI,,X,
652,BUENA VISTA-OGEMAW  WATER ASSOCIATION,3,737,"$5,000 ",384,YES,,,LSLI,,X,
653,GRAND PRAIRIE REGIONAL  WATER,3,738,"$119,800 ","13,500",NO,,,LSLI,,X,
654,CLARK CO COUNTRY  WATER FACILIT,3,741,"$20,820 ","2,403",YES,,,LSLI,,X,
655,LEISURE HILLS MOBILE  HOME PARK,3,747,"$5,000 ",95,YES,,,LSLI,,X,
656,HWY 64 WATER  ASSOCIATION,3,749,"$5,000 ",215,YES,,,LSLI,,X,
657,OLD BELLA VISTA POA,3,753,"$5,000 ",105,YES,,,LSLI,,X,
658,STARLIGHT ESTATES,3,755,"$5,000 ",44,YES,,,LSLI,,X,
659,SDM WATER ASSOCIATION,3,758,"$5,000 ",482,YES,,,LSLI,,X,
660,GRANGE-CALAMINE WATER  ASSOC,3,759,"$21,360 ","2,292",,,,LSLI,,X,
661,ALPINE WATER  ASSOCIATION,3,764,"$6,160 ",610,,,,LSLI,,X,
662,HWY 4 24 WATER  ASSOCIATION,3,765,"$16,760 ","2,135",,,,LSLI,,X,
663,NORTH JACKSON CO  WATER ASSN,3,767,"$6,520 ",807,,,,LSLI,,X,
664,EAST NEWTON COUNTY  WATER ASSN,3,768,"$14,300 ","1,798",,,,LSLI,,X,
665,EAST JOHNSON CO WATER  ASSN,3,772,"$34,200 ","4,828",,,,LSLI,,X,
666,MILLTOWN-WASHBURN  WATER USERS,3,773,"$32,600 ","3,837",,,,LSLI,,X,
667,INDEPENDENCE JACKSON  REGIONAL,3,774,"$23,660 ","2,996",,,,LSLI,,X,
668,WEST WOODRUFF WATER  DISTRICT,3,779,"$5,000 ",341,YES,,,LSLI,,X,
669,LAKE LUCERNE ESTATES,3,780,"$5,000 ",55,YES,,,LSLI,,X,
670,INDIAN SWITCH RURAL  WATER ASSN,3,781,"$5,040 ",674,YES,,,LSLI,,X,
671,TRI-COUNTY WATER DISTBR  DIST,3,782,"$160,440 ","16,671",NO,,,LSLI,,X,
672,WIRE ROAD WATER  SYSTEM,3,783,"$6,840 ",830,YES,,,LSLI,,X,
673,BARKADA WATER  ASSOCIATION,3,785,"$5,000 ",425,YES,,,LSLI,,X,
674,MILL POND VILLAGE MHP,3,786,"$5,000 ",160,YES,,,LSLI,,X,
675,LITTLE RIVER CO RDA,3,787,"$24,820 ","4,279",YES,,,LSLI,,X,
676,AR DEPT OF CORRECTION  IZARD CO,3,790,"$5,000 ",907,YES,,,LSLI,,X,
677,SOUTHERN HILLS WATER  SYSTEM,3,792,"$5,000 ",45,YES,,,LSLI,,X,
678,LAURELWOOD  HOMEOWNERS  ASSOCIATION,3,793,"$5,000 ",90,YES,,,LSLI,,X,
679,ADC EAST ARKANSAS  REGIONAL,3,796,"$5,000 ","1,650",YES,,,LSLI,,X,
680,TOAD SUCK PUBLIC  FACILITY BD,3,798,"$10,620 ","1,314",YES,,,LSLI,,X,
681,BIG CLIFTY WATER,3,799,"$5,000 ",170,YES,,,LSLI,,X,
682,SHANNON HILLS WATER  DEPT,3,800,"$34,040 ","3,443",YES,,,LSLI,,X,
683,OAK GROVE WATER,3,801,"$5,000 ",433,YES,,,LSLI,,X,
684,OUTSIDE KINGSLAND  WATER ASSOC,3,802,"$5,000 ",450,,,,LSLI,,X,
685,WHELEN SPRINGS WATER  DEPT,3,804,"$5,000 ",557,,,,LSLI,,X,
686,NASHVILLE RURAL WATER  AUTHORITY,3,805,"$59,720 ","7,291",,,,LSLI,,X,
687,LITTLE PORTION  HERMITAGE,3,808,"$5,000 ",25,,,,LSLI,,X,
688,EAST LOGAN CO RURAL  WATER,3,809,"$16,720 ","2,008",,,,LSLI,,X,
689,ACORN RURAL WATER  ASSN,3,811,"$16,620 ","1,975",,,,LSLI,,X,
690,FREEDOM WATER  ASSOCIATION,3,812,"$14,700 ","1,858",,,,LSLI,,X,
691,COTTONWOOD WATER  ASSOCIATION,3,813,"$6,480 ",720,,,,LSLI,,X,
692,FULTON COUNTY WATER  ASSOC,3,814,"$21,160 ","2,411",,,,LSLI,,X,
693,SOUTH MOUNTAIN WATER  ASSN,3,815,"$7,060 ",828,YES,,,LSLI,,X,
694,PIKE CITY WATER ASSN,3,818,"$5,000 ",333,YES,,,LSLI,,X,
695,BASIN VALLEY WATER  SYSTEM,3,819,"$5,000 ",505,YES,,,LSLI,,X,
696,KIMZEY REGIONAL WATER  DISTRICT,3,821,"$98,080 ","11,669",NO,,,LSLI,,X,
697,LAKESIDE WATER  ASSOCIATION,3,822,"$18,160 ","1,876",YES,,,LSLI,,X,
698,LAKE TABLE ROCK ESTATES,3,824,"$5,000 ",33,YES,,,LSLI,,X,
699,TULIP - PRINCETON WATER  ASSN,3,825,"$9,100 ","1,083",YES,,,LSLI,,X,
700,NORTH PIKE CO RURAL  WATER ASSN,3,826,"$18,440 ","1,976",YES,,,LSLI,,X,
701,KINGS HILL ESTATES,3,827,"$5,000 ",25,YES,,,LSLI,,X,
702,RIVER VALLEY WATER ASSN,3,833,"$9,980 ","1,220",YES,,,LSLI,,X,
703,RICHWOODS WATER  ASSOCIATION,3,835,"$13,180 ","1,496",YES,,,LSLI,,X,
704,ST FRANCIS RIVER REG  WATER DD,3,836,"$19,940 ","2,501",YES,,,LSLI,,X,
705,BRUNNER HILL WATER  ASSOC,3,837,"$9,200 ","1,188",YES,,,LSLI,,X,
706,BEAVERFORK PWA,3,844,"$29,500 ","3,458",YES,,,LSLI,,X,
707,CENTRAL LOGAN COUNTY  PWFB,3,845,"$10,940 ","1,268",YES,,,LSLI,,X,
708,TRI COUNTY RWDD - MOORES CHAPEL,3,846,"$20,520 ","2,620",YES,,,LSLI,,X,
709,SOUTH LOGAN COUNTY  WATER,3,851,"$15,500 ","1,783",,,,LSLI,,X,
710,SW WARREN WATER  ASSOCIATION,3,852,"$6,060 ",765,,,,LSLI,,X,
711,NAIL SWAIN WATER  ASSOCIATION,3,856,"$7,360 ",930,,,,LSLI,,X,
712,GLEN ACRES,3,857,"$5,000 ",68,,,,LSLI,,X,
713,WALKER CREEK STATELINE  RWA,3,858,"$11,320 ","1,340",,,,LSLI,,X,
714,N GARLAND CO REG WATER  DIST,3,867,"$64,420 ","6,859",,,,LSLI,,X,
715,SEVIER CO WATER  ASSOCIATION,3,868,"$38,940 ","4,767",,,,LSLI,,X,
716,SE BRADLEY CO WATER  ASSN,3,870,"$21,160 ","2,643",,,,LSLI,,X,
717,BENTON-WASHINGTON  REGIONAL PWA,3,871,"$5,000 ",25,YES,,,LSLI,,X,
718,CRESTWOOD MOBILE HOME  PARK,3,873,"$5,000 ",34,YES,,,LSLI,,X,
719,CAMP ROBINSON,3,877,"$5,000 ","1,500",YES,,,LSLI,,X,
720,WEST ASHLEY COUNTY  WATER ASSN,3,878,"$7,420 ",683,YES,,,LSLI,,X,
721,SYLAMORE VALLEY WATER  ASSN,3,882,"$5,000 ",290,YES,,,LSLI,,X,
722,CENTRAL ARKANSAS  WATER-PARON,3,883,"$17,840 ","2,071",YES,,,LSLI,,X,
723,HOSANNA HEIGHTS WATER,3,884,"$5,000 ",52,YES,,,LSLI,,X,
724,HIGHFILL WATER  DEPARTMENT,3,885,"$23,480 ",555,YES,,,LSLI,,X,
725,BODCAW RURAL WATER  SYSTEM,3,887,"$9,980 ","1,430",YES,,,LSLI,,X,
726,AUTUMN ACRES MHP,3,890,"$5,000 ",88,YES,,,LSLI,,X,
727,TALL OAKS MHP,3,891,"$5,000 ",22,YES,,,LSLI,,X,
728,TANKSLEY APARTMENTS,3,895,"$5,000 ",52,YES,,,LSLI,,X,
729,BENTON COUNTY WATER  AUTHORITY4,3,899,"$5,000 ",555,YES,,,LSLI,,X,
730,GRASSY KNOB  SUBORDINATE SD,3,T1101,"$5,000 ",65,YES,,,LSLI,,X,
731,E CASS WATER SUPPLY  CORP,3,886,"$5,000 ",150,YES,,,LSLI,,X,
732,SOUTHWEST ARKANSAS  WATER SYST,3,889,"$19,160 ","1,698",YES,,,LSLI,,X,
733,LOCKE-FERN DOLLARD RD  WW PFB,3,912,"$10,440 ","1,135",YES,,,LSLI,,X,
734,BENTON COUNTY WATER  AUTHORITY5,3,913,"$13,560 ","1,468",,,,LSLI,,X,
735,CALHOUN COUNTY WATER  ASSN,3,919,"$13,040 ","1,591",,,,LSLI,,X,
736,CORINTH VALLEY WATER  SYSTEM,3,927,"$5,000 ",94,,,,LSLI,,X,
737,Bonanza Waterworks,3,979,"$5,000 ",575,,,,LSLI,,X,
738,SOUTH PIKE CO. WATER,3,978,"$6,520 ",755,,,,LSLI,,X,
739,NORTH HOWARD RURAL  WATER ASSOCIATION,3,1075,"$5,660 ",710,,,,LSLI,,X,
740,OZAN CREEK RURAL  WATER SYSTEM,3,1078,"$5,520 ",787,,,,LSLI,,X,
741,LEATHERWOOD VIEW  ESTATES,3,1091,"$5,000 ",40,,,,LSLI,,X,
742,BAXTER-MARION REGIONAL  WATER ASSOCIATION,3,1178,"$5,000 ",399,,,,LSLI,,X,
743,MILLER COUNTY PUBLIC  WATER AUTHORITY,3,1141,"$5,920 ",680,YES,,,LSLI,,X,
744,PINE TOP WATER  FACILITIES BOARD,3,1240,"$5,000 ",25,YES,,,LSLI,,X,
745,FORT SMITH WATER  UTILITIES,3,507,"$719,980 ","86,209",NO,,,LSLI,,X,
,Total Amount,,,"$378,020,471 ",,,,,,"$353,431,831 ","$24,098,020 ",$0 
,Total Count,,,745,,,,,,79,666,0
