"borrower","pwsid","project_description","project_type","state_rank","state_score","funding_amount","disadvantaged","population","funding_status","principal_forgiveness_amount","state","category"
"ANTOINE WATERWORKS","AR0000424","LSLI","Lead","432","3",5000,NA,563,"Not Funded",NA,"Arkansas","1"
"MURFREESBORO WATERWORKS","AR0000425","LSLI","Lead","433","3",16060,NA,1645,"Not Funded",NA,"Arkansas","1"
"TYRONZA WATERWORKS","AR0000426","LSLI","Lead","434","3",7300,NA,826,"Not Funded",NA,"Arkansas","1"
"HEAFER-BLACK OAK WATER ASSOC","AR0000427","LSLI","Lead","435","3",5000,NA,436,"Not Funded",NA,"Arkansas","1"
"WEINER WATERWORKS","AR0000428","LSLI","Lead","436","3",8000,NA,997,"Not Funded",NA,"Arkansas","1"
"MARKED TREE WATERWORKS","AR0000430","LSLI","Lead","437","3",22000,NA,2566,"Not Funded",NA,"Arkansas","1"
"HARRISBURG WATERWORKS","AR0000431","LSLI","Lead","438","3",22160,NA,2885,"Not Funded",NA,"Arkansas","1"
"LEPANTO WATERWORKS","AR0000432","LSLI","Lead","439","3",17800,NA,1745,"Not Funded",NA,"Arkansas","1"
"TRUMANN RURAL WATER ASSOC","AR0000434","LSLI","Lead","440","3",22040,NA,3082,"Not Funded",NA,"Arkansas","1"
"TRUMANN WATERWORKS","AR0000435","LSLI","Lead","441","3",50780,NA,7142,"Not Funded",NA,"Arkansas","1"
"HATFIELD WATERWORKS","AR0000436","LSLI","Lead","442","3",6220,NA,410,"Not Funded",NA,"Arkansas","1"
"GRANNIS WATERWORKS","AR0000437","LSLI","Lead","443","3",5000,NA,548,"Not Funded",NA,"Arkansas","1"
"MENA WATER DEPT","AR0000438","LSLI","Lead","444","3",77120,NA,7784,"Not Funded",NA,"Arkansas","1"
"COVE WATERWORKS","AR0000439","LSLI","Lead","445","3",5280,NA,651,"Not Funded",NA,"Arkansas","1"
"WICKES WATERWORKS","AR0000440","LSLI","Lead","446","3",16220,NA,2014,"Not Funded",NA,"Arkansas","1"
"ATKINS WATER SYSTEM","AR0000441","LSLI","Lead","447","3",38260,NA,4439,"Not Funded",NA,"Arkansas","1"
"LONDON WATERWORKS","AR0000443","LSLI","Lead","448","3",10720,NA,1363,"Not Funded",NA,"Arkansas","1"
"DOVER WATERWORKS","AR0000444","LSLI","Lead","449","3",14800,NA,1410,"Not Funded",NA,"Arkansas","1"
"POTTSVILLE WATER ASSOCIATION","AR0000445","LSLI","Lead","450","3",32000,NA,4108,"Not Funded",NA,"Arkansas","1"
"CITY CORPORATION","AR0000446","LSLI","Lead","451","3",249480,NA,29260,"Not Funded",NA,"Arkansas","1"
"BISCOE WATERWORKS","AR0000448","LSLI","Lead","452","3",5000,NA,440,"Not Funded",NA,"Arkansas","1"
"DES ARC WATERWORKS","AR0000449","LSLI","Lead","453","3",35420,NA,3964,"Not Funded",NA,"Arkansas","1"
"DEVALLS BLUFF WATERWORKS","AR0000450","LSLI","Lead","454","3",7000,NA,600,"Not Funded",NA,"Arkansas","1"
"ULM WATERWORKS","AR0000451","LSLI","Lead","455","3",5000,NA,213,"Not Funded",NA,"Arkansas","1"
"HAZEN WATERWORKS","AR0000452","LSLI","Lead","456","3",15100,NA,1338,"Not Funded",NA,"Arkansas","1"
"MOUNTAIN TOP WATER ASSOCIATION","AR0000454","LSLI","Lead","457","3",73020,NA,8838,"Not Funded",NA,"Arkansas","1"
"EAST PRAIRIE CNTY PUBLIC WATER AUTHORITY","AR0000458","LSLI","Lead","458","3",5280,NA,700,"Not Funded",NA,"Arkansas","1"
"CROSS COUNTY RURAL WATER SYS","AR0000459","LSLI","Lead","459","3",76260,NA,9276,"Not Funded",NA,"Arkansas","1"
"WALDENBURG WATER ASSOCIATION","AR0000460","LSLI","Lead","460","3",5000,NA,181,"Not Funded",NA,"Arkansas","1"
"DENNARD WATER ASSOCIATION","AR0000461","LSLI","Lead","461","3",8280,NA,908,"Not Funded",NA,"Arkansas","1"
"BEE BRANCH WATER","AR0000462","LSLI","Lead","462","3",28420,NA,3345,"Not Funded",NA,"Arkansas","1"
"MAUMELLE WATER CORPORATION","AR0000464","LSLI","Lead","463","3",21760,NA,2832,"Not Funded",NA,"Arkansas","1"
"CENTRAL ARKANSAS WATER","AR0000465","LSLI","Lead","464","3",2619760,NA,330667,"Not Funded",NA,"Arkansas","1"
"JACKSONVILLE WATERWORKS","AR0000466","LSLI","Lead","465","3",209020,NA,30481,"Not Funded",NA,"Arkansas","1"
"LITTLE RIVER COUNTRY CLUB","AR0000467","LSLI","Lead","466","3",5000,NA,120,"Not Funded",NA,"Arkansas","1"
"LIBERTY - WOODSON / HENSLEY","AR0000471","LSLI","Lead","467","3",9100,NA,1000,"Not Funded",NA,"Arkansas","1"
"SUNSET WATER ASSOCIATION","AR0000472","LSLI","Lead","468","3",5840,NA,575,"Not Funded",NA,"Arkansas","1"
"O'KEAN WATERWORKS","AR0000473","LSLI","Lead","469","3",5000,NA,211,"Not Funded",NA,"Arkansas","1"
"POCAHONTAS WATERWORKS","AR0000474","LSLI","Lead","470","3",73400,NA,7830,"Not Funded",NA,"Arkansas","1"
"REYNO WATERWORKS","AR0000475","LSLI","Lead","471","3",5000,NA,437,"Not Funded",NA,"Arkansas","1"
"BIGGERS WATERWORKS","AR0000476","LSLI","Lead","472","3",5000,NA,404,"Not Funded",NA,"Arkansas","1"
"RAVENDEN SPRINGS WATERWORKS","AR0000477","LSLI","Lead","473","3",5000,NA,143,"Not Funded",NA,"Arkansas","1"
"LAFE REGIONAL WATER DISTRIBUTION DISTRICT","AR0000483","LSLI","Lead","474","3",21160,NA,2522,"Not Funded",NA,"Arkansas","1"
"BENTON WATERWORKS","AR0000484","LSLI","Lead","475","3",305760,NA,30681,"Not Funded",NA,"Arkansas","1"
"ARKANSAS HEALTH CENTER","AR0000485","LSLI","Lead","476","3",12800,NA,1000,"Not Funded",NA,"Arkansas","1"
"BRYANT WATERWORKS","AR0000486","LSLI","Lead","477","3",172160,NA,19607,"Not Funded",NA,"Arkansas","1"
"HASKELL WATER SYSTEM","AR0000488","LSLI","Lead","478","3",27260,NA,3990,"Not Funded",NA,"Arkansas","1"
"SALINE CO WW SS PFB","AR0000491","LSLI","Lead","479","3",18200,NA,1900,"Not Funded",NA,"Arkansas","1"
"SALEM WATER ASSOCIATION","AR0000492","LSLI","Lead","480","3",134000,NA,16737,"Not Funded",NA,"Arkansas","1"
"SARDIS WATER ASSOCIATION","AR0000493","LSLI","Lead","481","3",116820,NA,13752,"Not Funded",NA,"Arkansas","1"
"SOUTHWEST WATER ASSOCIATION","AR0000495","LSLI","Lead","482","3",76000,NA,9185,"Not Funded",NA,"Arkansas","1"
"BAUXITE WATER","AR0000497","LSLI","Lead","483","3",5000,NA,574,"Not Funded",NA,"Arkansas","1"
"WALDRON WATERWORKS","AR0000498","LSLI","Lead","484","3",32780,NA,2955,"Not Funded",NA,"Arkansas","1"
"LESLIE WATER SYSTEM","AR0000500","LSLI","Lead","485","3",7000,NA,740,"Not Funded",NA,"Arkansas","1"
"MARSHALL WATERWORKS","AR0000501","LSLI","Lead","486","3",18960,NA,3295,"Not Funded",NA,"Arkansas","1"
"CENTRAL CITY WATER DEPARTMENT","AR0000503","LSLI","Lead","487","3",9740,NA,1218,"Not Funded",NA,"Arkansas","1"
"GREENWOOD WATERWORKS","AR0000504","LSLI","Lead","488","3",76860,NA,8952,"Not Funded",NA,"Arkansas","1"
"HACKETT WATERWORKS","AR0000505","LSLI","Lead","489","3",8600,NA,990,"Not Funded",NA,"Arkansas","1"
"HARTFORD WATERWORKS","AR0000506","LSLI","Lead","490","3",5700,NA,665,"Not Funded",NA,"Arkansas","1"
"FORT SMITH WATER UTILITIES","AR0000507","LSLI","Lead","491","3",714420,NA,86209,"Not Funded",NA,"Arkansas","1"
"HUNTINGTON WATERWORKS","AR0000508","LSLI","Lead","492","3",5000,NA,490,"Not Funded",NA,"Arkansas","1"
"MANSFIELD WATERWORKS","AR0000509","LSLI","Lead","493","3",18780,NA,2348,"Not Funded",NA,"Arkansas","1"
"LAVACA WATERWORKS","AR0000510","LSLI","Lead","494","3",29600,NA,3650,"Not Funded",NA,"Arkansas","1"
"SEBASTIAN LAKE UTILITY OPERATING COMPANY","AR0000511","LSLI","Lead","495","3",5000,NA,298,"Not Funded",NA,"Arkansas","1"
"BARLING WATERWORKS","AR0000512","LSLI","Lead","496","3",40860,NA,5100,"Not Funded",NA,"Arkansas","1"
"JAMES FORK REGIONAL WATER","AR0000513","LSLI","Lead","497","3",99840,NA,11148,"Not Funded",NA,"Arkansas","1"
"FCMTC WATERWORKS","AR0000514","LSLI","Lead","498","3",5000,NA,500,"Not Funded",NA,"Arkansas","1"
"CADDO VALLEY WATERWORKS","AR0000515","LSLI","Lead","499","3",6660,NA,535,"Not Funded",NA,"Arkansas","1"
"GILLHAM WATERWORKS","AR0000516","LSLI","Lead","500","3",5000,NA,328,"Not Funded",NA,"Arkansas","1"
"LOCKESBURG WATERWORKS","AR0000517","LSLI","Lead","501","3",6700,NA,739,"Not Funded",NA,"Arkansas","1"
"HORATIO WATERWORKS","AR0000518","LSLI","Lead","502","3",9280,NA,1278,"Not Funded",NA,"Arkansas","1"
"BEN LOMOND WATERWORKS","AR0000519","LSLI","Lead","503","3",5000,NA,210,"Not Funded",NA,"Arkansas","1"
"DEQUEEN WATER WORK","AR0000520","LSLI","Lead","504","3",45100,NA,6534,"Not Funded",NA,"Arkansas","1"
"CHEROKEE VILLAGE WATER ASSOC","AR0000521","LSLI","Lead","505","3",59900,NA,4717,"Not Funded",NA,"Arkansas","1"
"HARDY WATERWORKS","AR0000524","LSLI","Lead","506","3",8700,NA,1101,"Not Funded",NA,"Arkansas","1"
"EVENING SHADE WATERWORKS","AR0000525","LSLI","Lead","507","3",6300,NA,750,"Not Funded",NA,"Arkansas","1"
"CAVE CITY WATERWORKS","AR0000526","LSLI","Lead","508","3",23740,NA,2484,"Not Funded",NA,"Arkansas","1"
"ASH FLAT WATER COMPANY","AR0000527","LSLI","Lead","509","3",10260,NA,1144,"Not Funded",NA,"Arkansas","1"
"SIDNEY WATER SYSTEM","AR0000528","LSLI","Lead","510","3",5000,NA,312,"Not Funded",NA,"Arkansas","1"
"WILLIFORD WATERWORKS","AR0000529","LSLI","Lead","511","3",5000,NA,105,"Not Funded",NA,"Arkansas","1"
"OZARK ACRES WATER ASSOCIATION","AR0000530","LSLI","Lead","512","3",6720,NA,819,"Not Funded",NA,"Arkansas","1"
"HUGHES WATERWORKS","AR0000531","LSLI","Lead","513","3",7360,NA,827,"Not Funded",NA,"Arkansas","1"
"CALDWELL WATER","AR0000532","LSLI","Lead","514","3",11700,NA,1585,"Not Funded",NA,"Arkansas","1"
"COLT WATER ASSOCIATION","AR0000533","LSLI","Lead","515","3",8200,NA,853,"Not Funded",NA,"Arkansas","1"
"WHEATLEY WATERWORKS","AR0000535","LSLI","Lead","516","3",5000,NA,550,"Not Funded",NA,"Arkansas","1"
"PALESTINE WATER ASSOCIATION","AR0000536","LSLI","Lead","517","3",14700,NA,1800,"Not Funded",NA,"Arkansas","1"
"ST FRANCIS RURAL WATER ASSOC","AR0000537","LSLI","Lead","518","3",12680,NA,1775,"Not Funded",NA,"Arkansas","1"
"WIDENER WATERWORKS","AR0000538","LSLI","Lead","519","3",5000,NA,678,"Not Funded",NA,"Arkansas","1"
"EASTSIDE HOMEOWNERS ASSOC","AR0000539","LSLI","Lead","520","3",5000,NA,201,"Not Funded",NA,"Arkansas","1"
"MOUNTAIN VIEW WATERWORKS","AR0000542","LSLI","Lead","521","3",60360,NA,6349,"Not Funded",NA,"Arkansas","1"
"FAIRCREST WATER ASSOCIATION","AR0000544","LSLI","Lead","522","3",10340,NA,1244,"Not Funded",NA,"Arkansas","1"
"FELSENTHAL WATER AND SEWER","AR0000545","LSLI","Lead","523","3",5000,NA,150,"Not Funded",NA,"Arkansas","1"
"HARMONY WATER ASSOCIATION","AR0000546","LSLI","Lead","524","3",5000,NA,336,"Not Funded",NA,"Arkansas","1"
"HWY 82 WATER ASSOCIATION","AR0000547","LSLI","Lead","525","3",5000,NA,123,"Not Funded",NA,"Arkansas","1"
"LAWSON-URBANA WATER ASSOC","AR0000548","LSLI","Lead","526","3",9120,NA,1108,"Not Funded",NA,"Arkansas","1"
"EL DORADO WATERWORKS","AR0000550","LSLI","Lead","527","3",165280,NA,17932,"Not Funded",NA,"Arkansas","1"
"CALION WATER WORKS","AR0000551","LSLI","Lead","528","3",5500,NA,494,"Not Funded",NA,"Arkansas","1"
"JUNCTION CITY WATERWORKS","AR0000552","LSLI","Lead","529","3",5600,NA,726,"Not Funded",NA,"Arkansas","1"
"HUTTIG WATERWORKS","AR0000553","LSLI","Lead","530","3",5800,NA,733,"Not Funded",NA,"Arkansas","1"
"NORPHLET WATERWORKS","AR0000554","LSLI","Lead","531","3",8960,NA,1112,"Not Funded",NA,"Arkansas","1"
"SMACKOVER WATERWORKS","AR0000555","LSLI","Lead","532","3",23220,NA,2821,"Not Funded",NA,"Arkansas","1"
"STRONG WATERWORKS","AR0000556","LSLI","Lead","533","3",9260,NA,1131,"Not Funded",NA,"Arkansas","1"
"NEW LONDON WATER ASSOCIATION","AR0000557","LSLI","Lead","534","3",6600,NA,802,"Not Funded",NA,"Arkansas","1"
"OAK MANOR WATER ASSOCIATION","AR0000558","LSLI","Lead","535","3",5000,NA,339,"Not Funded",NA,"Arkansas","1"
"Old Union Public Water Authority","AR0000559","LSLI","Lead","536","3",9600,NA,1200,"Not Funded",NA,"Arkansas","1"
"PARKERS CHAPEL PUBLIC WATER","AR0000560","LSLI","Lead","537","3",19320,NA,2391,"Not Funded",NA,"Arkansas","1"
"QUINN WATER ASSOCIATION","AR0000561","LSLI","Lead","538","3",5900,NA,729,"Not Funded",NA,"Arkansas","1"
"WILDWOOD WATER ASSOCIATION","AR0000562","LSLI","Lead","539","3",10760,NA,1350,"Not Funded",NA,"Arkansas","1"
"CLINTON WATERWORKS","AR0000564","LSLI","Lead","540","3",51900,NA,5733,"Not Funded",NA,"Arkansas","1"
"TONTITOWN WATERWORKS","AR0000566","LSLI","Lead","541","3",44420,NA,3740,"Not Funded",NA,"Arkansas","1"
"ELKINS WATERWORKS","AR0000567","LSLI","Lead","542","3",27780,NA,3473,"Not Funded",NA,"Arkansas","1"
"FAYETTEVILLE WATERWORKS","AR0000569","LSLI","Lead","543","3",916060,NA,102878,"Not Funded",NA,"Arkansas","1"
"LINCOLN WATERWORKS","AR0000572","LSLI","Lead","544","3",48920,NA,6250,"Not Funded",NA,"Arkansas","1"
"PRAIRIE GROVE WATERWORKS","AR0000573","LSLI","Lead","545","3",62500,NA,8398,"Not Funded",NA,"Arkansas","1"
"WASHINGTON WATER AUTHORITY WWA","AR0000574","LSLI","Lead","546","3",145700,NA,18212,"Not Funded",NA,"Arkansas","1"
"SPRINGDALE WATER UTILITIES","AR0000575","LSLI","Lead","547","3",752260,NA,90235,"Not Funded",NA,"Arkansas","1"
"WEST FORK WATERWORKS","AR0000577","LSLI","Lead","548","3",22100,NA,2688,"Not Funded",NA,"Arkansas","1"
"TUMBLING SHOALS WATER ASSOC","AR0000579","LSLI","Lead","549","3",51520,NA,4890,"Not Funded",NA,"Arkansas","1"
"PANGBURN WATERWORKS","AR0000580","LSLI","Lead","550","3",22200,NA,2975,"Not Funded",NA,"Arkansas","1"
"JUDSONIA WATERWORKS","AR0000582","LSLI","Lead","551","3",24440,NA,3028,"Not Funded",NA,"Arkansas","1"
"NORTH WHITE CO RURAL WATER PFB","AR0000583","LSLI","Lead","552","3",41780,NA,5215,"Not Funded",NA,"Arkansas","1"
"BALD KNOB WATERWORKS","AR0000584","LSLI","Lead","553","3",24900,NA,2905,"Not Funded",NA,"Arkansas","1"
"DOGWOOD WATER ASSOCIATION","AR0000585","LSLI","Lead","554","3",10700,NA,1345,"Not Funded",NA,"Arkansas","1"
"FOUR MILE HILL PUBLIC FACILITIES BOARD","AR0000586","LSLI","Lead","555","3",37000,NA,4603,"Not Funded",NA,"Arkansas","1"
"BRADFORD WATERWORKS","AR0000587","LSLI","Lead","556","3",7440,NA,950,"Not Funded",NA,"Arkansas","1"
"KENSETT WATERWORKS","AR0000588","LSLI","Lead","557","3",11060,NA,1425,"Not Funded",NA,"Arkansas","1"
"MC RAE WATERWORKS","AR0000589","LSLI","Lead","558","3",7440,NA,800,"Not Funded",NA,"Arkansas","1"
"SEARCY WATERWORKS","AR0000590","LSLI","Lead","559","3",211520,NA,25918,"Not Funded",NA,"Arkansas","1"
"RUSSELL WATERWORKS","AR0000591","LSLI","Lead","560","3",5000,NA,338,"Not Funded",NA,"Arkansas","1"
"BEEBE WATERWORKS","AR0000592","LSLI","Lead","561","3",69480,NA,8120,"Not Funded",NA,"Arkansas","1"
"SE WHITE COUNTY WATER ASSOC","AR0000594","LSLI","Lead","562","3",42900,NA,4992,"Not Funded",NA,"Arkansas","1"
"COTTON PLANT WATERWORKS","AR0000596","LSLI","Lead","563","3",5000,NA,435,"Not Funded",NA,"Arkansas","1"
"AUGUSTA WATERWORKS","AR0000597","LSLI","Lead","564","3",19920,NA,2128,"Not Funded",NA,"Arkansas","1"
"PATTERSON WATERWORKS","AR0000598","LSLI","Lead","565","3",5000,NA,452,"Not Funded",NA,"Arkansas","1"
"MC CRORY WATERWORKS","AR0000599","LSLI","Lead","566","3",16560,NA,1747,"Not Funded",NA,"Arkansas","1"
"BELLEVILLE WATER","AR0000600","LSLI","Lead","567","3",9100,NA,1103,"Not Funded",NA,"Arkansas","1"
"DARDANELLE WATERWORKS","AR0000601","LSLI","Lead","568","3",36260,NA,4228,"Not Funded",NA,"Arkansas","1"
"HAVANA WATERWORKS","AR0000602","LSLI","Lead","569","3",9140,NA,1115,"Not Funded",NA,"Arkansas","1"
"DANVILLE WATERWORKS","AR0000603","LSLI","Lead","570","3",23160,NA,2810,"Not Funded",NA,"Arkansas","1"
"OLA WATERWORKS","AR0000604","LSLI","Lead","571","3",9080,NA,593,"Not Funded",NA,"Arkansas","1"
"WATALULA WATER ASS0CIATION","AR0000606","LSLI","Lead","572","3",22880,NA,2278,"Not Funded",NA,"Arkansas","1"
"ODEN- PENCIL BLUFF WATER ASSN.","AR0000616","LSLI","Lead","573","3",5000,NA,393,"Not Funded",NA,"Arkansas","1"
"HORSEHEAD WATER ASSOCIATION","AR0000617","LSLI","Lead","574","3",43400,NA,4940,"Not Funded",NA,"Arkansas","1"
"TOLLETTE WATER","AR0000618","LSLI","Lead","575","3",5000,NA,346,"Not Funded",NA,"Arkansas","1"
"MAYNARD WATERWORKS","AR0000619","LSLI","Lead","576","3",5000,NA,449,"Not Funded",NA,"Arkansas","1"
"COTTONSHED WATERWORKS","AR0000620","LSLI","Lead","577","3",5000,NA,21,"Not Funded",NA,"Arkansas","1"
"BATTS-LAPILE WATER ASSOCIATION","AR0000622","LSLI","Lead","578","3",5000,NA,583,"Not Funded",NA,"Arkansas","1"
"PERLA WATER ASSOCIATION","AR0000623","LSLI","Lead","579","3",15680,NA,1970,"Not Funded",NA,"Arkansas","1"
"GUION WATER DEPARTMENT","AR0000626","LSLI","Lead","580","3",5000,NA,262,"Not Funded",NA,"Arkansas","1"
"BETHESDA WATER ASSOCIATION","AR0000627","LSLI","Lead","581","3",11360,NA,1302,"Not Funded",NA,"Arkansas","1"
"SW BOONE COUNTY WATER ASSOC","AR0000628","LSLI","Lead","582","3",34600,NA,4178,"Not Funded",NA,"Arkansas","1"
"MUNDELL HEIGHTS WATERWORKS","AR0000633","LSLI","Lead","583","3",5000,NA,190,"Not Funded",NA,"Arkansas","1"
"FORDYCE RURAL WATER ASSOC","AR0000635","LSLI","Lead","584","3",13020,NA,1492,"Not Funded",NA,"Arkansas","1"
"FRENCHPORT WATER ASSOCIATION","AR0000636","LSLI","Lead","585","3",14140,NA,1669,"Not Funded",NA,"Arkansas","1"
"MARVELL RURAL WATER ASSOC","AR0000637","LSLI","Lead","586","3",11660,NA,1725,"Not Funded",NA,"Arkansas","1"
"BLUE MOUNTAIN WATERWORKS","AR0000638","LSLI","Lead","587","3",5000,NA,357,"Not Funded",NA,"Arkansas","1"
"WALKERVILLE WATER ASSOCIATION","AR0000639","LSLI","Lead","588","3",5000,NA,547,"Not Funded",NA,"Arkansas","1"
"JOHNSON TOWNSHIP WATER ASSOC","AR0000640","LSLI","Lead","589","3",6500,NA,600,"Not Funded",NA,"Arkansas","1"
"WINTHROP WATER ASSOCIATION","AR0000642","LSLI","Lead","590","3",5000,NA,338,"Not Funded",NA,"Arkansas","1"
"FURLOW WATER ASSOCIATION","AR0000645","LSLI","Lead","591","3",23240,NA,2905,"Not Funded",NA,"Arkansas","1"
"EAST END WATER","AR0000646","LSLI","Lead","592","3",47700,NA,5954,"Not Funded",NA,"Arkansas","1"
"CHESTER WATER WORKS","AR0000647","LSLI","Lead","593","3",5000,NA,205,"Not Funded",NA,"Arkansas","1"
"PENDLETON-PEA RIDGE WATER ASSN","AR0000649","LSLI","Lead","594","3",7440,NA,845,"Not Funded",NA,"Arkansas","1"
"WILLISVILLE WATERWORKS","AR0000650","LSLI","Lead","595","3",5000,NA,475,"Not Funded",NA,"Arkansas","1"
"BRANCH WATER WORKS","AR0000653","LSLI","Lead","596","3",5000,NA,480,"Not Funded",NA,"Arkansas","1"
"UNITED WATER ASSOCIATION","AR0000654","LSLI","Lead","597","3",5000,NA,461,"Not Funded",NA,"Arkansas","1"
"CASA WATER DEPT","AR0000660","LSLI","Lead","598","3",10780,NA,1200,"Not Funded",NA,"Arkansas","1"
"CHICOT JUNCTION WATER ASSOC","AR0000661","LSLI","Lead","599","3",5700,NA,681,"Not Funded",NA,"Arkansas","1"
"PARKIN RURAL WATER ASSOCIATION","AR0000662","LSLI","Lead","600","3",5000,NA,406,"Not Funded",NA,"Arkansas","1"
"AIRPORT ROAD WATER ASSOCIATION","AR0000663","LSLI","Lead","601","3",5000,NA,525,"Not Funded",NA,"Arkansas","1"
"ARSENAL WATER SYSTEM","AR0000667","LSLI","Lead","602","3",5000,NA,600,"Not Funded",NA,"Arkansas","1"
"MOUNT OLIVE WATER ASSOCIATION","AR0000668","LSLI","Lead","603","3",49860,NA,6858,"Not Funded",NA,"Arkansas","1"
"COMPTON WATERWORKS","AR0000669","LSLI","Lead","604","3",6960,NA,811,"Not Funded",NA,"Arkansas","1"
"DEER WATER ASSOCIATION","AR0000670","LSLI","Lead","605","3",7300,NA,882,"Not Funded",NA,"Arkansas","1"
"BUFFALO ISLAND REG WATER DIST","AR0000671","LSLI","Lead","606","3",22800,NA,3748,"Not Funded",NA,"Arkansas","1"
"Highland Public Water Authority","AR0000672","LSLI","Lead","607","3",19360,NA,1825,"Not Funded",NA,"Arkansas","1"
"NE MISSISSIPPI CO WATER ASSOC","AR0000673","LSLI","Lead","608","3",9580,NA,1156,"Not Funded",NA,"Arkansas","1"
"RIVERSOUTH RURAL WATER DIST","AR0000674","LSLI","Lead","609","3",35120,NA,4275,"Not Funded",NA,"Arkansas","1"
"OAKHILLS SURB IMPROVMENT DIST","AR0000676","LSLI","Lead","610","3",5000,NA,130,"Not Funded",NA,"Arkansas","1"
"LAKE FOREST SUBORDINATE DIST","AR0000677","LSLI","Lead","611","3",5000,NA,123,"Not Funded",NA,"Arkansas","1"
"S P G WATER ASSOCIATION","AR0000678","LSLI","Lead","612","3",13940,NA,1745,"Not Funded",NA,"Arkansas","1"
"MT SHERMAN WATER ASSOCIATION","AR0000680","LSLI","Lead","613","3",6420,NA,805,"Not Funded",NA,"Arkansas","1"
"MORNING STAR WATER ASSOCIATION","AR0000681","LSLI","Lead","614","3",12200,NA,1284,"Not Funded",NA,"Arkansas","1"
"WEST SALINE WATER USERS ASSN","AR0000682","LSLI","Lead","615","3",14600,NA,1825,"Not Funded",NA,"Arkansas","1"
"NEW HOPE WATER ASSOCIATION","AR0000683","LSLI","Lead","616","3",9840,NA,1136,"Not Funded",NA,"Arkansas","1"
"LACEY-LADELLE WATER ASSOCIATION","AR0000684","LSLI","Lead","617","3",11480,NA,1352,"Not Funded",NA,"Arkansas","1"
"DEER RUN WATER COMPANY","AR0000685","LSLI","Lead","618","3",5000,NA,121,"Not Funded",NA,"Arkansas","1"
"WILBURN WATER ASSOCIATION","AR0000686","LSLI","Lead","619","3",6620,NA,773,"Not Funded",NA,"Arkansas","1"
"LAWRENCE CO REG WATER DIST","AR0000688","LSLI","Lead","620","3",60200,NA,7469,"Not Funded",NA,"Arkansas","1"
"BALD KNOB NORTH WATER ASSOC","AR0000689","LSLI","Lead","621","3",18820,NA,2368,"Not Funded",NA,"Arkansas","1"
"US AIR FORCE BASE LITTLE ROCK","AR0000690","LSLI","Lead","622","3",37980,NA,8618,"Not Funded",NA,"Arkansas","1"
"GARRETT BRIDGE WATER ASSOC","AR0000692","LSLI","Lead","623","3",6080,NA,702,"Not Funded",NA,"Arkansas","1"
"GATEWAY PUBLIC WATER AUTHORITY","AR0000693","LSLI","Lead","624","3",17520,NA,1890,"Not Funded",NA,"Arkansas","1"
"WRIGHT-PASTORIA WATER ASSOC","AR0000695","LSLI","Lead","625","3",7520,NA,1229,"Not Funded",NA,"Arkansas","1"
"GREASY VALLEY WPFB LOGAN CO.","AR0000696","LSLI","Lead","626","3",5200,NA,520,"Not Funded",NA,"Arkansas","1"
"NE YELL COUNTY WATER ASSOC","AR0000697","LSLI","Lead","627","3",49820,NA,6125,"Not Funded",NA,"Arkansas","1"
"Dota Public Water Authority","AR0000698","LSLI","Lead","628","3",23160,NA,2722,"Not Funded",NA,"Arkansas","1"
"GENTRYVILLE PUBLIC WATER AUTH","AR0000699","LSLI","Lead","629","3",5000,NA,402,"Not Funded",NA,"Arkansas","1"
"WKMM RURAL WATER ASSOCIATION","AR0000700","LSLI","Lead","630","3",5000,NA,310,"Not Funded",NA,"Arkansas","1"
"GREEN HILL-BROOKS CHAPEL WATER","AR0000701","LSLI","Lead","631","3",6460,NA,785,"Not Funded",NA,"Arkansas","1"
"HWY 9 WATER ASSOCIATION","AR0000702","LSLI","Lead","632","3",11440,NA,1375,"Not Funded",NA,"Arkansas","1"
"WESTERN GREENE COUNTY R W D","AR0000704","LSLI","Lead","633","3",54240,NA,7342,"Not Funded",NA,"Arkansas","1"
"MC NEIL RURAL WATER ASSOC","AR0000705","LSLI","Lead","634","3",7260,NA,900,"Not Funded",NA,"Arkansas","1"
"KROOKED KREEK WATER ASSN","AR0000706","LSLI","Lead","635","3",15600,NA,2153,"Not Funded",NA,"Arkansas","1"
"MORRISON BLUFF WATER SYSTEM","AR0000709","LSLI","Lead","636","3",5000,NA,325,"Not Funded",NA,"Arkansas","1"
"LYDESDALE WATER ASSOCIATION","AR0000713","LSLI","Lead","637","3",5000,NA,405,"Not Funded",NA,"Arkansas","1"
"DORCHEAT WATER ASSOCIATION","AR0000714","LSLI","Lead","638","3",14640,NA,1860,"Not Funded",NA,"Arkansas","1"
"EAST MONROE COUNTY WATER USERS","AR0000715","LSLI","Lead","639","3",6820,NA,762,"Not Funded",NA,"Arkansas","1"
"LISBON WATER ASSOCIATION","AR0000716","LSLI","Lead","640","3",5000,NA,487,"Not Funded",NA,"Arkansas","1"
"LURTON-PELSOR WATER ASSOC","AR0000718","LSLI","Lead","641","3",5000,NA,312,"Not Funded",NA,"Arkansas","1"
"PLEASANT GROVE","AR0000720","LSLI","Lead","642","3",21180,NA,2315,"Not Funded",NA,"Arkansas","1"
"CLAY CO REG WATER DISTRICT","AR0000722","LSLI","Lead","643","3",51120,NA,5633,"Not Funded",NA,"Arkansas","1"
"Mid-Arkansas Utilities PWA","AR0000725","LSLI","Lead","644","3",83600,NA,11148,"Not Funded",NA,"Arkansas","1"
