Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Source Document
18841,Niagara,NIAGARA FALLS WATER BOARD / Niagara Falls Water Board,"Replacement of aged and undersized distribution main, and appurtenances.","55,593","$5,300,000",35,"$2,250,647,939",NY_Y0_multiyear-0006
16217,Niagara,NIAGARA COUNTY WD / Niagara County,Upgrade Surface Water Source,"109,000","$40,000",30,"$2,250,687,939",NY_Y0_multiyear-0006
16248,Niagara,NIAGARA COUNTY WD / Niagara County,sludge lagoon modifications.,"109,000","$220,000",30,"$2,250,907,939",NY_Y0_multiyear-0006
15071,Niagara,NORTH TONAWANDA CITY / North Tonawanda (C),Upgrade Surface Water Source,"33,262","$61,875",30,"$2,250,969,814",NY_Y0_multiyear-0006
16224,Niagara,NIAGARA COUNTY WD / Niagara County,carbon feed system.,"109,000","$100,000",30,"$2,251,069,814",NY_Y0_multiyear-0006
16222,Niagara,NIAGARA COUNTY WD / Niagara County,Filter and valve rehabilitation.,"109,000","$240,000",30,"$2,251,309,814",NY_Y0_multiyear-0006
16220,Niagara,NIAGARA COUNTY WD IMPROVEMENTS / Niagara County,Coagulation Basin Refurbishment.,"109,000","$450,000",30,"$2,251,759,814",NY_Y0_multiyear-0006
16214,Niagara,NIAGARA COUNTY WD / Niagara County,Shawnee-Robinson Transmission main.,"109,000","$6,200,000",30,"$2,257,959,814",NY_Y0_multiyear-0006
18420,Niagara,NORTH TONAWANDA CITY / North Tonawanda (C),"New Other Expenses, New Other (OT)","33,262","$698,000",30,"$2,258,657,814",NY_Y0_multiyear-0006
15064,Niagara,NORTH TONAWANDA CITY / North Tonawanda (C),Filter improvments.,"33,262","$369,675",30,"$2,259,027,489",NY_Y0_multiyear-0006
15999,Niagara,NIAGARA FALLS WATER BOARD / Niagara Falls (C),lead service line replacement.,"55,593","$1,005,000",30,"$2,260,032,489",NY_Y0_multiyear-0006
17064,Niagara,MIDDLEPORT VILLAGE / Middleport (V),New Storage,"1,917","$927,000",30,"$2,260,959,489",NY_Y0_multiyear-0006
15063,Niagara,NORTH TONAWANDA CITY / North Tonawanda (C),Clean coagulation basin piping and water intake conduit.,"33,262","$236,950",30,"$2,261,196,439",NY_Y0_multiyear-0006
16218,Niagara,NIAGARA COUNTY WD / Niagara County,Ward-Shawnee Transmission Main.,"109,000","$2,400,000",30,"$2,263,596,439",NY_Y0_multiyear-0006
16216,Niagara,NIAGARA COUNTY WD / Niagara County,New Pump Station,"109,000","$200,000",30,"$2,263,796,439",NY_Y0_multiyear-0006
18415,Niagara,PORTER MASTER IMPROVEMENT AREA / Porter (T),Upgrade Storage,"6,920","$5,805,000",25,"$2,269,601,439",NY_Y0_multiyear-0006
16223,Niagara,NIAGARA COUNTY WD / Niagara County,New lab.,"109,000","$100,000",25,"$2,269,701,439",NY_Y0_multiyear-0006
15060,Niagara,NORTH TONAWANDA CITY / North Tonawanda (C),"Distribution system improvements, various locations throughout city.","33,262","$16,050,000",25,"$2,285,751,439",NY_Y0_multiyear-0006
15069,Niagara,NORTH TONAWANDA CITY / North Tonawanda (C),"Abandon/replace 2"" mains., Upgrade Distribution System","33,262","$130,800",25,"$2,285,882,239",NY_Y0_multiyear-0007
15065,Niagara,NORTH TONAWANDA CITY / North Tonawanda (C),"Dead-end main elimination., New Distribution System","33,262","$600,250",25,"$2,286,482,489",NY_Y0_multiyear-0007
17815,Niagara,NIAGARA WATER IMPROVEMENT AREA / Niagara(T),Upgrade Storage,"8,978","$206,000",20,"$2,286,688,489",NY_Y0_multiyear-0007
17692,Niagara,"NEWFANE WD NO1,2,3 CONSOL / Newfane (T)",Upgrade Distribution System,"3,485","$300,000",20,"$2,286,988,489",NY_Y0_multiyear-0007
17846,Niagara,LOCKPORT CITY WTP / Lockport (C),"Repair deteriorated raw water line, intake structure, and chemical feed, Upgrade Other Expenses, Upgrade Transmission, Upgrade Other (OT)","22,279","$612,850",20,"$2,287,601,339",NY_Y0_multiyear-0007
17381,Niagara,YOUNGSTOWN (V) / Youngstown (V),Upgrade Transmission,"2,021","$544,613",20,"$2,288,145,952",NY_Y0_multiyear-0007
15473,Niagara,LEWISTON WATER IMPROVEMENTAREA / Lewiston (T),"Upgrade Transmission, Upgrade Distribution System","16,257","$4,842,107",20,"$2,292,988,059",NY_Y0_multiyear-0007
18921,Niagara,NEWFANE WD#4 / Newfane (T),"Approximately 2,400 ft main replacement., Upgrade Distribution System","6,196","$1,102,615",20,"$2,294,090,674",NY_Y0_multiyear-0007
16599,Niagara,WILSON TOWN WATER DISTRICT / Wilson (T),"Sunset Island water main project., Upgrade Distribution System","4,907","$882,400",15,"$2,294,973,074",NY_Y0_multiyear-0007
16397,Niagara,LOCKPORT WD#3 / Lockport (T),"Transit Road., Upgrade Distribution System","19,653","$1,350,000",15,"$2,296,323,074",NY_Y0_multiyear-0007
17820,Niagara,STORAGE TANKS REHABILITATION / Porter (T),Upgrade Storage,"6,920","$504,700",15,"$2,296,827,774",NY_Y0_multiyear-0007
18571,Niagara,LOCKPORT WD#3 / Lockport (T),"Water District No. 3, Phase 2 Distribution System Improvements., Upgrade Distribution System","19,653","$4,095,000",15,"$2,300,922,774",NY_Y0_multiyear-0007
18541,Niagara,CAMBRIA WATER DISTRICT / Cambria (T),"Saunders Settlement Rd Water Main Replacement., Upgrade Distribution System","5,393","$1,450,000",15,"$2,302,372,774",NY_Y0_multiyear-0007
17715,Niagara,"NEWFANE WD NO1,2,3 CONSOL / Newfane (T)",Upgrade Distribution System,"3,485","$2,000,000",15,"$2,304,372,774",NY_Y0_multiyear-0007
16398,Niagara,LOCKPORT WD#3 / Lockport (T),"Sunset Drive., Upgrade Distribution System","19,653","$1,080,000",10,"$2,305,452,774",NY_Y0_multiyear-0007
16399,Niagara,LOCKPORT WD#3 / Lockport (T),"Lincoln Avenue., Upgrade Distribution System","19,653","$765,000",5,"$2,306,217,774",NY_Y0_multiyear-0007
16393,Niagara,LOCKPORT WD#3 / Lockport (T),"Stone Road., Upgrade Distribution System","19,653","$1,305,000",5,"$2,307,522,774",NY_Y0_multiyear-0007
18701,NY City,NEW YORK CITY - CROTON SYSTEM / NYCMMFA,"Croton Filtration Plant (Phase 15 of 16479), New Surface Water Treatment Rule Compliance Facility","1,000,000","$100,000,000",2130,"$2,407,522,774",NY_Y0_multiyear-0007
18539,NY City,NEW YORK CITY - CROTON SYSTEM / NYCMMFA,"Croton Filtration Plant (Phase 14 of 16479), New Surface Water Treatment Rule Compliance Facility","1,000,000",$0,2130,"$2,407,522,774",NY_Y0_multiyear-0007
18823,NY City,NEW YORK CITY - CROTON SYSTEM / NYCMMFA,"Croton Filtration Plant (Phase 16 of 16479), New Surface Water Treatment Rule Compliance Facility","1,000,000","$300,000,000",2130,"$2,707,522,774",NY_Y0_multiyear-0007
17604,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"Hillview Reservoir Chambers Reconstruction-(Phase 4 of 17171), General Chamber Improvements, Flow Control & New Chemical Facilities, SCADA (C519A,C519B,C519C,C519D), Upgrade Surface Water Treatment Rule Compliance Facility","6,552,718","$5,607,922",2110,"$2,713,130,696",NY_Y0_multiyear-0007
16999,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"Hillview Reservoir Chem Addl. Bldg, Equipment Storage Bldg(C529A CM, C529A, C545E)Phase3 (Phase1=16265, Phase 2=16463), Upgrade Storage, New Storage","6,552,718","$5,000,000",2105,"$2,718,130,696",NY_Y0_multiyear-0007
17606,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"3rd city tunnel, stage2 Bkln/Qns, shafts 20,21 and 22B(C545B) (Bkln), Shaft 23B (C545C)(Bkln), crit redund, dist. press(phase 8 of 16266), New Transmission","6,552,718","$4,271,491",2060,"$2,722,402,187",NY_Y0_multiyear-0007
17605,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"3rd city tunnel, stage2 Bkln/Qns, shaft19B(C545A)(Qns), crit redund, dist. press(phase 8 of 16996), Instr. and Tele;Bkln,Qns, Manh (C545D)","6,552,718","$1,071,895",2060,"$2,723,474,082",NY_Y0_multiyear-0007
18160,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCDEP,Provide resiliency during storm events to minimize turbidity around Shaft 18 intake by stabilizing shorelines surrounding Shaft 18.,"6,552,718",$0,1015,"$2,723,474,082",NY_Y0_multiyear-0007
18886,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"3rd city tunnel, stage2 Bkln/Qns, shaft 17B-1 & 18B-1 (C547A) [Phase 2 of DWSRF 18828)], New Transmission","6,552,718","$341,000,000",85,"$3,064,474,082",NY_Y0_multiyear-0007
18828,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"3rd city tunnel, stage2 Bkln/Qns, shaft 17B-1 & 18B-1 (C547A), crit redund, Instr. and Tele, New Transmission","6,552,718","$100,000,000",85,"$3,164,474,082",NY_Y0_multiyear-0007
17203,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"City Tunnel 3, Stage 1, Shafts 8B and 15B, Phase 1 - Completion of Chlorination Booster Stations, Upgrade Distribution System","6,552,718","$1,000,000",60,"$3,165,474,082",NY_Y0_multiyear-0007
17437,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCWMFA,"Catskill& Delaware UV Disinfection, New Water Treatment Plant","6,552,718","$1,400,000,000",55,"$4,565,474,082",NY_Y0_multiyear-0007
17559,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"Reconstruction of Kensico Fluoride Facilities, Upgrade Water Treatment Plant","6,552,718","$8,048,360",25,"$4,573,522,442",NY_Y0_multiyear-0007
18159,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCDEP,Upgrade Upstate the Supervisory Control and Data Acquisition (SCADA) system for remote operations & monitoring to provide for resiliency and ensure system reliability during storm events,"6,552,718","$4,600,000",20,"$4,578,122,442",NY_Y0_multiyear-0007
18158,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCDEP,"Provide for resiliency & redundancy by installing generators at W. Delaware (Del) Tunnel Outlet; Neversink Tunnel Outlet; Downsville Shop, Office & Annex; E. Del. Release Chamber; W. Del. Release Chamber; & Ashoken Precinct","6,552,718","$750,000",20,"$4,578,872,442",NY_Y0_multiyear-0007
18157,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCDEP,Resiliency by hardening power distribution line; Redundancy by installing backup generators at telcom switch to ensure continuous telephone and data communications during power outages,"6,552,718","$2,250,000",20,"$4,581,122,442",NY_Y0_multiyear-0007
18596,Oneida,RT. 365/SCONONDOA/SNYDER RD WD (SWP) / Verona (T),"Extension of water distribution system, new pump station and storage tank, and rehab to existing storage tank., Upgrade Storage, New Storage, New Pump Station, Extend Distribution System","1,795",$0,1155,"$4,581,122,442",NY_Y0_multiyear-0007
17487,Oneida,SAUQUOIT CONSOLIDATED WD (T/O/PARIS) / Paris (T),"New wells for GUDI source compliance., New Ground Water Source","2,639","$3,100,000",160,"$4,584,222,442",NY_Y0_multiyear-0007
17648,Oneida,DEERFIELD RTE 8/28 WATER DISTRICT / Deerfield (T),"New Surface Water Treatment Rule Compliance Facility, New Distribution System, New Inter-Connection, New Water District",100,"$600,000",130,"$4,584,822,442",NY_Y0_multiyear-0007
18289,Oneida,ROME CITY / Rome (C),"NW Rome Re-Phase 3 Water Project., New Storage, New Pump Station, New Distribution System","32,000","$16,500,000",115,"$4,601,322,442",NY_Y0_multiyear-0007
17462,Oneida,CLINTON VILLAGE / Clinton (V),New Surface Water Treatment Rule Compliance Facility,"3,000","$2,720,000",110,"$4,604,042,442",NY_Y0_multiyear-0007
17263,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper M V Regional WB,New System Consolidation,"120,000","$7,210,000",100,"$4,611,252,442",NY_Y0_multiyear-0007
17650,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper M V Regional WB,New Storage,"120,000","$4,326,000",95,"$4,615,578,442",NY_Y0_multiyear-0007
18805,Oneida,VERNON (T) CENTER WD / Vernon (T),"Vernon Center WD Serve area with private contaminated wells, New Water District",530,"$8,671,000",90,"$4,624,249,442",NY_Y0_multiyear-0007
16889,Oneida,NYS ROUTE 5/233 CORRIDOR WATER PROJECT / Westmoreland (T),"New system to serve area with private contaminated wells, consolidate public water supply. , New Complete System (New System)",300,"$7,265,000",85,"$4,631,514,442",NY_Y0_multiyear-0007
16588,Oneida,TOWN OF TRENTON / Trenton (T),Extend Distribution System,150,"$848,900",80,"$4,632,363,342",NY_Y0_multiyear-0007
17277,Oneida,CLAYVILLE VILLAGE / Clayville(V),New Inter-Connection,445,"$220,000",80,"$4,632,583,342",NY_Y0_multiyear-0007
18131,Oneida,SAUQUOIT CONSOLIDATED WD (T/O/PARIS) / Paris (T),"Saquoit WD Upgrades., New Water Treatment Plant, New Ground Water Source, Upgrade Transmission","2,639","$5,250,000",80,"$4,637,833,342",NY_Y0_multiyear-0007
16806,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper M V Regional WB,"Replace undersized and unlined mains in the North Utica and Cornhill area, Upgrade Transmission, Upgrade Transmission","120,000","$486,200",75,"$4,638,319,542",NY_Y0_multiyear-0007
16800,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper M V Regional WB,"Wilcox tank renovation and expansion, Upgrade Storage","120,000","$982,800",70,"$4,639,302,342",NY_Y0_multiyear-0007
15869,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper Mohawk Valley Reg. WB,"Burrstone Road and Dewey Row, (T) of Whitestone., Upgrade Distribution System","120,000","$756,000",55,"$4,640,058,342",NY_Y0_multiyear-0007
18064,Oneida,FORESTPORT WATER DISTRICT / Foresport (T),New Ground Water Source,900,"$390,000",55,"$4,640,448,342",NY_Y0_multiyear-0007
15878,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper Mohawk Valley Reg. WB,"Southern Pump and Chemical Treatment Station, Upgrade Pump and Chemical Station.","120,000","$420,000",50,"$4,640,868,342",NY_Y0_multiyear-0007
16805,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper M V Regional WB,"High Service Zone Interconnecting Mains, Oxford Road, Upgrade Transmission","120,000","$1,159,000",50,"$4,642,027,342",NY_Y0_multiyear-0007
18883,Oneida,ORISKANY FALLS VILLAGE / Oriskany Falls (V),"Booster pump station and water main upgrades on Cooper, College, and Cottage Streets, New Pump Station, Upgrade Distribution System, New Distribution System",682,"$1,300,000",50,"$4,643,327,342",NY_Y0_multiyear-0007
18641,Oneida,MOHAWK VALLEY WATER AUTHORITY / MVWA,"Phase 2 RW Transmission Main Upgrades., New Transmission","120,000","$10,147,000",45,"$4,653,474,342",NY_Y0_multiyear-0007
18929,Oneida,MOHAWK VALLEY WATER AUTHORITY / MVWA,"Cider Street Pressure Zone Storage Improvements., New Storage, Upgrade Storage","120,000","$6,757,000",45,"$4,660,231,342",NY_Y0_multiyear-0007
16774,Oneida,TOWN OF NEW HARTFORD / New Hartford (T),New Complete System (New System),450,"$1,483,200",45,"$4,661,714,542",NY_Y0_multiyear-0007
15748,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper Mohawk Valley Reg. Water,Upgrade Pump Station,"120,000","$120,000",45,"$4,661,834,542",NY_Y0_multiyear-0007
17307,Oneida,NEW LONDON WATER SYSTEM / Verona (T),"New Storage, New Distribution System",500,"$6,150,000",45,"$4,667,984,542",NY_Y0_multiyear-0007
15077,Oneida,MILLER/WALKER RD. W.D. - (T)DEERFIELD / Deerfield (T),"New Complete System (New System), Extend Distribution System",200,"$306,400",45,"$4,668,290,942",NY_Y0_multiyear-0007
18922,Oneida,MOHAWK VALLEY WATER AUTHORITY / MVWA,"Phase 3 RW Transmission Main Upgrades, New Transmission","120,000","$55,600,000",45,"$4,723,890,942",NY_Y0_multiyear-0007
17651,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper M V Regional WB,Upgrade Distribution System,"120,000","$9,270,000",40,"$4,733,160,942",NY_Y0_multiyear-0007
18335,Oneida,MOHAWK VALLEY WATER AUTHORITY / MVWA,"Toby Road Tank 3., New Storage","120,000","$13,323,000",40,"$4,746,483,942",NY_Y0_multiyear-0007
15700,Oneida,ROME CITY / Rome (C),"Replace two 30"" diameter main water transmission lines., Upgrade Transmission","32,000","$5,000,000",35,"$4,751,483,942",NY_Y0_multiyear-0007
17472,Oneida,MOHAWK VALLEY WATER AUTHORITY / Upper Mohawk Valley Reg. WB,New Storage,"120,000","$4,271,400",35,"$4,755,755,342",NY_Y0_multiyear-0007
15703,Oneida,ROME CITY / Rome (C),"Transmission main for western portion of city., New Transmission","32,000","$7,000,000",35,"$4,762,755,342",NY_Y0_multiyear-0007
15731,Oneida,ROME CITY / Rome (C),New Storage,"32,000","$1,000,000",35,"$4,763,755,342",NY_Y0_multiyear-0007
18947,Oneida,WATERVILLE VILLAGE / Waterville (V),"Relocation of booster pump station, Upgrade Pump Station","1,750","$400,000",35,"$4,764,155,342",NY_Y0_multiyear-0007
18098,Oneida,ROME CITY / Rome (C),Rehabilitation of the raw water tunnel.,"32,000",$0,35,"$4,764,155,342",NY_Y0_multiyear-0007
18416,Oneida,CLINTON VILLAGE / Clinton (V),"Upgrade Storage, Upgrade Distribution System","3,000","$2,510,000",30,"$4,766,665,342",NY_Y0_multiyear-0007
15721,Oneida,ROME CITY / Rome (C),Upgrade Transmission,"32,000","$600,000",30,"$4,767,265,342",NY_Y0_multiyear-0007
15737,Oneida,ROME CITY / Rome (C),"Water meters., Upgrade Distribution System","32,000","$1,000,000",30,"$4,768,265,342",NY_Y0_multiyear-0007
15726,Oneida,ROME CITY / Rome (C),Upgrade Distribution System,"32,000","$2,200,000",30,"$4,770,465,342",NY_Y0_multiyear-0007
18938,Oneida,WATERVILLE VILLAGE / Waterville (V),"Stafford Ave Area WM Replacement., Upgrade Distribution System","1,750","$2,165,000",30,"$4,772,630,342",NY_Y0_multiyear-0007
15711,Oneida,ROME CITY / Rome (C),"Hydrant replacement., Upgrade Distribution System","32,000","$750,000",25,"$4,773,380,342",NY_Y0_multiyear-0007
17825,Oneida,VERONA WATER DISTRICT (SWP) / Verona (T),New Transmission,"1,050","$26,553,000",15,"$4,799,933,342",NY_Y0_multiyear-0007
17485,Oneida,BARNEVELD VILLAGE (GU) / Barneveld (V),Upgrade Distribution System,600,"$219,000",15,"$4,800,152,342",NY_Y0_multiyear-0007
16693,Oneida,CLINTON VILLAGE / Clinton (V),New Storage,"3,000","$521,180",15,"$4,800,673,522",NY_Y0_multiyear-0007
18721,Onondaga,JORDAN VILLAGE / Jordan (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18719 &18720., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,400","$7,451,232",135,"$4,808,124,754",NY_Y0_multiyear-0007
18720,Onondaga,ELBRIDGE VILLAGE / Elbridge (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18719 &18721., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,519","$6,875,291",130,"$4,815,000,045",NY_Y0_multiyear-0007
18719,Onondaga,ELBRIDGE (T) / Elbridge (T),"Town's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18720 &18721., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,000","$8,080,916",130,"$4,823,080,961",NY_Y0_multiyear-0007
18534,Onondaga,SKYRIDGE/SALT SPRINGS JOINT PROJECT / Manlius (T),"Skyridge WD/Salt Springs WD Joint Water Project., New System Consolidation, New Water District",400,"$9,200,000",95,"$4,832,280,961",NY_Y0_multiyear-0007
18305,Onondaga,OCWA / Onondaga County Water Auth.,"Lake Ontario Water Treatment Plant Improvements Phases 2 & 3., Upgrade Water Treatment Plant","256,000","$59,800,000",90,"$4,892,080,961",NY_Y0_multiyear-0007
18915,Onondaga,TOWN OF LAFAYETTE / LaFayette (T),"New water system to serve Town of LaFayette., New Ground Water Source, New Storage, New Pump Station, New Distribution System","1,400","$26,460,000",90,"$4,918,540,961",NY_Y0_multiyear-0007
17025,Onondaga,NORTHEAST LAFAYETTE WD / East Syracuse (V),"Contruct a building around Gifford finished water reservoir. , Upgrade Storage",250,"$1,990,503",65,"$4,920,531,464",NY_Y0_multiyear-0007
18706,Onondaga,SYRACUSE CITY / Syracuse (C),"Intake No. 2 Extension., Upgrade Surface Water Source","192,000","$13,360,000",50,"$4,933,891,464",NY_Y0_multiyear-0007
16565,Onondaga,NORTHEAST LAFAYETTE WD / Onondaga County Parks,"Jamesville Beach Water Supply Upgrade., New Storage, New Distribution System",250,"$102,000",45,"$4,933,993,464",NY_Y0_multiyear-0007
17971,Onondaga,GILLIE BROOK ROAD WD / Camillus (T),"Gillie Brook Road Water District., Extend Distribution System",27,"$432,565",45,"$4,934,426,029",NY_Y0_multiyear-0007
18559,Onondaga,SYRACUSE CITY / Syracuse (C),"One of the three transmission conduits, which supply water to the City of Syracuse, is to have sections replaced., Upgrade Transmission","192,000","$1,671,175",45,"$4,936,097,204",NY_Y0_multiyear-0007
18543,Onondaga,SYRACUSE CITY / Syracuse (C),"Repalce chlorine gas systems with NaOCl., Upgrade Water Treatment Plant","192,000","$3,543,200",45,"$4,939,640,404",NY_Y0_multiyear-0007
17328,Onondaga,HALFWAY ROAD WATER DISTRICT / Elbridge (T),"New Storage, Extend Distribution System",120,"$906,400",45,"$4,940,546,804",NY_Y0_multiyear-0007
18115,Onondaga,ONONDAGA HILL WD EXT. / Onondaga (T),"Onondaga Hill WD Extension., Extend Distribution System, New Water District",75,"$369,600",45,"$4,940,916,404",NY_Y0_multiyear-0007
16669,Onondaga,SOUTH ONONDAGA WATER DISTRICT / Onondaga (T),Extend Distribution System,400,"$1,589,000",45,"$4,942,505,404",NY_Y0_multiyear-0007
16644,Onondaga,CICERO WDS / Cicero (T),Extend Distribution System,"14,108","$49,500",45,"$4,942,554,904",NY_Y0_multiyear-0007
18008,Onondaga,CLAY WDS / Clay (T),"Henry Clay Blvd Extension., Extend Distribution System","16,000","$440,000",45,"$4,942,994,904",NY_Y0_multiyear-0007
17024,Onondaga,NORTHEAST LAFAYETTE WD / East Syracuse (V),"Cleaning and dredging of Gifford Finished WaterReservoir., Upgrade Storage",250,"$158,862",40,"$4,943,153,766",NY_Y0_multiyear-0007
18848,Onondaga,TOWN OF DEWITT CONSOLIDATED WD NO. 1 / DeWitt (T),"2020 Water System Improvements., Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","25,000","$5,000,000",35,"$4,948,153,766",NY_Y0_multiyear-0007
18913,Onondaga,OCWA / Onondaga County Water Auth,"Replacement of Solvay Potable Water Pump Station, New Pump Station","256,000","$1,920,000",30,"$4,950,073,766",NY_Y0_multiyear-0007
18912,Onondaga,OCWA / Onondaga County Water Auth,"Salt Springs Water Storage - New Tank and Rehab Existing Tank., Upgrade Storage, New Storage","256,000","$3,523,000",30,"$4,953,596,766",NY_Y0_multiyear-0007
18440,Onondaga,OCWA / OCWA,"Oakridge Storage Tank Replacement., Upgrade Storage","256,000","$2,400,000",25,"$4,955,996,766",NY_Y0_multiyear-0007
18438,Onondaga,OCWA / Onondaga County Water Authorit,"Upgrade Cl2 System at Eastern and Western Reservoirs., Upgrade Storage","256,000","$1,100,000",25,"$4,957,096,766",NY_Y0_multiyear-0007
18914,Onondaga,OCWA / Onondaga County Water Auth,"Replacement of Warners Water Storage Tank, New Storage","256,000","$1,081,500",25,"$4,958,178,266",NY_Y0_multiyear-0007
18439,Onondaga,OCWA / Onondaga County Water Authorit,"Lake Ontario Backup Power., Upgrade Water Treatment Plant","256,000","$2,100,000",20,"$4,960,278,266",NY_Y0_multiyear-0008
17334,Onondaga,CAMILLUS CONSOLIDATED WD / Camillus (T),Upgrade Distribution System,"22,000","$2,178,450",15,"$4,962,456,716",NY_Y0_multiyear-0008
18117,Onondaga,ELBRIDGE VILLAGE / Elbridge (V),Upgrade Storage,"1,519","$190,000",15,"$4,962,646,716",NY_Y0_multiyear-0008
17522,Ontario,NAPLES VILLAGE / Naples (V),"Address GWUDI spring sources., New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System","1,100","$1,530,700",165,"$4,964,177,416",NY_Y0_multiyear-0008
15734,Ontario,MANCHESTER CENTRAL WATER DISTRICT / Manchester (T),"New Storage, Extend Distribution System, System Consolidation",581,"$2,664,600",80,"$4,966,842,016",NY_Y0_multiyear-0008
18456,Ontario,RT. 14 WD JOINT PROJECT / Phelps (T),"Towns of Phelps, Geneva, and Waterloo Joint Project., New Inter-Connection, New Water District",262,"$2,929,753",75,"$4,969,771,769",NY_Y0_multiyear-0008
18598,Ontario,CANANDAIGUA TOWN CONS. WD / Canandaigua (T),"West Street PS, Trans, and Storage (Cramer Road Water Tank). , Upgrade Other Expenses, New Transmission, Upgrade Storage, Upgrade Other (OT)","6,300","$7,570,000",70,"$4,977,341,769",NY_Y0_multiyear-0008
17507,Ontario,SENECA WD NO.1 / Seneca (T),"New Complete System (New System), New Pump Station, New Distribution System",75,"$1,529,500",60,"$4,978,871,269",NY_Y0_multiyear-0008
15159,Ontario,NAPLES VILLAGE / Naples (V),"Upgrade Transmission, New Storage, Upgrade Distribution System","1,100","$1,465,000",60,"$4,980,336,269",NY_Y0_multiyear-0008
15210,Ontario,PHELPS VILLAGE / Phelps (V),New Transmission,"2,118","$862,000",50,"$4,981,198,269",NY_Y0_multiyear-0008
16792,Ontario,PHELPS (T) WATER DISTRICT NO. 3 / Phelps (T),Extend Distribution System,310,"$1,295,000",45,"$4,982,493,269",NY_Y0_multiyear-0008
17747,Ontario,CANANDAIGUA-FARMINGTON CONSOLIDATED W.D. / C & F Cosolidated WD,"Distribution Main Installation for Canandaigua-Farmington Consolidated Water District, Upgrade Distribution System","11,400","$2,511,140",45,"$4,985,004,409",NY_Y0_multiyear-0008
16793,Ontario,PHELPS (T) WATER DISTRICT NO. 4 / Phelps (T),Extend Distribution System,230,"$710,000",45,"$4,985,714,409",NY_Y0_multiyear-0008
16040,Ontario,GORHAM TOWN WD / Gorham (T),"New Pump Station, Extend Distribution System","4,500","$489,370",40,"$4,986,203,779",NY_Y0_multiyear-0008
15516,Ontario,MAXWELL WATER DISTRICT EXT. 1 / Farmington (T),"County Road 28 from Maxwell Rd. to Fox Rd., Extend Distribution System",40,"$90,813",40,"$4,986,294,592",NY_Y0_multiyear-0008
17511,Ontario,CANANDAIGUA CITY / Canandaigua (C),"Upgrade Storage, New Storage","11,264","$4,893,145",40,"$4,991,187,737",NY_Y0_multiyear-0008
15549,Ontario,CANANDAIGUA TOWN CONS. WD / Canandaigua (T),Extend Distribution System,"6,300","$207,300",40,"$4,991,395,037",NY_Y0_multiyear-0008
15541,Ontario,CANANDAIGUA TOWN CONS. WD / Canandaigua (T),Extend Distribution System,"6,300","$1,120,537",40,"$4,992,515,574",NY_Y0_multiyear-0008
16151,Ontario,NORTH FARMINGTON WD / Farmington (T),Extend Distribution System,"2,300","$159,990",40,"$4,992,675,564",NY_Y0_multiyear-0008
16357,Ontario,CANANDAIGUA CITY / Canandaigua (C),New Storage,"11,264","$1,375,000",35,"$4,994,050,564",NY_Y0_multiyear-0008
16072,Ontario,GENEVA CITY / Geneva (C),Upgrade Distribution System,"13,617","$1,223,640",35,"$4,995,274,204",NY_Y0_multiyear-0008
