RANK,PWS #,APPLICANT,SYSTEM TOWN,PROJECT NAME,POPULATION,REQUESTED LOAN  AMOUNT,ARPA  DISADVANTAGED  CO-OP or EPA WIIN  GRANT,EMERGING  CONTAMINANTS,LEAD SERVICE  LINE (LSL) LOAN  AMOUNT,LSL FORGIVENESS,2022 ARPA  GRANT,BASE &  SUPPLEMENTAL  LOAN AMOUNT,BASE &  SUPPLEMENTAL  FORGIVENESS,A. WATER QUALITY  SCORE,B. QUANTITY  DEFICIENCIES  SCORE,C. TREATMENT  SCORE,D. STORAGE SCORE,E. DISTRIBUTION  SCORE,F.  AFFORDABILITY  SCORE,G. CAP DEV  SCORE,H. GREEN  SCORE,I. RESILIENCY  SCORE,J.  CONSOLIDATION /INTERCONNECTI ON SCORE,K. CRITICAL  INFRASTRUCTUR E SCORE,L. PROJECT  READINESS  SCORE,TOTAL SCORE,WATER  RATE,MHI,FINANCIALLY  DISADVANTAGED,ENVIRONMENTALL Y DISADVANTAGED,AFFORDABILITY  INDEX
171,2051010,SALEM WATER DEPT,SALEM,LAKE STREET &  BLUFF  STREET WATER MAIN  EXTENSION,"20,000","$6,870,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,10,0,0,0,0,0,25,$374.52,"$90,673.00",NO,,0.4
172,1351010,LINCOLN WATER WORKS,LINCOLN,LINCOLN WATER STORAGE  TANK,"2,750","$2,300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,0,0,0,5,0,0,10,0,25,$286.68,"$52,813.00",NO,,0.5
173,921010,GORHAM WATER AND  SEWER DEPT,GORHAM,WATER METER  REPLACEMENT,"2,630","$270,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,12,7,0,5,0,0,0,0,24,$447.60,"$50,666.00",YES,,0.9
174,1101050,MOUNTAIN LAKES WATER  DEPT,HAVERHILL,METERS BY CHAMBERS TO  ISOLATE FLOW NORTH AND  SOUTH,787,"$11,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,12,7,0,5,0,0,0,0,24,$600.00,"$52,611.00",YES,,1.1
175,1101050,MOUNTAIN LAKES WATER  DEPT,HAVERHILL,INSTALLATION OF METERS  IN ALL 338 HOMES,787,"$204,572.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,12,7,0,5,0,0,0,0,24,$600.00,"$52,611.00",YES,,1.1
176,1281010,LACONIA WATER WORKS,LACONIA,PINE STREET WATER MAIN  REPLACEMENT,"20,500","$240,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,0,5,0,0,0,0,20,$310.20,"$55,814.00",NO,,0.6
177,1211010,JACKSON WATER PCT,JACKSON,LEAD SERVICE LINE  INVENTORY,500,"$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,15,0,0,0,0,0,0,15,"$1,461.52","$64,375.00",YES,,2.3
178,1101050,MOUNTAIN LAKES WATER  DEPT,HAVERHILL,PROVIDE FUNDING FOR  UPGRADING OLD TOILETS  TO THE 1.6 GAL CURRENT  STANDARD,787,"$45,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,0,5,0,0,0,0,12,$600.00,"$52,611.00",YES,,1.1
179,801010,EXETER WATER DEPT,EXETER,LEAD AND COPPER SERVICE  INVENTORY & GIS  IMPROVEMENTS,"12,200","$100,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,0,0,0,0,0,0,7,$843.00,"$68,984.00",YES,,1.2
180,1731010,NEWMARKET WATER  WORKS,NEWMARKET,LEAD SERVICE LINE  INVENTORY,"5,030","$300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,0,0,0,0,0,0,7,$689.70,"$69,259.00",YES,,1.0
181,2111010,SEABROOK WATER DEPT,SEABROOK,LEAD AND COPPER SERVICE  INVENTORY & GIS  IMPROVEMENTS,"14,000","$85,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,$434.62,"$76,540.00",NO,,0.6
,,,,Total Amount of Funding,,"$394,612,885.00","$4,175,000.00","$7,547,445.00","$2,705,000.00","$1,325,450.00","$7,841,166.00","$35,724,464.00","$10,633,600.00",,,,,,,,,,,,,,,,,,
n/a,2452030,SOUTH WEARE WATER  COOPERATIVE,WEARE,WATER SYSTEM UPGRADES,200,"$147,000.00",,,,,,,,0,0,0,0,12,11,18,5,0,0,0,0,46,$900.00,"$46,550.00",YES,,1.93
n/a,2313020,TAMWORTH PINES,TAMWORTH,WATER SYSTEM UPGRADES,130,"$951,350.00",,,,,,,,0,0,0,10,33,15,18,0,0,0,20,0,96,"$1,150.00","$42,000.00",YES,,2.74
n/a,2373010,NORTH COUNTRY VILLAGE  COOPERATIVE,TAMWORTH,NEW SOURCE,143,"$329,263.00",,,,,,,,0,36,0,0,0,7,18,0,10,0,10,0,81,$387.00,"$28,468.00",YES,,1.36
n/a,2303010,PINE GROVE MHP,SWANZEY,INFRASTRUCTURE UPGRADE  COMPLETION PHASE,305,"$750,000.00",,,,,,,,0,0,0,30,18,7,18,5,10,0,15,0,103,$415.00,"$39,420.00",YES,,1.05
n/a,53010,WELL HILL COOP,ALSTEAD,DRINKING WATER,43,"$40,000.00",,,,,,,,0,0,5,0,0,7,18,0,0,0,20,0,50,$600.00,"$48,636.00",YES,,1.23
n/a,153040,LEE OAKS COOPERATIVE,BARRINGTON,WATER SYSTEM  IMPROVEMENTS,123,"$430,000.00",,,,,,,,30,32,18,30,33,7,18,5,10,0,20,0,203,$500.00,"$37,607.00",YES,,1.33
n/a,763010,EVANS TRAILER PARK,EPPING,WATER SYSTEM UPGRADES,50,"$750,000.00",,,,,,,,0,0,18,0,33,7,18,5,0,0,20,0,101,$535.00,"$66,388.00",YES,,0.81
n/a,1763010,SODA  BROOK  COOPERATIVE,NORTHFIELD,COPPER PIPE REPLACMENT,62,"$100,000.00",,,,,,,,0,0,0,0,18,7,18,5,0,0,0,0,48,$587.35,"$60,450.00",YES,,1.0
