PWSID,Water System Name2,Sum of Weighted Muni MHI,Project MHI Factor,Sum of Weighted Muni Unemp Rate,"Project UE
Factor",Sum of Weighted Muni Pop Trend,Project PT Factor,Project Affordability Score,Sum of Weighted Muni OBC,Meets OBC Criteria (OBC >= 35),AC Tier
NJ1522001,PINE BEACH WATER DEPT,92772,108.83,3.5,1,3.07,0,107.83,0.1377,No,Base
NJ1523001,COLLIER MILLS MOBILE PARK INC,94049,110.33,3.5,1,2.57,0,109.33,0.1486,No,Base
NJ1523002,DEEP RUN ADULT VILLAGE,94049,110.33,3.5,1,2.57,0,109.33,0.1486,No,Base
NJ1523003,NJ AMERICAN WATER - NEW EGYPT,94049,110.33,3.5,1,2.57,0,109.33,0.1486,No,Base
NJ1523004,OAK GROVE MHP,94049,110.33,3.5,1,2.57,0,109.33,0.1486,No,Base
NJ1524001,POINT PLEASANT WATER DEPARTMENT,98401,115.43,3.5,1,1.44,0,114.43,0.1532,No,Base
NJ1525001,POINT PLEASANT BEACH WATER DEPARTM,103875,121.85,3.5,1,-3.62,1,119.85,0.0825,No,Base
NJ1531001,SURF CITY WATER DEPT,90313,105.95,3.5,1,-2.2,1,103.95,0.1298,No,Base
NJ1601001,BLOOMINGDALE WATER DEPT,93603,109.8,4.2,1,5.73,0,108.8,0.1295,No,Base
NJ1604001,HAWTHORNE WATER DEPARTMENT,98071,115.05,4.2,1,0.39,0,114.05,0.1849,No,Base
NJ1605001,NJ AMERICAN WATER - LITTLE FALLS,98295,115.31,4.2,1,3.25,0,114.31,0.156,No,Base
NJ1606301,HOLLAND CHRISTIAN HOME,103056,120.89,4.2,1,0.96,0,119.89,0.1107,No,Base
NJ1609001,POMPTON LAKES MUA,102371,120.09,4.2,1,-0.37,1,118.09,0.1235,No,Base
NJ1611002,RINGWOOD WATER DEPARTMENT,125476,147.19,4.2,1,0.04,0,146.19,0.059,No,Base
NJ1612001,TOTOWA WATER DEPT,105637,123.92,4.2,1,0.82,0,122.92,0.1142,No,Base
NJ1612301,LITTLE SISTERS OF THE POOR,105637,123.92,4.2,1,0.82,0,122.92,0.1142,No,Base
NJ1613001,N.J.D.W.S.C.,95023,111.47,4.2,1,6.78,0,110.47,0.1205,No,Base
NJ1613002,WANAQUE WATER DEPARTMENT,95112,111.57,4.2,1,6.76,0,110.57,0.1203,No,Base
NJ1614001,TOWNSHIP OF WAYNE - DIV OF WATER AN,123204,144.53,4.2,1,-2.08,1,142.53,0.1075,No,Base
NJ1615001,SUEZ WATER NEW JERSEY - BIRCH HILL,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615002,SUEZ WATER NEW JERSEY - GREENBROOK E,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615003,PASSAIC VALLEY W C HIGH CREST,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615006,SUEZ WATER NEW JERSEY - PARKWAY,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615008,PVWC-POSTBROOK,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615009,REFLECTION LAKES GARDEN APARTMENTS,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615012,SUEZ WATER NEW JERSEY - AWOSTING,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615014,SUEZ WATER NEW JERSEY - CRESCENT PAR,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615016,SUEZ WATER NEW JERSEY - OLDE MILFORD,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615017,WONDER LAKE PROPERTIES I,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615018,SUEZ WATER NEW JERSEY - BALD EAGLE VIL,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615020,SUEZ WATER NEW JERSEY BALD EAGLE CO,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615022,WOODLAND HEIGHTS HOMEOWNER ASSO,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1615340,MILFORD MANOR,100461,117.85,4.2,1,2.11,0,116.85,0.1435,No,Base
NJ1704001,LEISURE ARMS COMPLEX,95000,111.44,4.6,1,-6.17,1,109.44,0.1027,No,Base
NJ1803002,NJ AMERICAN WATER - TWIN LAKES,165052,193.62,2.9,0,-1.11,1,192.62,0.0538,No,Base
NJ1808001,FRANKLIN TOWNSHIP DEPT OF PUBLIC WO,93347,109.5,2.9,0,6.81,0,109.5,0.1579,No,Base
NJ1815300,MATHENY MEDICAL AND EDUCATION CENT,124010,145.47,2.9,0,0.82,0,145.47,0.1154,No,Base
NJ1817001,ROCKY HILL W DEPT,111688,131.02,2.9,0,-1.62,1,130.02,0.1006,No,Base
NJ1902003,LAKE LENAPE WATER CO,92838,108.91,3.3,0,-7.18,1,107.91,0.161,No,Base
NJ1902004,SUEZ WATER NEW JERSEY ANDOVER,92838,108.91,3.3,0,-7.18,1,107.91,0.161,No,Base
NJ1902005,ASCOT PARK APTS,92838,108.91,3.3,0,-7.18,1,107.91,0.161,No,Base
NJ1902007,ROLLING HILLS CONDOMINIUM ASSOCIATI,92838,108.91,3.3,0,-7.18,1,107.91,0.161,No,Base
NJ1902346,SAINT PAULS ABBEY,92838,108.91,3.3,0,-7.18,1,107.91,0.161,No,Base
NJ1904001,BROOKWOOD MUSCONETCONG RIVER PO,108277,127.02,3.3,0,-5.39,1,126.02,0.0834,No,Base
NJ1904002,SUEZ WATER NEW JERSEY EAST BROOKWO,108277,127.02,3.3,0,-5.39,1,126.02,0.0834,No,Base
NJ1904003,FOREST LAKES WATER COMPANY,106591,125.04,3.3,0,-5.59,1,124.04,0.0919,No,Base
NJ1904004,NORTH SHORE WATER ASSOCIATION,108277,127.02,3.3,0,-5.39,1,126.02,0.0834,No,Base
NJ1904006,STRAWBERRY POINT PROP OW,108277,127.02,3.3,0,-5.39,1,126.02,0.0834,No,Base
NJ1904007,COLBY WATER CO,108277,127.02,3.3,0,-5.39,1,126.02,0.0834,No,Base
NJ1904009,AQUA NJ - BYRAM,108277,127.02,3.3,0,-5.39,1,126.02,0.0834,No,Base
NJ1905002,CULVER LAKE WATER COMPANY,87204,102.3,3.3,0,-4.98,1,101.3,0.1496,No,Base
NJ1907001,GREEN HILLS EST PROP OWN,127727,149.84,3.3,0,-7.33,1,148.84,0.1132,No,Base
NJ1907002,AQUA NJ - BEAR BROOK,127727,149.84,3.3,0,-7.33,1,148.84,0.1132,No,Base
NJ1908001,AQUA NJ - TRANQUILITY SPRINGS,140114,164.37,3.3,0,-3.18,1,163.37,0.126,No,Base
NJ1908308,TRANQUIL VALLEY RETREAT CENTER,140114,164.37,3.3,0,-3.18,1,163.37,0.126,No,Base
NJ1911001,AQUA NJ WALLKILL,100375,117.75,3.3,0,-3.79,1,116.75,0.13,No,Base
NJ1911002,LAKE STOCKHOLM INC,100375,117.75,3.3,0,-3.79,1,116.75,0.13,No,Base
NJ1911003,LAKE TAMARACK W CO,100375,117.75,3.3,0,-3.79,1,116.75,0.13,No,Base
NJ1911004,AQUA NJ - SUMMIT LAKE,100375,117.75,3.3,0,-3.79,1,116.75,0.13,No,Base
NJ1911005,HARDYSTON TWP MUA,100375,117.75,3.3,0,-3.79,1,116.75,0.13,No,Base
NJ1911006,HARDYSTON TWP MUA,100375,117.75,3.3,0,-3.79,1,116.75,0.13,No,Base
NJ1912001,HOPATCONG WATER DEPT,89400,104.87,3.3,0,-7.06,1,103.87,0.1276,No,Base
NJ1912300,LOCOR LAKEFRONT LODGING,89400,104.87,3.3,0,-7.06,1,103.87,0.1276,No,Base
NJ1916001,OGDENSBURG W DEPT,89091,104.51,3.3,0,-7.43,1,103.51,0.0957,No,Base
NJ1918003,SPARTA TWP WATER UTILITY -- HIGHLANDS,137945,161.82,3.3,0,-5.59,1,160.82,0.0737,No,Base
NJ1918004,SPARTA TWP WATER UTILITY - LAKE MOHA,135353,158.78,3.3,0,-5.6,1,157.78,0.0749,No,Base
NJ1918013,SPARTA TWP WATER UTILITY - SUNSET,138061,161.96,3.3,0,-5.6,1,160.96,0.0735,No,Base
NJ1919001,STANHOPE W DEPT,95819,112.4,3.3,0,-8.7,1,111.4,0.0987,No,Base
NJ1920001,STILLWATER WATER DISTRICT 1,97331,114.18,3.3,0,-6.3,1,113.18,0.1578,No,Base
NJ1922001,SUEZ WATER NEW JERSEY BARRY LAKES,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922004,SUEZ WATER NEW JERSEY CLIFFWOODS LA,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922005,SUEZ WATER NEW JERSEY GRANDVIEW EST,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922006,SUEZ WATER NEW JERSEY SUSSEX HILLS,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922008,AQUA NJ - VERNON,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922010,SUEZ WATER NEW JERSEY LAKE GLENWOO,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922011,SUEZ WATER NEW JERSEY SUNSET RIDGE,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922012,SUEZ WATER NEW JERSEY LAKE CONWAY,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922013,SUEZ WATER NEW JERSEY DAVID CURTIS,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922015,SUEZ WATER NEW JERSEY WALNUT HILLS,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922017,SUEZ WATER NEW JERSEY HIGHLAND LAKE,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922021,SUEZ WATER NEW JERSEY PREDMORE ESTA,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922022,SUEZ WATER NEW JERSEY SAMMIS ROAD,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922026,SUEZ WATER NEW JERSEY VERNON VALLEY,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1922027,HIDDEN VILLAGE CONDO ASSOCIATION,95883,112.48,3.3,0,-8.78,1,111.48,0.0966,No,Base
NJ1924002,SIMMONS W CO,96964,113.75,3.3,0,-3.79,1,112.75,0.1445,No,Base
NJ1924003,REGENCY APARTMENTS LLC,96964,113.75,3.3,0,-3.79,1,112.75,0.1445,No,Base
NJ1924004,SUEZ WATER-WOODRIDGE ESTATES,96964,113.75,3.3,0,-3.79,1,112.75,0.1445,No,Base
NJ1924006,TOWN CENTER AT WANTAGE,96964,113.75,3.3,0,-3.79,1,112.75,0.1445,No,Base
NJ2004002,NJ AMERICAN WATER - RARITAN,109965,129,3.2,0,2.83,0,129,0.1524,No,Base
NJ2101001,ALLAMUCHY TWP WATER & SEWER,88444,103.75,3.2,0,8.28,0,103.75,0.1077,No,Base
NJ2104001,TOWNSHIP OF BLAIRSTOWN DPW,105772,124.08,3.2,0,-4.77,1,123.08,0.0926,No,Base
NJ2106304,FOREST MANOR RETIREMENT HOME,124286,145.8,3.2,0,-2.6,1,144.8,0.151,No,Base
NJ2110001,AQUA NJ - BRAINARDS,88500,103.82,3.2,0,-8.02,1,102.82,0.144,No,Base
NJ2110003,AQUA NJ - HARKERS HOLLOW,88500,103.82,3.2,0,-8.02,1,102.82,0.144,No,Base
NJ2112001,SUEZ WATER NJ INDEPENDENCE VALLEY VI,94250,110.56,3.2,0,-4.8,1,109.56,0.1133,No,Base
NJ2112002,SUEZ WATER NJ INDEPENDENCE HIGHLAND,94250,110.56,3.2,0,-4.8,1,109.56,0.1133,No,Base
NJ2113002,RIVERSIDE MOBILE HOME PA,101667,119.26,3.2,0,-4.44,1,118.26,0.0659,No,Base
NJ2113003,TRIPLE BROOK MOBILE HOME,101667,119.26,3.2,0,-4.44,1,118.26,0.0659,No,Base
NJ2113301,CLOVER REST HOME,101667,119.26,3.2,0,-4.44,1,118.26,0.0659,No,Base
NJ2120002,AQUA NJ - WARREN GLEN,88252,103.53,3,0,-5.07,1,102.53,0.1134,No,Base
