Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points
335,Brick Township Municipal Utilities Authority,"1506001-
006",Installation of security measures in water system,134108,2300000,1140000,3440000,45,0,20,0,0,0,15,1.34,81.34
336,Lakewood Township Municipal Utilities Authority,"1514002-
003",Administration Building Addition,21000,1200000,240000,1440000,1,0,0,0,0,0,80,0.22,81.22
337,"NJ American Water Company, Incorporated","2004002-
006",36 inch valve replacement at Madison Hill Road,610000,175000,122500,297500,75,0,0,0,0,0,0,6.1,81.1
338,Seaside Park Borough,"1527001-
003",Water Asset Management Plan,3753,-,70200,70200,1,0,0,0,0,0,80,0.04,81.04
339,Perth Amboy City,"1216001-
005",THE INSTALLATION OF A NEW STANDBY GENERATOR AT THE RUNYON WATER TREATMENT PLANT,366296,750000,9087360,1021050,45,0,0,0,5,0,30,0.52,80.52
339,Perth Amboy City,"1216001-
500",Install New Stand-by Generator for Runyon Water Treat. Plant,50814,1855500,852500,2708000,45,0,0,0,5,0,30,0.52,80.52
340,Winslow Township,"0436007-
004","Install appurtenances associated with new well #12 (SCADA, well house, transmission mains)",39328,1791000,1048040,2839040,15,50,15,0,0,0,0,0.39,80.39
340,Winslow Township,"0436007-
005",Install new 500 GPM well #12,39328,228600,160020,388620,15,50,15,0,0,0,0,0.39,80.39
341,Montclair Township,"0713001-
002",Cleaning & Lining of water mains,38977,750000,525000,1275000,75,0,0,5,0,0,0,0.39,80.39
341,Montclair Township,"0713001-
003",Replace Transmission Valves,38977,650000,455000,1105000,75,0,0,5,0,0,0,0.39,80.39
341,Montclair Township,"0713001-
010",Replacement of lead service Lines - Phase III,38977,900000,324000,1224000,75,0,0,5,0,0,0,0.39,80.39
342,Rahway City,"2013001-
004",Repainting of 1.5 MG elevated & 0.5 MG watersphere water tanks,27785,750000,525000,1275000,60,0,0,5,0,0,15,0.28,80.28
343,Mahwah Township,"0233001-
003",Interconnection on Campgaw & Pulis Avenues,24062,1300000,832000,2132000,30,50,0,0,0,0,0,0.24,80.24
344,South Orange Village,"0719001-
009",Scotland Road Water Mains,17000,2994500,2560000,3891400,75,0,0,5,0,0,0,0.17,80.17
345,Gloucester City,"0414001-
014",Construction of a 1.0 MG storage tank to replace standpipe,11484,3000000,1580000,4580000,50,0,0,0,0,0,30,0.11,80.11
345,Gloucester City,"0414001-
015",Construction of a new .5 MG storage tank to maintain pressure on the east side,11484,911511,638056,1549567,50,0,0,0,0,0,30,0.11,80.11
346,Milltown Borough,"1212001-
003",Ford Ave Redevelopment Agency Borough,7052,750000,876000,1626000,60,0,15,0,5,0,0,0.07,80.07
348,"NJ American Water Company, Incorporated","1345001-
006",Rehab of High Service Transmission Main in Middletown,289553,5400000,2113300,7513300,75,0,0,0,0,0,0,2.9,77.9
348,"NJ American Water Company, Incorporated","1345001-
009",East End Transmission Main Replacement,289553,1391309,784850,2176159,75,0,0,0,0,0,0,2.9,77.9
350,"NJ American Water Company, Incorporated","0712001-
008",Replacement of two large valves,217230,600000,420000,1020000,75,0,0,0,0,0,0,2.17,77.17
351,Old Bridge Municipal Utilities Authority,"1209002-
002",Replacement of water mains along Lawrence Harbor Road,66200,1600000,964000,2564000,75,0,0,0,0,0,0,0.66,75.66
352,Wayne Township,"1614001-
001",Replacement of 2400 LF of 8-inch water main and 2000 LF of 12-inch water main -Farmingdale Area,55000,1100000,744000,1844000,75,0,0,0,0,0,0,0.55,75.55
353,Franklin Township,"1808001-
006",Installation of new water mains to eliminate dead end mains,50000,920000,644000,1564000,75,0,0,0,0,0,0,0.5,75.5
355,East Brunswick Township,"1204001-
001","Replacement of undersized water mains on Wilmot, Harrison and various streets",47000,3672735,1959983,5632718,75,0,0,0,0,0,0,0.47,75.47
356,Evesham Municipal Utilities Authority,"0313001-
002",2018 Water Main Replacements,45351,4528600,1608720,6137320,75,0,0,0,0,0,0,0.45,75.45
356,Evesham Municipal Utilities Authority,"0313001-
003",Route 70 WM Replacement,45351,583000,206600,789600,75,0,0,0,0,0,0,0.45,75.45
357,North Brunswick Township,"1215001-
008",Old Georges Road Water Project,41431,4000000,-,4800000,75,0,0,0,0,0,0,0.41,75.41
358,Sayreville Borough,"1219001-
004",Rehabilitate existing unlined cast iron water mains in several areas of Sayreville,40377,5000000,2460000,7460000,75,0,0,0,0,0,0,0.4,75.4
358,Sayreville Borough,"1219001-
006",Construct new water main along Washington Road,40377,650000,429000,1079000,75,0,0,0,0,0,0,0.4,75.4
358,Sayreville Borough,"1219001-
008",Clean and line water mains in several sections of the Borough,40377,2000000,1060000,3060000,75,0,0,0,0,0,0,0.4,75.4
359,North Brunswick Township,"1215001-
002",Replacement of 4 miles of 24 inch water main from the North Brunswick Twp Treatment plant to Finnegans Lane,38000,5000000,2460000,7460000,75,0,0,0,0,0,0,0.38,75.38
359,North Brunswick Township,"1215001-
004",Install 16 inch water main,38000,1750000,264000,2014000,75,0,0,0,0,0,0,0.38,75.38
359,North Brunswick Township,"1215001-
005","Replacement of 2,350 LF of 8 inch water mains on Excelsior and Thalia Streets and Sioux Road",38000,844000,561200,1405200,75,0,0,0,0,0,0,0.38,75.38
360,East Windsor Municipal Utilities Authority,"1101002-
005",Twin Rivers (H section) Water Main Replacement Project,27190,1050070,276714,1326784,75,0,0,0,0,0,0,0.27,75.27
361,Little Egg Harbor Municipal Utilities Authority,"1516001-
006",Water Storage Tank Painting and Upgrades,21333,2168364,1200000,2659837,60,0,0,0,0,0,15,0.21,75.21
362,West Deptford Township,"0820001-
004",Jessup Road Water Storage Tank Repair and Repainting,21248,2622530,345920,3222036,60,0,0,0,0,0,15,0.21,75.21
363,Montville Township,"1421003-
002",Installation of 880 LF of 8 inch water main,21000,125000,45000,170000,75,0,0,0,0,0,0,0.21,75.21
364,Ramsey Borough,"0248001-
014",Replacement of North Central Ave water main,16350,60000,68000,128000,75,0,0,0,0,0,0,0.16,75.16
365,Bordentown City,"0303001-
002","Replacement of 1,500 LF of 12-inch transmission mains",15831,330000,251800,581800,75,0,0,0,0,0,0,0.16,75.16
366,Pennsville Township,"1708001-
003",Rehabilitate .25 MG Water Street storage tank,13250,150000,105000,255000,60,0,0,0,0,0,15,0.13,75.13
367,Saddle Brook Township,"0257001-
001","Construction of 1,200 LF of 8-inch water mains",13155,465000,325500,790500,75,0,0,0,0,0,0,0.13,75.13
368,Mantua Township MUA,"0810004-
004",Centre City Water/Sewer Infrastructure Improvements,12711,3500000,1250000,4750000,75,0,0,0,0,0,0,0.13,75.13
369,Clinton Town,"1005001-
006",Lebanon Borough Water Main Replacements - Phase 2-5,12500,2684475,989032,3673507,75,0,0,0,0,0,0,0.12,75.12
369,Clinton Town,"1005001-
012",WQAA Implementation - Water Infrastructure Audit and Upgrades,12500,2500000,-,3220000,75,0,0,0,0,0,0,0.12,75.12
370,Haddon.eld Borough,"0417001-
001",Replacement of water main on Tanner & Woodlane with 8 inch,11600,597262,206740,804002,75,0,0,0,0,0,0,0.12,75.12
371,Pompton Lakes Municipal Utilities Authority,"1609001-
001",Abandonment of Cannonball Rd main and installation of insertion valves throughout system,11435,140000,110000,250000,75,0,0,0,0,0,0,0.11,75.11
372,North Brunswick Township,"1215001-
007",Water Main Replacement,41431,5100000,314329,6732000,75,0,0,0,0,0,0,0.11,75.11
373,Beachwood Borough,"1504001-
006",The Cable Avenue water main replacement,10375,500000,100000,600000,75,0,0,0,0,0,0,0.1,75.1
374,East Hanover Township,"1410001-
004",Replace Water Meters,10000,350000,245000,595000,75,0,0,0,0,0,0,0.1,75.1
375,Long Beach Township,"1517001-
015",Water Main Replacement Project,9962,2310000,869200,3179200,75,0,0,0,0,0,0,0.1,75.1
376,Wanaque Borough,"1613002-
002","Replacement of approximately 6,000 feet of water main and services on Ringwood Avenue",9954,1700000,232000,1932000,75,0,0,0,0,0,0,0.1,75.1
377,Ringwood Borough,"1611002-
002",Replacement of undersized water mains,9600,650000,455000,1105000,75,0,0,0,0,0,0,0.1,75.1
378,Aberdeen Township,"1330002-
001",Installation of water mains,8900,775000,758000,1533000,75,0,0,0,0,0,0,0.09,75.09
378,Aberdeen Township,"1330002-
003",Replace deteriorated water main from Route 35/Long Neck crossing,8900,650000,455000,1105000,75,0,0,0,0,0,0,0.09,75.09
378,Aberdeen Township,"1330002-
004",Install two water utility crossing of Route 35,8900,350000,252000,602000,75,0,0,0,0,0,0,0.09,75.09
379,Florham Park Borough,"1411001-
002","Replacement of 14 6-inch line valves, 12 hydrants and 11 services",8857,164080,114855,278935,75,0,0,0,0,0,0,0.09,75.09
381,Milltown Borough,"1212001-
005",Water Storage Tank Rehabilitation,7000,1000000,950000,1950000,60,0,15,0,0,0,0,0.07,75.07
384,Allentown Borough,"1302001-
002",Elevated Water Tank Improvements,1828,418000,131100,549100,60,0,15,0,0,0,0,0.02,75.02
385,Island Heights Borough,"1510001-
004",Replacement of 75 .re hydrants and repairs to 21 .re hydrants,1750,250800,-32,250768,75,0,0,0,0,0,0,0.02,75.02
386,West Milford Municipal Utilities Authority,"1615016-
004",Replace Fire Hydrants,1625,46000,43700,89700,75,0,0,0,0,0,0,0.02,75.02
387,Milford Borough,"1020001-
001","Replace 3,000 LF with 8-inch water mains on Green, Maple, Orchard, Walnut & Railroad Sts",1347,710000,563000,1273000,75,0,0,0,0,0,0,0.01,75.01
387,Milford Borough,"1020001-
002","Replace 5,000 LF with 8-inch water mains on Delaware & Ravine Rds to loop system",1347,1040000,1442440,2482440,75,0,0,0,0,0,0,0.01,75.01
389,Farmingdale Borough,"1314001-
002",Painting and repairs to water tower and other misc system improvements,1329,685000,222000,907000,60,0,0,0,0,0,15,0.01,75.01
390,West Milford Municipal Utilities Authority,"1615018-
004",Replace Fire Hydrants,1260,35000,24500,59500,75,0,0,0,0,0,0,0.01,75.01
392,Roosevelt Borough,"1341001-
006",Replacement of water lines most susceptible to breakage,933,730625,744093,1474718,75,0,0,0,0,0,0,0.01,75.01
393,Roosevelt Borough,"1341001-
007","Homestead, Cedar and Elm Water Mains Project.",882,405990,125700,549188,75,0,0,0,0,0,0,0.01,75.01
394,Roosevelt Borough,"1314001-
003",Improvements to Farm Lane and School Lane,808,582058,576000,773469,75,0,0,0,0,0,0,0.01,75.01
395,West Milford Municipal Utilities Authority,"1615014-
002",Replace Fire Hydrants,700,17000,16150,33150,75,0,0,0,0,0,0,0.01,75.01
396,West Milford Municipal Utilities Authority,"1615012-
004",Replace Fire Hydrants,635,17000,16150,33150,75,0,0,0,0,0,0,0.01,75.01
397,West Milford Municipal Utilities Authority,"1615002-
003",Replace Fire Hydrants,600,17000,16150,33150,75,0,0,0,0,0,0,0.01,75.01
398,Byram Homeowners Association,"1904009-
006",Replacement of 77 saddles on the water mains,400,250000,175000,425000,75,0,0,0,0,0,0,0,75
399,Collier Services,"1328300-
002",Replace distribution system and associated appurtenances,350,254000,177800,431800,75,0,0,0,0,0,0,0,75
401,Lake Glenwood Village,"1922010-
002","Installation of 7,100 LF of 6-inch Cement Lined Ductile Iron Pipe replacement water mains",250,500000,350000,850000,75,0,0,0,0,0,0,0,75
401,Lake Glenwood Village,"1922010-
004","Replacement of 1,000 LF of water mains on Cliffside, Toboggan & Lakeshore",250,72000,50400,122400,75,0,0,0,0,0,0,0,75
402,Rosemont Water Company,"1007002-
002",Rehabilitate and/or replace existing distribution mains,225,361456,253016,614472,75,0,0,0,0,0,0,0,75
403,Plausha Park Water Company,"1421004-
002","Replacement of main at stream crossing, valves and installing blow off hydrants",200,95000,35800,130800,75,0,0,0,0,0,0,0,75
404,West Milford Municipal Utilities Authority,"1615001-
004",Replace Fire Hydrants,180,6000,5700,11700,75,0,0,0,0,0,0,0,75
405,West Milford Municipal Utilities Authority,"1615006-
004",Replace Fire Hydrants,115,6000,5700,11700,75,0,0,0,0,0,0,0,75
406,North Shore Water Association,"1904004-
002",Water System Refurb,105,285000,229000,514000,75,0,0,0,0,0,0,0,75
407,Woodland Heights Homeowners Association,"1615022-
001",Well Rehabilitation/System Improvements,80,-,125000,125000,75,0,0,0,0,0,0,0,75
408,Middlesex Water Company,"1225001-
506/001",New elevated storage tank to replace tank & PS @ Eborn,1633632,6100000,1220000,7320000,1,50,15,5,0,0,0,2.33,73.33
409,"NJ American Water Company, Incorporated","2004002-
013",RM WTP Emergency Generator,44464,7980000,2683600,10663600,1,50,15,0,0,0,0,6.1,72.1
410,Barnegat Township,"1533001-
003","Installation of 1,700 LF of 8 inch PVC water main extension",20935,208000,145600,353600,1,35,20,0,0,0,15,0.21,71.21
411,"NJ American Water Company, Incorporated","0119002-
009",Installation of New Water Meters,88088,128641,90045,218686,35,0,20,0,0,0,15,0.88,70.88
412,Point Pleasant Beach Borough,"1525001-
001",Water Meter Replacement Project,6204,1200000,730000,1930000,25,0,0,0,0,15,30,0.06,70.06
413,Jersey City Municipal Utilities Authority,"0906001-
013",Remote Meter Reading (AMI),257342,6371000,3567760,9938760,25,0,20,5,0,0,15,2.57,67.57
414,Trenton City,"1111001-
007",Construction of an emergency interconnection with NJAWCo,255000,13000000,5620000,18620000,30,0,20,0,0,0,15,2.55,67.55
415,"NJ American Water Company, Incorporated","2004002-
002",Hummocks Tank Painting,610000,1698592,534994,2233586,60,0,0,0,0,0,0,6.1,66.1
415,"NJ American Water Company, Incorporated","2004002-
003",Upgrade or replace existing booster station due to aging and obolete equipment (Roselle Station),610000,4446416,3511516,7957932,60,0,0,0,0,0,0,6.1,66.1
415,"NJ American Water Company, Incorporated","2004002-
008",Prospect Ave Tank (Mountainside) Painting,610000,350000,245000,595000,60,0,0,0,0,0,0,6.1,66.1
417,Montclair Township,"0713001-
004",Rehabilitate 2.5 MG & 1.5 MG storage tanks with piping,38977,500000,350000,850000,60,0,0,5,0,0,0,0.39,65.39
418,South Orange Village,"0719001-
005",Crest Drive Standpipe,16198,2000000,770000,2770000,60,0,0,5,0,0,0,0.17,65.17
418,South Orange Village,"0719001-
006",Repair or Replace Newstead Shere,16298,1000000,450000,1450000,60,0,0,5,0,0,0,0.17,65.17
419,Ramsey Borough,"0248001-
006","Rehabilitate Dixon, Martis & Spring wells",16350,250000,175000,425000,15,50,0,0,0,0,0,0.16,65.16
419,Ramsey Borough,"0248001-
007",Construction of 2 wells with pump station & piping,16350,3090000,1619600,4709600,15,50,0,0,0,0,0,0.16,65.16
420,Freehold Borough,"1315001-
003",Replacement of Well No. 3,12052,1427000,1000000,2152400,15,0,15,0,5,0,30,0.12,65.12
421,Manchester Utilities Authority,"1603001-
003",High Service Pump Station Replacement,12028,1290000,-,2000000,50,0,15,0,0,0,0,0.12,65.12
422,Hightstown Borough,"1104001-
001",New Wycoff Mills Water Storage Tank with transmission mains,5567,825000,577500,1402500,50,0,15,0,0,0,0,0.06,65.06
423,"NJ American Water Company, Incorporated","1345001-
008",Rehab of Newman Springs Pumping Station,289553,400000,280000,680000,60,0,0,0,0,0,0,2.9,62.9
423,"NJ American Water Company, Incorporated","1345001-
010",Sunset Avenue and Monterey Tank Painting,289553,600000,420000,1020000,60,0,0,0,0,0,0,2.9,62.9
425,"NJ American Water Company, Incorporated","0712001-
006",Short Hills Tank Painting,217230,400000,280000,680000,60,0,0,0,0,0,0,2.17,62.17
426,"NJ American Water Company, Incorporated","0119002-
010",Replacement of Water Meters,88088,322686,225879,548565,25,0,20,0,0,0,15,0.88,60.88
428,Parsippany Troy Hills Township,"1429001-
004",Repainting of 1 MG water storage tank,50649,820000,39000,859000,60,0,0,0,0,0,0,0.51,60.51
429,Franklin Township,"1808001-
004",Replacement of 2 elevated storage tanks,50000,7500000,3560000,11060000,60,0,0,0,0,0,0,0.5,60.5
431,Sayreville Borough,"1219001-
002",Rehabilitate the pump station facility and surface intake on the South River located in Sayreville,40377,300000,210000,510000,60,0,0,0,0,0,0,0.4,60.4
431,Sayreville Borough,"1219001-
003",Rehabilitate existing 3 MG tank,40377,2500000,1260000,3760000,60,0,0,0,0,0,0,0.4,60.4
432,Marlboro Township,"1328002-
003",Beacon Hill storge tank Rehab,29481,1200000,514000,1714000,60,0,0,0,0,0,0,0.29,60.29
433,Mahwah Township,"0233001-
010",Rehabilitation of Campgaw elevated storage tank,24062,380000,141160,521160,60,0,0,0,0,0,0,0.24,60.24
434,Montville Township,"1421003-
003","Storage tank rehabilitation, which includes increasing the capacity of 0.25 MG tank to 0.33 MG",21000,300000,210000,510000,60,0,0,0,0,0,0,0.21,60.21
435,Point Pleasant Borough,"1524001-
001",Replacement of the Clifton Ave storage tank,19306,1200000,172000,1372000,60,0,0,0,0,0,0,0.19,60.19
436,West Caldwell Township,"0721001-
001",Rehabilitation of McKinley Ave storage tank,18296,648000,-25600,622400,60,0,0,0,0,0,0,0.18,60.18
437,Sparta Township,"1918004-
001",Installation of a 600 KW wind turbine generator at Germany Flats Water Utility,15726,1281800,-51272,1230528,45,0,0,0,0,15,0,0.16,60.16
438,Verona Township,"0720001-
004",Acquisition of the ECUA Jail Annex tank plus rehab and upgrading of the tank,13641,500000,350000,850000,60,0,0,0,0,0,0,0.14,60.14
438,Verona Township,"0720001-
005",Rehabilitation of the 2 MG Fairview Avenue storage tank,13641,700500,462330,1162830,60,0,0,0,0,0,0,0.14,60.14
439,Oakland Borough,"0220001-
004",Iroquois Pumping Station - Rehabilitation,12959,75000,33750,108750,60,0,0,0,0,0,0,0.13,60.13
441,Clinton Town,"1005001-
013",Foster Wheeler Booster Pump Station Modi.cations - Asset Management Planning,214,2190000,588000,2778000,60,0,0,0,0,0,0,0.12,60.12
442,Pompton Lakes Municipal Utilities Authority,"1609001-
002",Rehabilitation of the exterior of the existing 1.0 MG tank,11435,170000,117000,287000,60,0,0,0,0,0,0,0.11,60.11
442,Pompton Lakes Municipal Utilities Authority,"1609001-
005",Replacement of water storage tanks with a 1.0 MG tank,11435,900000,620000,1520000,60,0,0,0,0,0,0,0.11,60.11
443,Brigantine City,"0103001-
501",Installation of Generators at well,11117,677100,2139882,2816982,45,0,0,0,0,0,15,0.11,60.11
444,Florham Park Borough,"1411001-
003",Rehabilitation of a 1.0 MG storage tank,8857,610000,427000,1037000,60,0,0,0,0,0,0,0.09,60.09
445,North Caldwell Borough,"0715001-
001",Rehabilitate a 1.29 MG steel water tank. Remove and replace 800 feet of existing chain link fence,6000,470000,329000,799000,60,0,0,0,0,0,0,0.06,60.06
446,Brielle Borough,"1308001-
004",Brielle Drinking Water Storage Tank Project,4774,3810000,1066800,4876800,60,0,0,0,0,0,0,0.05,60.05
447,Flemington Borough,"1009001-
008",Installation of wells #1B and 1C,4250,125000,43500,168500,15,0,15,0,0,0,30,0.04,60.04
448,Ho-Ho-Kus Borough,"0228001-
001",Water Tank Upgrade,4078,640000,2783457,928000,60,0,0,0,0,0,0,0.04,60.04
449,"Fayson Lake Water Company, Incorporated","1415001-
003",Replace existing 0.1 MG Stony Brook storage tank with a 0.25 MG tank,3087,630000,441000,1071000,60,0,0,0,0,0,0,0.03,60.03
450,Bayville Central Regional Board of Education,"1505355-
002",Construction of new interconnection with existing municipal water system,2500,1000000,700000,1700000,30,0,0,0,0,0,30,0.02,60.02
451,Borough of Wenonah,"0819001-
001",Water System Asset Management Plan and System Improvements - Water Tank Rehabilitation,2278,1500000,-,1880000,60,0,0,0,0,0,0,0.02,60.02
452,Essex Fells Borough,"0706001-
001",Rehabilitate 1 MG water storage tank,2200,360000,188000,548000,60,0,0,0,0,0,0,0.02,60.02
453,Glen Gardner Borough,"1012001-
001",Rehabilitate storage tank,1902,350000,356000,706000,60,0,0,0,0,0,0,0.02,60.02
454,Stillwater Township,"1920001-
002",Painting interior of water tank,1200,40000,28000,68000,60,0,0,0,0,0,0,0.01,60.01
455,Manchester Utilities Authority,"1603301-
001",Reactivation of the Tilt St Spring,1000,68750,48126,116876,15,0,15,0,0,0,30,0.01,60.01
456,Collier Services,"1328300-
001","Replace existing 24,000 gallon elevated storage tank to prevent freezing and leakage",350,350000,245000,595000,60,0,0,0,0,0,0,0,60
457,Rosemont Water Company,"1007002-
003",Replace existing underground hydro-pneumatic tank with ground level storage tank,225,38860,27202,66062,60,0,0,0,0,0,0,0,60
458,Plausha Park Water Company,"1421004-
003",Rehabilitation of concrete storage facility including security measures and instrumentation,200,135000,51000,186000,60,0,0,0,0,0,0,0,60
459,"Wonder Lakes Properties, Incorporate","1615017-
003",Replace hydro-pneumatic tank and install new tank,170,25000,16900,41900,60,0,0,0,0,0,0,0,60
462,Lakewood Township Municipal Utilities Authority,"1514002-
013",iInstallation of SCADA,25000,125000,87500,212500,1,25,0,0,0,0,30,0.25,56.25
463,Bloom.eld Township,"0702001-
002",Water Meter Replacement,47982,6000000,416832,7230970,35,0,0,5,0,15,0,0.48,55.48
464,Winslow Township,"0436007-
010",Well #2 Filter Plant Upgrade,39147,2365000,762000,3036000,40,0,0,0,0,0,15,0.39,55.39
465,Montclair Township,"0713001-
011",New 1.0MG High Zone Tank,37766,2412250,1652808,4065058,50,0,0,5,0,0,0,0.38,55.38
468,Hammonton Town,"0113001-
007",Water Meter Replacement,11300,607500,535500,1143000,25,0,15,0,0,0,15,0.11,55.11
469,Allentown Borough,"1302001-
003",Water Meter Replacement,1828,454850,209670,664520,25,0,15,0,0,15,0,0.02,55.02
470,"NJ American Water Company, Incorporated","0327001-
008",Installation of a booster station including associated apputenances at Barrington,253045,500000,350000,850000,50,0,0,0,0,0,0,2.53,52.53
472,Mount Arlington Borough,"1426005-
001",Mount Arlington Asset Management Plan,5187,2060000,505650,2565650,1,50,0,0,0,0,0,0.05,51.05
473,"NJ American Water Company, Incorporated","0119002-
006",Smithvillve ASR Well,88088,900000,352216,1252216,15,0,20,0,0,0,15,0.88,50.88
474,"NJ American Water Company, Incorporated","0508001-
006",Installation of New Water Meters,28071,105001,73498,178499,35,0,0,0,0,0,15,0.28,50.28
476,Mahwah Township,"0233001-
011",Installation of a new Nilson Ave. Booser Pump Station,24062,1400000,675504,2075504,50,0,0,0,0,0,0,0.24,50.24
477,South Orange Village,"0719001-
002",Well 17 Emergency Power,16198,50000,22500,72500,45,0,0,5,0,0,0,0.17,50.17
478,Bordentown City,"0303001-
005",Construct a 1.25 MG storage tank,15831,2600000,832000,3432000,50,0,0,0,0,0,0,0.16,50.16
479,Verona Township,"0720001-
003",Construction of a new Fairview Ave tank,13641,2000000,1140000,3140000,50,0,0,0,0,0,0,0.14,50.14
480,East Hanover Township,"1410001-
005",Construction of a new water storage tank,10000,2500000,1360000,3860000,50,0,0,0,0,0,0,0.1,50.1
481,Brielle Borough,"1308001-
005",Old Bridge Road Elevated Water Storage Tank,4774,2913000,588541,3629400,50,0,0,0,0,0,0,0.05,50.05
482,Harding Woods Mobile Home Community,"1710001-
002",Installation of new water meters in Harding Woods Mobile Home Park,1103,210000,147000,357000,35,0,0,0,0,0,15,0.01,50.01
483,Lake Glenwood Village,"1922010-
003","Installation of a new 8,000 gal. underground concrete water storage tank",250,50000,35000,85000,50,0,0,0,0,0,0,0,50
484,North Shore Water Association,"1904004-
003",Installation of storage tank,105,300000,60000,360000,50,0,0,0,0,0,0,0,50
485,Colby Homeowners Association Water Company,"1904007-
002",Installation of a new storage tank,75,150000,105000,255000,50,0,0,0,0,0,0,0,50
487,Washington Township Municipal Utilities Authority,"0818004-
008","Installation of solar system for wells # 18, 19 & 20",48559,638000,446600,1084600,45,0,0,0,0,0,0,0.49,45.49
488,Vineland City,"0614003-
015",Well No. 17 Installation,36848,100000,95000,195000,15,0,15,0,0,0,15,0.37,45.37
489,Vineland City,"0614003-
016",Well 17 Treatment Facility,36848,5900000,2018000,7918000,15,0,15,0,0,0,15,0.36,45.36
490,Jackson Township Municipal Utilities Authority,"1511001-
008",Installation of a water main and booster station to interconnect the Legler system,32600,2766500,1477260,4243760,30,0,15,0,0,0,0,0.33,45.33
491,Gar.eld City,"0221001-
003",Rehabilitation of Well 1A,29780,400000,280000,680000,15,0,0,0,0,0,30,0.3,45.3
492,East Windsor Municipal Utilities Authority,"1101002-
004",Installation of solar panels at 2 facilities,27200,1522500,929900,2452400,45,0,0,0,0,0,0,0.27,45.27
493,Burlington Township,"0306001-
003",Purchase of water meters to replace existing meters-Phases 2 to 4,22000,250000,-10000,240000,25,0,20,0,0,0,0,0.22,45.22
494,Oakland Borough,"0220001-
003",Well 9 - Diesel Generator,12959,100000,45000,145000,45,0,0,0,0,0,0,0.13,45.13
496,Pompton Lakes Municipal Utilities Authority,"1609001-
004",Installation of emergency generator at wells,11435,175000,122500,297500,45,0,0,0,0,0,0,0.11,45.11
497,Freehold Borough,"1315001-
001",Replace and construct two well houses that protect well pumps,11029,125000,87500,212500,15,0,15,0,0,0,15,0.11,45.11
498,Pemberton Township,"0329004-
005",Replacing Well #4 with Well #14,10815,265000,247000,512000,15,0,15,0,0,0,15,0.11,45.11
498,Pemberton Township,"0329004-
010",Conversion of test well #14 to production well,10815,400000,280000,680000,15,0,15,0,0,0,15,0.11,45.11
499,Pine Hill Municipal Utilities Authority,"0428002-
005",PRM Backup Well #4 and Decommision of Wells #6 & #7,10233,760000,1083915,912000,15,0,0,0,0,0,30,0.1,45.1
500,West Milford Municipal Utilities Authority,"1615016-
002",Replace Generator,1625,78000,74100,152100,45,0,0,0,0,0,0,0.02,45.02
500,West Milford Municipal Utilities Authority,"1615016-
002/500",Milford Emergency Power Generators,1625,78000,15600,93600,45,0,0,0,0,0,0,0.02,45.02
501,Forest Lakes Water Company,"1904003-
001",Installation of two generators,1500,110000,77000,187000,45,0,0,0,0,0,0,0.01,45.01
501,Hampton Borough,"1013001-
001",New back up well 5 to address .rm capacity requirements,1500,900000,180000,1080000,15,0,0,0,0,0,30,0.01,45.01
502,West Milford Municipal Utilities Authority,"1615018-
002",Replace Generator,1260,60000,42000,102000,45,0,0,0,0,0,0,0.01,45.01
502,West Milford Municipal Utilities Authority,"1615018-
002/500",Bald Eagle Emergency Power Generators,1260,60000,12000,72000,45,0,0,0,0,0,0,0.01,45.01
503,West Milford Municipal Utilities Authority,"1615014-
001",Replace Generator,700,78000,74100,152100,45,0,0,0,0,0,0,0.01,45.01
503,West Milford Municipal Utilities Authority,"1615014-
001/500",Crescent Park Emergency Power Generators,700,78000,15600,93600,45,0,0,0,0,0,0,0.01,45.01
504,West Milford Municipal Utilities Authority,"1615012-
002",Replace Generator,635,78000,74100,152100,45,0,0,0,0,0,0,0.01,45.01
504,West Milford Municipal Utilities Authority,"1615012-
002/500",Awosting Emergency Power Generators,635,78000,15600,93600,45,0,0,0,0,0,0,0.01,45.01
505,West Milford Municipal Utilities Authority,"1615002-
002",Replace Generator,600,60000,57000,117000,45,0,0,0,0,0,0,0.01,45.01
505,West Milford Municipal Utilities Authority,"1615002-
002/500",Greenbrook Emergency Power Generators,600,60000,12000,72000,45,0,0,0,0,0,0,0.01,45.01
506,West Milford Municipal Utilities Authority,"1615001-
002",Replace Generator,180,60000,57000,117000,45,0,0,0,0,0,0,0,45
506,West Milford Municipal Utilities Authority,"1615001-
002/500",Birch Hill Emergency Power Generator,180,60000,12000,72000,45,0,0,0,0,0,0,0,45
507,West Milford Municipal Utilities Authority,"1615006-
002",Replace Generator,115,25000,23750,48750,45,0,0,0,0,0,0,0,45
507,West Milford Municipal Utilities Authority,"1615006-
002/500",Parkway Emergency Power Generator,805,25000,5000,30000,45,0,0,0,0,0,0,0,45
508,"NJ American Water Company, Incorporated","1345001-
007",Monterey Iron Removal,289553,5000000,2460000,7460000,40,0,0,0,0,0,0,2.9,42.9
509,"NJ American Water Company, Incorporated","2004002-
009",Installation of New Water Meters,610000,161448,113013,274461,35,0,0,0,0,0,0,6.1,41.1
510,Belleville Township,"0701001-
005",Replacement of Water meters,35928,3000000,1580000,4580000,25,0,0,0,0,0,15,0.36,40.36
