Entity,Project,PWS ID,SDWIS Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
Portage County,Mantua Emergency Water Interconnect,OH6757292,"1,043",Portage,"$1,226,796 ",Construction,23-Oct,REG,NEDO
Portage County,Mantua Water Distribution Replacement,OH6702212,"1,207",Portage,"$3,500,000 ",Construction,23-Dec,DIS,NEDO
Portage County,Mantua Water Treatment Plant Liquid Chlorine,OH6702212,"1,207",Portage,"$516,677 ",Construction,23-Sep,SML,NEDO
Portersville East Branch Water Company,Water System Improvements - Meter Replacement,OH6402303,"2,340",Perry,"$801,500 ",Construction,24-May,SML,SEDO
Portsmouth,Water Treatment Plant - HAB,OH7300111,"40,475",Scioto,"$80,000,000 ",Construction,23-Sep,STD/HAB,SEDO
Put-in-Bay,Lead Service Line Replacement,OH6203311,141,Ottawa,"$175,000 ",Planning,23-Sep,PLN/DES,NWDO
Put-in-Bay,Lead Service Line Replacement,OH6203311,141,Ottawa,"$382,500 ",Construction,24-Apr,LSL,NWDO
Richwood,Water Treatment Plant Upgrades,OH8000412,"2,229",Union,"$4,400,000 ",Construction,23-Sep,SML,CDO
Russells Point,Water Meter Replacement,OH4602212,"1,320",Logan,"$700,000 ",Construction,23-Aug,SML,SWDO
Sabina,Water System Improvements & Wilmington Interconnection,OH1400912,"2,564",Clinton,"$1,108,000 ",Design,23-Oct,PLN/DES,SWDO
Sabina,Water System Improvements & Wilmington Interconnection,OH1400912,"2,564",Clinton,"$10,900,000 ",Construction,24-Mar,REG,SWDO
Saint Henry,Water Source Upgrades,OH5401312,"2,596",Mercer,"$55,000 ",Planning,23-Sep,PLN/DES,NWDO
Saint Henry,Water Source Upgrades,OH5401312,"2,596",Mercer,"$1,100,000 ",Design,23-Dec,PLN/DES,NWDO
Salem,Water Treatment Plant Rehabilitation Phase I,OH1502011,"16,850",Columbiana,"$7,242,585 ",Construction,23-Oct,STD,NEDO
Salem,Water Treatment Plant Rehabilitation Phase II,OH1502011,"16,850",Columbiana,"$4,772,006 ",Construction,24-Apr,STD,NEDO
Sandusky,Lake Intake Phase 1 - Sheldon's Marsh Lake Intake Rehab,OH2201411,"25,793",Erie,"$2,750,000 ",Construction,24-Mar,STD/HAB,NWDO
Scio,2023 Waterline and LSL,OH3401312,763,Harrison,"$1,016,500 ",Construction,24-Mar,SML/LSL,SEDO
Scioto Water Inc.,2022 Rose Hill Transmission Main Replacement,OH7300303,"6,000",Scioto,"$1,675,000 ",Construction,23-Dec,SML,SEDO
Sebring,Water Treatment Plant Improvements,OH5001911,"6,159",Mahoning,"$1,686,511 ",Construction,24-Jan,SML,NEDO
Seville,Center Street Waterline Replacement,OH5201412,"2,296",Medina,"$1,550,000 ",Construction,23-Oct,SML,NEDO
Shiloh,"Water Line, Meter, and Tank Dismantling Project",OH7004712,672,Richland,"$3,011,410 ",Construction,23-Sep,SML,NWDO
Silver Lake,Lead Service Line Replacement,OH7704303,"2,519",Summit,"$50,000 ",Design,23-Aug,PLN/DES,NEDO
Silver Lake,Lead Service Line Replacement,OH7704303,"2,519",Summit,"$500,000 ",Construction,23-Dec,LSL,NEDO
Somerset,Meter & Waterline Replacement,OH6401111,"1,490",Perry,"$884,350 ",Construction,24-Feb,REG,SEDO
Somerset,Meter and Waterline Replacement,OH6401111,"1,490",Perry,"$82,000 ",Design,23-Sep,PLN/DES,SEDO
South Charleston,Water Treatment System Upgrade,OH1204212,"1,937",Clark,"$195,000 ",Design,23-Sep,PLN/DES,SWDO
South Charleston,Water Treatment Systems Upgrades,OH1204212,"1,950",Clark,"$1,950,000 ",Construction,24-Jun,SML,SWDO
South Point,New Source Well,OH4401212,"4,133",Lawrence,"$694,500 ",Construction,23-Sep,EC,SEDO
South Point,Water Line Improvements Phase 3 & Meters,OH4401212,"4,133",Lawrence,"$4,010,295 ",Construction,23-Sep,SML,SEDO
South Vienna,"WTP Planning, Design and Construction Services",OH1204312,568,Clark,"$126,400 ",Design,23-Oct,PLN/DES,SWDO
South Vienna,"WTP Planning, Design and Construction Services",OH1204312,717,Clark,"$1,700,000 ",Construction,24-Jun,SML,SWDO
Southern Perry County Water District,Oakfield Area Water Line Improvements,OH6401603,"4,029",Perry,"$594,411 ",Construction,23-Aug,SML,SEDO
Southwest Licking Community Water and Sewer District,Summit Road Waterline Extension,OH4505412,200,Licking,"$2,669,500 ",Construction,24-May,REG,CDO
Springfield,Northern Avenue Utilities Upgrades,OH1204412,"59,132",Clark,"$1,461,635 ",Construction,23-Sep,STD/LSL,SWDO
Steubenville,2024 Waterline and Lead Service Line Replacement,OH4102411,"17,703",Jefferson,"$1,194,120 ",Construction,24-Jun,STD/LSL,SEDO
Steubenville,Maryland Avenue Water Tank Rehab,OH4102411,"17,753",Jefferson,"$1,710,000 ",Construction,23-Dec,STD,SEDO
Steubenville,Water Filtration Plant Process and SCADA Improvements Ps 1,OH4102411,"17,753",Jefferson,"$1,950,000 ",Construction,24-Jan,STD,SEDO
Steubenville,West End Water Project,OH4102411,"17,988",Jefferson,"$7,126,902 ",Construction,23-Aug,STD,SEDO
Sunday Creek Valley Water,Service Meter Replacement,OH0501503,"5,451",Athens,"$1,161,500 ",Construction,23-Sep,SML,SEDO
Sunday Creek Valley Water,St. Rt. 550 WL Repl & Tank Rehab,OH0501503,"5,451",Athens,"$1,456,436 ",Construction,23-Sep,DIS,SEDO
Thurston,Maple & Oak Street Waterline Improvements,OH2302903,604,Fairfield,"$46,460 ",Design,23-Sep,PLN/DES,CDO
Thurston,Maple & Oak Street Waterline Improvements,OH2302903,604,Fairfield,"$514,920 ",Construction,23-Dec,SML,CDO
Toledo,Raw Water Main Project,OH4801411,"485,118",Lucas,"$10,000,000 ",Design,23-Sep,PLN/DES,NWDO
Toronto,E. 5th/Myers Street Waterline & Lead Line Replacement,OH4102811,"4,923",Jefferson,"$1,645,819 ",Construction,24-Apr,SML/LSL,SEDO
Toronto,Walton Acres Phase 1 Waterline Improvements,OH4102811,"4,923",Jefferson,"$2,127,000 ",Construction,24-Apr,SML,SEDO
Trenton,Water System - 1.5 MG Elevated Storage,OH903012,"13,305",Butler,"$345,604 ",Design,23-Aug,PLN/DES,SWDO
Trenton,Water System - 1.5 MG Elevated Storage,OH903012,"13,305",Butler,"$8,025,000 ",Construction,24-Jun,STD,SWDO
Tri-County Rural Water & Sewer District1,PFAS Treatment,OH8403112,"3,225",Washington,"$162,200 ",Design,23-Sep,EC,SEDO
Trotwood,Eppington Water Main Replacement,OH5702403,"24,375",Montgomery,"$217,000 ",Design,23-Sep,PLN/DES,SWDO
Trotwood,MacMillian Water Main Replacement,OH5300212,"24,375",Montgomery,"$120,000 ",Design,23-Sep,PLN/DES,SWDO
Trumbull County,Braceville/Southington/Farmington Regionalization Project,OH7806503,65,Trumbull,"$3,801,000 ",Construction,23-Oct,DIS/REG,NEDO
Trumbull County,Elm Road Waterline Improvements,OH7804303,130,Trumbull,"$1,964,925 ",Construction,23-Oct,REG,NEDO
Trumbull County,State Road Water Regionalization Project,OH7804303,"7,547",Trumbull,"$5,141,000 ",Construction,24-May,DIS/REG,NEDO
Trumbull County,Stillwagon Road Waterline Improvements,OH7803203,"8,860",Trumbull,"$583,000 ",Construction,23-Oct,REG,NEDO
Tuscarawas,Cherry Street,OH7901512,"1,413",Tuscarawas,"$10,000 ",Planning,23-Aug,PLN/DES,SEDO
Tuscarawas,Cherry Street,OH7901512,"1,432",Tuscarawas,"$80,000 ",Design,23-Aug,PLN/DES,SEDO
Tuscarawas,Cherry Street,OH7901512,"1,432",Tuscarawas,"$1,101,000 ",Construction,24-Apr,SML,SEDO
Tuscarawas County,Dundee WTP Improvements,OH7902012,441,Tuscarawas,"$138,477 ",Design,23-Aug,PLN/DES,SEDO
Tuscarawas County,Dundee WTP Improvements,OH7902012,441,Tuscarawas,"$1,090,222 ",Construction,24-Jun,SML,SEDO
Versailles,Reed Road Well Field Transmission Line,OH1901312,"2,793",Darke,"$3,000,000 ",Construction,23-Aug,SML,SWDO
Wakeman,West Abbott Street Waterline Improvements,OH3901411,"1,047",Huron,"$37,555 ",Design,23-Oct,PLN/DES,NWDO
Wakeman,West Abbott Street Waterline Improvements,OH3901411,"1,047",Huron,"$395,054 ",Construction,24-Feb,SML,NWDO
Wapakoneta,Industrial Park Water Distribution System Improvements,OH0600712,"9,954",Auglaize,"$15,891,500 ",Construction,23-Oct,STD,NWDO
Wapakoneta,Wellfield Expansion,OH0600712,"9,867",Auglaize,"$3,000,000 ",Construction,23-Sep,STD,NWDO
Warren,2022 Waterline Replacement Program (Area A),OH7803811,"55,500",Trumbull,"$1,186,850 ",Construction,23-Jul,STD/LSL,NEDO
Warren,2022 Waterline Replacement Program (Areas B and C),OH7803811,"54,900",Trumbull,"$3,813,770 ",Construction,24-May,STD/LSL,NEDO
Washingtonville,Water Tower Replacement,OH1502812,801,Columbiana,"$1,261,400 ",Construction,24-Feb,SML,NEDO
Wellington,Distribution Meter Replacements,OH4701511,"4,799",Lorain,"$24,685 ",Design,23-Oct,PLN/DES,NEDO
Wellington,Distribution Meter Replacements,OH4701511,"4,799",Lorain,"$2,236,925 ",Construction,24-Jun,SML,NEDO
Wellington,Lead Service Line Replacement,OH4701511,"4,799",Lorain,"$200,000 ",Planning,23-Aug,PLN/DES,NEDO
Wellington,Lead Service Line Replacement,OH4701511,"4,802",Lorain,"$1,085,500 ",Construction,24-Jun,SML/LSL,NEDO
Wellington,West Street Improvements,OH4701511,"5,135",Lorain,"$47,830 ",Design,23-Jul,PLN/DES,NEDO
Wellington,West Street Improvements,OH4701511,"5,135",Lorain,"$315,471 ",Construction,23-Dec,SML,NEDO
Wellington,WTP Restoration,OH4701511,"4,802",Lorain,"$70,000 ",Design,23-Sep,PLN/DES,NEDO
Wellington,WTP Restoration,OH4701511,"4,802",Lorain,"$1,180,000 ",Construction,23-Oct,SML,NEDO
Wellston,Water Treatment Plant,OH4001912,"7,000",Jackson,"$19,999,790 ",Construction,24-May,DIS,SEDO
West Carrollton,WTP Improvements,OH5702812,"12,901",Montgomery,"$559,000 ",Design,23-Aug,PLN/DES,SWDO
West Carrollton,WTP Improvements,OH5702812,"12,850",Montgomery,"$6,706,000 ",Construction,24-Jun,STD,SWDO
West Farmington,New Water Wells,OH7803911,775,Trumbull,"$185,400 ",Design,23-Oct,PLN/DES,NEDO
West Farmington,New Water Wells,OH7803911,775,Trumbull,"$1,114,400 ",Construction,24-Feb,DIS,NEDO
West Milton,Miami Street Water Main and LSL Replacement,OH5501711,"4,311",Miami,"$785,054 ",Construction,23-Jul,SML/LSL,SWDO
Whitehouse,Whitehouse Elevated Storage Tank,OH4801612,"5,200",Lucas,"$2,082,335 ",Construction,23-Oct,SML,NWDO
Willard,US 224 Water Tower Rehabilitation and Coating,OH3901511,"9,979",Huron,"$712,000 ",Construction,24-Apr,SML,NWDO
Willard,Water System Improvements - WTP,OH3901511,"6,028",Huron,"$10,400,000 ",Construction,23-Aug,SML,NWDO
Wintersville,Moon Valley Waterline Replacement,OH4103003,"3,834",Jefferson,"$1,497,356 ",Construction,23-Aug,SML,SEDO
Woodsfield,Lead Service Lines,OH5600711,"2,598",Monroe,"$750,000 ",Construction,23-Aug,LSL,SEDO
Woodville,Elevated Water Storage Tank,OH7200912,"2,135",Sandusky,"$1,356,045 ",Construction,24-Jan,SML,NWDO
Woodville,Water Line Improvements Phase 3,OH7200912,"2,135",Sandusky,"$1,836,328 ",Construction,23-Dec,SML/LSL,NWDO
Youngstown,Lead Service Line Replacement,OH5002303,"148,000",Mahoning,"$4,000,000 ",Construction,23-Dec,LSL,NEDO
