Rank,Project Sponsor2,Project Number,Project Name,Populatio,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Poin,Actual/ Anticipated Funding Status,BIL Eligibility
237,Jersey City Municipal Utilities Authority,0906001-023,Phase 5A Water Project,262000,"$ 7,750,000",,"$ 9,300,000",75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-032,Van Horne Street Water Improvements,265549,"$ 3,500,000","$ 226,400","$ 4,200,000",75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-033,Pine Street Area Water Improvements,5000,"$ 14,412,000","$ 671,200","$ 19,023,840",75,0,20,5,5,0,0,2.62,167.62,2026,BIL (EC)
195,Hawthorne Borough,1604001-006,Hawthorne Lead Service Line Replacement - Phase 4,19496,"$ 2,700,000","$ 666,100","$ 3,270,000",175,0,0,0,0,0,0,0.19,175.19458,2026,BIL (LSLR)
810,Ocean Gate Borough,1521001-003,Well Water Construction/Drilling a new well,2800,"$ 522,700","$ 145,910","$ 668,610",15,0,0,0,0,0,0,0.03,15.032,2026,BIL (GEN)
802,Mantua Township MUA,0810004-005,Well 3 Rehabilitation,0,"$ 1,400,000","$ 800,000","$ 2,100,000",15,0,0,0,0,0,0,0.13,15.126,2026,BIL (GEN)
796,Marlboro Township,1328002-004,New Stand-by Well 5A (Tennent Rd Treatment Plant & Booster Pu,27000,"$ 933,000","$ 419,850","$ 1,352,850",15,0,0,0,0,0,0,0.29,15.2948,2026,BIL (GEN)
780,Clinton Town,1005001-007,Replace Water Meters,12500,"$ 699,465","$ 314,759","$ 1,014,224",25,0,0,0,0,0,0,0.13,25.125,2026,BIL (GEN)
709,Brigantine City,0103001-501,Installation of Generators at well,11117,"$ 677,100","$ 304,695","$ 981,795",45,0,0,0,0,0,0,0.09,45.0945,2026,BIL (GEN)
630,Marlboro Township,1328002-010,Nolan Road Tank Rehabilitation,27668,"$ 1,500,000","$ 230,769","$ 1,869,798",60,0,0,0,0,0,0,0.29,60.2948,2026,BIL (GEN)
627,Evesham Municipal Utilities Authority,0313001-004,Lincoln Drive Water Tower Rehabilitation,31217,"$ 3,000,000","$ 604,000","$ 3,700,000",60,0,0,0,0,0,0,0.46,60.45538,2026,BIL (GEN)
561,Glen Ridge Borough,0708001-010,Glen Ridge - Water Main Replacement Project - Carteret/Forest,7681,"$ 750,000","$ 3,817,318","$ 1,000,000",75,0,0,0,0,0,0,0.08,75.07681,2026,BIL (GEN)
545,Clinton Town,1005001-006,Lebanon Borough Water Main Replacements - Phase 2-5,12500,"$ 2,684,475","$ 989,032","$ 3,673,507",75,0,0,0,0,0,0,0.13,75.125,2026,BIL (GEN)
539,Denville Township,1408001-001,Denville Township - Galvanized Water Main Replacement Project,17107,"$ 5,200,000","$ 2,872,000","$ 6,448,000",75,0,0,0,0,0,0,0.16,75.15881,2026,BIL (GEN)
531,Ship Bottom Borough,1528001-005,"2024 Water Main Replacement Project at 10th, 25th, 27th & Bay",747,"$ 1,736,234",,"$ 2,133,481",75,0,0,0,0,0,0,0.29,75.28863,2026,BIL (GEN)
495,Mount Arlington Borough,1426005-004,Booster Station Improvements,1000,"$ 345,000","$ 110,000","$ 524,000",60,0,15,0,0,0,0,0.02,85.01978,2026,BIL (GEN)
411,Seaside Heights Borough,1526001-003,Seaside Heights - Water Main Replacements,7667,"$ 4,000,000","$ 5,300,000","$ 5,000,000",75,0,15,0,0,0,0,0.08,105.07667,2026,BIL (GEN)
312,Freehold Borough,1315001-003,Replacement of Well No. 3,12052,"$ 1,427,000","$ 1,000,000","$ 2,152,400",15,80,15,0,5,0,0,0.11,135.11029,2026,BIL (GEN)
275,Clementon Borough,0411001-001,Rehab of Gibbsboro Water Main (White Horse Pike & White Hors,5003,"$ 300,000","$ 156,750","$ 456,750",75,80,0,0,0,0,0,0.05,155.05,2026,BIL (GEN)
268,Jersey City Municipal Utilities Authority,0906001-006,Transmission Main Install,247000,"$ 13,500,000","$ 4,240,000","$ 17,740,000",75,0,20,5,0,0,0,2.62,157.62,2026,BIL (GEN)
265,Lakehurst Borough,1513001-003,Treatment Plant Updates,2684,"$ 558,500","$ 1,280,000","$ 670,200",160,0,0,0,0,0,0,0.03,160.0265,2026,BIL (GEN)
259,Beachwood Borough,1504001-001,Beachwood Water Department New Water Treatment Facility,10859,"$ 5,984,000","$ 377,025","$ 7,446,800",160,0,0,0,0,0,0,0.11,160.10802,2026,BIL (GEN)
251,Monroe Municipal Utilities Authority,0811002-002,Water Treatment System Rehabilitation,37117,"$ 1,500,000","$ 7,890,000","$ 1,800,000",160,0,0,0,0,0,0,0.26,160.2618,2026,BIL (GEN)
179,Middlesex Water Company,1225001-005,MWC Galvanized & Lead Service Line Replacement,0,"$ 8,441,000",,"$ 10,129,200",175,0,0,0,0,0,0,2.33,177.33376,2026,BIL (LSLR)
163,Mount Arlington Borough,1426005-003,"Altenbrand, Windemere, McGregor and Lee Water Main Extensio",133,"$ 1,529,000","$ 330,000","$ 2,020,000",165,0,15,0,0,0,0,0.02,190.01978,2026,BIL (GEN)
150,Willingboro Municipal Utilities Authority,0338001-011,Well 6 Water Treatment Plant Upgrade,34731,"$ 18,752,000","$ 4,654,400","$ 23,406,400",160,0,20,0,0,0,0,0.35,195.35,2026,BIL (EC)
147,Wildwood City,0514001-008,"Sanitary Sewer and Water Improvements, Phase 3",70762,"$ 2,839,080","$ 650,000","$ 3,506,896",75,80,15,0,0,0,0,0.71,195.70762,2026,BIL (GEN)
142,Allentown Borough,1302001-005,Allentown Lead Service Lines,1734,"$ 2,141,500","$ 2,953,779","$ 2,891,025",175,0,15,0,0,0,0,0.02,200.02,2026,BIL (LSLR)
106,Jersey City Municipal Utilities Authority,0906001-040,"Renovations to the JCMUA Water Treatment Plant, Boonton New",292449,"$ 4,300,000","$ 2,755,907","$ 5,676,000",160,0,15,0,0,0,0,2.62,227.62,2026,BIL (GEN)
100,Newark City,0714001-017,Water Distribution System Upgrades,285000,"$ 971,100","$ 436,995","$ 1,408,095",75,80,20,5,0,0,0,2.94,237.94273,2026,BIL (GEN)
94,Eagleswood Village MHP,1508001-001,Eagleswood Village Water Improvement,80,"$ 862,500","$ 1,350,000","$ 1,035,000",250,0,0,0,0,0,0,0.00,250.00079,2026,BIL (EC)
82,Ramsey Borough,0248001-016,Arrow Road PFAS Treatment,10138,"$ 2,200,000","$ 369,798","$ 2,804,000",250,0,0,0,0,0,0,0.15,250.15207,2026,BIL (EC)
67,East Newark Borough,0902001-001,East Newark LSLR,2594,"$ 900,000","$ 400,000","$ 1,192,000",175,80,0,0,0,0,0,0.02,255.02406,2026,BIL (LSLR)
56,Harrison Town,0904001-006,Harrison Lead Service Replacement Project,19217,"$ 16,000,000","$ 570,000","$ 19,200,000",175,80,0,0,5,0,0,0.14,265.14425,2026,BIL (LSLR)
41,Manchester Utilities Authority,1603001-001,Heights Tank Rehabilitation,12028,"$ 389,166","$ 1,800,000","$ 500,000",250,0,15,0,0,0,0,0.12,280.12,2026,BIL (LSLR)
19,Elizabeth City,2004001-001,City of Elizabeth Lead Service Line Replacement Program 2025,137298,"$ 17,600,000","$ 2,370,000","$ 21,120,000",175,80,15,5,0,0,0,1.34,331.34,2026,BIL (EC)
71,Ridgewood Village,0251001-004,Water Treatment Centralization for PFAS Removal Phase 4,61220,"$ 4,499,334","$ 839,600","$ 5,799,134",250,0,0,0,0,0,0,0.62,250.617,2026,BIL (EC)
71,Ridgewood Village,0251001-005,Water Treatment Centralization for PFAS Removal Phase 5,61220,"$ 2,582,500","$ 6,510,000","$ 3,307,250",250,0,0,0,0,0,0,0.62,250.617,2026,BIL (EC)
71,Ridgewood Village,0251001-006,Water Treatment Centralization for PFAS Removal Phase 6,61220,"$ 2,673,333","$ 300,000","$ 3,425,332",250,0,0,0,0,0,0,0.62,250.617,2026,BIL (EC)
626,Washington Township Municipal Utilities Authority,0818004-005,Bryant Road Water Tank Painting,49234,"$ 730,785","$ 720,000","$ 941,942",60,0,0,0,0,0,0,0.48,60.48,2026,BIL (GEN)
99,Jersey City Municipal Utilities Authority,0906001-038,County Village Water Main Improvements,287899,"$ 4,344,700","$ 1,600,000","$ 5,263,640",175,0,15,0,0,0,0,2.62,242.62,2026,BIL (GEN)
545,Clinton Town,1005001-021,Town of Clinton - West Main Street Water Main Replacement - Ph,8333,"$ 1,500,000","$ 1,287,620","$ 1,950,000",75,0,0,0,0,0,0,0.13,75.125,2026,BIL (GEN)
796,Marlboro Township,1328002-007,Well #2 Replacement,41502,"$ 2,750,000","$ 664,600","$ 3,468,150",15,0,0,0,0,0,0,0.29,15.2948,2026,BIL (GEN)
534,Little Egg Harbor Municipal Utilities Authority,1516001-008,Little Egg Harbor Water Improvements Phase III,21386,"$ 4,236,330","$ 190,000","$ 5,083,596",75,0,0,0,0,0,0,0.24,75.24215,2026,BIL (GEN)
809,Washington Township Municipal Utilities Authority,1438004-003,WTMUA - Proposed Well SM-23 and Water Treatment Facility,0,"$ 3,100,000","$ 360,000","$ 4,320,000",15,0,0,0,0,0,0,0.05,15.04866,2026,BIL (GEN)
807,Seaside Park Borough,1527001-005,Construction of new well #11,5633,"$ 869,500","$ 3,200,000","$ 1,043,400",15,0,0,0,0,0,0,0.06,15.05633,2026,BIL (GEN)
737,Willingboro Municipal Utilities Authority,0338001-005,Energy Savings Improvement Program (DW),35000,"$ 1,571,647","$ 2,280,000","$ 1,885,976",1,0,20,0,0,0,15,0.35,36.35,2026,BIL (GEN)
636,Hawthorne Borough,1604001-005,Hawthorne Peach Tree Water Tank Rehabilitation,19231,"$ 1,200,000",,"$ 1,540,000",60,0,0,0,0,0,0,0.19,60.19458,2026,BIL (GEN)
626,Washington Township Municipal Utilities Authority,0818004-003,American Boulevard 3MGD Tank Painting,49234,"$ 1,330,760","$ 5,816,600","$ 1,676,912",60,0,0,0,0,0,0,0.48,60.48,2026,BIL (GEN)
584,Roosevelt Borough,1314001-003,Improvements to Farm Lane and School Lane,808,"$ 582,057","$ 576,000","$ 773,469",75,0,0,0,0,0,0,0.01,75.0088,2026,BIL (GEN)
564,Point Pleasant Beach Borough,1525001-004,Route 35 Water Main Replacement,5167,"$ 5,451,915","$ 111,700","$ 6,788,998",75,0,0,0,0,0,0,0.06,75.064,2026,BIL (GEN)
544,Mantua Township MUA,0810004-004,Centre City Water Improvements,12711,"$ 3,500,000","$ 1,250,000","$ 4,750,000",75,0,0,0,0,0,0,0.13,75.126,2026,BIL (GEN)
366,Red Bank Borough,1340001-003,White Street Water Main,12350,"$ 468,625","$ 1,426,692","$ 679,506",75,0,15,0,0,0,0,0.13,115.1252,2026,BIL (GEN)
278,Sussex Borough,1921001-007,Sussex Borough Main Street Water Main Replacement Project,2201,"$ 496,477","$ 322,768","$ 719,891",75,80,0,0,0,0,0,0.02,155.022,2026,BIL (GEN)
277,Woodbine Borough,0516001-003,2024 Water System Improvements,2540,"$ 3,699,520","$ 202,500","$ 4,994,352",75,80,0,0,0,0,0,0.03,155.0265,2026,BIL (GEN)
240,Lower Township Municipal Utilities Authority,0505002-005,LCMR - Water Main Extension,884,"$ 2,089,560","$ 3,800,000","$ 2,507,472",165,0,0,0,0,0,0,0.10,165.10315,2026,BIL (GEN)
239,Manchester Utilities Authority,1603001-004,Holland Christian Home Water Main Extension Project,175,"$ 700,000","$ 780,000","$ 975,641",165,0,0,0,0,0,0,0.12,165.12,2026,BIL (GEN)
225,Collingswood Borough,0412001-001,Collingswood Comly Ave Water Plant,16904,"$ 7,406,390","$ 80,000","$ 9,219,768",160,0,0,5,0,0,0,0.25,170.245,2026,BIL (EC)
212,Longport Borough,0115001-001,Lead Service Line Replacement - Phase I,3851,"$ 9,248,800","$ 340,000","$ 13,098,560",175,0,0,0,0,0,0,0.04,175.03851,2026,BIL (LSLR)
210,Hightstown Borough,1104001-013,Improvements to Maxwell Avenue,5855,"$ 1,000,000","$ 700,000","$ 1,355,000",175,0,0,0,0,0,0,0.05,175.054,2026,BIL (LSLR)
204,Chatham Borough,1404001-001,Lead Line Service Replacements,9212,"$ 8,000,000","$ 330,000","$ 9,735,000",175,0,0,0,0,0,0,0.09,175.08962,2026,BIL (LSLR)
201,Brigantine City,0103001-002,Brigantine Lead Service Line Replacement Project,11117,"$ 60,000,000",,"$ 72,000,000",175,0,0,0,0,0,0,0.11,175.11117,2026,BIL (LSLR)
199,Ventnor City,0122001-002,Water Infrastructure Project,14076,"$ 63,200,000",,"$ 75,940,000",175,0,0,0,0,0,0,0.14,175.14076,2026,BIL (GEN)
194,Lyndhurst Township,0232001-004,Lead Water Service Replacement Program,22453,"$ 24,425,250","$ 523,056","$ 29,310,300",175,0,0,0,0,0,0,0.21,175.205,2026,BIL (LSLR)
189,Belleville Township,0701001-009,Belleville Lead Service Line Replacement Phase 2,37480,"$ 3,931,525","$ 600,000","$ 4,827,830",175,0,0,0,0,0,0,0.35,175.35129,2026,BIL (LSLR)
183,Ridgewood Village,0251001-007,Ridgewood Water Lead Service Line Replacements,61220,"$ 30,800,000",,"$ 37,310,000",175,0,0,0,0,0,0,0.62,175.617,2026,BIL (LSLR)
133,Parsippany Troy Hills Township,1429001-002,Replacement Well 20-R VOC/PFAS Treatment,56000,"$ 4,194,000","$ 950,000","$ 5,334,768",200,0,0,0,0,0,0,0.50,200.504,2026,BIL (GEN)
126,Cape May City,0502001-002,Replacement of Existing Water Plant,18901,"$ 39,204,000","$ 417,912","$ 50,608,800",170,0,20,0,0,0,0,0.19,205.18901,2026,BIL (GEN)
121,"Ocean Township, Ocean County",1520001-008,Township of Ocean-Ocean County Waretown Lead Service Line Re,8835,"$ 11,348,800","$ 1,553,000","$ 13,818,560",175,0,20,0,0,0,0,0.15,210.15419,2026,BIL (LSLR)
114,Dover Town,1409001-001,Lead Service Lines,16000,"$ 16,200,000",,"$ 19,440,000",175,0,15,0,0,0,0,0.28,215.27806,2026,BIL (LSLR)
112,Stafford Township,1530004-020,Principle Forgiveness Application - Replacing Galvanized Pipes - Pr,29375,"$ 800,000","$ 600,000","$ 960,000",175,0,20,0,0,0,0,0.29,220.28863,2026,BIL (LSLR)
99,Jersey City Municipal Utilities Authority,0906001-037,Princeton Avenue  Water Main Upgrade,287899,"$ 1,221,675","$ 305,100","$ 1,666,010",175,0,15,0,0,0,0,2.62,242.62,2026,BIL (GEN)
66,Vineland City,0614003-001,Lead Service Line Replacement Project,60491,"$ 108,330,000","$ 408,000","$ 129,996,000",175,80,0,0,0,0,0,0.36,255.3625,2026,BIL (LSLR)
64,Park Ridge Borough,0247001-001,Permanent PFAS Treatment,16500,"$ 5,020,000","$ 360,750","$ 6,024,000",250,0,0,5,0,0,0,0.16,260.16466,2026,BIL (EC)
63,Lakewood Township Municipal Utilities Authority,1514002-005,"GAC WELLS 1, 2 & 3",74485,"$ 2,715,740","$ 281,250","$ 3,358,888",160,80,20,0,0,0,0,0.28,260.27614,2026,BIL (LSLR)
51,East Orange City,0705001-003,Lead Service Line Replacement Phase 2,0,"$ 22,000,000","$ 745,890","$ 26,520,000",175,80,0,5,0,0,0,0.75,265.75,2026,BIL (LSLR)
39,Freehold Borough,1315001-004,Lead Service Line Replacement,8331,"$ 2,500,000","$ 918,940","$ 3,133,035",175,80,15,0,0,0,0,0.11,285.11029,2026,BIL (LSLR)
26,East Windsor Municipal Utilities Authority,1101002-006,Millstone Road Water Treatment Plant Administration Building,25763,"$ 28,410,000","$ 1,813,378","$ 36,092,000",150,0,0,0,0,15,0,0.25,315.25,2026,BIL (GEN)
21,New Brunswick City,1214001-001,LSLR Program,55000,"$ 10,000,000","$ 1,332,522","$ 12,000,000",175,80,15,0,0,0,0,0.55,320.55,2026,BIL (LSLR)
6,Trenton City,1111001-012,Pennington Reservoir Replacement,225000,"$ 85,000,000","$ 466,641","$ 107,500,000",500,0,15,0,5,0,0,2.17,527.17,2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-026,5-B Water Project,250000,"$ 6,100,000","$ 725,400","$ 7,320,000",75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
5,Trenton City,1111001-014,TWW Phase 5 LSL Replacement Project,89620,"$ 16,500,000","$ 600,000","$ 21,800,000",500,0,15,0,0,0,0,2.17,567.17,2026,BIL (LSLR)
525,North Brunswick Township,1215001-008,Old Georges Road Water Project,41431,"$ 4,000,000","$ 1,157,400","$ 4,800,000",75,0,0,0,0,0,0,0.41,75.41,2026,BIL (GEN)
584,Roosevelt Borough,1341001-008,Improvements to Pine Drive Phase I,808,"$ 305,000","$ 973,991","$ 416,750",75,0,0,0,0,0,0,0.01,75.0088,2026,BIL (GEN)
584,Roosevelt Borough,1341001-009,Water Main Improvements on Tamara Drive,808,"$ 610,100","$ 175,321","$ 767,620",75,0,0,0,0,0,0,0.01,75.0088,2026,BIL (GEN)
410,Newton Town,1915001-002,2023 Drinking Water Pump Station,8300,"$ 141,000",,"$ 183,300",60,0,20,0,0,0,0,0.08,105.083,2026,BIL (GEN)
634,Hackettstown Municipal Utilities Authority,2108001-001,Construction of New Water Storage Tank w/ related water distrib,22500,"$ 3,500,000","$ 4,110,707","$ 4,445,700",60,0,0,0,0,0,0,0.22,60.22,2026,BIL (GEN)
651,Allamuchy Township,2101001-001,Water Storage Tank Replacement Project,5335,"$ 350,000","$ 495,000","$ 460,000",60,0,0,0,0,0,0,0.05,60.04573,2026,BIL (GEN)
647,Point Pleasant Beach Borough,1525001-003,Water Tank Painting And Improvements to Water Treatment Plan,2133,"$ 2,000,000","$ 50,000","$ 2,450,000",60,0,0,0,0,0,0,0.06,60.056,2026,BIL (GEN)
644,Pine Hill Municipal Utilities Authority,0428002-006,Water Rehab Project,0,"$ 2,500,000","$ 420,000","$ 3,000,000",60,0,0,0,0,0,0,0.10,60.10223,2026,BIL (GEN)
631,Monroe Municipal Utilities Authority,0811002-003,"Painting of KOC (Well #8) Tank, Corkery (Well #7) Tank and Herbe",37117,"$ 4,900,000","$ 805,000","$ 5,980,000",60,0,0,0,0,0,0,0.26,60.26179,2026,BIL (GEN)
552,Lower Township Municipal Utilities Authority,0505002-006,LTMUA - North Cape May Water Main Replacement 1-5,39510,"$ 28,397,524","$ 395,000","$ 35,367,826",75,0,0,0,0,0,0,0.10,75.10315,2026,BIL (GEN)
424,Hoboken City,0905001-004,Hoboken Pressure Mitigation Project,57703,"$ 3,000,000","$ 585,950","$ 3,945,000",30,0,20,0,0,0,0,0.52,100.52,2026,BIL (GEN)
257,Verona Township,0720001-007,FAIRVIEW WELLS,14460,"$ 2,948,000",,"$ 3,787,600",160,0,0,0,0,0,0,0.14,160.13641,2026,BIL (EC)
248,Mount Laurel Township Municipal Utilities Authority,0324001-004,Elbo Lane WTP HVAC Replacement,46310,"$ 1,466,692","$ 200,000","$ 1,897,630",160,0,0,0,0,0,0,0.42,160.41743,2026,BIL (EC)
246,"NJ American Water Company, Inc.",0323001-005,Woodlane WTP Improvement Project,445702,"$ 7,827,100","$ 650,000","$ 9,392,520",160,0,0,0,0,0,0,0.47,160.47427,2026,BIL (GEN)
196,Maple Shade Township,0319001-001,Maple Shade Township Lead Service Line Replacement,19980,"$ 3,750,000","$ 6,017,480","$ 4,593,250",175,0,0,0,0,0,0,0.19,175.194,2026,BIL (LSLR)
193,Hamilton Township Municipal Utilities Authority,0112001-005,WATER MAIN REPLACEMENT PHASE 2,22000,"$ 3,500,000","$ 67,500","$ 4,200,000",175,0,0,0,0,0,0,0.22,175.21719,2026,BIL (LSLR)
184,Merchantville Pennsauken Water Commission,0424001-005,Lead line removal,49990,"$ 3,780,000","$ 2,707,750","$ 4,536,000",175,0,0,0,0,0,0,0.47,175.47144,2026,BIL (LSLR)
171,"NJ American Water Company, Inc.",2004002-015,Netherwood PFAS Treatment,48000,"$ 15,700,000","$ 690,000","$ 18,840,000",160,0,0,5,5,0,0,3.18,183.18147,2026,BIL (EC)
152,"NJ American Water Company, Inc.",2121001-001,Washington Twp. Main Extension,6492,"$ 5,200,000","$ 554,000","$ 6,240,000",165,0,15,0,0,0,0,0.11,195.10719,2026,BIL (GEN)
138,Berkeley Township Municipal Utilities Authority,1505004-010,Berkeley Township MUA Phase VII Water Main Installation,10800,"$ 7,962,500","$ 4,000,000","$ 10,167,500",165,0,20,0,0,0,0,0.11,200.11235,2026,BIL (GEN)
83,Pequannock Township,1431001-001,PFOS & PFOA Treatment for Well #1 Dunn Place NJ1431001,14000,"$ 2,770,000","$ 333,000","$ 3,324,000",250,0,0,0,0,0,0,0.14,250.1401,2026,BIL (EC)
62,Orange City,0717001-017,PFAS Treatment at Chestnut Street Pumping Station,34447,"$ 13,300,000",,"$ 17,010,000",160,80,0,5,5,0,0,0.30,260.30133,2026,BIL (EC)
268,Jersey City Municipal Utilities Authority,0906001-012,Water Main Replacement,262000,"$ 12,000,000","$ 3,850,000","$ 15,850,000",75,0,20,5,0,0,0,2.62,157.62,Beyond 2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-027,PHASE 6B WATER MAIN REHABILITATION PROJECT,247597,"$ 6,529,990",,"$ 8,140,309",75,0,20,5,5,0,0,2.62,167.62,Beyond 2026,BIL (GEN)
545,Clinton Town                                                                            1005001-022,1005001-022,Town of Clinton - Water Main Replacement - Rt. 78 Overpass,8333,"$ 1,250,000","$ 1,294,832","$ 1,550,000",75,0,0,0,0,0,0,0.13,75.125,Beyond 2026,BIL (GEN)
757,East Windsor Municipal Utilities Authority,1101002-008,Administration & Maintenance Building,29758,"$ 16,106,023","$ 300,000","$ 19,601,727",15,0,0,0,0,15,0,0.25,30.25,Beyond 2026,BIL (GEN)
754,Englishtown Borough,1326001-001,New Water Supply Well,1419,"$ 958,375",,"$ 1,322,050",15,0,15,0,0,0,0,0.46,30.46196,Beyond 2026,BIL (GEN)
736,Brick Township Municipal Utilities Authority,1506001-018,DPCC/DCR/ESA and Driveway Improvement Project,75072,"$ 2,500,000","$ 385,000","$ 3,177,600",1,0,20,0,0,0,0,0.87,36.86898,Beyond 2026,BIL (GEN)
634,West Deptford Township,0820001-004,Jessup Road Water Storage Tank Repair and Repainting,21248,"$ 2,622,530","$ 345,919","$ 3,222,036",60,0,0,0,0,0,0,0.22,60.22,Beyond 2026,BIL (GEN)
632,Ventnor City,0122001-003,N. Surrey Avenue Water Tower Improvements,6200,"$ 3,500,000","$ 382,704","$ 4,200,000",60,0,0,0,0,0,0,0.25,60.25,Beyond 2026,BIL (GEN)
622,"NJ American Water Company, Inc.",1345001-001,Jumping Brook WTP Improvement Project,524000,"$ 52,277,078","$ 780,000","$ 66,366,775",60,0,0,0,0,0,0,0.60,60.60092,Beyond 2026,BIL (GEN)
574,Branchville Borough                                                                1903001-002,1903001-002,"Water Line Improvement, Lead Line replacement, Water treatme",210,"$ 1,851,000","$ 510,000","$ 2,221,200",75,0,0,0,0,0,0,0.02,75.015,Beyond 2026,BIL (LSLR)
562,Beach Haven Borough                                                             1503001-005,1503001-005,2025 Water Main Replacement Project,7093,"$ 2,673,880","$ 199,568","$ 3,258,656",75,0,0,0,0,0,0,0.07,75.07093,Beyond 2026,BIL (GEN)
559,Clayton Borough                                                                      0801001-002,0801001-002,Water Distribution System Improvements along Delsea Drive,8,"$ 7,000,000","$ 400,000","$ 9,370,000",75,0,0,0,0,0,0,0.08,75.08179,Beyond 2026,BIL (GEN)
548,Wallington Borough                                                                0265001-002,0265001-002,Wallington Avenue Water Main,11335,"$ 2,084,160","$ 442,000","$ 2,500,992",75,0,0,0,0,0,0,0.12,75.11583,Beyond 2026,BIL (GEN)
506,South Orange Village,0719001-009,Scotland Road Water Mains,17000,"$ 2,994,500","$ 2,560,000","$ 3,891,400",75,0,0,5,0,0,0,0.17,80.16964,Beyond 2026,BIL (GEN)
357,Jersey City Municipal Utilities Authority,0906001-030,Phase 7a Water Improvements,265549,"$ 24,797,788",,"$ 29,985,840",75,0,20,5,5,0,0,2.62,117.62,Beyond 2026,BIL (GEN)
308,Vineland City,0614003-016,Well 17 Treatment Facility,36848,"$ 5,900,000","$ 2,018,000","$ 7,918,000",15,80,15,0,0,0,0,0.36,135.3625,Beyond 2026,BIL (GEN)
302,Jersey City Municipal Utilities Authority,0906001-028,Dam Security Improvements,265932,"$ 1,250,000","$ 317,200","$ 1,682,400",45,0,20,5,5,0,0,2.62,137.62,Beyond 2026,BIL (GEN)
294,Jersey City Municipal Utilities Authority,0906001-039,NELSON AVE WAER MAIN IMPROVEMENTS,191933,"$ 8,000,000","$ 363,675","$ 9,600,000",75,0,15,0,0,0,0,2.62,142.62,Beyond 2026,BIL (GEN)
244,Old Bridge Municipal Utilities Authority,1209002-015,Ticetown Road Project,67738,"$ 40,000,000","$ 2,163,600","$ 52,000,000",160,0,0,0,0,0,0,0.68,160.68,Beyond 2026,BIL (GEN)
236,Jersey City Municipal Utilities Authority,0906001-016,Large Valve Replacement Program- Phase 2,264290,"$ 6,101,000","$ 1,220,200","$ 7,321,200",75,0,20,5,5,0,0,2.64,167.6429,Beyond 2026,BIL (GEN)
230,Flemington Borough,1009001-009,Additional Water Tank and Improvements,4389,"$ 3,500,000","$ 1,450,000","$ 4,950,000",60,80,15,0,0,0,0,0.04,170.04388,Beyond 2026,BIL (GEN)
216,Weymouth Township Municipal Utilities Authority,0123001-001,WTMUA Water Line Replacement,600,"$ 4,896,800","$ 1,512,000","$ 5,876,160",175,0,0,0,0,0,0,0.01,175.0072,Beyond 2026,BIL (GEN)
211,Ho-Ho-Kus Borough,0228001-003,Lead Service Line Replacement Program,4222,"$ 7,587,600","$ 838,000","$ 9,105,120",175,0,0,0,0,0,0,0.04,175.0406,Beyond 2026,BIL (LSLR)
185,Kearny Town,0907001-003,Lead Service Line Replacement Project,27438,"$ 6,831,080","$ 1,930,424","$ 8,197,296",175,0,0,0,0,0,0,0.42,175.41664,Beyond 2026,BIL (LSLR)
173,Salem City,1712001-004,Salem City Water Meter,4931,"$ 1,092,100","$ 253,420","$ 1,345,520",35,80,15,0,5,15,0,0.06,180.062,Beyond 2026,BIL (GEN)
153,Hopatcong Borough,1912001-001,Hudson Avenue Water Main Installation,7224,"$ 900,000","$ 180,000","$ 1,080,000",165,0,15,0,0,0,0,0.07,195.07224,Beyond 2026,BIL (GEN)
149,Vineland City,0614003-017,2016 Water Distribution Rehabilitation Project,36848,"$ 1,906,425","$ 740,056","$ 2,646,481",75,80,15,0,0,0,0,0.36,195.3625,Beyond 2026,BIL (GEN)
129,Allentown Borough,1302001-008,Improvements to Hamilton Street & Pearl Street,1734,"$ 1,000,000","$ 134,045","$ 1,300,000",175,0,20,0,0,0,0,0.02,205.02,Beyond 2026,BIL (LSLR)
128,Hightstown Borough,1104001-012,Lead Service Line Replacement,5494,"$ 10,000,000","$ 425,000","$ 13,500,000",175,0,15,0,0,0,0,0.05,205.054,Beyond 2026,BIL (LSLR)
122,West Cape May Borough,0512001-001,Lead Line Remediation,1900,"$ 625,000","$ 700,000","$ 906,250",175,0,20,0,0,0,0,0.05,210.04601,Beyond 2026,BIL (LSLR)
88,Jefferson Township,1414003-001,Moosepac Well Filtration,3000,"$ 2,545,000",,"$ 3,211,100",250,0,0,0,0,0,0,0.05,250.045,Beyond 2026,BIL (GEN)
76,Livingston Township,0710001-004,"Livingston PFAS Treatment - Phase C (Wells 6, 7, 9)",31330,"$ 7,635,000","$ 1,191,000","$ 9,798,600",250,0,0,0,0,0,0,0.27,250.27391,Beyond 2026,BIL (LSLR)
43,Hopatcong Borough,1912001-002,Hopatcong Borough PFAS Removal Improvement Project,7000,"$ 840,000","$ 1,100,300","$ 1,020,000",250,0,15,0,0,0,0,0.07,280.07224,Beyond 2026,BIL (EC)
