Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"BIL
Eligibility"
270,Berkeley Township Municipal Utilities Authority,1505004-005,NJ1505004,Extension of water mains,8130,7500000,5138330,12638330,1,0,20,0,0,0,80,0.0813,101.0813,BIL (GEN)
271,"NJ American Water Company, Incorporated",0323001-005,NJ0323001,Woodlane WTP Improvement Project,445702,6700000,,8040000,100,0,0,0,0,0,0,0.47427,100.47427,
274,North Brunswick Township,1215001-003,NJ1215001,Treatment plant upgrade,38000,20000000,7860000,27860000,100,0,0,0,0,0,0,0.38,100.38,
277,Point Pleasant Borough,1524001-002,NJ1524001,Water Treatment Plant Filter Replacement,18651,1600000,1589180,2112000,100,0,0,0,0,0,0,0.18651,100.18651,
278,Ramsey Borough,0248001-015,NJ0248001,Installation of chlorine analyzers and pipe improvements to upgrade disinfection system at various facilities,16350,500000,180000,680000,100,0,0,0,0,0,0,0.1635,100.1635,
281,Pompton Lakes Municipal Utilities Authority,1609001-003,NJ1609001,"Replacement of gas chlorination system with solid tablet
chlorination system",11435,60000,54200,114200,100,0,0,0,0,0,0,0.11435,100.11435,
283,Ringwood Borough,1611002-001,NJ1611002,"Installation of chlorination station, automatic controls &
protection of pipe",9600,331000,52960,383960,100,0,0,0,0,0,0,0.096,100.096,
284,Boonton Town,1401001-003,NJ1401001,Wellfield Treatment Plant Upgrades,9900,2354500,,3069900,100,0,0,0,0,0,0,0.09532,100.09532,
285,Spotswood Borough,1224001-003,NJ1224001,"Rehabilitation of the George Street Water Treatment
Plant",8300,1650000,520000,2177545,100,0,0,0,0,0,0,0.083,100.083,
286,Netcong Borough,1428001-003,NJ1428001,Drill new well to meet current demand,3236,425000,297500,722500,15,50,15,5,0,0,15,0.03236,100.03236,
287,"Fayson Lake Water Company, Incorporated",1415001-001,NJ1415001,Upgrade treatment facility,3087,525000,367500,892500,100,0,0,0,0,0,0,0.03087,100.03087,
288,West Milford Municipal Utilities Authority,1615016-001,NJ1615016,"Wells #1,6 & 7 WTP upgrades",1625,358000,340100,698100,100,0,0,0,0,0,0,0.01625,100.01625,
289,West Milford Municipal Utilities Authority,1615018-001,NJ1615018,Concorde & Quincy WTP upgrades,1260,324000,226800,550800,100,0,0,0,0,0,0,0.0126,100.0126,
290,Roosevelt Borough,1341001-005,NJ1341001,Upgrades to water treatment plant,935,246240,172367,418607,100,0,0,0,0,0,0,0.00935,100.00935,
291,West Milford Municipal Utilities Authority,1615012-001,NJ1615012,Well #1 WTP upgrades,635,118000,112100,230100,100,0,0,0,0,0,0,0.00635,100.00635,
292,West Milford Municipal Utilities Authority,1615002-001,NJ1615002,Well #28 WTP Upgrades,600,176000,167200,343200,100,0,0,0,0,0,0,0.006,100.006,
293,Collier Services,1328300-003,NJ1328300,"Replace existing hypochlorination and water softener
systems",350,100000,70000,170000,100,0,0,0,0,0,0,0.0035,100.0035,
294,Plausha Park Water Company,1421004-001,NJ1421004,"Install chemical feed, safety upgrades and replace the
ramp and piping at the well/treatment facility",200,130000,48800,178800,100,0,0,0,0,0,0,0.002,100.002,
295,West Milford Municipal Utilities Authority,1615001-001,NJ1615001,Moore Rd WTP upgrades,180,145000,137750,282750,100,0,0,0,0,0,0,0.0018,100.0018,
296,West Milford Municipal Utilities Authority,1615006-001,NJ1615006,Well #6 WTP Upgrades,115,256000,243200,499200,100,0,0,0,0,0,0,0.00115,100.00115,
297,Green Briar Residential Home,1421305-001,NJ1421305,"Installation of chlorination to WTP, emergency generator,
back up well",43,26000,3760,29760,100,0,0,0,0,0,0,0.00043,100.00043,
298,Cliffside Park Borough,0238001-001,NJ0238001,"Construction of water mains for a brownfield
redevelopment project - Towne Centre",394079,525000,367500,892500,75,0,0,0,5,0,15,3.94079,98.94079,
299,Trenton City,1111001-012,NJ1111001,Pennington Reservoir Replacement,225000,85000000,,107500000,60,0,15,0,5,0,15,2.17,97.17,BIL (GEN)
300,Atlantic City Municipal Utilities Authority,0102001-010,NJ0102001,"Asset Management Plan - Professional Consulting Services
In Compliance With The New Jersey Water Quality Accountability Act",76240,$-,725602,122840,1,0,15,0,0,0,80,0.7624,96.7624,BIL (GEN)
301,Woodbine Borough,0516001-002,NJ0516001,Woodbine Asset Management Plan,2650,100000,20000,120000,1,0,15,0,0,0,80,0.0265,96.0265,BIL (GEN)
302,Brick Township Municipal Utilities Authority,1506001-009,NJ1506001,Breton Woods Water Main Replacement - Phase I,100000,4393000,1535760,5928760,75,0,20,0,0,0,0,1,96,
304,Perth Amboy City,1216001-012,NJ1216001,Florida Grove Road Reservoir Improvements,55436,5133385,,6506062,60,0,0,0,5,0,30,0.52328,95.52328,BIL (GEN)
305,Wildwood City,0514001-005,NJ0514001,Well #39 Redevelopment,45500,315000,63000,378000,15,0,0,0,0,0,80,0.454997,95.455,BIL (GEN)
306,Bloomfield Township,0702001-001,NJ0702001,Cleaning and Lining of water mains,47000,1946500,775720,2102220,75,0,0,5,0,0,15,0.45061,95.45061,
308,Rahway City,2013001-001,NJ2013001,Cleaning & Lining of various water main sections,27785,900000,630000,1530000,75,0,0,5,0,0,15,0.27785,95.27785,
308,Rahway City,2013001-002,NJ2013001,Cleaning & Lining of various water main sections,27785,1100000,744000,1844000,75,0,0,5,0,0,15,0.27785,95.27785,
309,Mahwah Township,0233001-005,NJ0233001,Installation of emergency generators,24062,350000,245000,595000,45,50,0,0,0,0,0,0.24062,95.24062,
310,Burlington Township,0306001-004,NJ0306001,"Replacement of 1,500 LF of main on Lansberry Dr and
LaVeer Rd",22000,214000,149800,363800,75,0,20,0,0,0,0,0.22,95.22,
311,Barnegat Township,1533001-002,NJ1533001,Replacement of water meters & Back flow preventers,20935,450000,315000,765000,25,35,20,0,0,0,15,0.20935,95.20935,
313,Milltown Borough,1212001-002,NJ1212001,Ford Ave Redevelopment,7052,1060000,546000,1606000,75,0,15,0,5,0,0,0.07052,95.07052,
314,Richard Stockton College,0111304-001,NJ0111304,Installation of solar power at water treatment plant,6600,680000,476000,1156000,45,0,20,0,0,15,15,0.066,95.066,
315,Clementon Borough,0411001-002,NJ0411001,"Rehab of well 9 including slip lining to improve
conveyance",5003,850000,444125,1294125,15,0,0,0,0,0,80,0.05006,95.05006,BIL (GEN)
316,Flemington Borough,1009001-009,NJ1009001,Additional Water Tank and Improvements,4389,3500000,1000000,4500000,60,0,0,5,0,0,30,0.04389,95.04389,BIL (GEN)
317,Hardyston Municipal Utilities Authority,1911006-002,NJ1911006,Water Tank Refurbishment,1963,825000,165000,990000,60,35,0,0,0,0,0,0.01963,95.01963,
318,Milltown Borough,1212001-004,NJ1212001,"Cleaning and Lining of mains and construction of 2 water
main loops to eliminate dead ends",7052,1062500,880750,1943250,75,0,15,0,5,0,0,0.07052,95.00007,
319,Middlesex Water Company,1225001-003,NJ1225001,"Installation of nanofiltration for hardness removal (North
Tingley Lane)",233376,1500000,920000,2420000,40,50,0,0,0,0,0,2.33376,92.33376,
319,Middlesex Water Company,1225001-004,NJ1225001,"Installation of nanofiltration for hardness removal (South
Tingley Lane)",233376,2000000,1140000,3140000,40,50,0,0,0,0,0,2.33376,92.33376,
321,Orange City,0717001-006,NJ0717001,asset management plan,30134,6000000,1220000,7200000,1,0,0,5,5,0,80,0.30134,91.30134,BIL (GEN)
321,Orange City,0717001-016,NJ0717001,"Orange Twp | Water System Hydraulic Model, GIS, AMP",32000,780500,527545,936600,1,0,0,5,5,0,80,0.30134,91.30134,BIL (GEN)
322,Brick Township Municipal Utilities Authority,1506001-013,NJ1506001,"Water Main Stream Crossings Replacements at Route 70 (16"" Diameter), at the Beaver Dam Creek at Midstreams Road (16"" Diameter), and Five 12"" Diameter Stream Crossings in the Township of Brick",100000,3074560,1113859,4188419,75,0,0,0,0,0,15,0.86898,90.86898,
323,Bayonne City,0901001-006,NJ0901001,Aqueduct Replacement,63000,8737229,1747445,10484674,75,0,0,0,0,0,15,0.63,90.63,BIL (GEN)
324,Hoboken City,0905001-003,NJ0905001,Water Main Upgrades Phase II,54379,4200000,3178333,5040000,75,0,15,0,0,0,0,0.52,90.52,
325,Monroe Municipal Utilities Authority,0811002-001,NJ0811002,Tank Painting,36908,1338500,482000,1606200,60,0,0,0,0,0,30,0.36908,90.36908,
326,Belleville Township,0701001-006,NJ0701001,Clara Maass Hospital Water Main Extension,36010,646700,614365,1261065,75,0,0,0,0,0,15,0.3601,90.3601,
327,Belleville Township,0701001-001,NJ0701001,Extension of 12 inch water main to the Medical Center,35928,350000,245000,595000,75,0,0,0,0,0,15,0.35928,90.35928,
327,Belleville Township,0701001-002,NJ0701001,Replacement of inoperable valves & hydrants,35928,525000,367500,892500,75,0,0,0,0,0,15,0.35928,90.35928,
328,Vineland City,0614003-014,NJ0614003,"Installation of gas generators at wells #4,6,7,8,10,11 and
12",33000,1543500,939140,2482640,45,0,15,0,0,0,30,0.33,90.33,BIL (GEN)
329,Deptford Township Municipal Utilities Authority,0802001-002,NJ0802001,Water Main Replacement at East Woodbury,30590,1122360,,1531832,75,0,0,0,0,0,15,0.3059,90.3059,
329,Deptford Township Municipal Utilities Authority,0802001-003,NJ0802001,Water Main Replacement at Country Club Estates,30590,893481,231180,1188377,75,0,0,0,0,0,15,0.3059,90.3059,
330,Garfield City,0221001-005,NJ0221001,"Replacement of the Botany Street pump station.
Expansion of the SCADA system",29780,2050000,1162000,3212000,60,0,0,0,0,0,30,0.2978,90.2978,BIL (GEN)
331,Glassboro Borough,0806001-001,NJ0806001,2.0 mg elevated tower repainting,19992,2327688,95000,3142225,60,0,0,0,0,0,30,0.24244,90.24244,
332,Hamilton Township Municipal Utilities Authority,0112001-005,NJ0112001,WATER MAIN REPLACEMENT PHASE 2,22000,3500000,67500,4200000,75,0,0,0,0,0,15,0.2172,90.2172,
333,Lyndhurst Township,0232001-002,NJ0232001,"Replacement of 1,350 LF of antiquated water mains on
Forest Avenue",19800,1950000,632000,2582000,75,0,0,0,0,0,15,0.198,90.198,
334,Berlin Borough,0405001-006,NJ0405001,"A 12 inch water main needs to be tied in at Park Drive and
White Horse Pike",13121,200000,140000,340000,75,0,15,0,0,0,0,0.13121,90.13121,
335,Pemberton Township,0329004-001,NJ0329004,Pinelands Water Infrastructure,2500,2420000,1167000,2904000,75,0,0,0,0,0,15,0.12378,90.12378,BIL (GEN)
336,Manasquan Borough,1327001-002,NJ1327001,"Construction of 600 LF of WM on Perrine Blvd & Mallard
Park Area",12265,750000,1004202,1754202,75,0,15,0,0,0,0,0.12265,90.12265,
337,Wallington Borough,0265001-002,NJ0265001,Wallington Avenue Water Main,11335,2084160,442000,2500992,75,0,0,0,0,0,15,0.11583,90.11583,
338,Pemberton Township,0329004-007,NJ0329004,Various Water System Improvements,10815,1710000,1257000,2967000,60,0,15,0,0,0,15,0.10815,90.10815,BIL (GEN)
340,Ship Bottom Borough,1528001-004,NJ1528001,Water Main Replacement Project,5762,3294705,1435886,4053646,75,0,0,0,0,0,15,0.05762,90.05762,
341,National Park Borough,0812001-003,NJ0812001,"Replacement of 6-inch and 10-inch water main with
appurtenances",3289,228450,152578,381028,75,0,0,0,0,0,15,0.03289,90.03289,BIL (GEN)
342,Lakehurst Borough,1513001-002,NJ1513001,Water Main Replacement Project Phase I,2654,860820,223813,1084633,75,0,0,0,0,0,15,0.02654,90.02654,BIL (GEN)
343,Alpha Borough,2102001-001,NJ2102001,"Upgrades to treatment for Pursell & Alpha St wells or VOC
removal, hardness and disinfection",2500,1547470,1201359,2748829,60,0,0,0,0,0,30,0.025,90.025,
344,Brooklawn Borough,0407001-005,NJ0407001,Painting interior & exterior of water tank,2300,429000,300300,729300,60,0,0,0,0,0,30,0.023,90.023,BIL (GEN)
345,Pemberton Borough,0328001-001,NJ0328001,"Replacement of undersized and antiquated water mains
on Hough and Handover Streets",1610,490820,375777,866597,75,0,0,0,0,0,15,0.0161,90.0161,BIL (GEN)
346,Hopewell Township,1106001-001,NJ1106001,Water System Improvements,5710,1000000,927000,1285000,75,0,15,0,0,0,0,0.00356,90.00356,
347,Fountainhead Properties Incorporate,1511013-002,NJ1511013,"Loop system with 400 LF of water main with replacement
of water meters",280,55000,22680,77680,75,0,15,0,0,0,0,0.0028,90.0028,
348,Stafford Township,1530004-014,NJ1530004,"Construction of 2,600 LF of 8 and 12-inch water main on
Rte 9 and Oak Ave",28868,487224,340509,827733,1,50,20,0,0,0,15,0.28868,86.28868,
349,"NJ American Water Company, Incorporated",0119002-004,NJ0119002,"Construction of a 1.5 MG elevated tank including water
mains",88088,2100000,1184000,3284000,50,0,20,0,0,0,15,0.88088,85.88088,
350,Stafford Township,1530004-015,NJ1530004,Redevelopment of wells # 2 and 5,28868,90000,66400,156400,15,35,20,0,0,0,15,0.28868,85.28868,
352,Brick Township Municipal Utilities Authority,1506001-006,NJ1506001,Installation of security measures in water system,134108,2300000,1140000,3440000,45,0,20,0,0,0,15,1.34108,81.34108,
353,Lakewood Township Municipal Utilities Authority,1514002-003,NJ1514002,Administration Building Addition,21000,1200000,240000,1440000,1,0,0,0,0,0,80,0.2175,81.2175,BIL (GEN)
354,"NJ American Water Company, Incorporated",2004002-006,NJ2004002,36 inch valve replacement at Madison Hill Road,610000,175000,122500,297500,75,0,0,0,0,0,0,6.1,81.1,
355,Seaside Park Borough,1527001-003,NJ1527001,Water Asset Management Plan,3753,$-,70200,70200,1,0,0,0,0,0,80,0.0375267,81.03753,
356,Perth Amboy City,1216001-500,NJ1216001,"Install New Stand-by Generator for Runyon Water Treat.
Plant",50814,1855500,852500,2708000,45,0,0,0,5,0,30,0.52328,80.52328,BIL (GEN)
356,Perth Amboy City,1216001-005,NJ1216001,THE INSTALLATION OF A NEW STANDBY GENERATOR AT THE RUNYON WATER TREATMENT PLANT,366296,750000,9087360,1021050,45,0,0,0,5,0,30,0.52328,80.52328,BIL (GEN)
357,Winslow Township,0436007-004,NJ0436007,"Install appurtenances associated with new well #12
(SCADA, well house, transmission mains)",39328,1791000,1048040,2839040,15,50,15,0,0,0,0,0.39328,80.39328,
357,Winslow Township,0436007-005,NJ0436007,Install new 500 GPM well #12,39328,228600,160020,388620,15,50,15,0,0,0,0,0.39328,80.39328,
358,Montclair Township,0713001-002,NJ0713001,Cleaning & Lining of water mains,38977,750000,525000,1275000,75,0,0,5,0,0,0,0.38977,80.38977,
358,Montclair Township,0713001-003,NJ0713001,Replace Transmission Valves,38977,650000,455000,1105000,75,0,0,5,0,0,0,0.38977,80.38977,
358,Montclair Township,0713001-010,NJ0713001,Replacement of lead service Lines - Phase III,38977,900000,324000,1224000,75,0,0,5,0,0,0,0.38977,80.38977,
359,Rahway City,2013001-004,NJ2013001,"Repainting of 1.5 MG elevated & 0.5 MG watersphere
water tanks",27785,750000,525000,1275000,60,0,0,5,0,0,15,0.27785,80.27785,
360,Mahwah Township,0233001-003,NJ0233001,Interconnection on Campgaw & Pulis Avenues,24062,1300000,832000,2132000,30,50,0,0,0,0,0,0.24062,80.24062,
361,South Orange Village,0719001-009,NJ0719001,Scotland Road Water Mains,17000,2994500,2560000,3891400,75,0,0,5,0,0,0,0.16964,80.16964,
362,Gloucester City,0414001-014,NJ0414001,"Construction of a 1.0 MG storage tank to replace
standpipe",11484,3000000,1580000,4580000,50,0,0,0,0,0,30,0.11484,80.11484,BIL (GEN)
362,Gloucester City,0414001-015,NJ0414001,"Construction of a new .5 MG storage tank to maintain
pressure on the east side",11484,911511,638055,1549566,50,0,0,0,0,0,30,0.11484,80.11484,BIL (GEN)
363,Milltown Borough,1212001-003,NJ1212001,Ford Ave Redevelopment Agency Borough,7052,750000,876000,1626000,60,0,15,0,5,0,0,0.07052,80.07052,
365,"NJ American Water Company, Incorporated",1345001-006,NJ1345001,Rehab of High Service Transmission Main in Middletown,289553,5400000,2113300,7513300,75,0,0,0,0,0,0,2.89553,77.89553,
365,"NJ American Water Company, Incorporated",1345001-009,NJ1345001,East End Transmission Main Replacement,289553,1391309,784849,2176158,75,0,0,0,0,0,0,2.89553,77.89553,
367,"NJ American Water Company, Incorporated",0712001-008,NJ0712001,Replacement of two large valves,217230,600000,420000,1020000,75,0,0,0,0,0,0,2.1723,77.1723,
368,Old Bridge Municipal Utilities Authority,1209002-002,NJ1209002,Replacement of water mains along Lawrence Harbor Road,66200,1600000,964000,2564000,75,0,0,0,0,0,0,0.662,75.662,
369,Wayne Township,1614001-001,NJ1614001,"Replacement of 2400 LF of 8-inch water main and 2000 LF
of 12-inch water main -Farmingdale Area",55000,1100000,744000,1844000,75,0,0,0,0,0,0,0.55,75.55,
370,Franklin Township,1808001-006,NJ1808001,"Installation of new water mains to eliminate dead end
mains",50000,920000,644000,1564000,75,0,0,0,0,0,0,0.5,75.5,
372,East Brunswick Township,1204001-001,NJ1204001,"Replacement of undersized water mains on Wilmot,
Harrison and various streets",47000,3672735,1959982,5632717,75,0,0,0,0,0,0,0.47,75.47,
373,Evesham Municipal Utilities Authority,0313001-002,NJ0313001,2018 Water Main Replacements,45351,4528600,1608720,6137320,75,0,0,0,0,0,0,0.45351,75.45351,
373,Evesham Municipal Utilities Authority,0313001-003,NJ0313001,Route 70 WM Replacement,45351,583000,206600,789600,75,0,0,0,0,0,0,0.45351,75.45351,
374,North Brunswick Township,1215001-008,NJ1215001,Old Georges Road Water Project,41431,4000000,1157400,4800000,75,0,0,0,0,0,0,0.41,75.41,
375,Sayreville Borough,1219001-004,NJ1219001,"Rehabilitate existing unlined cast iron water mains in
several areas of Sayreville",40377,5000000,2460000,7460000,75,0,0,0,0,0,0,0.40377,75.40377,
375,Sayreville Borough,1219001-006,NJ1219001,Construct new water main along Washington Road,40377,650000,429000,1079000,75,0,0,0,0,0,0,0.40377,75.40377,
375,Sayreville Borough,1219001-008,NJ1219001,"Clean and line water mains in several sections of the
Borough",40377,2000000,1060000,3060000,75,0,0,0,0,0,0,0.40377,75.40377,
376,North Brunswick Township,1215001-002,NJ1215001,Replacement of 4 miles of 24 inch water main from the North Brunswick Twp Treatment plant to Finnegans Lane,38000,5000000,2460000,7460000,75,0,0,0,0,0,0,0.38,75.38,
376,North Brunswick Township,1215001-004,NJ1215001,Install 16 inch water main,38000,1750000,264000,2014000,75,0,0,0,0,0,0,0.38,75.38,
376,North Brunswick Township,1215001-005,NJ1215001,"Replacement of 2,350 LF of 8 inch water mains on
Excelsior and Thalia Streets and Sioux Road",38000,844000,561200,1405200,75,0,0,0,0,0,0,0.38,75.38,
377,East Windsor Municipal Utilities Authority,1101002-005,NJ1101002,Twin Rivers (H section) Water Main Replacement Project,27190,1050070,276714,1326784,75,0,0,0,0,0,0,0.2719,75.2719,
378,Little Egg Harbor Municipal Utilities Authority,1516001-006,NJ1516001,Water Storage Tank Painting and Upgrades,21333,2168364,1200000,2659836,60,0,0,0,0,0,15,0.213333,75.21333,BIL (GEN)
379,West Deptford Township,0820001-004,NJ0820001,Jessup Road Water Storage Tank Repair and Repainting,21248,2622530,345919,3222036,60,0,0,0,0,0,15,0.21248,75.21248,
380,Montville Township,1421003-002,NJ1421003,Installation of 880 LF of 8 inch water main,21000,125000,45000,170000,75,0,0,0,0,0,0,0.21,75.21,
381,Ramsey Borough,0248001-014,NJ0248001,Replacement of North Central Ave water main,16350,60000,68000,128000,75,0,0,0,0,0,0,0.1635,75.1635,
382,Bordentown City,0303001-002,NJ0303001,"Replacement of 1,500 LF of 12-inch transmission mains",15831,330000,251800,581800,75,0,0,0,0,0,0,0.15831,75.15831,
383,Pennsville Township,1708001-003,NJ1708001,Rehabilitate .25 MG Water Street storage tank,13250,150000,105000,255000,60,0,0,0,0,0,15,0.1325,75.1325,BIL (GEN)
384,Saddle Brook Township,0257001-001,NJ0257001,"Construction of 1,200 LF of 8-inch water mains",13155,465000,325500,790500,75,0,0,0,0,0,0,0.13155,75.13155,
385,Mantua Township MUA,0810004-004,NJ0810004,Centre City Water/Sewer Infrastructure Improvements,12711,3500000,1250000,4750000,75,0,0,0,0,0,0,0.12711,75.12711,
386,Clinton Town,1005001-006,NJ1005001,Lebanon Borough Water Main Replacements - Phase 2-5,12500,2684475,989032,3673507,75,0,0,0,0,0,0,0.125,75.125,
386,Clinton Town,1005001-012,NJ1005001,"WQAA Implementation - Water Infrastructure Audit and
Upgrades",12500,2500000,,3220000,75,0,0,0,0,0,0,0.125,75.125,
387,Haddonfield Borough,0417001-001,NJ0417001,"Replacement of water main on Tanner & Woodlane with
8 inch",11600,597262,206739,804001,75,0,0,0,0,0,0,0.116,75.116,
388,Pompton Lakes Municipal Utilities Authority,1609001-001,NJ1609001,"Abandonment of Cannonball Rd main and installation of
insertion valves throughout system",11435,140000,110000,250000,75,0,0,0,0,0,0,0.11435,75.11435,
389,North Brunswick Township,1215001-007,NJ1215001,Water Main Replacement,41431,5100000,314329,6732000,75,0,0,0,0,0,0,0.11,75.11,
390,Beachwood Borough,1504001-006,NJ1504001,The Cable Avenue water main replacement,10375,500000,100000,600000,75,0,0,0,0,0,0,0.10375,75.10375,
391,East Hanover Township,1410001-004,NJ1410001,Replace Water Meters,10000,350000,245000,595000,75,0,0,0,0,0,0,0.1,75.1,
392,Long Beach Township,1517001-015,NJ1517001,Water Main Replacement Project,9962,2310000,869200,3179200,75,0,0,0,0,0,0,0.0996167,75.09962,
393,Wanaque Borough,1613002-002,NJ1613002,"Replacement of approximately 6,000 feet of water main
and services on Ringwood Avenue",9954,1700000,232000,1932000,75,0,0,0,0,0,0,0.09954,75.09954,
394,Ringwood Borough,1611002-002,NJ1611002,Replacement of undersized water mains,9600,650000,455000,1105000,75,0,0,0,0,0,0,0.096,75.096,
395,Aberdeen Township,1330002-001,NJ1330002,Installation of water mains,8900,775000,758000,1533000,75,0,0,0,0,0,0,0.089,75.089,
395,Aberdeen Township,1330002-003,NJ1330002,"Replace deteriorated water main from Route 35/Long
Neck crossing",8900,650000,455000,1105000,75,0,0,0,0,0,0,0.089,75.089,
395,Aberdeen Township,1330002-004,NJ1330002,Install two water utility crossing of Route 35,8900,350000,252000,602000,75,0,0,0,0,0,0,0.089,75.089,
396,Florham Park Borough,1411001-002,NJ1411001,"Replacement of 14 6-inch line valves, 12 hydrants and 11
services",8857,164080,114855,278935,75,0,0,0,0,0,0,0.08857,75.08857,
398,Milltown Borough,1212001-005,NJ1212001,Water Storage Tank Rehabilitation,7000,1000000,950000,1950000,60,0,15,0,0,0,0,0.07,75.07,
401,Allentown Borough,1302001-002,NJ1302001,Elevated Water Tank Improvements,1828,418000,131100,549100,60,0,15,0,0,0,0,0.02,75.02,
402,Island Heights Borough,1510001-004,NJ1510001,"Replacement of 75 fire hydrants and repairs to 21 fire
hydrants",1750,250800,-32,250768,75,0,0,0,0,0,0,0.0175,75.0175,
403,West Milford Municipal Utilities Authority,1615016-004,NJ1615016,Replace Fire Hydrants,1625,46000,43700,89700,75,0,0,0,0,0,0,0.01625,75.01625,
404,Milford Borough,1020001-001,NJ1020001,"Replace 3,000 LF with 8-inch water mains on Green,
Maple, Orchard, Walnut & Railroad Sts",1347,710000,563000,1273000,75,0,0,0,0,0,0,0.01347,75.01347,
404,Milford Borough,1020001-002,NJ1020001,"Replace 5,000 LF with 8-inch water mains on Delaware &
Ravine Rds to loop system",1347,1040000,1442440,2482440,75,0,0,0,0,0,0,0.01347,75.01347,
406,Farmingdale Borough,1314001-002,NJ1314001,"Painting and repairs to water tower and other misc
system improvements",1329,685000,222000,907000,60,0,0,0,0,0,15,0.01329,75.01329,BIL (GEN)
407,West Milford Municipal Utilities Authority,1615018-004,NJ1615018,Replace Fire Hydrants,1260,35000,24500,59500,75,0,0,0,0,0,0,0.0126,75.0126,
409,Roosevelt Borough,1341001-006,NJ1341001,Replacement of water lines most susceptible to breakage,933,730625,744093,1474718,75,0,0,0,0,0,0,0.00933,75.00933,
410,Roosevelt Borough,1341001-007,NJ1341001,"Homestead, Cedar and Elm Water Mains Project.",882,405990,125700,549188,75,0,0,0,0,0,0,0.00882,75.00882,
411,Roosevelt Borough,1314001-003,NJ1314001,Improvements to Farm Lane and School Lane,808,582057,576000,773469,75,0,0,0,0,0,0,0.0088,75.0088,BIL (GEN)
412,West Milford Municipal Utilities Authority,1615014-002,NJ1615014,Replace Fire Hydrants,700,17000,16150,33150,75,0,0,0,0,0,0,0.007,75.007,
413,West Milford Municipal Utilities Authority,1615012-004,NJ1615012,Replace Fire Hydrants,635,17000,16150,33150,75,0,0,0,0,0,0,0.00635,75.00635,
414,West Milford Municipal Utilities Authority,1615002-003,NJ1615002,Replace Fire Hydrants,600,17000,16150,33150,75,0,0,0,0,0,0,0.006,75.006,
415,Byram Homeowners Association,1904009-006,NJ1904009,Replacement of 77 saddles on the water mains,400,250000,175000,425000,75,0,0,0,0,0,0,0.004,75.004,
416,Collier Services,1328300-002,NJ1328300,"Replace distribution system and associated
appurtenances",350,254000,177800,431800,75,0,0,0,0,0,0,0.0035,75.0035,
418,Lake Glenwood Village,1922010-002,NJ1922010,"Installation of 7,100 LF of 6-inch Cement Lined Ductile
Iron Pipe replacement water mains",250,500000,350000,850000,75,0,0,0,0,0,0,0.0025,75.0025,
418,Lake Glenwood Village,1922010-004,NJ1922010,"Replacement of 1,000 LF of water mains on Cliffside,
Toboggan & Lakeshore",250,72000,50400,122400,75,0,0,0,0,0,0,0.0025,75.0025,
419,Rosemont Water Company,1007002-002,NJ1007002,Rehabilitate and/or replace existing distribution mains,225,361456,253016,614472,75,0,0,0,0,0,0,0.00225,75.00225,
420,Plausha Park Water Company,1421004-002,NJ1421004,"Replacement of main at stream crossing, valves and
installing blow off hydrants",200,95000,35800,130800,75,0,0,0,0,0,0,0.002,75.002,
421,West Milford Municipal Utilities Authority,1615001-004,NJ1615001,Replace Fire Hydrants,180,6000,5700,11700,75,0,0,0,0,0,0,0.0018,75.0018,
422,West Milford Municipal Utilities Authority,1615006-004,NJ1615006,Replace Fire Hydrants,115,6000,5700,11700,75,0,0,0,0,0,0,0.00115,75.00115,
423,North Shore Water Association,1904004-002,NJ1904004,Water System Refurb,105,285000,229000,514000,75,0,0,0,0,0,0,0.00105,75.00105,
424,Woodland Heights Homeowners Association,1615022-001,NJ1615022,Well Rehabilitation/System Improvements,80,$-,125000,125000,75,0,0,0,0,0,0,0.00055,75.00055,
425,Middlesex Water Company,1225001-506/001,NJ1225001,New elevated storage tank to replace tank & PS @ Eborn,1633632,6100000,1220000,7320000,1,50,15,5,0,0,0,2.33376,73.33376,
426,"NJ American Water Company, Incorporated",2004002-013,NJ2004002,RM WTP Emergency Generator,44464,7980000,2683600,10663600,1,50,15,0,0,0,0,6.1,72.1,
427,Barnegat Township,1533001-003,NJ1533001,"Installation of 1,700 LF of 8 inch PVC water main
extension",20935,208000,145600,353600,1,35,20,0,0,0,15,0.20935,71.20935,
428,"NJ American Water Company, Incorporated",0119002-009,NJ0119002,Installation of New Water Meters,88088,128641,90045,218686,35,0,20,0,0,0,15,0.88088,70.88088,
429,Point Pleasant Beach Borough,1525001-001,NJ1525001,Water Meter Replacement Project,6204,1200000,730000,1930000,25,0,0,0,0,15,30,0.06204,70.06204,
430,Jersey City Municipal Utilities Authority,0906001-013,NJ0906001,Remote Meter Reading (AMI),257342,6371000,3567760,9938760,25,0,20,5,0,0,15,2.57342,67.57342,
431,Trenton City,1111001-007,NJ1111001,"Construction of an emergency interconnection with
NJAWCo",255000,13000000,5620000,18620000,30,0,20,0,0,0,15,2.55,67.55,BIL (GEN)
432,"NJ American Water Company, Incorporated",2004002-002,NJ2004002,Hummocks Tank Painting,610000,1698592,534994,2233586,60,0,0,0,0,0,0,6.1,66.1,
