PWSID Number,Project Number,Entity,Project Name,Project City,Project County,Project Description,Project Cost,Population,Entity Type
CO0107321,220200D,Grace Mar Water District,,Lafayette,Boulder,Water Storage Facilities Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Water Storage Facilities Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$75,000 ",50,PNFP
CO0150400,143490D,Granada Water Association,,Lamar,Prowers,,"$1,300,000 ",254,PNFP
CO0150300,160210D,"Granada, Town of",,Granada,Prowers,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water,"$2,241,600 ",445,Gov
CO0125674,141150D,"Granby, Town of",,Granby,Grand,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection,"$33,015,000 ","1,800",Gov
Unknown,141160D,Granby/Silver Creek Water and Wastewater  Authority,,Granby,Grand,Plan; Green Infrastructure New Water Treatment Facilities,"$6,000,000 ","12,500",Gov
CO0139321,141180D,"Grand Junction, City of",,Grand Junction,Mesa,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Water Meters; Green Infrastructure,"$82,700,000 ","30,000",Gov
CO0125322,131260D,"Grand Lake, Town of",,Grand Lake,Grand,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Green Infrastructure,"$5,600,000 ",471,Gov
CO0239618,160220D,Grand Mesa Metropolitan District No. 2,,Mesa,Mesa,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities; Water Meters; Green  Infrastructure,"$1,495,000 ","2,000",Gov
CO0101063,141190D,Greatrock North Water and Sanitation District,,Lakewood,Adams,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Water Supply Facilities Construction or Rehabilitation of Distribution and/or Transmission Lines;,"$2,200,000 ","1,125",Gov
CO0130321,230220D,Green Mountain Water and Sanitation District,,Lakewood,Jefferson,,"$4,000,000 ","48,000",Gov
CO0136850,210110D,Greetville / Carbondale Water Association,,Trinidad,Las Animas,Water Storage Facilities Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters,"$535,000 ",130,PNFP
CO0253190,141210D,Gunnison County,Dos Rios Water,Gunnison,Gunnison,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities,"$3,900,000 ","1,363",Gov
CO0126715,141220D,Gunnison County,Somerset Domestic  Water District,Gunnison,Gunnison,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities,"$1,000,000 ",250,Gov
CO0126325,210120D,"Gunnison, City of",,Gunnison,Gunnison,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Rights; Source Water Protection Plan; Green Infrastructure,"$65,000,000 ","7,620",Gov
CO0119329,210130D,"Gypsum, Town of",,Gypsum,Eagle,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$41,500,000 ","8,000",Gov
CO0159063,230230D,Hamilton Creek Metropolitan District,,Dillon,Summit,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$3,500,000 ",200,Gov
CO0150500,190210D,"Hartman, Town of",,Hartman,Prowers,New Water Treatment Facilities; Consolidation of Water Treatment  Facilities; Connection to a New or Existing Water Treatment Facility;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities,"$5,750,000 ",110,Gov
CO0106200,230240D,Hasty Water Company,,Hasty,Bent,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$1,840,000 ",144,PNFP
CO0154333,200140D,"Hayden, Town of",,Hayden,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights,"$4,135,000 ","2,000",Gov
CO0101070,170160D,Hazeltine Heights Water and Sanitation  District,,Henderson,Adams,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Connection to a New or Existing Water Treatment Facility; Water Meters,"$95,070 ",175,Gov
CO0159060,180150D,Heeney Water District,,Silverthorne,Summit,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities,"$6,800,000 ",250,Gov
CO0253337,200150D,Hidden Springs Ranch Owner's Association,,Hayden,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$350,000 ",19,PNFP
CO0130045,190220D,Hidden Valley Water District,Hidden Valley Mutual  Water Company,Evergreen,Jefferson,Consolidation of Water Treatment Facilities; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage Facilities,"$1,000,000 ",150,PNFP
CO0130344,200160D,High View Water District,,Lakewood,Jefferson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Meters,"$3,000,000 ","2,600",Gov
CO0160200,141260D,Highland Lakes Water District,,Divide,Teller,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Source Water Protection Plan,"$4,060,000 ",875,Gov
CO0145300,230250D,Hilltop Water Company,,Rocky Ford,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$820,000 ",285,PNFP
CO0145330,230260D,Holbrook Center Soft Water Association,,La Junta,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$1,240,000 ",51,PNFP
CO0149352,220210D,Holland Hills Metropolitan District,,Basalt,Pitkin,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$225,000 ",400,Gov
CO0150600,170170D,"Holly, Town of",,Holly,Prowers,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities,"$9,297,149 ",800,Gov
CO0148005,200170D,"Holyoke, City of",,Holyoke,Phillips,New Water Treatment Facility; Improvement/Expansion of Water Treatment  Facilities; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Source Water Protection Plan; Green  Infrastructure,"$860,000 ","2,313",Gov
CO0145360,150110D,Homestead Improvement Association,,La Junta,Otero,New Water Treatment Facilities; Consolidation of Water Treatment  Facilities; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Meters,"$531,000 ",87,PNFP
Unknown,143030D,"Hooper, Town of",,Hooper,Alamosa,New Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facility; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$600,000 ",120,Gov
CO0107352,220220D,Hoover Hills Water and Sanitation District,,Golden,Boulder,Connection to a New or Existing Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Meters,"$5,970,000 ",600,Gov
CO0125352,141280D,"Hot Sulphur Springs, Town of",,Hot Sulphur Springs,Grand,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water  Protection Plan,"$3,200,000 ",713,Gov
CO0115352,141290D,"Hotchkiss, Town of",,Hotchkiss,Delta,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Rights; Source Water Protection Plan; Green Infrastructure,"$10,026,000 ","1,500",Gov
CO0137010,160260D,"Hugo, Town of",,Hugo,Lincoln,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$25,500,000 ",761,Gov
CO0110020,141310D,"Idaho Springs, City of",,Idaho Springs,Clear Creek,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters;,"$31,100,000 ","9,390",Gov
CO0130055,020180D,Idledale Water and Sanitation District,,Lakewood,Jefferson,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities; Water Meters; Water Rights,"$2,775,000 ",345,Gov
CO0134500,141320D,"Ignacio, Town of",,Ignacio,La Plata,New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Meters,"$14,030,000 ",780,Gov
CO0138015,141330D,"Iliff, Town of",,Iliff,Logan,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$125,810,000 ",260,Gov
CO0120384,200180D,Independence Water and Sanitation District,,Elizabeth,Elbert,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities; Water Meters; Green  Infrastructure,"$9,750,000 ","2,500",Gov
CO0130065,210140D,Indian Hills Water District,,Indian Hills,Jefferson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$14,820,100 ","1,300",Gov
CO0203012,160270D,Inverness Water and Sanitation District,,Englewood,Douglas; Arapahoe,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Source  Water Protection Plan,"$44,600,000 ","10,000",Gov
CO0107401,141340D,"Jamestown, Town of",,Jamestown,Boulder,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities,"$355,000 ",260,Gov
CO0162418,210150D,"Johnstown, Town of",,Johnstown,Weld,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Green Infrastructure,"$120,000,000 ","16,974",Gov
CO0158001,141350D,"Julesburg, Town of",,Julesburg,Sedgwick,Improvement/Expansion of Water Treatment Facilities Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Source Water Protection Plan,"$7,000,000 ","1,200",Gov
CO0137012,190230D,"Karval Water Users, Inc.",,Karval,Lincoln,,"$358,500 ",65,PNFP
CO0162438,141360D,"Keenesburg, Town of",,Keenesburg,Weld,Improvement/Expansion of Water Treatment Facilities; Connection to a New Improvement/Expansion of Water Treatment Facilities; Connection to a New,"$12,500,000 ","1,600",Gov
CO0162439,230270D,"Kersey, Town of",,Kersey,Weld,Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Water Meters,"$2,000,000 ","1,600",Gov
CO0136400,141380D,"Kim, Town of",,Kim,Las Animas,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$550,000 ",63,Gov
CO0120015,190240D,Kiowa Water and Waste Water Authority,,Kiowa,Elbert,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$2,027,000 ",750,Gov
CO0120015,180060D,"Kiowa, Town of",,Kiowa,Elbert,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Water Rights,"$750,000 ",859,Gov
CO0109011,141390D,"Kit Carson, Town of",,Kit Carson,Cheyenne,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Green Infrastructure,"$4,300,000 ",223,Gov
CO0125455,190250D,"Kremmling, Town of",,Kremmling,Grand,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities,"$6,900,000 ","1,850",Gov
CO0111600,170190D,"La Jara, Town of",,La Jara,Conejos,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$6,250,000 ",818,Gov
CO0145420,141410D,"La Junta, City of",,La Junta,Otero,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Source Water Protection Plan,"$50,000,000 ","8,200",Gov
CO0134191,141420D,La Plata Archuleta Water District,,Ignacio,La Plata,New Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facility; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$165,500,000 ",475,Gov
CO0134466,141440D,La Plata West Water Authority,,Durango,La Plata,New Water Treatment Facilities; Consolidation of Water Treatment  Facilities; Connection to a New or Existing Water Treatment Facility;  Construction or Rehabilitation of Distribution and/or Transmission Lines; New Water Treatment Facilities; Consolidation of Water Treatment  Facilities; Connection to a New or Existing Water Treatment Facility;  Construction or Rehabilitation of Distribution and/or Transmission Lines;,"$15,600,000 ",850,Gov
CO0109011,141450D,"La Veta, Town of",,La Veta,Huerfano,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$3,600,000 ",862,Gov
CO0107473,141460D,"Lafayette, City of",,Lafayette,Boulder,New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities,"$25,500,000 ","30,000",Gov
CO0127467,141470D,"Lake City, Town of",,Lake City,Hinsdale,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water  Protection Plan,"$3,550,000 ","2,500",Gov
CO0119139,230280D,Lake Creek Metropolitan District,,Edwards,Eagle,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Meters,"$4,700,000 ",407,PNFP
CO0134530,141490D,Lake Durango Water Authority,,Durango,La Plata,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Water New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Water,"$156,650,000 ","4,000",Gov
CO0130467,170040D,"Lakewood, City of",,Lakewood,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters,"$9,000,000 ","155,984",Gov
CO0150700,141510D,"Lamar, City of",,Lamar,Prowers,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$57,000,000 ","7,800",Gov
CO0235670,141570D,Larimer County,Red Feather Lakes,Fort Collins,Larimer,New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities,"$4,000,000 ",500,Gov
CO0235283,220230D,Larimer County,Livermore  Community Water  Association,Fort Collins,Larimer,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Rights,"$900,000 ",100,PNFP
CO0118030,141580D,"Larkspur, Town of",,Larkspur,Douglas,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$295,000 ",206,Gov
CO0106300,141590D,"Las Animas, City of",,Las Animas,Bent,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$4,740,000 ","2,300",Gov
CO0157300,200190D,Last Dollar Planned Unit Development,,Telluride,San Miguel,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,"$941,000 ",66,PNFP
CO0107472,210170D,Left Hand Water and Sanitation District,,Boulder,Boulder,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters,"$5,000,000 ",250,Gov
CO0107471,141600D,Left Hand Water District,,Niwot,Weld,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$104,771,500 ","21,123",Gov
CO0137015,141610D,"Limon, Town of",,Limon,Lincoln,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$3,250,000 ","2,043",Gov
Unknown,160290D,Lincoln County,,Hugo,Lincoln,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$920,000 ","5,675",Gov
CO0123470,230290D,Lion’s Ridge Estates Homeowners Association,,Carbondale,Garfield,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines,"$240,000 ",63,PNFP
CO0135477,220240D,Little Thompson Water District,,Berthoud,Weld,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facilities; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Green Infrastructure,"$163,616,000 ","21,779",Gov
CO0162486,091080D,"Lochbuie, Town of",,Lochbuie,Weld,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Water Storage Facilities; Water Supply Facilities; Water Meters,"$18,000,000 ","7,050",Gov
CO0138015,141620D,"Log Lane Village, Town of",,Log Lane Village,Morgan,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters,"$880,000 ","1,106",Gov
CO0107485,141640D,"Longmont, City of",,Longmont,Boulder,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Source Water Protection Plan,"$431,500,000 ","100,758",Gov
CO0110026,141650D,Lookout Mountain Water District,,Evergreen,Jefferson,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water,"$23,850,000 ","1,300",Gov
CO0107487,141660D,"Louisville, City of",,Louisville,Boulder,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$48,200,000 ","21,287",Gov
CO0118035,141670D,Louviers Water and Sanitation District,,Louviers,Douglas,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Water,"$17,910,000 ",269,Gov
CO0135485,220250D,"Loveland, City of",,Loveland,Larimer,Rights Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$86,000,000 ","80,000",Gov
CO0254842,220260D,"Lowell Whiteman School, Inc. dba Steamboat  Mountain School",,Steamboat Springs,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$225,000 ",200,PNFP
CO0107496,170240D,"Lyons, Town of",,Lyons,Boulder,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$8,000,000 ","1,950",Gov
CO0111700,190260D,"Manassa, Town of",,Manassa,Conejos,,"$2,500,000 ",983,Gov
CO0142700,200200D,"Mancos, Town of",,Mancos,Montezuma,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities,"$3,250,000 ","1,390",Gov
CO0121450,141710D,"Manitou Springs, City of",,Manitou Springs,El Paso,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$23,875,000 ","4,890",Gov
CO0145450,141720D,"Manzanola, Town of",,Manzanola,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$955,000 ",341,Gov
Unknown,230590D,"Marble, Town of",,Marble,Gunnison,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or,"$1,000,000 ",217,Gov
CO0226500,220270D,Marble Water Company,,Cabondale,Gunnison,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Source Water Protection Plan; Green Infrastructure,"$12,100,000 ",95,PNFP
CO0150800,143500D,May Valley Water Association,,Wiley,Prowers,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Meters,"$16,725,000 ","1,500",PNFP
CO0106500,143140D,Mcclave Water Association,,McClave,Bent,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$510,000 ",450,PNFP
