Rank,Project Sponsor,Project Number,Project Name,Population,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,BIL Eligibility
365,North Brunswick Township,1215001-003,Treatment plant upgrade,38000,100,0,0,0,0,0,0,0.38,100.38,
368,Ramsey Borough,0248001-015,"Installation of chlorine analyzers and pipe improvements to upgrade
disinfection system at various facilities",16350,100,0,0,0,0,0,0,0.1635,100.1635,
371,Pompton Lakes Municipal Utilities Authority,1609001-003,"Replacement of gas chlorination system with solid tablet chlorination
system",11435,100,0,0,0,0,0,0,0.11435,100.11435,
373,Burlington City,0305001-003,Broad Street Water Tank Rehabilitation,9743,60,0,15,5,0,0,0,0.09835,100.09835,BIL (GEN)
374,Ringwood Borough,1611002-001,"Installation of chlorination station, automatic controls & protection of
pipe",9600,100,0,0,0,0,0,0,0.096,100.096,
375,Netcong Borough,1428001-003,Drill new well to meet current demand,3236,15,50,15,5,0,0,15,0.03236,100.03236,
376,"Fayson Lake Water Company, Incorporated",1415001-001,Upgrade treatment facility,3087,100,0,0,0,0,0,0,0.03087,100.03087,
377,Mount Arlington Borough,1426005-002,"Windemere, Altenbrand, North Glen and Park Water Main Extension",98,75,0,15,0,0,0,0,0.01978,100.01978,
378,West Milford Municipal Utilities Authority,1615016-001,"Wells #1,6 & 7 WTP upgrades",1625,100,0,0,0,0,0,0,0.01625,100.01625,
379,West Milford Municipal Utilities Authority,1615018-001,Concorde & Quincy WTP upgrades,1260,100,0,0,0,0,0,0,0.0126,100.0126,
380,Roosevelt Borough,1341001-005,Upgrades to water treatment plant,935,100,0,0,0,0,0,0,0.00935,100.00935,
381,West Milford Municipal Utilities Authority,1615012-001,Well #1 WTP upgrades,635,100,0,0,0,0,0,0,0.00635,100.00635,
382,West Milford Municipal Utilities Authority,1615002-001,Well #28 WTP Upgrades,600,100,0,0,0,0,0,0,0.006,100.006,
383,Hopewell Township,1106001-001,Water System Improvements,5710,75,0,15,0,0,0,0,0.00356,100.00356,
384,Collier Services,1328300-003,Replace existing hypochlorination and water softener systems,350,100,0,0,0,0,0,0,0.0035,100.0035,
385,Plausha Park Water Company,1421004-001,"Install chemical feed, safety upgrades and replace the ramp and piping at
the well/treatment facility",200,100,0,0,0,0,0,0,0.002,100.002,
386,West Milford Municipal Utilities Authority,1615001-001,Moore Rd WTP upgrades,180,100,0,0,0,0,0,0,0.0018,100.0018,
387,West Milford Municipal Utilities Authority,1615006-001,Well #6 WTP Upgrades,115,100,0,0,0,0,0,0,0.00115,100.00115,
388,Green Briar Residential Home,1421305-001,"Installation of chlorination to WTP, emergency generator, back up well",43,100,0,0,0,0,0,0,0.00043,100.00043,
389,Cliffside Park Borough,0238001-001,"Construction of water mains for a brownfield redevelopment project -
Towne Centre",394079,75,0,0,0,5,0,15,3.94079,98.94079,
390,Woodbine Borough,0516001-002,Woodbine Asset Management Plan,2650,1,0,15,0,0,0,80,0.0265,96.0265,BIL (GEN)
391,Brick Township Municipal Utilities Authority,1506001-009,Breton Woods Water Main Replacement - Phase I,100000,75,0,20,0,0,0,0,1,96,
392,Brick Township Municipal Utilities Authority,1506001-015,Mantoloking Road Water Storage Tank Rehabilitation,73620,60,0,20,0,0,0,0,0.86898,95.86898,
394,Hoboken City,0905001-003,Water Main Upgrades Phase II,54379,75,0,20,0,0,0,0,0.52,95.52,
396,Rahway City,2013001-001,Cleaning & Lining of various water main sections,27785,75,0,0,5,0,0,15,0.27785,95.27785,
396,Rahway City,2013001-002,Cleaning & Lining of various water main sections,27785,75,0,0,5,0,0,15,0.27785,95.27785,
397,Mahwah Township,0233001-005,Installation of emergency generators,24062,45,50,0,0,0,0,0,0.24062,95.24062,
398,Burlington Township,0306001-004,"Replacement of 1,500 LF of main on Lansberry Dr and LaVeer Rd",22000,75,0,20,0,0,0,0,0.22,95.22,
399,Barnegat Township,1533001-002,Replacement of water meters & Back flow preventers,20935,25,35,20,0,0,0,15,0.20935,95.20935,
401,Richard Stockton College,0111304-001,Installation of solar power at water treatment plant,6600,45,0,20,0,0,15,15,0.066,95.066,
402,Clementon Borough,0411001-002,Rehab of well 9 including slip lining to improve conveyance,5003,15,80,0,0,0,0,0,0.05,95.05,BIL (GEN)
403,Shore Water Company,1505003-001,Shore Water Co. Tank Painting and repair project,2467,60,0,20,0,0,0,0,0.0246667,95.02467,BIL (GEN)
404,Hardyston Municipal Utilities Authority,1911006-002,Water Tank Refurbishment,1963,60,35,0,0,0,0,0,0.01963,95.01963,
405,Berkeley Township Municipal Utilities Authority,1505323-001,Northern Blvd Water Tower Rehabilitation Project,10800,60,0,20,0,0,0,0,0.0015,95.0015,BIL (GEN)
406,Milltown Borough,1212001-004,"Cleaning and Lining of mains and construction of 2 water main loops to
eliminate dead ends",7052,75,0,15,0,5,0,0,0.07052,95.00007,
407,Middlesex Water Company,1225001-003,Installation of nanofiltration for hardness removal (North Tingley Lane),233376,40,50,0,0,0,0,0,2.33376,92.33376,
407,Middlesex Water Company,1225001-004,Installation of nanofiltration for hardness removal (South Tingley Lane),233376,40,50,0,0,0,0,0,2.33376,92.33376,
407,Middlesex Water Company,1225001-027,RENEW 2019 - Carteret,23992,75,0,0,0,0,15,0,2.33376,92.33376,
409,Orange City,0717001-006,asset management plan,30134,1,80,0,5,0,0,0,0.30134,91.30134,BIL (GEN)
410,Monroe Municipal Utilities Authority,0811002-001,Tank Painting,36908,60,0,0,0,0,0,30,0.36908,90.36908,
411,Belleville Township,0701001-006,Clara Maass Hospital Water Main Extension,36010,75,0,0,0,0,0,15,0.3601,90.3601,
412,Belleville Township,0701001-001,Extension of 12 inch water main to the Medical Center,35928,75,0,0,0,0,0,15,0.35928,90.35928,
412,Belleville Township,0701001-002,Replacement of inoperable valves & hydrants,35928,75,0,0,0,0,0,15,0.35928,90.35928,
413,Vineland City,0614003-014,"Installation of gas generators at wells #4,6,7,8,10,11 and 12",33000,45,0,15,0,0,0,30,0.33,90.33,BIL (GEN)
414,Garfield City,0221001-005,"Replacement of the Botany Street pump station. Expansion of the SCADA
system",29780,60,0,0,0,0,0,30,0.2978,90.2978,BIL (GEN)
415,Montville Township,1421003-004,Montville Twp - WQAA - Pine Brook Road Watermain Replacement,22000,75,0,15,0,0,0,0,0.22,90.22,
416,Lyndhurst Township,0232001-002,"Replacement of 1,350 LF of antiquated water mains on Forest Avenue",19800,75,0,0,0,0,0,15,0.198,90.198,
417,Berlin Borough,0405001-006,"A 12 inch water main needs to be tied in at Park Drive and White Horse
Pike",13121,75,0,15,0,0,0,0,0.13121,90.13121,
418,Manasquan Borough,1327001-002,Construction of 600 LF of WM on Perrine Blvd & Mallard Park Area,12265,75,0,15,0,0,0,0,0.12265,90.12265,
419,Manchester Utilities Authority,1603001-003,High Service Pump Station Replacement,12028,60,0,15,0,0,0,0,0.12028,90.12028,
420,Pemberton Township,0329004-007,Various Water System Improvements,10815,60,0,15,0,0,0,15,0.10815,90.10815,BIL (GEN)
422,Ship Bottom Borough,1528001-004,Water Main Replacement Project,5762,75,0,0,0,0,0,15,0.05762,90.05762,
423,National Park Borough,0812001-003,Replacement of 6-inch and 10-inch water main with appurtenances,3289,75,0,0,0,0,0,15,0.03289,90.03289,BIL (GEN)
424,Lakehurst Borough,1513001-002,Water Main Replacement Project Phase I,2654,75,0,0,0,0,0,15,0.02654,90.02654,BIL (GEN)
425,Alpha Borough,2102001-001,"Upgrades to treatment for Pursell & Alpha St wells or VOC removal,
hardness and disinfection",2500,60,0,0,0,0,0,30,0.025,90.025,
426,Brooklawn Borough,0407001-005,Painting interior & exterior of water tank,2300,60,0,0,0,0,0,30,0.023,90.023,BIL (GEN)
427,Pemberton Borough,0328001-001,"Replacement of undersized and antiquated water mains on Hough and
Handover Streets",1610,75,0,0,0,0,0,15,0.0161,90.0161,BIL (GEN)
428,Fountainhead Properties Incorporate,1511013-002,Loop system with 400 LF of water main with replacement of water meters,280,75,0,15,0,0,0,0,0.0028,90.0028,
429,Stafford Township,1530004-014,"Construction of 2,600 LF of 8 and 12-inch water main on Rte 9 and Oak
Ave",28868,1,50,20,0,0,0,15,0.28868,86.28868,
430,"NJ American Water Company, Inc.",0119002-004,Construction of a 1.5 MG elevated tank including water mains,88088,50,0,20,0,0,0,15,0.88088,85.88088,
431,Sayreville Borough,1219001-010,Water Transmission Main,44243,75,0,0,0,5,0,0,0.43761,85.43761,
432,Stafford Township,1530004-015,Redevelopment of wells # 2 and 5,28868,15,35,20,0,0,0,15,0.28868,85.28868,
433,Mount Arlington Borough,1426005-004,Booster Station Improvements,1000,60,0,15,0,0,0,0,0.01978,85.01978,
435,Ridgefield Park Village,0238001-002,Village of Ridgefield Park Skymark Project -- Drinking Water,12729,75,0,0,0,0,0,0,7.92713,82.92713,
436,Brick Township Municipal Utilities Authority,1506001-006,Installation of security measures in water system,134108,45,0,20,0,0,0,15,1.34108,81.34108,
437,Lakewood Township Municipal Utilities Authority,1514002-003,Administration Building Addition,21000,1,0,0,0,0,0,80,0.2175,81.2175,BIL (GEN)
438,"NJ American Water Company, Inc.",2004002-006,36 inch valve replacement at Madison Hill Road,610000,75,0,0,0,0,0,0,6.1,81.1,
439,Winslow Township,0436007-004,"Install appurtenances associated with new well #12 (SCADA, well house,
transmission mains)",39328,15,50,15,0,0,0,0,0.39328,80.39328,
439,Winslow Township,0436007-005,Install new 500 GPM well #12,39328,15,50,15,0,0,0,0,0.39328,80.39328,
440,Montclair Township,0713001-002,Cleaning & Lining of water mains,38977,75,0,0,5,0,0,0,0.38977,80.38977,
440,Montclair Township,0713001-003,Replace Transmission Valves,38977,75,0,0,5,0,0,0,0.38977,80.38977,
440,Montclair Township,0713001-010,Replacement of lead service Lines - Phase III,38977,75,0,0,5,0,0,0,0.38977,80.38977,
441,Rahway City,2013001-004,Repainting of 1.5 MG elevated & 0.5 MG watersphere water tanks,27785,60,0,0,5,0,0,15,0.27785,80.27785,
442,Mahwah Township,0233001-003,Interconnection on Campgaw & Pulis Avenues,24062,30,50,0,0,0,0,0,0.24062,80.24062,
443,South Orange Village,0719001-009,Scotland Road Water Mains,17000,75,0,0,5,0,0,0,0.16964,80.16964,
444,Gloucester City,0414001-014,Construction of a 1.0 MG storage tank to replace standpipe,11484,50,0,0,0,0,0,30,0.11484,80.11484,BIL (GEN)
444,Gloucester City,0414001-015,"Construction of a new .5 MG storage tank to maintain pressure on the
east side",11484,50,0,0,0,0,0,30,0.11484,80.11484,BIL (GEN)
445,Milltown Borough,1212001-003,Ford Ave Redevelopment Agency Borough,7052,60,0,15,0,5,0,0,0.07052,80.07052,
446,North Jersey District Water Supply Commission,1613001-034,"Security, IT and Safety Projects",872153,45,0,20,0,0,0,0,0.0015,80.0015,
448,Passaic Valley Water Commission,1605002-029,"Rehabilitation of Little Falls Water Treatment Plant PS and Water Main
Replacement Program for Clifton and Passaic",626051,75,0,0,0,0,0,0,3.10483,78.10483,
448,Passaic Valley Water Commission,1605002-028,Water Main Replacement Program for Paterson and Prospect Park,152684,75,0,0,0,0,0,0,3.10483,78.10483,
449,"NJ American Water Company, Inc.",1345001-006,Rehab of High Service Transmission Main in Middletown,289553,75,0,0,0,0,0,0,2.89553,77.89553,
449,"NJ American Water Company, Inc.",1345001-009,East End Transmission Main Replacement,289553,75,0,0,0,0,0,0,2.89553,77.89553,
451,"NJ American Water Company, Inc.",0712001-008,Replacement of two large valves,217230,75,0,0,0,0,0,0,2.1723,77.1723,
452,Old Bridge Municipal Utilities Authority,1209002-002,Replacement of water mains along Lawrence Harbor Road,66200,75,0,0,0,0,0,0,0.662,75.662,
453,Bayonne City,0901001-006,Aqueduct Replacement,63000,75,0,0,0,0,0,0,0.63,75.63,BIL (GEN)
454,Wayne Township,1614001-001,"Replacement of 2400 LF of 8-inch water main and 2000 LF of 12-inch
water main -Farmingdale Area",55000,75,0,0,0,0,0,0,0.55,75.55,
455,Franklin Township - Gloucester,1808001-006,Installation of new water mains to eliminate dead end mains,50000,75,0,0,0,0,0,0,0.5,75.5,
457,East Brunswick Township,1204001-001,"Replacement of undersized water mains on Wilmot, Harrison and various
streets",47000,75,0,0,0,0,0,0,0.47,75.47,
458,Evesham Municipal Utilities Authority,0313001-002,2018 Water Main Replacements,45351,75,0,0,0,0,0,0,0.45351,75.45351,
458,Evesham Municipal Utilities Authority,0313001-003,Route 70 WM Replacement,45351,75,0,0,0,0,0,0,0.45351,75.45351,
459,North Brunswick Township,1215001-007,Water Main Replacement,41431,75,0,0,0,0,0,0,0.41,75.41,
459,North Brunswick Township,1215001-008,Old Georges Road Water Project,41431,75,0,0,0,0,0,0,0.41,75.41,
460,Sayreville Borough,1219001-004,"Rehabilitate existing unlined cast iron water mains in several areas of
Sayreville",40377,75,0,0,0,0,0,0,0.40377,75.40377,
460,Sayreville Borough,1219001-006,Construct new water main along Washington Road,40377,75,0,0,0,0,0,0,0.40377,75.40377,
460,Sayreville Borough,1219001-008,Clean and line water mains in several sections of the Borough,40377,75,0,0,0,0,0,0,0.40377,75.40377,
461,North Brunswick Township,1215001-002,"Replacement of 4 miles of 24 inch water main from the North Brunswick
Twp Treatment plant to Finnegans Lane",38000,75,0,0,0,0,0,0,0.38,75.38,
461,North Brunswick Township,1215001-004,Install 16 inch water main,38000,75,0,0,0,0,0,0,0.38,75.38,
461,North Brunswick Township,1215001-005,"Replacement of 2,350 LF of 8 inch water mains on Excelsior and Thalia
Streets and Sioux Road",38000,75,0,0,0,0,0,0,0.38,75.38,
462,Edison Township,1205001-001,Water System Improvements,107588,75,0,0,0,0,0,0,0.35,75.35,
463,Deptford Township Municipal Utilities Authority,0802001-002,Water Main Replacement at East Woodbury,30590,75,0,0,0,0,0,0,0.30561,75.30561,
463,Deptford Township Municipal Utilities Authority,0802001-003,Water Main Replacement at Country Club Estates,30590,75,0,0,0,0,0,0,0.30561,75.30561,
464,East Windsor Municipal Utilities Authority,1101002-005,Twin Rivers (H section) Water Main Replacement Project,27190,75,0,0,0,0,0,0,0.2719,75.2719,
465,Little Egg Harbor Municipal Utilities Authority,1516001-006,Water Storage Tank Painting and Upgrades,21333,60,0,0,0,0,0,0,0.24215,75.24215,BIL (GEN)
465,Little Egg Harbor Municipal Utilities Authority,1516001-007,Little Egg Harbor Water Improvements Phase II,24215,75,0,0,0,0,0,0,0.24215,75.24215,BIL (GEN)
466,Passaic Valley Water Commission,0231001-003,Water Main Replacement Program for the Lodi System,24084,75,0,0,0,0,0,0,0.24136,75.24136,
467,Montville Township,1421003-002,Installation of 880 LF of 8 inch water main,21000,75,0,0,0,0,0,0,0.21,75.21,
468,Ramsey Borough,0248001-014,Replacement of North Central Ave water main,16350,75,0,0,0,0,0,0,0.1635,75.1635,
469,Bordentown City,0303001-002,"Replacement of 1,500 LF of 12-inch transmission mains",15831,75,0,0,0,0,0,0,0.15831,75.15831,
470,Passaic Valley Water Commission,0239001-003,Replacement of Water Mains - North Arlington System,15368,75,0,0,0,0,0,0,0.15392,75.15392,
471,Pennsville Township,1708001-003,Rehabilitate .25 MG Water Street storage tank,13250,60,0,0,0,0,0,15,0.1325,75.1325,BIL (GEN)
472,Saddle Brook Township,0257001-001,"Construction of 1,200 LF of 8-inch water mains",13155,75,0,0,0,0,0,0,0.13155,75.13155,
473,Mantua Township MUA,0810004-004,Centre City Water/Sewer Infrastructure Improvements,12711,75,0,0,0,0,0,0,0.126,75.126,
474,Clinton Town,1005001-012,WQAA Implementation - Water Infrastructure Audit and Upgrades,12500,75,0,0,0,0,0,0,0.125,75.125,
474,Clinton Town,1005001-006,Lebanon Borough Water Main Replacements - Phase 2-5,12500,75,0,0,0,0,0,0,0.125,75.125,
474,Clinton Town,1005001-021,"Town of Clinton - West Main Street Water Main Replacement - Phase 3 &
4",8333,75,0,0,0,0,0,0,0.125,75.125,
475,Hammonton Town,0113001-012,Town of Hammonton Water infrastructure Project,14711,75,0,0,0,0,0,0,0.12153,75.12153,
476,Haddonfield Borough,0417001-001,Replacement of water main on Tanner & Woodlane with 8 inch,11600,75,0,0,0,0,0,0,0.116,75.116,
477,Wallington Borough,0265001-002,Wallington Avenue Water Main,11335,75,0,0,0,0,0,0,0.11583,75.11583,
478,Pompton Lakes Municipal Utilities Authority,1609001-001,"Abandonment of Cannonball Rd main and installation of insertion valves
throughout system",11435,75,0,0,0,0,0,0,0.11435,75.11435,
478,Pompton Lakes Municipal Utilities Authority,1609001-009,Ringwood Ave Water Main,1470,75,0,0,0,0,0,0,0.11435,75.11435,
479,Beachwood Borough,1504001-006,The Cable Avenue water main replacement,10375,75,0,0,0,0,0,0,0.10375,75.10375,
480,Lower Township Municipal Utilities Authority,0505002-006,LTMUA - North Cape May Water Main Replacement 1-5,39510,75,0,0,0,0,0,0,0.10315,75.10315,BIL (GEN)
481,East Hanover Township,1410001-004,Replace Water Meters,10000,75,0,0,0,0,0,0,0.1,75.1,
482,Long Beach Township,1517001-015,Water Main Replacement Project,9962,75,0,0,0,0,0,0,0.0996167,75.09962,
483,Wanaque Borough,1613002-002,"Replacement of approximately 6,000 feet of water main and services on
Ringwood Avenue",9954,75,0,0,0,0,0,0,0.09954,75.09954,
484,Ringwood Borough,1611002-002,Replacement of undersized water mains,9600,75,0,0,0,0,0,0,0.096,75.096,
485,Aberdeen Township,1330002-001,Installation of water mains,8900,75,0,0,0,0,0,0,0.089,75.089,
485,Aberdeen Township,1330002-003,Replace deteriorated water main from Route 35/Long Neck crossing,8900,75,0,0,0,0,0,0,0.089,75.089,
485,Aberdeen Township,1330002-004,Install two water utility crossing of Route 35,8900,75,0,0,0,0,0,0,0.089,75.089,
486,Florham Park Borough,1411001-002,"Replacement of 14 6-inch line valves, 12 hydrants and 11 services",8857,75,0,0,0,0,0,0,0.08857,75.08857,
488,Glen Ridge Borough,0708001-010,Glen Ridge - Water Main Replacement Project - Carteret/Forest,7681,75,0,0,0,0,0,0,0.07681,75.07681,
490,Washington Township Municipal Utilities Authority,1438004-004,WTMUA - Water System Improvements - Water Main Replacements,1622,75,0,0,0,0,0,0,0.04866,75.04866,
492,High Bridge Borough,1014001-003,West Main Street Water Main Upgrades,3648,75,0,0,0,0,0,0,0.033,75.033,
494,Allentown Borough,1302001-002,Elevated Water Tank Improvements,1828,60,0,15,0,0,0,0,0.02,75.02,
495,Island Heights Borough,1510001-004,Replacement of 75 fire hydrants and repairs to 21 fire hydrants,1750,75,0,0,0,0,0,0,0.0175,75.0175,
496,West Milford Municipal Utilities Authority,1615016-004,Replace Fire Hydrants,1625,75,0,0,0,0,0,0,0.01625,75.01625,
497,Milford Borough,1020001-001,"Replace 3,000 LF with 8-inch water mains on Green, Maple, Orchard,
Walnut & Railroad Sts",1347,75,0,0,0,0,0,0,0.01347,75.01347,
497,Milford Borough,1020001-002,"Replace 5,000 LF with 8-inch water mains on Delaware & Ravine Rds to
loop system",1347,75,0,0,0,0,0,0,0.01347,75.01347,
499,Farmingdale Borough,1314001-002,Painting and repairs to water tower and other misc system improvements,1329,60,0,0,0,0,0,15,0.01329,75.01329,BIL (GEN)
500,West Milford Municipal Utilities Authority,1615018-004,Replace Fire Hydrants,1260,75,0,0,0,0,0,0,0.0126,75.0126,
502,Roosevelt Borough,1341001-006,Replacement of water lines most susceptible to breakage,933,75,0,0,0,0,0,0,0.00933,75.00933,
503,Roosevelt Borough,1341001-007,"Homestead, Cedar and Elm Water Mains Project.",882,75,0,0,0,0,0,0,0.00882,75.00882,
504,Roosevelt Borough,1314001-003,Improvements to Farm Lane and School Lane,808,75,0,0,0,0,0,0,0.0088,75.0088,
504,Roosevelt Borough,1341001-008,Improvements to Pine Drive Phase I,808,75,0,0,0,0,0,0,0.0088,75.0088,
504,Roosevelt Borough,1341001-009,Water Main Improvements on Tamara Drive,808,75,0,0,0,0,0,0,0.0088,75.0088,
505,West Milford Municipal Utilities Authority,1615014-002,Replace Fire Hydrants,700,75,0,0,0,0,0,0,0.007,75.007,
506,West Milford Municipal Utilities Authority,1615012-004,Replace Fire Hydrants,635,75,0,0,0,0,0,0,0.00635,75.00635,
507,West Milford Municipal Utilities Authority,1615002-003,Replace Fire Hydrants,600,75,0,0,0,0,0,0,0.006,75.006,
508,Delaware Township Municipal Utilities Authority,1007001-001,"Delaware Township MUA - Watermain Replacement and Asset
Management Planning Efforts",500,75,0,0,0,0,0,0,0.005,75.005,
509,Byram Homeowners Association,1904009-006,Replacement of 77 saddles on the water mains,400,75,0,0,0,0,0,0,0.004,75.004,
510,Collier Services,1328300-002,Replace distribution system and associated appurtenances,350,75,0,0,0,0,0,0,0.0035,75.0035,
511,Robbinsville Township,1112001-001,Newtown Village Watermain Project,149,75,0,0,0,0,0,0,0.003,75.003,
513,Lake Glenwood Village,1922010-002,"Installation of 7,100 LF of 6-inch Cement Lined Ductile Iron Pipe
replacement water mains",250,75,0,0,0,0,0,0,0.0025,75.0025,
513,Lake Glenwood Village,1922010-004,"Replacement of 1,000 LF of water mains on Cliffside, Toboggan &
Lakeshore",250,75,0,0,0,0,0,0,0.0025,75.0025,
514,Rosemont Water Company,1007002-002,Rehabilitate and/or replace existing distribution mains,225,75,0,0,0,0,0,0,0.00225,75.00225,
515,Plausha Park Water Company,1421004-002,"Replacement of main at stream crossing, valves and installing blow off
hydrants",200,75,0,0,0,0,0,0,0.002,75.002,
516,West Milford Municipal Utilities Authority,1615001-004,Replace Fire Hydrants,180,75,0,0,0,0,0,0,0.0018,75.0018,
517,West Milford Municipal Utilities Authority,1615006-004,Replace Fire Hydrants,115,75,0,0,0,0,0,0,0.00115,75.00115,
518,North Shore Water Association,1904004-002,Water System Refurb,105,75,0,0,0,0,0,0,0.00105,75.00105,
519,Oak Ridge Senior Housing Community,1414008-001,Oakridge Senior Community Water Lines,100,75,0,0,0,0,0,0,0.001,75.001,
520,Woodland Heights Homeowners Association,1615022-001,Well Rehabilitation/System Improvements,80,75,0,0,0,0,0,0,0.00055,75.00055,
521,Middlesex Water Company,1225001-506/001,New elevated storage tank to replace tank & PS @ Eborn,1633632,1,50,15,5,0,0,0,2.33376,73.33376,
522,North Jersey District Water Supply Commission,1613001-026,Low Lift Gas Pump,872153,50,0,20,0,0,0,0,2.3048,72.3048,
523,"NJ American Water Company, Inc.",2004002-013,RM WTP Emergency Generator,44464,1,50,15,0,0,0,0,6.1,72.1,
524,Barnegat Township,1533001-003,"Installation of 1,700 LF of 8 inch PVC water main extension",20935,1,35,20,0,0,0,15,0.20935,71.20935,
525,"NJ American Water Company, Inc.",0119002-009,Installation of New Water Meters,88088,35,0,20,0,0,0,15,0.88088,70.88088,
526,South Orange Village,0719001-005,"Crest Drive Water Tank Replacement and Water Infrastructure
Improvement Projects",16198,60,0,0,5,0,0,0,0.16964,70.16964,
526,South Orange Village,0719001-006,Repair or Replace Newstead Shere,16298,60,0,0,5,0,0,0,0.16964,70.16964,
527,Point Pleasant Beach Borough,1525001-001,Water Meter Replacement Project,6204,25,0,0,0,0,15,30,0.06204,70.06204,
528,Jersey City Municipal Utilities Authority,0906001-013,Remote Meter Reading (AMI),257342,25,0,20,5,0,0,15,2.57342,67.57342,
529,Trenton City,1111001-007,Construction of an emergency interconnection with NJAWCo,255000,30,0,20,0,0,0,15,2.55,67.55,BIL (GEN)
530,Atlantic City Municipal Utilities Authority,0102001-010,Asset Management Plan - Professional Consulting Services In Compliance With The New Jersey Water Quality Accountability Act,63943,1,0,15,0,0,0,0,0.639433,66.63943,BIL (GEN)
531,"NJ American Water Company, Inc.",2004002-002,Hummocks Tank Painting,610000,60,0,0,0,0,0,0,6.1,66.1,
531,"NJ American Water Company, Inc.",2004002-003,"Upgrade or replace existing booster station due to aging and obolete
equipment (Roselle Station)",610000,60,0,0,0,0,0,0,6.1,66.1,
531,"NJ American Water Company, Inc.",2004002-008,Prospect Ave Tank (Mountainside) Painting,610000,60,0,0,0,0,0,0,6.1,66.1,
533,Montclair Township,0713001-004,Rehabilitate 2.5 MG & 1.5 MG storage tanks with piping,38977,60,0,0,5,0,0,0,0.38977,65.38977,
534,Ramsey Borough,0248001-006,"Rehabilitate Dixon, Martis & Spring wells",16350,15,50,0,0,0,0,0,0.1635,65.1635,
534,Ramsey Borough,0248001-007,Construction of 2 wells with pump station & piping,16350,15,50,0,0,0,0,0,0.1635,65.1635,
535,Hightstown Borough,1104001-001,New Wycoff Mills Water Storage Tank with transmission mains,5567,50,0,15,0,0,0,0,0.05567,65.05567,
536,Passaic Valley Water Commission,1605002-027,Construction of the Levine Tanks Phase 1C-2,626051,60,0,0,0,0,0,0,3.10483,63.10483,
537,"NJ American Water Company, Inc.",1345001-008,Rehab of Newman Springs Pumping Station,289553,60,0,0,0,0,0,0,2.89553,62.89553,
537,"NJ American Water Company, Inc.",1345001-010,Sunset Avenue and Monterey Tank Painting,289553,60,0,0,0,0,0,0,2.89553,62.89553,
539,"NJ American Water Company, Inc.",0712001-006,Short Hills Tank Painting,217230,60,0,0,0,0,0,0,2.1723,62.1723,
540,"NJ American Water Company, Inc.",0119002-010,Replacement of Water Meters,88088,25,0,20,0,0,0,15,0.88088,60.88088,
542,"NJ American Water Company, Inc.",1345001-001,Jumping Brook WTP Improvement Project,524000,60,0,0,0,0,0,0,0.60092,60.60092,
543,Parsippany Troy Hills Township,1429001-004,Repainting of 1 MG water storage tank,50649,60,0,0,0,0,0,0,0.50649,60.50649,
544,Franklin Township - Gloucester,1808001-004,Replacement of 2 elevated storage tanks,50000,60,0,0,0,0,0,0,0.5,60.5,
546,Sayreville Borough,1219001-002,"Rehabilitate the pump station facility and surface intake on the South
River located in Sayreville",40377,60,0,0,0,0,0,0,0.40377,60.40377,
546,Sayreville Borough,1219001-003,Rehabilitate existing 3 MG tank,40377,60,0,0,0,0,0,0,0.40377,60.40377,
547,Willingboro Municipal Utilities Authority,0338001-014,Water Tank 2 Edge Lane Rehab,31822,60,0,0,0,0,0,0,0.35,60.35,
548,Marlboro Township,1328002-006,Tennent Road Booster Pump Station,41502,60,0,0,0,0,0,0,0.2948,60.2948,
548,Marlboro Township,1328002-008,Tennent Road Tank,41502,60,0,0,0,0,0,0,0.2948,60.2948,
548,Marlboro Township,1328002-003,Beacon Hill storge tank Rehab,29481,60,0,0,0,0,0,0,0.2948,60.2948,
549,Monroe Municipal Utilities Authority,0811002-003,"Painting of KOC (Well #8) Tank, Corkery (Well #7) Tank and Herbert Tank",37117,60,0,0,0,0,0,0,0.26179,60.26179,
550,Mahwah Township,0233001-010,Rehabilitation of Campgaw elevated storage tank,24062,60,0,0,0,0,0,0,0.24062,60.24062,
551,Hackettstown Municipal Utilities Authority,2108001-001,"Construction of New Water Storage Tank w/ related water distribution
lines",22500,60,0,0,0,0,0,0,0.22,60.22,
551,West Deptford Township,0820001-004,Jessup Road Water Storage Tank Repair and Repainting,21248,60,0,0,0,0,0,0,0.22,60.22,
552,Montville Township,1421003-003,"Storage tank rehabilitation, which includes increasing the capacity of 0.25
MG tank to 0.33 MG",21000,60,0,0,0,0,0,0,0.21,60.21,
553,Hawthorne Borough,1604001-005,Hawthorne Peach Tree Water Tank Rehabilitation,19231,60,0,0,0,0,0,0,0.19458,60.19458,
554,Point Pleasant Borough,1524001-001,Replacement of the Clifton Ave storage tank,19306,60,0,0,0,0,0,0,0.19306,60.19306,
555,West Caldwell Township,0721001-001,Rehabilitation of McKinley Ave storage tank,18296,60,0,0,0,0,0,0,0.18296,60.18296,
556,Sparta Township,1918004-001,"Installation of a 600 KW wind turbine generator at Germany Flats Water
Utility",15726,45,0,0,0,0,15,0,0.15726,60.15726,
557,Verona Township,0720001-004,"Acquisition of the ECUA Jail Annex tank plus rehab and upgrading of the
tank",13641,60,0,0,0,0,0,0,0.13641,60.13641,
557,Verona Township,0720001-005,Rehabilitation of the 2 MG Fairview Avenue storage tank,13641,60,0,0,0,0,0,0,0.13641,60.13641,
