APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
"AQUA PENNSYLVANIA, INC. - RIDLEY PFAS PROJECT PWSID PA1460073",I,36,762 LANCASTER AVE.,BRYN MAWR,MONTGOMERY,1460073,54,DWSRF,"$35,000,000",10/15/2025,"TREAT, PFAS","PFAS treatment will be installed on the existing WTP campus and be sized to maintain the permitted 8.0 MGD plant capacity, with a maximum design capacity of 9.0 MGD. The PFAS treatment will involve the usage of granular activated carbon (GAC) in trains of dual (i.e., lead-lag formation) vessels to adsorb the PFAS compounds. The vessels will be housed in a new brick building and include a new electrical room for pump starters and variable frequency drives (VFDs), HVAC, and lighting. The project also includes a low lift pump station with four (4) vertical turbine pumps (VTPs) to push water through the GAC vessels and a 100,000-gal waste equalization tank with two (2) submersible transfer pumps to facilitate GAC rinses and backwashes. Details of the proposed PFAS treatment system implementation at the RWTP includes the improvements to the plant will consist of the demolition of an existing decommissioned treatment building and the construction of a new building (approximately 7,600 square feet) to house GAC treatment vessels, as well as associated site piping and underground storage chambers for feed water and wastewater to serve the GAC system; Installation of seven (7) trains of 12-foot diameter lead-lag GAC vessels. The 7-train system will allow Aqua to provide adequate treatment for 9.0 MGD with one train out of service. Installation of a 70,000-gallon wet well. The GAC system will be fed from the feed water wet well, which will receive flow via newly installed piping tapped into the existing treatment process downstream of the gravity filters. The wet well will contain four (4) submersible feed water pumps. Installation of a 100,000-gallon equalization tank. The design includes this waste holding tank for initial start-up waste and operational backwash for two vessels, as well as sludge discharge from the existing treatment process that is currently conveyed by force main from a pump station wet well to the thickeners. This tank will include two (2) submersible waste pumps. Backwash water for the GAC vessels will be supplied by the distribution system. Backwash wastewater will discharge from the waste holding tank to the existing wastewater treatment process on site. The existing chemical application points will be relocated after the GAC treatment, in a new chamber located upstream of the existing clearwell.","Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. The Ridley Water Treatment Plant (RWTP) is owned and operated by Aqua PA and is located at 1200 East Baltimore Pike in Media, Delaware County. The RWTP is a surface water treatment plant that draws from two raw water sources. Up to 3.0 million gallons per day (MGD) is taken from Ridley Creek and up to 6.0 MGD is taken from Chester Creek. The RWTP produces up to 8.0 MGD and allocation is set at 9.0 MGD. Over the period of 2015 to 2020, the average flow split between the two raw water sources was 57% Ridley Creek and 43% Chester Creek. Both the Ridley Creek and Chester Creek raw water sources have detectable levels of perfluoroalkyl substances (PFAS) with the Chester Creek source having higher levels of contamination. Samples of water collected at the RWTP entry point (EP 138) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate running annual average of 7.5 ppt for PFOA and 2.7 ppt for PFOS detections in at this entry point. The results for the past five quarters of monitoring have not exceeded the Pennsylvania Maximum Contaminant Level (MCL) for these two compounds.","747,460",51,No,N/A,N/A,$0
BUCKINGHAM TOWNSHIP - WELL F-8 PFAS REMOVAL,I,35,PO BOX 413,BUCKINGHAM,BUCKS,1090159,55,DWSRF,"$2,077,000",1/21/2026,"PFAS, TREAT","The existing treatment system for Well F8 consists of a pre-filtration system, disinfection by UV and chlorination systems, and booster pumps within a treatment control building, as well as an 88,000-gallon on-site storage tank (day tank). The existing well treatment system will remain in place without modification. There is an existing pole barn, at the site and in proximity to the control building, that will be demolished to serve as the site for a new building to house the proposed PFAS treatment system. The proposed treatment system will consist of one train of granular activated carbon (GAC) filters for removal of PFAS. The GAC filters are to be backwashed into a new holding tank, with a volume of approximately 18,000 to 19,000 gallons, which will be built adjacent to the new PFAS treatment building. The backwash holding tank will discharge into the sewer system via the wet well of the Buckingham Village Wastewater Treatment Plant (WWTP). Well F8 had originally served as the exclusive non-potable water supply for the township-owned Buckingham Village WWTP.","Sources of drinking water supply in the Buckingham Township Furlong System (PWSID#1090159), referenced herein as Buckingham, include six active wells (Wells F1, F2, F3, F4,F5, and F8), two abandoned wells (Well F7 and F9), and one well (Well F6) in reserve status. The system has been monitoring perfluoroalkyl substances (PFAS) in its water supply in 2024 and 2025. Samples of water collected at Entry Point (EP) 104 for Well F8 have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS) and indicate elevated levels of PFAS. Averaged results from samples taken over five quarters of monitoring are as follows: 2.39 ng/L for PFOA and 6.6 ng/L for PFOS.","3,100",40,No,N/A,N/A,$0
UPPER SOUTHAMPTON MUNCIPAL AUTHORITY - MAPLE AVENUE WATER MAIN REPLACEMENT,I,35,P O BOX 481 945 STRRET ROAD,SOUTHAMPTON,BUCKS,1090063,56,DWSRF,"$4,100,000",1/21/2026,DS,"Upper Southampton Municipal Authority (USMA) intends to replace approximately 6,800 linear feet (LF) of existing 8-inch cast iron water main with 8-inch PVC pipe on Maple Avenue (SR 2016) from Street Road (SR 0132) to Second Street (SR 0232). This project will encompass 12 intersections, 95 water service connections, 5 fire hydrants, and 12 ADA compliant ramps. The road falls under PENNDOT jurisdiction, and restoration will be full wide macadam overlay.","The Maple Avenue water main replacement project, located within the Upper Southampton Municipal Authority system (PWSID 1090063), is a critical infrastructure initiative aimed at enhancing service reliability and water quality for customers. The existing water main has experienced frequent breaks in recent years, resulting in service disruptions and increased maintenance costs. Replacing this aging infrastructure will significantly improve system performance and reduce long-term operational costs. In addition, the project will ensure that ADA-compliant curb ramps, within the scope of the water main work, are brought up to current code standards, supporting accessibility and regulatory compliance.","16,000",40,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - PERKIOMEN PFAS PROJECT PWSID 1460069,I,33,467 GRAVEL PIKE,COLLEGEVILLE,MONTGOMERY,1460069,57,DWSRF,"$1,980,000",1/22/2025,"TREAT, PFAS",The current plans include installation of anion exchange (AIX) vessels with pre-filtration for PFAS treatment at the Cranberry 2 well. The proposed project includes replacement of the well pump. The project includes installation of treatment vessels with a heated enclosure for the treatment vessels and valve tree located separately and adjacent to the existing well facilities.,Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Perkiomen Township (PWSID 1460069) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate detections of PFOA and PFOS at this site. The results for the first two quarters of 2024 have not exceeded the Pennsylvania Maximum Contaminant Level (MCL) for these two compounds at the proposed project site. Cranberry Well source has PFOA level of 5.6 ppt and PFOS level of 6.97 ppt. Project will reduce the contaminent level for customers.,"3,600",38,No,N/A,N/A,$0
"AQUA PENNSYLVANIA, INC. - MEYERS, CRANBERRY 3 & 4, AND RAHNS WELLS PFAS PA1460069",I,33,467 GRAVEL PIKE,COLLEGEVILLE,MONTGOMERY,1460069,58,DWSRF,"$6,890,000",1/21/2026,"PFAS, TREAT",Proposed PFAS treatment upgrades project includes one train (two vessels in series) of anion exchange resin filters with pre-filtration at three well stations. Well pumps for each station will be replaced. The PFAS filtration trains will have a heated enclosure for the valve trees and exposed piping and valves will be heat-traced and insulated.,"Samples of water collected at entry points in the Aqua PA Perkiomen Township (PWSID 1460069) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Average quarterly PFAS results at each well station are 6.5 ng/L (PFOA) and 4.1 ng/L (PFOS) [Cranberry Well 3]; 4 ng/L (PFOA) and 3.2 ng/L (PFOS) [Cranberry Well 4]; 5.6 ng/L (PFOA) and 5.6 ng/L (PFOS) [Meyers Tract]; and, 7.9 ng/L (PFOA) and 5.7 ng/L (PFOS) [Rahn].","3,600",38,No,N/A,N/A,$0
"AQUA PENNSYLVANIA, INC. - DEER RUN WELL PFAS REMOVAL PROJECT PWSID PA1150195",I,33,5803 OLD PHILADELPHIA PIKE,GAP,CHESTER,1150195,59,DWSRF,"$990,000",1/21/2026,"PFAS, TREAT","Proposed PFAS treatment upgrade project includes one train (two vessels in series) of anion exchange resin filters with pre-filtration (two 5 micron cartridge filters), and replacement of the well pump with addition of variable frequency drive and upgraded electrical controls. The PFAS filtration train and pre-filtration assembly will be housed within the existing well house.",Samples of water collected at entry point in the Aqua PA Honeybrook (PWSID 1150195) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Average quarterly PFAS results collected at Deer Run Well 3 are 2.25 ng/L (PFOA) and non-detect (PFOS).,"1,600",38,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - FRIENDSHIP WELL PFAS PROJECT PWSID 1150137,I,33,PO BOX 309,EXTON,CHESTER,1150137,60,DWSRF,"$2,100,000",4/23/2025,"TREAT, PFAS","The proposed PFAS treatment project includes replacement of both well pumps and installation of one train of anion exchange treatment vessels with pre-filtration, with heat tracing and insulation for piping and a heated enclosure for the treatment vessel valve tree, to be located separate and adjacent to the existing well facility. Samples of water collected at the combined treatment facility for Friendship Wells 2 and 4 in Aqua's Friendship system have shown detections of PFOA and PFOS.",Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Friendship system (PWSID 1150137) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate PFOA level of 6.925 ppt and PFOS level of 8.075 ppt in these systems.,"7,675",38,No,N/A,N/A,$0
"AQUA PENNSYLVANIA, INC. - HUNT, ORELAND, AND FLOURTOWN WELLS PFAS REMOVAL PA1460073",I,33,762 LANCASTER AVE.,BRYN MAWR,MONTGOMERY,1460073,61,DWSRF,"$6,890,000",1/21/2026,"PFAS, TREAT",Proposed PFAS treatment upgrade project includes one train (two vessels in series) of anion exchange resin filters with pre-filtration at Hunt Country Well and one train of granular activated carbon filters at Flourtown Well and at Oreland Well. Well pumps for each station will be replaced. The PFAS filtration trains will have a heated enclosure for the valve trees and exposed piping and valves will be heat-traced and insulated.,"Samples of water collected at entry points in the Aqua PA Main (PWSID 1460073) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Average quarterly PFAS results at each well station are 3.8 ng/L (PFOA) and 3.4 ng/L (PFOS) [Flourtown Well]; 4.7 ng/L (PFOA) and 4.4 ng/L (PFOS) [Oreland Well]; and, 3.5 ng/L (PFOA) and non-detect (PFOS) [Hunt Country Well Station].","747,460",38,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - WHITE HAVEN TREATMENT WELL PFAS PROJECT PWSID 2400108,II,33,50 E WOODHAVEN DRIVE,WHITE HAVEN,LUZERNE,2400108,62,DWSRF,"$4,300,000",4/23/2025,"TREAT, PFAS",The project will install ion exchange units to adsorb PFOS and PFOA compounds at well source.,This project will minimize the presence of PFOA and PFOS in finished water via treatment of the existing well. The max PFOS sampled is 7.0 ppt and max PFOA is 4.0 ppt.,"1,200",48,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - CHALFONT WELL 14 PFAS PROJECT PWSID 1090005,I,33,P O BOX 80,CHALFONT,BUCKS,1090005,63,DWSRF,"$1,900,000",4/23/2025,"TREAT, PFAS","The current plans include replacement of the well pump, and installation of anion exchange resin vessels for PFAS treatment with pre-filtration, with heat tracing and insulation for piping and a heated enclosure for the treatment vessel valve tree, to be located separate and adjacent to the existing well facility.",Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Chalfont system (PWSID 1090005) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate detections of PFOA level of 6.625 ppt and PFOS level of 6.8ppt at thee source. Project will reduce the contaminent level for customers.,"5,900",48,No,N/A,N/A,$0
"AQUA PENNSYLVANIA, INC. - IVY RIDGE WELLS PFAS REMOVAL PROJECT PWSID PA1460007",I,33,762 LANCASTER AVE,BRYN MAWR,MONTGOMERY,1460007,64,DWSRF,"$1,040,000",1/21/2026,"PFAS, TREAT","Proposed PFAS treatment upgrades include two trains (two vessels in series per train) of anion exchange resin filters with pre-filtration (5 micron cartridge filters), and replacement of the well pump with addition of variable frequency drive and upgraded electrical controls. The PFAS filtration trains and pre-filtration assembly will be housed within the existing well house.",Samples of water collected at entry points in the Aqua PA Superior Ivy Ridge (PWSID 1460007) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Average quarterly PFAS results collected at Ivy Ridge Wells 1 & 2 are 4.0 ng/L (PFOA) and non-detect (PFOS).,150,38,No,N/A,N/A,$0
BOROUGH OF SLATINGTON WATER METER MODERNIZATION PROJECT,II,33,125 SOUTH WALNUT STREET,SLATINGTON,LEHIGH,3390039,65,STATE BYPASS,"$993,340",7/16/2025,METERS,"The project will purchase and install 1,409 water meters accompanied by an enhanced data collection system to streamline the meter reading and billing operations. The project will include a Smart point module transceiver, a base station, and a meter reading tablet.","The current water meters are approx. 40 years old, installed in 1985, and are experiencing multiple reading failures each month. The current meters are read in person quarterly and have no leak detection technology.","4,450",48,Yes,Water Efficiency,Not Required,"$993,340"
AQUA PENNSYLVANIA INC. - FRANKLIN WELL PFAS PROJECT 1150126,I,33,420 W MARKET ST,WEST CHESTER,CHESTER,1150126,66,DWSRF,"$2,000,000",4/23/2025,"TREAT, PFAS","The proposed PFAS treatment project includes replacement of the well pump and installation of granular activated carbon treatment vessels, with heat tracing and insulation for piping and a heated enclosure for the treatment vessel valve tree, to be located separate and adjacent to the existing well facility.",Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Franklin system (PWSID 1150126) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate detections of PFOA level of 4.63 ppt and PFOS detectable in this system.,265,38,No,N/A,N/A,$0
"AQUA PENNSYLVANIA, INC. - PEDDLERS VIEW WELL PFAS REMOVAL PROJECT PWSID PA1090147",I,33,762 LANCASTER AVE.,BRYN MAWR,BUCKS,1090147,67,DWSRF,"$1,520,000",1/21/2026,"PFAS, TREAT",Proposed PFAS treatment upgrade project includes one train (two vessels in series) of granular activated carbon filters at the well station. Pumps for each well will be replaced. The PFAS filtration train will have a heated enclosure for the valve trees and exposed piping and valves will be heat-traced and insulated.,"Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Peddlers View (PWSID 1090147) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate detections of PFOA and PFOS. The monitoring results for 2024 and 2025, to date, have not exceeded the Pennsylvania Maximum Contaminant Level (MCL) for these two compounds at the proposed project site. Average quarterly PFAS results collected at the Peddlers View Wells 1 & 3 well station are 1.69 ng/L (PFOA) and non-detect (PFOS).",600,38,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN WATER COMPANY MARSHWOOD DAM REHABILITATION,II,31,39 PUBLIC SQUARE,WILKES BARRE,LACKAWANNA,2359008,68,DWSRF,"$7,326,000",7/16/2025,DAM,"The proposed Marshwood Dam Rehabilitation project will upgrade the Marshwood Dam structure bringing it into compliance with current dam safety practices. The project includes upgrading the outlet works to modern design standards and increasing the capacity of the spillway to convey the probable maximum flood. A two stage labyrinth weir will be installed. In addition, a seepage collection system will be installed in the embankment of the dam. The embankment will be flattened to increase the overall stability of the dam. The outlet works system will include a 30-inch diameter ductile iron pipe that will bypass the weir and be to the right of the spillway training wall. The pipe will be controlled by an unseated self-contained stainless steel slide gate at the downstream end of the pipe and the upstream end of the pipe will be fitted with a trash rack.",The Marshwood Dam’s current spillway can only pass a flow of 55 percent of the probable maximum flood event. There is risk for a failure due to the material piping from the lack of a filter diaphragm. There was also seepage noted through the embankment of the dam.,"134,570",46,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN WATER COMPANY MAPLE LAKE DAM REHABILITATION,II,31,39 PUBLIC SQUARE,WILKES-BARRE,LACKAWANNA,2409010,69,DWSRF,"$7,370,000",7/16/2025,DAM,"The proposed Maple Lake Dam Rehabilitation project will upgrade the Maple Lake Dam structure to bring it into compliance with current dam safety practices. The project includes upgrading the outlet works to modern design standards and increasing the capacity of the spillway to convey the probable maximum flood consisting of a 2-stage labyrinth weir. In addition, a seepage collection system will be installed in the embankment of the dam. The embankment will be flattened to increase the overall stability of the structure, and a filter diaphragm will be installed around the concrete culvert that protrudes through the embankment. The outlet works system will include a 30-inch diameter ductile iron pipe that will bypass the weir and be to the left of the spillway training wall. The pipe will be controlled by an unseated self-contained stainless steel slide gate at the downstream end of the pipe and the upstream end of the pipe will be fitted with a trash rack.",The Maple Lake Dam’s current spillway can only pass a flow of 76 percent of the probable maximum flood event. There is risk of failure due to the lack of a filter diaphragm. There was also seepage noted through the embankment of the dam.,"52,640",46,No,N/A,N/A,$0
HAZLETON CITY AUTHORITY MOUNT PLEASANT FINISHED WATER STORAGE TANK,II,31,400 E. ARTHUR GARDNER PARKWAY,HAZLETON,LUZERNE,2408001,70,DWSRF,"$6,045,800",10/16/2024,WS,"The proposed project consists of constructing a new 3.0-million-gallon (MG) capacity finished water storage tank at the high point of the existing finished water transmission main on the property already owned by Authority. The project also includes constructing a valve house, installing controls, instrumentation and SCADA communication as well as installing security fencing.",The project is being undertaken due to the strain the high water demands in the area are placing on the overall distribution system. The finished water storage tank will create an operational buffer of storage to all HCA’s filtration plan to operate smoothly and more easily handle the large demands without large fluctuations in pressure and flow.,"45,000",56,No,N/A,N/A,$0
BOROUGH OF CATASAUQUA WATER SERVICE BILLING METER REPLACEMENTS,II,28,118 BRIDGE STREET,CATASAUQUA,LEHIGH,3390044,71,STATE BYPASS,"$1,021,000",1/21/2026,METERS,"The Borough intends to replace all of the existing 5/8"" x 3/4"" water service meters throughout their public water system. Based upon the available Borough records, this project will involve the replacement of at least 95% of the 2,280 water service meters in use by the Borough's customers. These meters will be purchased and installed by Borough water system personnel. The Borough also wishes to purchase an additional 65 meters to maintain an available inventory for spares and future replacements.","The majority of the water meters in the Borough system are well beyond their recommended service life (15-20 years). As these water meters age they tend to sacrifice accuracy, leading to issues such as under-reporting water usage, inability to reliably measure leakage, and inequities in billing over time. Additionally, the lack of a system-wide smart water metering technology such as Automated Meter Reading (AMR) or Advanced Metering Infrastructure (AMI) has prevented the Borough from streamlining its processes, utilizing its resources efficiently, improving water preservation, and collecting revenues from water losses.","6,598",53,Yes,Water Efficiency,Not Required,"$1,021,000"
MUNICIPAL AUTHORITY OF BUFFALO TOWNSHIP - WATER TREATMENT PLANT EXPANSION,VI,25,707 SOUTH PIKE ROAD,SARVER,ARMSTRONG,5030019,72,DWSRF,"$8,957,546",1/21/2026,TREAT,"The Municipal Authority of Buffalo Township is proposing a water treatment plant expansion project which will consist of adding additional influent and effluent pumps, one additional treatment basin, a membrane filtration skid, a new clearwell tank, and a second clarifier.",The Municipal Authority needs to expand their Freeport Water Treatment Plant to meet the current increase in demand for their service area. The current treatment plant can produce 1.25 million gallons per day (MGD). Recently the Authority received a new water allocation permit for 2.0 MG per day. The current expansion project will allow the Authority to produce up to 2.5 MG per day if needed.,"5,849",40,No,N/A,N/A,$0
AQUA PENNSYLVANIA MAIN- UPPER DARBY LSL,I,0,762 LANCASTER AVE.,BRYN MAWR,MONTGOMERY,1460073,73,APPLICATION PENDING,"$4,880,554",,LSL,EPA established the Lead and Copper Rule (LCR) to protect public health and reduce exposure to lead and copper in drinking water. One of the most common sources of lead in drinking water is lead pipes and service lines. A galvanized service line downstream of a lead connector to the main (a lead gooseneck) can also be a source of lead to the household. Service Line replacement will target 9 lead service lines and 331 galvanized service lines. Of these replacements 7 lead service lines and 175 galvanized lines are located in Environmental Justice Area (2015) as defined by PA DEP. This project will replace all known residential lead and galvanized service lines from upper Darby service area.,System has a number of owned/privately owned lead and galvanized lead impacted water service lines that are at least partially constructed of lead pipe or connectors. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the upper Darby service area.,"747,460",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - MECHANICSBURG LSLR PHASE 2,III,0,852 WESLEY DRIVE,MECHANICSBURG,CUMBERLAND,7210029,74,APPLICATION PENDING,"$5,211,776",,LSL,"The proposed project includes replacement of 304 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the Borough of Mechanicsburg. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control",System has a number of services (line between main and the water meter in the residence) that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will eliminate lead and eliminate chance of lead poisoning within the service area.,"93,368",,No,N/A,N/A,$0
GRATZ BOROUGH WATER - LSL REPLACEMENT,III,0,P.O. BOX 305,GRATZ,DAUPHIN,7220005,75,APPLICATION PENDING,"$1,916,050",,LSL,"The project involves lead service line replacement throughout Gratz Borough, together with associated earth, street, and sidewalk restoration. Based on the LSL inventory, 225 water service connections would be replaced. This would involve placement of approximately 10,000 linear feet of new 3/4-inch plastic service lines.","The 1927 construction of the water system typically used lead goosenecks and galvanized service lines to the home. The galvanized service lines are characterized by DEP as needing replacement due to downstream of lead goosenecks. Gratz has copper exceedances of action levels in the past as demonstrated by quarterly sampling following conversion to a failed corrosion control chemical in 2019. Although the former chemical was restored in 2020 with designation of optimum corrosion control in 2021, clearly the potential for health effects from corrosion of old service lines remains, until they are replaced.",750,,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - PITTSBURGH LSLR - PHASE 6,V,0,410 COOKE LANE,PITTSBURGH,ALLEGHENY,5020039,76,APPLICATION PENDING,"$5,556,276",,LSL,This project will replace a total of 324 lead service lines to include the privately-owned portion when encountered.,System has a number of services lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"615,543",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - MECHANICSBURG LSLR PHASE 3,III,0,852 WESLEY DRIVE,MECHANICSBURG,CUMBERLAND,7210029,77,APPLICATION PENDING,"$5,931,132",,LSL,"The proposed project includes replacement of 346 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the Borough of Mechanicsburg. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control",System has a number of services (line between main and the water meter in the residence) that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will eliminate lead and eliminate chance of lead poisoning within the service area.,"93,368",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - PITTSBURGH LSLR - PHASE 7,V,0,410 COOKE LANE,PITTSBURGH,ALLEGHENY,5020039,78,APPLICATION PENDING,"$9,604,000",,LSL,This project will replace a total of 560 lead service lines to include the privately-owned portion when encountered.,System has a number of services lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"615,543",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - PITTSBURGH LSLR - PHASE 8,V,0,410 COOKE LANE,PITTSBURGH,ALLEGHENY,5020039,79,APPLICATION PENDING,"$1,989,748",,LSL,This project will replace a total of 116 lead service lines to include the privately-owned portion when encountered.,System has a number of services lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"615,543",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NEW CASTLE LSLR - PHASE 4,VI,0,2736 ELLWOOD ROAD,NEW CASTLE,LAWRENCE,6370034,80,APPLICATION PENDING,"$1,405,316",,LSL,"The proposed project includes replacement of 82 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the New Castle City, Census Tracts 1 and 3. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control",System has a number of owned/privately owned lead and galvanized lead impacted water service lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"42,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NEW CASTLE LSLR - PHASE 2,VI,0,2736 ELLWOOD ROAD,NEW CASTLE,LAWRENCE,6370034,81,APPLICATION PENDING,"$8,950,000",,LSL,"The proposed project includes replacement of 112 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the New Castle City, Census Tracts 1 and 3. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control",System has a number of owned/privately owned lead and galvanized lead impacted water service lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"42,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NEW CASTLE LSLR - PHASE 5,VI,0,2736 ELLWOOD ROAD,NEW CASTLE,LAWRENCE,6370034,82,APPLICATION PENDING,"$8,432,388",,LSL,"The proposed project includes replacement of 492 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the New Castle City, Census Tracts 1 and 3. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control",System has a number of owned/privately owned lead and galvanized lead impacted water service lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"42,000",,No,N/A,N/A,$0
